,V12GSE5624_1,V12GSE5624_10,V12GSE5624_11,V12GSE5624_12,V12GSE5624_13,V12GSE5624_14,V12GSE5624_2,V12GSE5624_3,V12GSE5624_4,V12GSE5624_5,V12GSE5624_6,V12GSE5624_7,V12GSE5624_8,V12GSE5624_9
AT2G18300,10.57,0.21,9.46,0.47,10.61,1.08,1.33,9.23,-0.33,9.15,1.22,10.46,0.9,10.96
AT3G59060,11.84,3.98,7.58,1.29,12.03,1.7,2.38,11.38,2.53,11.48,5.1,11.41,3.81,10.97
AT1G73870,10.54,2.52,4.44,2.29,10.94,1.16,1.5,10.29,0.7,10.36,2.3,10.35,1.14,8.16
AT1G13300,4.66,10.52,2.91,10.81,3.66,10.99,10.66,2.96,10.28,3.92,11.06,2.17,10.98,2.96
AT1G22590,9.62,2.26,9.34,1.54,8.98,1.36,1.65,9.32,1.4,9.15,2.75,8.77,1.12,8.72
AT1G74500,2.55,9.14,2.49,10.02,1.28,10.08,10.15,4.7,9.91,2.46,9.75,1.34,9.8,3.46
AT2G45190,9.19,1.52,8.28,1.41,9.59,1.34,1.66,8.93,0.98,8.96,2.06,9.25,2.64,8.49
AT5G15130,2.35,9.02,1.56,8.64,3.34,9.32,9.82,1.56,9.55,2.32,9.39,0.94,9.05,3.07
AT2G43140,1.46,7.88,0.64,7.12,1.58,8.29,8.55,0.58,7.73,0.53,8.75,1.39,8.11,1.16
AT5G14000,2.67,9.74,2.5,9.48,2.99,9.73,9.77,3.37,9.3,3.04,9.74,2.96,9.75,2.22
AT1G34310,12.76,7.17,12.84,5.65,12.5,5.12,6.46,12.77,4.32,12.49,5.21,12.25,6.88,11.73
AT3G02380,12.38,4.48,6.56,4.74,12.31,4.4,4,11.29,4.62,11.38,3.68,10.2,4.83,7.14
AT5G15850,11.23,4.28,9.12,3.34,11.38,4.99,5.31,11.59,3.66,11.5,5.01,10.39,3.1,8.11
AT4G37940,1.34,8.21,0.64,7.44,1.65,7.46,7.27,0.79,7.11,1.27,7.42,0.92,7.51,0.29
AT4G24540,9.19,2.04,8.93,2.45,8.92,1.99,2.19,8.7,2.65,8.75,2.15,8.1,1.88,7.97
AT2G30130,1.57,7.83,1.22,7.86,2.43,8.07,8.03,2.29,8.46,3.59,8.5,1.14,8.25,1.19
AT3G23250,3.38,8.32,3.72,7.05,2.24,7.51,10.96,6.12,10.98,6.37,11.04,1.99,8.34,2.69
AT3G48920,2.22,9.89,3.9,9.28,3.17,9.32,8.65,2.59,7.14,3.78,9.01,2,9.73,2.97
AT4G14540,10.14,4.69,10.3,4.82,10.29,4.85,4.94,9.71,2.66,9.68,2.72,9.87,2.86,9.84
AT1G31050,3.72,9.64,4.73,10.27,3.97,9.98,9.95,3.59,9.1,3.93,10.57,3.51,9.51,3.2
AT3G11090,9.95,5.1,9.76,3.08,10.12,3.65,3.88,9.66,4.17,9.62,4.27,9.86,2.83,9.6
AT5G14750,2.75,8.29,3.12,8.65,3.96,8.6,8.72,2.41,8.57,2.82,8.37,1.04,8.18,2.22
AT1G69810,2.33,8.77,4.56,8.88,5.46,8.88,8.67,2.76,8.73,2.6,9.21,2.46,9,1.92
AT5G65790,2.56,9.22,2.87,9.14,3.02,8.86,8.93,1.92,7.91,2.79,9.29,4.62,8.98,5.2
AT1G68520,11.8,5.37,11.43,5.33,11.56,5.41,5.25,10.24,5.44,10.27,5.05,11.06,5.83,11.54
AT1G68880,1.47,8.01,2.64,8.42,3.77,8.66,8.89,2.18,7.14,2.5,8.12,3.68,8.82,2.42
AT2G34140,3.34,9.74,4.15,9.32,2.96,8.66,8.64,3.36,8.72,3.45,9.28,3.67,9.21,3.21
AT5G56860,9.02,3.28,8.88,3.66,9.18,2.01,2.52,8.68,3.28,8.69,3.27,8.74,4.2,8.09
AT5G25160,3.02,8.54,2.62,8.8,4.28,8.77,8.81,2.6,7.48,3.81,8.38,3.14,8.64,2.27
AT2G37430,2.3,7.78,3.04,7,1.86,7.46,8.72,5.13,7.85,5.91,8.77,1.26,7.41,1.75
AT5G22890,4.96,10.02,4.06,10.04,4.29,10,9.53,3.24,8.82,5.29,9.34,4.43,10.22,4.62
AT4G11880,3.76,9.76,5.06,9.1,3.88,9.57,9.64,4.46,9.25,3.19,9.63,5.07,9.94,5
AT5G17430,2.78,7.99,1.92,7.01,2.67,7.12,7.42,1.86,7.04,2.1,7.54,1.91,7.57,1.98
AT1G02220,4.79,10.93,5.46,10.69,4.76,10.04,10.07,5.85,9.89,5.67,9.88,5.37,10.35,4.07
AT5G22570,4.96,8.41,5.76,7.28,5.42,9.04,10.25,4.78,12.08,4.8,10.62,4.25,9.61,4.17
AT1G75250,6.85,0.81,5.78,3.46,7.76,1.09,2.56,7.09,1.49,6.98,2.92,7.52,2.06,7.21
AT3G15030,8.82,2.29,8.84,3.81,8.65,2.9,4.41,8.36,3.15,8.28,4.42,9.02,4.02,8.49
AT2G46830,11.85,4.37,5.57,4.89,11.84,8.33,8.36,11.54,7.66,11.67,7.19,9.89,6.25,6.72
AT1G01520,7.31,1.28,2.18,1.87,7.56,3.01,4.25,8.41,0.57,8.69,3.93,5.21,4.34,4.5
AT4G17490,8.08,8.33,4.79,7.67,2.4,8,10.48,8.73,10.46,8.48,9.37,2.66,8.76,4.93
AT2G21320,10.52,4.46,8.23,4.13,10.35,5.98,5.26,10.06,4.98,10.16,3.21,9.22,5.4,7.59
AT1G71030,10.99,7.11,7.58,3.77,11.45,6.38,6.22,10.06,6.52,10.16,7.11,12.1,7.31,12.11
AT1G17950,1.7,7.19,1.6,7.12,2,6.93,6.62,1.66,5.57,1.74,6.55,1.71,6.93,1.98
AT5G13330,3.16,10.12,5.94,9.09,4.98,9.66,8.98,4.25,9.27,3.93,9.57,5.07,9.7,5.58
AT2G26580,8.17,4.08,8.74,3.78,8.22,1.92,3.17,8.09,2.91,8.02,4.66,8.06,3.62,8.48
AT2G01430,3.11,7.56,2.52,7.63,3.27,7.72,7.65,2.87,7.7,2.73,6.93,2.32,7.55,1.68
AT3G25790,3.32,8.66,4.01,8.91,4.65,8.82,8.52,3.89,8.61,4.24,8.88,3.94,8.81,3.26
AT3G53600,1.29,5.37,1.46,3.24,1.63,2.87,5.86,3.64,8.7,3.63,7.85,1.01,5.33,0.96
