regulator,    target,    score,    rank
AT5G65210,    AT4G37430,            0.995485313633,   1
AT3G49940,    AT1G29440,            0.994684555764,   2
AT5G65210,    AT5G58900,            -0.993270567377,   3
AT5G65210,    AT5G58900,            -0.993270567377,   4
AT4G34590,    AT1G52880,            0.992369746129,   5
AT4G34590,    AT5G17220,            0.991871942664,   6
AT3G04060,    AT2G28400,            0.991808253046,   7
AT4G34590,    AT4G01550,            0.991642059452,   8
AT1G69490,    AT3G06420,            0.99155725425,   9
AT5G04410,    AT4G18480,            -0.990931576054,   10
AT3G24520,    AT1G66940,            -0.989438067355,   11
AT5G52660,    AT4G32920,            0.989252881756,   12
AT3G21890,    AT5G25810,            -0.989103184736,   13
AT2G46270,    AT1G69260,            0.987631441315,   14
AT3G21890,    AT2G30490,            0.987087382941,   15
AT5G52660,    AT2G37040,            0.986888080001,   16
AT1G53910,    AT4G34710,            0.986091108611,   17
AT2G46270,    AT2G41190,            0.986031945621,   18
AT5G65210,    AT4G38770,            -0.986005160992,   19
AT3G21890,    AT3G54680,            0.985618940963,   20
AT1G49010,    AT2G38340,            -0.985590684769,   21
AT1G49010,    AT2G38340,            -0.985590684769,   22
AT1G53910,    AT1G78600,            0.985549242335,   23
AT4G25470,    AT5G44130,            0.985517835493,   24
AT3G04070,    AT4G33150,            0.985409511063,   25
AT1G51140,    AT2G18300,            -0.985136880656,   26
AT1G51140,    AT2G18300,            -0.985136880656,   27
AT1G49010,    AT2G20570,            0.985094783841,   28
AT4G34590,    AT5G59220,            0.984799760447,   29
AT4G34590,    AT5G01600,            0.984555076476,   30
AT1G76890,    AT3G62090,            -0.984433070922,   31
AT1G76890,    AT3G62090,            -0.984433070922,   32
AT1G51140,    AT1G72610,            -0.984347395097,   33
AT1G76890,    AT2G46680,            -0.984187686021,   34
AT1G76890,    AT2G46680,            -0.984187686021,   35
AT1G69490,    AT5G23060,            -0.984104058609,   36
AT1G13260,    AT3G12580,            -0.983898678683,   37
AT1G13260,    AT5G07690,            0.983686123889,   38
AT1G13260,    AT3G53980,            -0.983676448272,   39
AT1G01720,    AT1G52080,            0.983435166829,   40
AT5G66700,    AT2G29380,            -0.983428460885,   41
