regulator,    target,    score,    rank
AT1G72740,    AT1G48800,            0.997163220748,   1
AT1G65910,    AT3G12460,            0.991373641442,   2
AT1G12630,    AT1G14220,            0.965551611031,   3
AT1G53230,    AT3G43330,            -0.954368124422,   4
AT1G43700,    AT5G26260,            -0.944153514781,   5
AT1G46768,    AT4G35210,            -0.942344763741,   6
AT1G30490,    AT5G42600,            -0.94074008235,   7
AT1G19850,    AT5G37540,            -0.938692824534,   8
AT1G43700,    AT1G53680,            -0.937802292793,   9
AT1G02250,    AT5G39440,            -0.936307257469,   10
AT1G43700,    AT5G47950,            -0.935127898953,   11
AT1G49560,    AT5G67400,            -0.934918769777,   12
AT2G15740,    AT3G18540,            -0.934757703637,   13
AT1G02250,    AT4G00920,            0.929753900619,   14
AT2G23320,    AT2G03720,            -0.928719568888,   15
AT1G06850,    AT1G69870,            -0.927063318755,   16
AT2G01940,    AT1G21230,            0.926842858905,   17
AT1G43700,    AT1G30490,            0.926645256429,   18
AT1G49560,    AT1G52250,            -0.926005858396,   19
AT1G13450,    AT3G16130,            0.924339193283,   20
AT1G33240,    AT5G23970,            0.923387211823,   21
AT1G34180,    AT5G65600,            0.922416494173,   22
AT2G18380,    AT4G18920,            0.922402122017,   23
AT1G36060,    AT4G37160,            -0.922391399948,   24
AT1G12630,    AT4G19810,            -0.922241758152,   25
AT1G43700,    AT2G22290,            -0.921521922899,   26
AT1G76890,    AT2G06890,            -0.920562103642,   27
AT2G23320,    AT5G25610,            0.918757651361,   28
AT1G59640,    AT3G01020,            -0.917746242273,   29
AT2G01060,    AT4G11020,            -0.917527927225,   30
AT2G02070,    AT1G75880,            -0.916825285331,   31
AT1G43700,    AT1G71140,            0.915742710552,   32
AT2G23320,    AT4G31970,            0.914078580729,   33
AT2G23290,    AT4G30970,            -0.913725326097,   34
AT1G49560,    AT4G14060,            0.913312429567,   35
AT2G30250,    AT4G38770,            0.909620211836,   36
AT1G19210,    AT1G60190,            0.9093188215,   37
AT2G23320,    AT1G53830,            -0.908326798641,   38
AT2G03500,    AT2G11830,            0.906431797628,   39
AT1G79180,    AT2G04670,            -0.904789100467,   40
AT2G23320,    AT3G63380,            0.903992933705,   41
AT2G23320,    AT5G49080,            -0.903241632962,   42
AT1G36060,    AT3G14440,            -0.903156433753,   43
AT1G34180,    AT3G49960,            -0.902094746815,   44
AT2G24430,    AT3G60280,            -0.901116138271,   45
AT1G77920,    AT1G08430,            0.900509004649,   46
AT1G65910,    AT1G69630,            -0.900125381199,   47
AT1G69780,    AT2G31080,            -0.898288733646,   48
AT2G01930,    AT5G07310,            -0.8981812296,   49
AT2G23320,    AT5G51470,            -0.896845579611,   50
AT1G30650,    AT5G52130,            0.895797923558,   51
AT1G34180,    AT3G14250,            0.895532584676,   52
AT2G01060,    AT1G77490,            -0.894086974029,   53
AT1G77920,    AT1G29160,            0.893499315129,   54
AT2G02820,    AT1G01190,            -0.893481831704,   55
AT1G09540,    AT5G47990,            0.892322276738,   56
AT1G74650,    AT1G12630,            -0.891502714468,   57
AT1G30490,    AT1G03700,            -0.890589132864,   58
AT1G76890,    AT4G36670,            0.889566205476,   59
AT1G34180,    AT1G09540,            -0.889143788365,   60
AT2G18550,    AT3G58300,            0.888923278997,   61
AT1G12630,    AT3G16240,            0.888907941049,   62
AT1G46768,    AT2G06310,            -0.887238218447,   63
AT2G23320,    AT5G47980,            -0.886649004376,   64
AT1G76880,    AT4G13390,            0.88633171343,   65
AT2G31230,    AT1G69570,            -0.88624102584,   66
AT2G24430,    AT1G13310,            0.885957277073,   67
AT2G01060,    AT3G48850,            0.885750520733,   68
AT2G23320,    AT2G45890,            -0.884431664201,   69
AT1G36060,    AT4G35200,            -0.884375510199,   70
AT1G19000,    AT4G25920,            -0.884260540842,   71
AT1G53170,    AT5G38195,            -0.883436000655,   72
AT2G31230,    AT3G47790,            0.883193466423,   73
AT1G51700,    AT1G52190,            -0.882745791894,   74
AT2G30250,    AT2G17070,            -0.881217306597,   75
AT1G34180,    AT4G25820,            -0.881000666241,   76
AT2G30250,    AT4G37370,            0.879969366724,   77
AT1G30650,    AT1G36820,            -0.879479109659,   78
AT1G43160,    AT1G33240,            0.879432768527,   79
AT1G49010,    AT2G45220,            0.879357378931,   80
AT2G18350,    AT1G33055,            0.878997586803,   81
AT1G79180,    AT1G57780,            -0.876747592165,   82
AT2G31230,    AT1G63930,            -0.876150782817,   83
AT1G34180,    AT1G62510,            -0.875169454795,   84
AT1G12630,    AT2G02450,            0.874895636465,   85
AT1G12630,    AT2G02450,            0.874895636465,   86
AT2G20400,    AT3G31340,            -0.874838680852,   87
AT1G36060,    AT3G47340,            -0.874523297776,   88
AT1G34180,    AT1G65310,            -0.874363902272,   89
AT1G19850,    AT5G59530,            0.874216580526,   90
AT1G29160,    AT5G11070,            -0.873668930533,   91
AT1G43700,    AT1G62480,            -0.873459024333,   92
AT2G02820,    AT2G39010,            0.873451053662,   93
AT2G18160,    AT5G24160,            -0.872959170394,   94
AT1G34180,    AT1G26390,            0.872288906541,   95
AT2G24430,    AT4G09990,            -0.871909031207,   96
AT1G34180,    AT3G07150,            0.871204533769,   97
AT1G30650,    AT4G10310,            -0.870791736898,   98
AT1G30490,    AT3G18250,            0.870678382213,   99
AT2G01060,    AT1G43700,            0.869983626352,   100
AT1G69490,    AT4G03160,            0.869100203462,   101
AT1G12630,    AT2G31085,            0.869085101951,   102
AT1G68320,    AT1G69780,            -0.868679724122,   103
AT2G30250,    AT3G21520,            0.868178802965,   104
AT1G09540,    AT4G11650,            -0.867152592114,   105
AT1G77920,    AT1G19960,            0.866773646488,   106
AT2G03340,    AT1G29780,            -0.866086648476,   107
AT1G51700,    AT4G36740,            0.866052048288,   108
AT1G52150,    AT4G11210,            -0.866043749091,   109
AT1G33240,    AT1G34180,            -0.865910941419,   110
AT1G33240,    AT1G34180,            -0.865910941419,   111
AT1G34180,    AT4G02270,            -0.865588403137,   112
AT2G18160,    AT3G26740,            -0.865288470517,   113
AT1G74650,    AT1G49480,            0.865286379281,   114
AT1G36060,    AT1G14960,            -0.864927337926,   115
AT1G30490,    AT1G76880,            -0.864485668313,   116
AT2G02070,    AT5G62340,            0.863970962436,   117
AT1G49010,    AT5G50130,            -0.863793628378,   118
AT1G34180,    AT5G49270,            -0.863324983749,   119
AT1G64620,    AT2G47280,            0.862892701435,   120
AT2G01060,    AT1G22880,            -0.862780560762,   121
AT1G34180,    AT5G19800,            -0.862769320419,   122
AT1G43700,    AT1G55780,            0.862663901776,   123
AT2G18160,    AT3G12840,            -0.862338947378,   124
AT2G01060,    AT5G22300,            0.862105696835,   125
AT1G34180,    AT1G01750,            -0.862064025138,   126
AT1G51700,    AT5G38910,            0.860489404513,   127
AT1G34180,    AT3G10450,            0.859878610708,   128
AT1G76890,    AT3G25880,            0.859790283486,   129
AT1G76890,    AT3G63020,            0.859049160479,   130
AT1G19850,    AT5G45670,            0.858470550002,   131
AT2G03340,    AT3G24650,            -0.857821470975,   132
AT2G02820,    AT1G12080,            0.85759812098,   133
AT1G28470,    AT4G05250,            -0.857320916185,   134
AT2G23340,    AT5G15120,            0.857239977129,   135
AT1G51700,    AT3G21720,            0.857053372155,   136
AT2G18380,    AT1G49750,            0.856699497727,   137
AT1G78700,    AT4G24510,            -0.856664372671,   138
AT1G43700,    AT1G60610,            0.856652775832,   139
AT1G06850,    AT1G16370,            0.856527588503,   140
AT1G30490,    AT1G30210,            0.855987684937,   141
AT1G30490,    AT1G30210,            0.855987684937,   142
AT2G23340,    AT1G76640,            -0.855852344849,   143
AT1G76420,    AT2G35700,            -0.854909041452,   144
AT2G01060,    AT3G19430,            -0.854623052515,   145
AT2G30250,    AT2G45750,            -0.854468308307,   146
AT2G30250,    AT4G13440,            -0.853418754225,   147
AT1G34180,    AT5G60660,            -0.85290300802,   148
AT1G12630,    AT5G62280,            0.852616288357,   149
AT1G12630,    AT5G51490,            0.852589372814,   150
AT2G18350,    AT2G04570,            -0.852551926947,   151
AT1G77920,    AT1G60750,            0.851546912929,   152
AT1G12630,    AT4G04890,            -0.851344373667,   153
AT2G23340,    AT1G77920,            0.851076601237,   154
AT1G12630,    AT5G67430,            -0.850888780943,   155
AT1G34180,    AT3G07070,            -0.850286551513,   156
AT1G12630,    AT1G78700,            0.849767706793,   157
AT2G23320,    AT1G75580,            0.849384754123,   158
AT2G24430,    AT1G80240,            -0.848583667888,   159
AT1G06850,    AT1G52050,            0.848245284458,   160
AT2G18060,    AT1G42610,            -0.848070150078,   161
AT1G34180,    AT2G44110,            -0.847860492269,   162
AT1G29160,    AT4G27654,            -0.847481024746,   163
AT2G18380,    AT1G75780,            -0.84732378808,   164
AT2G22430,    AT1G43590,            0.847025194925,   165
AT1G49010,    AT1G19850,            -0.846113399452,   166
AT1G12630,    AT4G14280,            0.84569552638,   167
AT1G34180,    AT1G53620,            0.845604412795,   168
AT1G71450,    AT5G29584,            -0.845341423157,   169
AT1G49560,    AT5G45080,            0.845294611487,   170
AT1G50640,    AT1G12320,            -0.844981096006,   171
AT1G52150,    AT4G25960,            0.843951514175,   172
AT1G30490,    AT5G14400,            0.843605253474,   173
AT1G69010,    AT1G26780,            0.843579501992,   174
AT1G14687,    AT2G18540,            -0.842937348888,   175
AT1G06850,    AT1G22330,            0.842341718701,   176
AT1G29160,    AT2G22760,            -0.842189336179,   177
AT1G53910,    AT3G28380,            -0.841980147616,   178
AT1G34180,    AT1G30850,            -0.841941439994,   179
AT1G29160,    AT1G34370,            0.841478268108,   180
AT2G02070,    AT4G38870,            -0.841358062404,   181
AT1G43160,    AT3G59710,            0.84085245081,   182
AT2G18380,    AT2G25160,            -0.84070720122,   183
AT1G43700,    AT4G35070,            0.840643059483,   184
AT1G12630,    AT1G75890,            -0.839834417255,   185
AT1G53170,    AT2G41810,            0.839722267305,   186
AT1G12630,    AT1G47520,            0.839095165609,   187
AT1G06850,    AT3G45700,            0.838860702569,   188
AT1G49010,    AT5G51750,            -0.838134768432,   189
AT1G19850,    AT3G22740,            -0.837957309466,   190
AT2G23340,    AT1G54890,            -0.837930786444,   191
AT2G01060,    AT2G42440,            0.836828773642,   192
AT1G22070,    AT1G09155,            -0.836528413503,   193
AT1G12630,    AT1G14580,            0.836272548346,   194
AT1G12630,    AT4G33730,            0.836151515005,   195
AT1G69490,    AT1G05880,            0.835887144945,   196
AT1G18330,    AT3G14480,            0.835666878131,   197
AT2G18350,    AT1G49900,            0.835307993507,   198
AT2G01060,    AT5G64520,            -0.835014093698,   199
AT1G30650,    AT1G65500,            -0.833827383837,   200
AT1G01250,    AT1G65670,            0.831842558907,   201
AT1G28470,    AT5G06510,            0.831564250105,   202
AT1G19850,    AT1G73190,            -0.831559566493,   203
AT1G76890,    AT1G77240,            -0.831538809238,   204
AT1G30650,    AT1G26410,            -0.831500781952,   205
AT1G12630,    AT2G26560,            -0.83089878227,   206
AT1G22810,    AT4G21620,            -0.830501290161,   207
AT2G02070,    AT5G23210,            0.830492297425,   208
AT1G49560,    AT2G41860,            -0.830261777764,   209
AT1G49010,    AT1G55260,            -0.830112982891,   210
AT1G34180,    AT1G63750,            0.829960999671,   211
AT2G20400,    AT3G30620,            -0.829473304967,   212
AT1G52150,    AT5G13140,            -0.829448941155,   213
AT1G34180,    AT5G44130,            -0.828873622334,   214
AT1G50640,    AT5G14560,            -0.828866781148,   215
AT1G76890,    AT2G29350,            -0.828391692931,   216
AT1G79180,    AT4G31070,            0.827967021036,   217
AT1G36060,    AT1G80840,            -0.82747920624,   218
AT1G55110,    AT5G40010,            0.827185525947,   219
AT1G34180,    AT5G05500,            -0.827177903495,   220
AT2G30250,    AT3G28510,            0.82714511355,   221
AT1G34180,    AT1G52880,            0.826722414431,   222
AT1G74650,    AT5G16190,            -0.826019025784,   223
AT2G23340,    AT4G34250,            0.825698812512,   224
AT1G02250,    AT1G55660,            0.8249941893,   225
AT1G74480,    AT5G12030,            -0.824740950164,   226
AT1G34180,    AT5G61350,            -0.824042445885,   227
AT1G02250,    AT5G01480,            0.823948317533,   228
AT1G12630,    AT2G46250,            -0.823890023162,   229
AT1G19040,    AT5G66670,            0.823247717729,   230
AT1G36060,    AT5G01880,            0.823143494403,   231
AT2G32460,    AT1G17840,            -0.823067599776,   232
AT2G01060,    AT1G63450,            -0.822938089552,   233
AT1G28470,    AT4G01430,            0.821896305327,   234
AT1G74650,    AT3G13950,            0.821849787746,   235
AT1G12630,    AT1G51700,            -0.821435934163,   236
AT1G43700,    AT1G33950,            -0.821302057153,   237
AT2G02820,    AT5G01870,            -0.821101027618,   238
AT1G30650,    AT4G09360,            -0.820881615736,   239
AT2G23320,    AT3G20470,            0.820362875845,   240
AT1G36060,    AT2G19410,            -0.82018923283,   241
AT1G12630,    AT4G36260,            -0.819933265604,   242
AT1G74650,    AT5G62330,            -0.819624638066,   243
AT2G18380,    AT3G19700,            -0.819032023332,   244
AT1G76890,    AT5G06730,            -0.818628226762,   245
AT1G30650,    AT5G41380,            0.817801185277,   246
AT1G74650,    AT4G19370,            0.817476333994,   247
AT2G02070,    AT1G73220,            -0.817205191501,   248
AT2G30250,    AT2G38750,            -0.817167913849,   249
AT1G14687,    AT5G53870,            -0.817141655525,   250
AT1G29160,    AT3G21040,            -0.816440380324,   251
AT2G02070,    AT2G17050,            -0.816309908015,   252
AT1G74650,    AT3G27950,            -0.816304165438,   253
AT1G77920,    AT3G19690,            0.815933203437,   254
AT2G18350,    AT1G05800,            -0.815243889533,   255
AT2G24430,    AT5G49630,            0.814838914867,   256
AT1G32870,    AT5G18910,            -0.814546502836,   257
AT1G76890,    AT2G33790,            0.814492643488,   258
AT1G34180,    AT5G04530,            0.814001872745,   259
AT2G31230,    AT2G23340,            0.813972594797,   260
AT1G19850,    AT5G14070,            -0.813580470968,   261
AT1G71450,    AT5G39130,            -0.813572185005,   262
AT2G30250,    AT1G26380,            0.813227505611,   263
AT1G30650,    AT1G35490,            0.813014342209,   264
AT1G12630,    AT2G23320,            -0.812185607142,   265
AT1G76420,    AT2G20800,            -0.811629026555,   266
AT2G23340,    AT2G36970,            0.81141579176,   267
AT1G49010,    AT2G38250,            -0.811393580554,   268
AT1G30650,    AT1G78170,            -0.810735117209,   269
AT2G02820,    AT1G52060,            0.810598541813,   270
AT1G77920,    AT1G80580,            -0.810591229486,   271
AT2G02820,    AT5G58120,            -0.810506279945,   272
AT1G74650,    AT1G36060,            0.810386558441,   273
AT2G18380,    AT2G41970,            -0.810122155449,   274
AT1G12630,    AT4G13420,            -0.810116713374,   275
AT1G34180,    AT2G23410,            -0.809880008929,   276
AT1G06850,    AT3G02550,            -0.80975261012,   277
AT1G30650,    AT1G66090,            -0.809081509199,   278
AT2G02820,    AT1G08090,            -0.808671052618,   279
AT1G68320,    AT5G56470,            0.808599283877,   280
AT1G12630,    AT3G10710,            0.808470338922,   281
AT1G02250,    AT1G29610,            -0.80844908528,   282
AT1G30650,    AT1G55550,            -0.808064548921,   283
AT2G18380,    AT3G58780,            0.807875588047,   284
AT1G32870,    AT5G05220,            -0.807665354637,   285
AT2G23340,    AT4G14540,            0.80741509443,   286
AT1G12630,    AT1G61750,            -0.80731999268,   287
AT1G01060,    AT1G36920,            -0.807208948192,   288
AT1G69180,    AT2G18550,            -0.807005873413,   289
AT2G18380,    AT4G04590,            0.805604414563,   290
AT1G46768,    AT4G04990,            0.80492634922,   291
AT1G76890,    AT1G74590,            -0.804689456085,   292
AT2G31230,    AT2G13330,            0.804240416198,   293
AT1G74650,    AT2G02490,            0.804055346749,   294
AT1G30650,    AT4G28810,            0.803871922051,   295
AT1G74650,    AT4G21500,            0.803568351473,   296
AT1G30490,    AT5G17220,            -0.803449370394,   297
AT1G01720,    AT5G26920,            0.802651391771,   298
AT1G49560,    AT1G14280,            -0.802544487847,   299
AT2G22430,    AT4G16160,            0.802256411645,   300
AT2G18380,    AT4G19520,            -0.801972502831,   301
AT1G30650,    AT4G20450,            0.801522186017,   302
AT1G76890,    AT1G61800,            -0.801379046869,   303
AT1G36060,    AT1G28470,            0.80112060508,   304
AT2G23320,    AT3G46170,            -0.80084785249,   305
AT1G36060,    AT3G24400,            0.800658631978,   306
AT1G49010,    AT4G28460,            -0.800581316154,   307
AT1G34370,    AT5G35850,            0.800477706819,   308
AT1G14687,    AT2G43890,            0.799889347759,   309
AT2G18350,    AT3G24260,            -0.799807722532,   310
AT1G30650,    AT3G02150,            -0.799791606317,   311
AT2G30250,    AT2G13810,            0.799643901499,   312
AT2G23340,    AT2G38760,            -0.799191620927,   313
AT2G22430,    AT4G05240,            0.799037694631,   314
AT1G34180,    AT5G22270,            0.798940141404,   315
AT1G75240,    AT3G44840,            -0.798931309753,   316
AT1G20980,    AT5G47450,            -0.798553380631,   317
AT1G77920,    AT1G76650,            -0.797943567776,   318
AT1G49560,    AT2G37700,            -0.797290421569,   319
AT1G28470,    AT1G50640,            -0.796852310041,   320
AT1G72740,    AT1G49560,            0.796472317818,   321
AT2G30250,    AT1G27730,            0.796176523919,   322
AT1G06850,    AT5G04180,            0.796108265513,   323
AT1G55110,    AT1G26240,            0.796096095535,   324
AT1G77920,    AT1G27140,            -0.795840815206,   325
AT1G12630,    AT4G22610,            0.795785829331,   326
AT1G18330,    AT5G55240,            -0.795698364204,   327
AT1G01250,    AT2G06090,            0.795395012483,   328
AT1G12630,    AT4G36370,            0.795390190126,   329
AT2G02070,    AT1G13420,            0.794620059623,   330
AT1G34180,    AT4G37850,            -0.794555872068,   331
AT2G30250,    AT2G30750,            0.794439933725,   332
AT1G30650,    AT3G01080,            -0.793995959334,   333
AT2G31230,    AT1G12560,            -0.793972217794,   334
AT1G36060,    AT2G30890,            -0.793178036162,   335
AT1G34180,    AT1G22650,            -0.792738902119,   336
AT1G69780,    AT2G19190,            -0.792209625817,   337
AT2G30250,    AT2G43510,            0.792080846307,   338
AT1G13450,    AT1G11350,            0.791918536013,   339
AT1G74650,    AT4G16745,            0.791876651376,   340
AT1G49010,    AT3G12540,            0.791818104295,   341
AT1G12260,    AT2G14540,            0.791264313714,   342
AT1G19850,    AT2G31230,            0.791111444521,   343
AT1G36060,    AT1G32960,            0.791031584717,   344
AT1G68320,    AT2G38920,            -0.790973709824,   345
AT1G08320,    AT4G11190,            -0.790721827256,   346
AT1G14687,    AT1G49370,            0.790599508839,   347
AT1G19210,    AT5G02220,            0.790504595115,   348
AT1G77920,    AT2G30340,            0.790231188129,   349
AT2G31230,    AT1G19210,            -0.790062783581,   350
AT1G43700,    AT5G50140,            0.789319700942,   351
AT2G02070,    AT1G29670,            -0.78926849528,   352
AT1G74650,    AT5G10130,            -0.789208314504,   353
AT1G20910,    AT1G54330,            -0.788983078108,   354
AT1G68320,    AT4G17250,            0.788870380134,   355
AT1G36060,    AT1G09750,            -0.788839798628,   356
AT1G28470,    AT3G10120,            0.788769711266,   357
AT2G18060,    AT3G22710,            -0.788552793189,   358
AT1G29160,    AT1G06930,            -0.788271270108,   359
AT2G23320,    AT5G37450,            0.788220574307,   360
AT1G74650,    AT1G34670,            0.787889015023,   361
AT1G02250,    AT5G46440,            0.787173837362,   362
AT1G30650,    AT1G52610,            -0.786992520488,   363
AT1G12630,    AT5G03060,            0.786679296741,   364
AT2G18380,    AT2G16190,            -0.786507881119,   365
AT1G71450,    AT4G11480,            -0.786366938064,   366
AT2G18350,    AT2G15890,            0.78617128663,   367
AT2G02820,    AT1G76240,            0.786085144754,   368
AT1G69570,    AT2G23290,            -0.785977896096,   369
AT1G06850,    AT2G16610,            -0.785618816265,   370
AT2G23340,    AT1G33670,            -0.78535278185,   371
AT1G19850,    AT1G32350,            0.784981779718,   372
AT2G23340,    AT2G18800,            -0.784866838948,   373
AT2G18380,    AT1G02220,            0.784759414831,   374
AT2G23320,    AT4G39000,            -0.78444647617,   375
AT1G32870,    AT1G25550,            -0.784261381731,   376
AT2G20400,    AT5G52310,            -0.784057280109,   377
AT1G76890,    AT4G29710,            0.783657808953,   378
AT1G12630,    AT1G70700,            0.783408048094,   379
AT1G01250,    AT1G21250,            0.782639442593,   380
AT1G69180,    AT3G60100,            -0.782476946707,   381
AT1G02250,    AT2G06320,            -0.782380208288,   382
AT2G18380,    AT4G24040,            0.782371115,   383
AT1G19850,    AT5G66780,            0.782361410075,   384
AT1G19850,    AT1G18100,            0.782147266102,   385
AT1G74840,    AT3G51690,            -0.781863828486,   386
AT1G52150,    AT1G80730,            0.78160901991,   387
AT2G23320,    AT1G57650,            0.781393182881,   388
AT1G30650,    AT2G15090,            -0.781201366775,   389
AT1G43160,    AT1G67980,            -0.781005586627,   390
AT1G08320,    AT1G71030,            0.780916342135,   391
AT2G18380,    AT4G13810,            -0.780753836768,   392
AT2G30250,    AT4G03380,            -0.78070330196,   393
AT1G74650,    AT5G10260,            -0.780489434495,   394
AT1G76890,    AT2G33030,            0.780245213754,   395
AT1G01060,    AT5G61590,            -0.779969512952,   396
AT2G30340,    AT4G01630,            -0.77984185268,   397
AT2G20400,    AT4G30230,            0.7795715543,   398
AT1G74840,    AT3G42550,            0.779055365618,   399
AT1G12630,    AT5G14090,            -0.778296770771,   400
AT1G69010,    AT4G18375,            -0.778105233256,   401
AT1G76890,    AT2G43000,            -0.777781101372,   402
AT1G01720,    AT3G29670,            0.777217119338,   403
AT2G01940,    AT1G18330,            0.777070893222,   404
AT1G14687,    AT4G21200,            -0.776879325601,   405
AT1G55110,    AT5G01300,            0.776599018279,   406
AT1G29160,    AT1G48060,            -0.776357978434,   407
AT1G19850,    AT1G30870,            -0.776089267053,   408
AT2G18350,    AT2G15050,            0.775707606691,   409
AT1G19040,    AT4G11000,            -0.775559146658,   410
AT1G76420,    AT1G56160,            -0.775442344651,   411
AT1G76890,    AT5G15600,            0.774575688911,   412
AT1G34180,    AT1G78390,            -0.773834767635,   413
AT2G18350,    AT1G66840,            0.773716775252,   414
AT2G23340,    AT5G67060,            -0.773702418092,   415
AT1G34190,    AT1G60590,            -0.773273711081,   416
AT2G23340,    AT3G51600,            0.773181475795,   417
AT2G30250,    AT4G07330,            0.773147575444,   418
AT1G76890,    AT3G25750,            -0.772750938793,   419
AT1G68320,    AT4G30770,            -0.771966177397,   420
AT1G19850,    AT1G57590,            -0.771546083481,   421
AT1G76890,    AT5G09430,            0.771362000391,   422
AT1G12630,    AT5G44770,            0.771150847556,   423
AT2G24430,    AT5G50260,            0.770841826832,   424
AT2G01060,    AT2G41190,            -0.770582682128,   425
AT1G30650,    AT3G55790,            -0.770368505208,   426
AT1G14687,    AT2G16230,            0.770234827849,   427
AT1G43700,    AT3G12820,            0.770211969114,   428
AT1G53170,    AT1G64030,            0.769324961498,   429
AT1G68320,    AT5G14890,            0.768979282289,   430
AT2G02820,    AT3G08770,            -0.768806909649,   431
AT1G74650,    AT4G34410,            -0.768281273946,   432
AT2G02820,    AT1G66460,            0.767898554595,   433
