regulator,    target,    score,    rank
AT1G49560,    AT2G04370,            -0.998429858539,   1
AT1G20980,    AT2G46130,            0.993692950658,   2
AT1G36060,    AT2G26580,            0.99072344059,   3
AT2G02070,    AT3G08750,            0.98386614205,   4
AT1G36060,    AT3G44080,            -0.982322353674,   5
AT1G20910,    AT4G01340,            -0.967743914362,   6
AT1G76880,    AT5G50600,            0.960461314013,   7
AT2G18550,    AT5G07700,            0.956111673089,   8
AT1G46768,    AT2G14420,            -0.955265914458,   9
AT2G23290,    AT2G01930,            0.954291220611,   10
AT1G13450,    AT3G25185,            -0.953874950495,   11
AT1G54330,    AT1G55990,            0.9503590572,   12
AT1G03840,    AT3G15230,            0.949113173949,   13
AT1G19000,    AT1G18590,            -0.948517669028,   14
AT1G54330,    AT1G09390,            -0.945565023963,   15
AT1G20910,    AT2G02070,            -0.944886258377,   16
AT1G19850,    AT5G39850,            0.943925613479,   17
AT1G72740,    AT4G12430,            -0.943364386704,   18
AT1G77200,    AT1G35900,            -0.942765977178,   19
AT2G02070,    AT5G01470,            -0.942282132133,   20
AT1G12260,    AT1G77870,            -0.941562000995,   21
AT1G20910,    AT2G23340,            -0.940452252172,   22
AT2G18160,    AT3G26614,            -0.940433763807,   23
AT1G49480,    AT2G23680,            -0.940082243287,   24
AT1G19850,    AT2G34090,            0.940004243269,   25
AT1G33240,    AT1G07860,            0.93871573425,   26
AT1G59640,    AT3G55970,            0.938215875705,   27
AT1G33240,    AT4G30830,            0.938208481095,   28
AT1G20910,    AT2G40010,            0.937859259963,   29
AT1G72740,    AT4G23750,            0.937014886397,   30
AT1G09540,    AT3G42950,            -0.934304989184,   31
AT1G19850,    AT3G20240,            0.933326676996,   32
AT1G19850,    AT1G78210,            0.932816940169,   33
AT1G20910,    AT4G11650,            0.932284067491,   34
AT1G19850,    AT1G56600,            -0.931549441183,   35
AT1G59640,    AT4G39950,            0.930882201395,   36
AT1G20910,    AT4G03070,            -0.930368515473,   37
AT2G02070,    AT1G30500,            -0.928638210257,   38
AT1G69780,    AT1G79270,            0.927882139823,   39
AT1G03840,    AT5G02460,            0.927517747374,   40
AT1G20910,    AT2G25735,            0.926248100557,   41
AT1G49010,    AT5G01520,            0.925970987126,   42
AT2G18350,    AT2G26040,            0.924462300355,   43
AT1G03840,    AT1G33540,            0.92438741516,   44
AT2G02070,    AT5G07100,            -0.92414303265,   45
AT1G20980,    AT1G54330,            0.924101490785,   46
AT1G20980,    AT1G54330,            0.924101490785,   47
AT1G19850,    AT1G09660,            0.921647071292,   48
AT1G49480,    AT5G15740,            0.919897121524,   49
AT1G20910,    AT1G49480,            -0.919494041542,   50
AT1G25340,    AT2G14230,            0.918822886908,   51
AT1G28470,    AT1G18970,            0.916980853761,   52
AT1G03840,    AT4G27670,            0.916389423879,   53
AT1G59640,    AT5G06980,            -0.915847682349,   54
AT1G62300,    AT3G02940,            0.915033640138,   55
AT1G46768,    AT1G57780,            0.914849239453,   56
AT1G29280,    AT2G03500,            -0.913804433813,   57
AT1G33240,    AT1G70720,            -0.913788015581,   58
AT1G54330,    AT4G15340,            -0.913293446936,   59
AT1G19850,    AT5G66650,            0.912998464671,   60
AT1G20980,    AT5G49050,            0.912305362498,   61
AT2G28810,    AT4G03580,            0.910553724442,   62
AT1G72740,    AT4G14680,            0.910457008535,   63
AT1G19040,    AT5G53520,            -0.910045419823,   64
AT1G19850,    AT3G15990,            -0.909773949226,   65
AT1G19850,    AT3G54090,            0.909217577155,   66
AT1G54330,    AT3G45680,            -0.909096187164,   67
AT1G68670,    AT1G18330,            -0.908930204734,   68
AT1G20910,    AT5G06180,            0.908901750283,   69
AT1G32150,    AT3G18680,            0.908848168896,   70
AT1G19850,    AT5G16190,            0.908721825076,   71
AT1G22070,    AT1G53170,            -0.908532416439,   72
AT1G28470,    AT2G39330,            0.907970813533,   73
AT2G02070,    AT4G17470,            0.907701175149,   74
AT2G04038,    AT4G33610,            0.9071778068,   75
AT1G06180,    AT1G77050,            -0.906727510521,   76
AT1G44830,    AT1G73400,            0.90593824415,   77
AT1G19850,    AT3G55350,            0.905753615703,   78
AT2G02070,    AT5G35790,            -0.904997055273,   79
AT2G03500,    AT5G15830,            0.904017813555,   80
AT2G02070,    AT4G09730,            -0.903575149367,   81
AT1G34670,    AT1G21530,            -0.903116132584,   82
AT1G09540,    AT1G04940,            -0.903077216797,   83
AT1G09540,    AT4G18910,            -0.903038818564,   84
AT1G19850,    AT1G59640,            0.902656960572,   85
AT1G19850,    AT1G59640,            0.902656960572,   86
AT1G19850,    AT4G25410,            0.902535913991,   87
AT1G49480,    AT2G32510,            0.902266130371,   88
AT1G30650,    AT2G03340,            0.901878618161,   89
AT1G19000,    AT1G20910,            -0.901701574558,   90
AT1G19850,    AT1G19000,            -0.901467784311,   91
AT1G19850,    AT4G36620,            0.901122531466,   92
AT2G02070,    AT2G34650,            -0.900991800203,   93
AT1G32150,    AT5G52310,            -0.900971403095,   94
AT2G01930,    AT1G30490,            -0.900885274609,   95
AT1G33240,    AT3G50230,            -0.900832383494,   96
AT1G19850,    AT5G60200,            0.90076732161,   97
AT2G23320,    AT2G20100,            -0.900735712644,   98
AT1G74650,    AT1G70400,            0.900002565723,   99
AT2G02820,    AT2G28420,            -0.89955196291,   100
AT1G19850,    AT1G07590,            -0.899492535145,   101
AT1G19000,    AT1G43160,            0.899103731245,   102
AT1G49560,    AT1G32970,            0.898088156475,   103
AT1G33240,    AT2G23540,            -0.8978894804,   104
AT1G20910,    AT5G66370,            -0.897427736785,   105
AT2G32460,    AT1G17420,            -0.896550063446,   106
AT1G19850,    AT1G50490,            0.896467620271,   107
AT1G19850,    AT2G30840,            0.896259992606,   108
AT1G09540,    AT3G27620,            0.896218616118,   109
AT2G18550,    AT2G43530,            -0.896203091265,   110
AT1G49480,    AT5G54230,            0.896053833087,   111
AT1G09540,    AT2G20850,            -0.895763120788,   112
AT1G54330,    AT5G64060,            -0.895098238203,   113
AT2G30340,    AT2G14250,            0.89477329273,   114
AT1G77200,    AT4G03100,            0.894662570554,   115
AT1G02250,    AT1G61450,            -0.893925055331,   116
AT1G51140,    AT3G14820,            0.893914346161,   117
AT2G30340,    AT1G20070,            -0.893827864031,   118
AT1G76880,    AT2G16820,            -0.89373051524,   119
AT1G20910,    AT2G38810,            0.89315871205,   120
AT2G18550,    AT5G55250,            0.891844137301,   121
AT1G51140,    AT4G08590,            -0.89134413891,   122
AT2G01060,    AT1G09350,            -0.890981221413,   123
AT1G43160,    AT1G30960,            -0.890861259503,   124
AT2G01930,    AT1G14730,            0.890586395102,   125
AT1G33240,    AT3G28580,            -0.890277665611,   126
AT1G68550,    AT2G18640,            0.889819177905,   127
AT1G19000,    AT3G62410,            -0.888859939743,   128
AT1G20910,    AT3G49620,            0.886934796584,   129
AT1G19040,    AT1G09540,            -0.886644699126,   130
AT1G19850,    AT3G22840,            -0.885442493933,   131
AT1G43160,    AT1G21100,            -0.884630913649,   132
AT1G01720,    AT5G65870,            -0.884453494671,   133
