regulator,    target,    score,    rank
AT2G18160,    AT1G53420,            0.992792870997,   1
AT2G02080,    AT2G34110,            -0.977891942444,   2
AT2G01060,    AT1G74760,            -0.969957495954,   3
AT2G02080,    AT5G23640,            -0.969371583831,   4
AT1G09540,    AT2G24600,            -0.968838119181,   5
AT1G76890,    AT1G69920,            -0.967845327303,   6
AT2G23320,    AT3G14850,            -0.96775996749,   7
AT1G33240,    AT5G59580,            -0.967076791172,   8
AT1G22810,    AT1G30870,            -0.964999530692,   9
AT1G53230,    AT1G52220,            -0.963874472454,   10
AT1G09540,    AT4G31950,            -0.962649464664,   11
AT1G09540,    AT1G51700,            -0.961338818267,   12
AT2G23320,    AT5G26655,            -0.96115296258,   13
AT1G53230,    AT3G12160,            -0.959983469123,   14
AT2G01060,    AT2G23340,            -0.953184402705,   15
AT2G01060,    AT2G23340,            -0.953184402705,   16
AT2G24430,    AT1G53160,            -0.947042975798,   17
AT2G18160,    AT5G16430,            0.944823036934,   18
AT1G69490,    AT5G37540,            -0.943480427441,   19
AT2G23340,    AT1G78070,            0.942521247624,   20
AT2G24430,    AT3G45700,            0.941703583419,   21
AT1G28370,    AT5G58680,            0.939849748116,   22
AT2G20400,    AT1G65180,            -0.939706917601,   23
AT1G19850,    AT5G48360,            0.939103402119,   24
AT2G23320,    AT5G07760,            0.938758214967,   25
AT1G74650,    AT2G43530,            0.938499134429,   26
AT1G34370,    AT1G35555,            -0.938364603361,   27
AT2G23340,    AT4G08450,            0.935516609004,   28
AT1G20910,    AT4G01070,            -0.935175605723,   29
AT1G46768,    AT5G15800,            -0.934612041503,   30
AT2G23340,    AT5G15180,            0.933405839738,   31
AT2G23320,    AT1G28190,            0.933200837408,   32
AT2G23340,    AT2G23320,            -0.932855469726,   33
AT1G49560,    AT2G34100,            0.93273415843,   34
AT2G23340,    AT1G33240,            0.931153071772,   35
AT1G28370,    AT4G12330,            -0.930909431496,   36
AT2G23340,    AT5G01210,            0.930613651492,   37
AT1G32150,    AT5G58580,            -0.930272950486,   38
