regulator,    target,    score,    rank
AT2G03340,    AT2G42000,            -0.984879907275,   1
AT1G50640,    AT4G07540,            -0.983851709394,   2
AT1G77920,    AT2G46680,            0.981444497269,   3
AT1G02250,    AT3G47160,            0.979383508153,   4
AT1G77920,    AT5G13200,            0.978977995949,   5
AT1G77920,    AT4G13120,            -0.978173673815,   6
AT1G52150,    AT3G51810,            0.978075943763,   7
AT1G49010,    AT1G69260,            -0.977957293649,   8
AT1G69490,    AT2G33130,            0.977705584003,   9
AT1G75240,    AT3G55940,            -0.97654734062,   10
AT1G55110,    AT4G23820,            -0.975310324942,   11
AT1G52150,    AT5G65730,            -0.973661470051,   12
AT1G77920,    AT5G57050,            0.972859512537,   13
AT1G64620,    AT5G50915,            0.972620221641,   14
AT1G33240,    AT4G02360,            -0.971454516138,   15
AT1G62300,    AT5G09530,            0.97040765354,   16
AT1G33240,    AT1G77200,            -0.968190332732,   17
AT1G77920,    AT2G28840,            0.96715426309,   18
AT1G77920,    AT1G11850,            -0.967044542984,   19
AT2G20110,    AT1G22990,            -0.966891437786,   20
AT2G02820,    AT1G64660,            -0.96652564621,   21
AT1G01720,    AT1G01480,            0.965599194474,   22
AT1G52150,    AT1G35720,            0.964938432468,   23
AT1G52150,    AT1G47960,            0.964359177515,   24
AT2G02450,    AT2G33330,            0.964198800184,   25
AT2G20110,    AT5G01300,            -0.963920919034,   26
AT2G20110,    AT2G06850,            0.963396442318,   27
AT1G69010,    AT1G54160,            0.963079171873,   28
AT1G55110,    AT3G22200,            0.962704333354,   29
AT1G49010,    AT1G29660,            0.962486105076,   30
AT1G64620,    AT4G02280,            -0.962338629064,   31
AT2G02450,    AT3G06750,            0.962319568843,   32
AT1G34190,    AT1G01250,            0.962243971672,   33
AT1G34190,    AT1G01250,            0.962243971672,   34
AT1G77920,    AT5G51550,            -0.961474155491,   35
AT1G77920,    AT1G07430,            0.961136770463,   36
AT1G75240,    AT4G30610,            0.959571777795,   37
AT2G01060,    AT5G66230,            -0.958504058776,   38
AT1G75240,    AT1G51140,            -0.957854708302,   39
AT1G75240,    AT1G51140,            -0.957854708302,   40
AT2G20110,    AT3G57010,            -0.957845747469,   41
AT1G77920,    AT3G61890,            0.957716390374,   42
AT1G52150,    AT4G01610,            0.957374861769,   43
AT1G75240,    AT2G47670,            -0.957215369852,   44
AT2G20110,    AT3G26520,            0.957146463577,   45
AT1G75240,    AT4G33700,            -0.957116759661,   46
AT1G33240,    AT4G37800,            0.957044570851,   47
AT1G52150,    AT5G53870,            0.956768723523,   48
AT1G77920,    AT1G23040,            0.956730848419,   49
AT2G02820,    AT4G38660,            0.956643582923,   50
AT1G06850,    AT5G44130,            0.956583189915,   51
AT2G20110,    AT1G68570,            -0.956558785382,   52
AT1G69570,    AT1G12845,            -0.956548696768,   53
AT1G77920,    AT1G75240,            -0.955740127373,   54
AT1G49010,    AT3G14560,            -0.955366629937,   55
AT1G52150,    AT4G12470,            -0.954582810348,   56
AT2G20110,    AT1G77920,            -0.953962472218,   57
AT1G77920,    AT2G20110,            -0.953962472218,   58
AT2G20110,    AT5G67080,            -0.953701613538,   59
AT1G77920,    AT4G21440,            0.953522693703,   60
AT1G75240,    AT2G43590,            -0.953164736642,   61
AT1G77920,    AT1G74670,            -0.952979026536,   62
AT1G77920,    AT1G55760,            0.952941389676,   63
AT2G02070,    AT2G41580,            0.952678656164,   64
AT1G75240,    AT4G23450,            -0.952527591792,   65
AT1G69010,    AT5G04770,            -0.952454049866,   66
AT2G20110,    AT1G52150,            -0.952212224823,   67
AT1G77920,    AT3G09910,            0.951797455921,   68
AT1G77920,    AT4G25080,            -0.95135900937,   69
AT1G33240,    AT1G66230,            0.951341067574,   70
AT1G77920,    AT1G69530,            -0.95098898657,   71
AT1G49010,    AT4G21870,            0.950834532432,   72
AT1G06850,    AT1G04040,            0.950748154513,   73
AT1G52150,    AT5G47550,            0.950370246257,   74
AT1G77920,    AT5G25110,            0.950190274471,   75
AT1G77920,    AT1G29395,            0.950102024352,   76
AT1G52150,    AT4G19810,            0.950067569302,   77
AT1G77920,    AT4G17470,            0.949927727908,   78
AT1G77920,    AT1G18710,            0.949802511647,   79
AT2G20110,    AT5G23020,            0.949745106302,   80
AT2G20110,    AT1G58270,            -0.949413475119,   81
AT1G49010,    AT1G11270,            -0.949187222993,   82
AT1G68550,    AT1G75040,            0.949087617455,   83
AT1G51140,    AT5G48490,            -0.948423862962,   84
AT1G75240,    AT3G17520,            -0.948303555765,   85
AT1G33240,    AT4G37770,            0.948145510501,   86
AT1G01720,    AT5G50360,            0.9480045866,   87
AT1G12610,    AT5G25280,            -0.948001997181,   88
AT1G75240,    AT3G28040,            0.947988269052,   89
AT1G53910,    AT4G16985,            -0.947794089353,   90
AT1G52150,    AT1G69870,            0.94679370731,   91
AT1G64620,    AT3G12150,            0.946648779361,   92
AT1G33240,    AT4G03820,            -0.946397567893,   93
AT1G49010,    AT5G04190,            0.946396551978,   94
AT1G77920,    AT3G57540,            0.94635785519,   95
AT1G77920,    AT4G18970,            -0.946241299112,   96
AT1G52150,    AT4G14020,            0.945577122758,   97
AT1G52150,    AT3G03840,            -0.945519502145,   98
AT1G53910,    AT3G10720,            -0.945067813638,   99
AT2G20110,    AT2G22590,            -0.944558781179,   100
AT1G77920,    AT2G38310,            -0.944249834298,   101
AT1G52150,    AT4G17030,            0.943654718766,   102
AT1G77920,    AT5G01880,            0.943017332748,   103
AT1G34190,    AT1G33240,            -0.942968910934,   104
AT2G20110,    AT2G42790,            -0.942461632268,   105
AT1G06850,    AT1G02640,            0.942424211045,   106
AT2G28810,    AT1G15100,            0.94241507304,   107
AT1G52150,    AT5G52450,            0.942345610254,   108
AT1G69010,    AT4G14090,            0.942211290581,   109
AT1G77200,    AT5G61820,            0.94167869108,   110
AT1G77920,    AT1G05100,            0.94111046248,   111
AT1G53910,    AT4G12730,            -0.941030593896,   112
AT1G75240,    AT2G34810,            -0.940970351828,   113
AT1G75240,    AT2G35300,            -0.940897231021,   114
AT1G69570,    AT3G17610,            0.940367748469,   115
AT1G75240,    AT5G22860,            -0.939799364378,   116
AT1G52150,    AT1G10470,            -0.939711832613,   117
