regulator,    target,    score,    rank
AT2G01940,    AT1G74760,            0.996041210412,   1
AT2G20110,    AT2G02070,            0.993367914059,   2
AT2G32460,    AT1G61950,            0.990965958265,   3
AT1G09540,    AT2G13310,            -0.984824234383,   4
AT1G65910,    AT1G14730,            -0.983843713716,   5
AT1G65910,    AT4G19810,            -0.976717953059,   6
AT1G22070,    AT1G64110,            0.975906083618,   7
AT1G68670,    AT3G52620,            0.975373446377,   8
AT2G32460,    AT5G29080,            -0.973129935924,   9
AT1G06850,    AT1G08320,            -0.972980005965,   10
AT2G01940,    AT4G14630,            0.972838928222,   11
AT1G78700,    AT2G10780,            0.970353765833,   12
AT2G01940,    AT1G21890,            -0.969979885878,   13
AT1G22810,    AT2G13920,            0.969945420968,   14
AT1G65910,    AT1G67110,            0.969674868083,   15
AT2G20110,    AT2G03090,            0.968971402651,   16
AT1G52880,    AT4G19230,            0.966108553465,   17
AT1G74650,    AT3G46230,            0.96507992019,   18
AT1G79180,    AT5G67040,            0.963899612374,   19
AT2G20110,    AT3G57520,            -0.963567973327,   20
AT2G02070,    AT4G03210,            0.963126300137,   21
AT2G01940,    AT2G18380,            0.962514125975,   22
AT2G18380,    AT5G66400,            -0.962127949277,   23
AT1G69780,    AT4G36770,            0.961671871034,   24
AT1G74650,    AT5G58750,            -0.961501326549,   25
AT1G30490,    AT4G28530,            0.961326741998,   26
AT1G06850,    AT5G13170,            -0.960800374037,   27
AT1G68320,    AT3G21720,            0.960720441556,   28
AT1G65910,    AT1G48000,            -0.959854777996,   29
AT1G69490,    AT4G02280,            0.958902485594,   30
AT1G08320,    AT2G37870,            0.958488450817,   31
AT2G01940,    AT1G78120,            0.95844202994,   32
AT1G08320,    AT5G05630,            -0.957802744133,   33
AT2G02080,    AT1G78970,            -0.957723476168,   34
AT1G03840,    AT1G64660,            -0.957540349407,   35
AT2G20110,    AT1G13420,            0.956613972138,   36
AT1G77920,    AT2G39220,            -0.95631838356,   37
AT2G20110,    AT2G26690,            -0.95630601785,   38
AT1G65910,    AT1G03790,            -0.956149291891,   39
AT1G28470,    AT5G28520,            0.955968794169,   40
AT1G78700,    AT1G77200,            0.955918418434,   41
AT1G78700,    AT1G77200,            0.955918418434,   42
AT2G20110,    AT2G40610,            0.955720488789,   43
AT1G69490,    AT1G04680,            -0.95570213747,   44
AT1G77920,    AT4G30270,            0.955342869731,   45
