regulator,    target,    score,    rank
AT1G27730,    AT4G27652,            0.971952144408,   1
AT1G62300,    AT2G10650,            0.971260193364,   2
AT1G25340,    AT5G03310,            -0.965534865623,   3
AT1G16490,    AT3G11370,            0.961320214772,   4
AT1G30490,    AT2G13900,            0.957387392899,   5
AT1G27730,    AT3G62720,            0.955308717397,   6
AT1G30210,    AT1G53230,            0.953641480901,   7
AT1G01060,    AT1G61410,            0.944765439597,   8
AT1G70920,    AT1G62490,            -0.943565397753,   9
AT1G44830,    AT4G35210,            0.93620198103,   10
AT1G32870,    AT2G15070,            0.933396571314,   11
AT2G26960,    AT3G29500,            0.930942210459,   12
AT1G29160,    AT2G23290,            -0.92747888764,   13
AT1G72740,    AT5G64590,            -0.927279283237,   14
AT2G23290,    AT3G50060,            0.926992860904,   15
AT1G20980,    AT3G28630,            0.926345153153,   16
AT1G29860,    ATMG00320,            0.925706767705,   17
AT1G12630,    AT1G07330,            -0.925143376526,   18
AT1G72740,    AT2G41010,            0.925081583263,   19
AT1G28370,    AT4G24570,            0.916827499387,   20
AT2G23290,    AT2G41640,            0.91607023491,   21
AT1G27730,    AT4G14090,            -0.914274549197,   22
AT1G50640,    AT1G25400,            0.91346917749,   23
AT2G18060,    AT1G09070,            -0.908366433362,   24
AT2G18350,    AT1G66490,            0.907592445475,   25
AT2G22540,    AT5G54070,            0.907494016368,   26
AT1G50640,    AT4G29780,            0.906149941049,   27
AT1G28470,    AT2G43530,            0.90593853654,   28
AT1G14687,    AT3G57250,            -0.905492458906,   29
AT1G19210,    AT2G03540,            0.905047209219,   30
AT1G74840,    AT1G62320,            -0.903182659432,   31
AT2G28810,    AT1G55390,            -0.902951181401,   32
AT2G02450,    AT1G52790,            0.902877849268,   33
AT1G27730,    AT2G35710,            0.902680336244,   34
AT2G15740,    AT3G55840,            -0.902585271205,   35
AT1G30490,    AT2G01300,            -0.899867964261,   36
AT1G69180,    AT2G27620,            0.899562453847,   37
AT1G25340,    AT2G10370,            0.899438750501,   38
AT1G30650,    AT5G57190,            -0.899231926556,   39
AT1G52150,    ATMG00660,            -0.899047974421,   40
AT1G29160,    AT1G77640,            -0.898204550347,   41
AT1G29160,    AT1G79180,            0.898104082827,   42
AT1G13260,    AT1G05800,            0.897392130434,   43
AT1G50640,    AT1G17420,            0.896787493743,   44
AT1G19210,    AT2G01940,            0.892533259227,   45
AT1G19850,    AT3G48580,            0.890482356058,   46
AT1G47655,    AT3G63020,            -0.889693172571,   47
AT1G52880,    AT1G61890,            -0.888944026007,   48
AT1G49560,    AT5G09490,            -0.887949699104,   49
AT1G50640,    AT3G04640,            0.886881044276,   50
AT2G01940,    AT5G46200,            -0.884677244493,   51
AT2G28810,    AT2G32150,            -0.884396524203,   52
AT2G32460,    AT4G24030,            -0.882966279556,   53
AT1G22070,    AT2G23030,            0.882964138437,   54
AT1G69010,    AT2G21655,            0.880690446213,   55
AT2G02070,    AT3G61640,            0.880529716091,   56
AT1G50640,    AT1G09950,            0.879602026143,   57
AT1G27730,    AT3G16860,            0.878101168636,   58
AT1G46768,    AT3G16970,            0.8780951579,   59
AT1G19210,    AT5G58680,            0.876880442686,   60
AT2G22430,    AT5G49690,            0.876622285257,   61
AT1G16490,    AT3G21720,            -0.874948579294,   62
AT1G50640,    AT1G53170,            0.874823774419,   63
AT2G30250,    AT5G22380,            0.872631547587,   64
AT2G01930,    AT1G41930,            -0.871769588831,   65
AT2G18350,    AT3G06890,            -0.871547935686,   66
AT1G27730,    AT4G36500,            0.871469621095,   67
AT2G22430,    AT1G78700,            -0.871242458683,   68
AT1G34180,    AT3G62750,            0.870618057927,   69
AT1G27730,    AT3G14440,            0.868993970339,   70
AT1G52880,    AT5G47220,            -0.868895284537,   71
AT1G75240,    AT2G42050,            0.86845259494,   72
AT1G13260,    AT1G69780,            -0.86664875972,   73
AT1G29160,    AT5G45340,            -0.866621792966,   74
AT2G02070,    AT4G15210,            -0.866226355329,   75
AT1G53170,    AT3G15200,            0.86529342733,   76
AT2G28810,    AT1G78070,            -0.865090434081,   77
AT1G30490,    AT1G76040,            -0.864967126663,   78
AT1G01720,    AT4G35180,            0.864495005781,   79
AT1G19210,    AT5G43890,            0.862282943922,   80
AT1G71450,    AT1G28370,            0.861987313802,   81
AT1G71450,    AT1G28370,            0.861987313802,   82
AT2G28810,    AT3G09940,            -0.861422526685,   83
AT1G30490,    AT5G51950,            -0.861382287001,   84
AT1G12610,    AT5G65300,            0.860650683669,   85
AT1G14687,    AT2G31590,            0.860354791511,   86
AT1G09540,    AT2G29150,            0.860114509098,   87
AT2G18350,    AT4G22800,            0.860080592766,   88
AT1G27730,    AT1G72740,            0.859773855721,   89
AT2G02080,    AT1G34510,            -0.859559806346,   90
AT2G23320,    AT1G61820,            0.859055876002,   91
AT1G50640,    AT1G17620,            0.858958837903,   92
AT1G29160,    AT3G57900,            0.858561147057,   93
AT1G30650,    AT1G73080,            -0.858281475645,   94
AT2G03500,    AT5G16970,            0.857610571528,   95
AT1G13260,    AT3G53600,            0.85550388829,   96
AT2G03500,    AT1G47990,            0.855488605505,   97
AT2G28810,    AT5G67080,            -0.855054131902,   98
AT1G27730,    AT1G09930,            0.854914777854,   99
AT1G75240,    AT5G27180,            -0.854810396524,   100
AT1G19000,    AT1G26730,            -0.854537859626,   101
AT2G28810,    AT5G42650,            -0.854504960626,   102
AT2G23290,    AT5G59550,            0.854144756675,   103
AT1G01720,    AT5G52050,            0.852695870366,   104
AT1G29160,    AT2G03500,            0.851965701066,   105
AT1G13260,    AT1G26400,            0.851645223914,   106
AT1G43160,    AT3G29670,            0.851404559743,   107
AT2G28810,    AT2G02680,            -0.851328665452,   108
AT1G34370,    AT2G17160,            0.850712972371,   109
AT1G30490,    AT1G52880,            0.850525832943,   110
AT1G52880,    AT1G30490,            0.850525832943,   111
AT1G77920,    AT3G30330,            0.850447041745,   112
AT2G22540,    AT1G75390,            -0.849430695166,   113
AT1G01720,    AT3G43250,            0.849182412538,   114
AT2G02070,    AT5G39610,            -0.84914579398,   115
AT1G72740,    AT1G73540,            0.847854612811,   116
AT2G23320,    AT3G15500,            0.846554024933,   117
AT1G28370,    AT2G03850,            -0.846195842515,   118
AT2G18060,    AT5G38700,            -0.845863137718,   119
AT2G23290,    AT5G26920,            0.845778787067,   120
AT1G29160,    AT3G49620,            0.845736117875,   121
AT2G18060,    AT2G35930,            -0.844989580956,   122
AT2G30340,    AT2G13310,            0.844380556359,   123
AT1G13260,    AT2G25500,            0.844248602968,   124
AT2G23320,    AT3G61810,            -0.843962198765,   125
AT1G53170,    AT2G44840,            0.843354754479,   126
AT2G01940,    AT5G23840,            -0.842467362634,   127
AT2G28810,    AT1G49560,            0.842446190917,   128
AT1G44830,    AT2G30690,            0.842109448684,   129
AT2G23290,    AT5G17350,            0.841926507503,   130
AT1G19000,    AT3G01500,            -0.841719552655,   131
AT2G23290,    AT3G14700,            -0.841707443056,   132
AT1G01250,    AT3G25450,            0.841391757873,   133
AT1G52880,    AT5G41080,            -0.840802957556,   134
AT1G53230,    AT4G26020,            -0.840392254876,   135
AT1G34180,    AT1G65310,            -0.839854338181,   136
AT2G18350,    AT4G35770,            0.838859891816,   137
AT1G27730,    AT5G54720,            0.83837273071,   138
AT1G13260,    AT1G18220,            -0.838033400978,   139
AT2G18350,    AT1G75830,            0.837690110493,   140
AT1G50640,    AT1G72790,            0.837121655407,   141
