regulator,    target,    score,    rank
AT1G70920,    AT5G49750,            0.980191422611,   1
AT1G68320,    AT5G34460,            -0.977862469699,   2
AT1G19000,    AT2G03850,            0.972611459363,   3
AT2G01940,    AT3G47740,            0.968187493855,   4
AT1G30650,    AT3G19550,            0.968168840628,   5
AT2G03340,    AT5G14550,            0.963084192569,   6
AT2G26960,    AT3G51540,            0.957703605543,   7
AT2G18380,    AT2G30925,            -0.954776949896,   8
AT1G70920,    AT5G35880,            0.945157077348,   9
AT1G22810,    AT3G45940,            0.937345531851,   10
AT1G68320,    AT2G25930,            -0.929195644872,   11
AT1G34180,    AT1G19060,            -0.928670148951,   12
AT1G20910,    AT1G60980,            0.928184596763,   13
AT1G18330,    AT2G25900,            0.927780201744,   14
AT1G55110,    AT5G09630,            -0.926302493916,   15
AT2G18550,    AT2G22350,            0.924132698235,   16
AT2G23340,    AT1G22335,            -0.922441481154,   17
AT1G32150,    AT1G10760,            -0.922308483064,   18
AT1G68320,    AT5G25190,            0.918712215621,   19
AT1G50640,    AT3G63060,            0.918250452731,   20
AT1G80840,    AT5G05420,            0.915792294667,   21
AT1G75390,    AT1G70950,            0.913700361316,   22
AT1G68320,    AT2G27395,            0.913599476579,   23
AT1G49560,    AT2G45560,            0.912590559113,   24
AT1G80840,    AT1G76650,            0.91079590597,   25
AT1G72740,    AT1G69780,            -0.909387050865,   26
AT2G01940,    AT4G39890,            -0.908801685957,   27
AT1G68320,    AT1G69570,            0.907826873629,   28
AT1G22810,    AT2G13310,            -0.906211714696,   29
AT1G32150,    AT5G62360,            -0.90526857227,   30
AT1G46768,    AT5G39410,            -0.904859680899,   31
AT1G68670,    AT2G46830,            0.904425199113,   32
AT1G68320,    AT5G15830,            0.903455409548,   33
AT1G32150,    AT5G28200,            0.901522265958,   34
AT1G69780,    AT5G18470,            -0.900295254003,   35
AT1G06850,    AT3G14310,            -0.899687360772,   36
AT1G33240,    AT2G15390,            -0.897400360878,   37
AT1G68320,    AT3G46970,            -0.896348612954,   38
AT1G09540,    AT2G42630,            -0.896118425008,   39
AT1G68320,    AT1G01060,            0.8956190218,   40
AT1G68320,    AT1G01060,            0.8956190218,   41
AT2G23320,    AT5G22250,            0.8955978116,   42
AT1G74840,    AT3G16970,            0.895296681467,   43
AT1G32150,    AT5G39660,            0.894977012846,   44
AT1G77200,    AT4G11280,            0.894119131083,   45
AT2G20110,    AT1G20823,            0.893997305935,   46
AT1G68320,    AT5G52250,            0.893419121305,   47
AT1G68320,    AT5G23240,            -0.892231612,   48
AT2G03340,    AT1G14540,            -0.891757581284,   49
AT1G16490,    AT4G19780,            0.891378113373,   50
AT1G49480,    AT3G21890,            -0.890748472964,   51
AT1G68320,    AT3G52180,            -0.890361404714,   52
AT1G69010,    AT2G21320,            0.890117468743,   53
AT1G69010,    AT1G02820,            0.889065711428,   54
AT1G68320,    AT1G49230,            -0.888430275388,   55
AT2G01940,    AT1G77450,            -0.887750914863,   56
AT1G69780,    AT4G24960,            -0.887555242612,   57
AT1G25340,    AT5G07880,            0.88614729789,   58
AT1G27730,    AT2G44840,            0.885992784636,   59
AT2G28810,    AT2G15740,            -0.884474870602,   60
AT2G18160,    AT5G59220,            -0.883756403477,   61
AT1G51700,    AT3G01310,            -0.883335152345,   62
AT1G19210,    AT5G06760,            0.883222476778,   63
AT1G49480,    AT4G33980,            0.88311546882,   64
AT1G68320,    AT1G19370,            -0.882818798023,   65
AT1G34370,    AT3G24280,            -0.88267509541,   66
AT1G44830,    AT5G23730,            0.88248830894,   67
AT2G28810,    AT4G33700,            0.88185062842,   68
AT2G04038,    AT1G42710,            -0.881246558737,   69
AT2G20110,    AT1G28370,            0.880883271732,   70
AT2G20110,    AT1G28370,            0.880883271732,   71
AT1G80840,    AT2G41860,            0.880841806499,   72
AT1G72740,    AT2G36050,            -0.880626896288,   73
AT1G32150,    AT1G56300,            -0.880475632118,   74
AT1G16490,    ATMG00710,            0.87871044299,   75
AT1G71450,    AT4G16820,            0.878690272792,   76
AT1G72740,    AT5G64870,            0.878325450525,   77
AT1G77200,    AT1G19380,            0.878158567105,   78
AT1G74840,    AT2G18700,            0.876049798369,   79
AT1G77200,    AT4G24110,            0.875681353234,   80
AT1G70920,    AT4G16590,            -0.875594265379,   81
AT1G28370,    AT3G25780,            0.875175976197,   82
AT1G49480,    AT1G01530,            -0.873827222444,   83
AT1G49560,    AT5G26570,            0.87296926777,   84
AT1G54330,    AT4G04170,            0.871954723387,   85
AT1G28370,    AT1G16130,            0.871716971163,   86
AT1G22810,    AT2G22450,            -0.871686530641,   87
AT1G22070,    AT3G22840,            -0.871196417128,   88
AT1G64620,    AT1G75240,            0.870229115243,   89
AT1G77920,    AT5G52570,            -0.868421417048,   90
AT1G69780,    AT1G55450,            -0.868185488547,   91
AT1G32150,    AT4G16146,            -0.867992598605,   92
AT2G27300,    AT3G43020,            -0.867698731758,   93
AT1G14687,    AT2G47180,            -0.867109262615,   94
AT1G25550,    AT1G27730,            0.865806875627,   95
AT1G25550,    AT1G27730,            0.865806875627,   96
AT1G75240,    AT4G05330,            -0.864761584745,   97
AT1G76420,    AT3G62180,            0.864708047398,   98
AT1G32150,    AT5G64860,            -0.864310101429,   99
AT1G76890,    AT5G02570,            -0.864050154683,   100
AT2G28810,    AT1G64890,            0.863958200146,   101
AT1G72740,    AT1G69690,            -0.863599458927,   102
AT2G01060,    AT1G51700,            -0.86326504502,   103
AT2G01060,    AT1G51700,            -0.86326504502,   104
AT1G51700,    AT1G33960,            -0.862729631967,   105
AT2G01940,    AT1G33240,            0.860909502696,   106
AT1G80840,    AT2G25735,            0.860281061425,   107
AT1G06850,    AT3G62260,            0.860215718352,   108
AT1G69780,    AT2G22500,            -0.859860592409,   109
AT1G75240,    AT4G04330,            -0.85878584274,   110
AT1G49480,    AT2G37130,            0.857685201264,   111
AT2G18380,    AT4G03290,            0.856102022264,   112
AT2G02450,    AT3G15210,            0.856058319355,   113
AT1G25550,    AT1G22190,            0.855878071178,   114
AT1G68320,    AT5G06570,            0.855628766998,   115
AT1G77920,    AT3G55970,            0.855582678307,   116
AT1G13260,    AT2G28085,            -0.854800652905,   117
AT2G20110,    AT4G23190,            0.854748760649,   118
AT1G72740,    AT5G14640,            0.853969221593,   119
AT1G01060,    AT1G12610,            0.853761496306,   120
AT1G01060,    AT1G12610,            0.853761496306,   121
AT1G25550,    AT5G45340,            0.853552491883,   122
AT1G75240,    AT3G18080,            -0.853506932763,   123
AT1G49480,    AT3G47500,            -0.853444087598,   124
AT1G49480,    AT3G14440,            -0.853434000561,   125
AT1G72740,    AT5G66210,            0.853322386893,   126
AT1G68320,    AT4G03320,            -0.853018006149,   127
AT1G64620,    AT4G30770,            0.852981494251,   128
AT1G77200,    AT3G56880,            0.852059566354,   129
AT1G25340,    AT1G23580,            0.852055385554,   130
AT2G28810,    AT1G44830,            -0.852006140992,   131
AT1G72740,    AT4G39670,            0.851997068855,   132
AT1G72740,    AT2G02450,            0.851918903524,   133
AT1G77920,    AT4G17100,            0.851893993737,   134
AT1G77920,    AT5G67480,            0.851318826404,   135
AT1G49560,    AT4G18720,            -0.850434342631,   136
AT1G49560,    AT1G74890,            -0.850388705121,   137
AT1G80840,    AT1G53170,            0.850160628711,   138
AT1G80840,    AT1G53170,            0.850160628711,   139
AT1G27730,    AT2G46940,            0.850108828992,   140
AT1G28370,    AT5G67300,            0.850033942694,   141
AT1G34180,    AT5G14980,            -0.849077130114,   142
AT1G77920,    AT4G25490,            -0.848964326597,   143
AT2G01060,    AT3G10930,            -0.848738992439,   144
AT2G20110,    AT1G64380,            0.84864905506,   145
AT1G77920,    AT5G22390,            -0.847875468117,   146
AT1G77200,    AT2G19640,            0.847653265036,   147
AT1G49480,    AT3G07490,            -0.84757141147,   148
AT2G27300,    AT3G23460,            -0.847478735474,   149
AT2G22540,    AT1G24390,            0.847321994922,   150
AT1G25340,    AT5G54070,            0.846647762897,   151
AT1G19210,    AT1G01520,            0.845974694444,   152
AT1G53910,    AT5G63810,            0.845141712037,   153
AT2G01930,    AT1G18330,            0.844891770675,   154
AT2G01930,    AT1G18330,            0.844891770675,   155
AT1G75240,    AT1G10370,            0.844755219383,   156
AT1G29160,    AT5G49700,            -0.844172318503,   157
AT1G06850,    AT4G27140,            0.843906466976,   158
AT1G77200,    AT2G41010,            0.843878204287,   159
AT1G49560,    AT4G31760,            -0.843834004151,   160
AT1G20910,    AT2G27080,            0.84337606328,   161
AT1G75240,    AT2G47890,            -0.842883284607,   162
AT1G77920,    AT2G28810,            0.842477991801,   163
AT2G18160,    AT1G52880,            -0.841647405114,   164
AT1G49480,    AT2G34230,            -0.840550529498,   165
AT1G22070,    AT5G61380,            0.840024559589,   166
AT1G18330,    AT5G25430,            0.839851390412,   167
AT1G80840,    AT1G22500,            -0.839365472993,   168
AT1G77200,    AT3G02140,            0.839279668843,   169
AT1G80840,    AT2G20880,            0.838997832183,   170
AT1G18330,    AT2G32100,            0.838423255727,   171
AT1G72740,    AT4G02380,            0.837958477683,   172
AT1G01720,    AT2G24350,            -0.836561597482,   173
AT2G18550,    AT4G03050,            0.835452787869,   174
AT2G23320,    AT2G37430,            0.83544691529,   175
AT1G19210,    AT5G54300,            0.833795953295,   176
AT1G69690,    AT1G65400,            -0.833612230252,   177
AT1G75240,    AT1G74010,            -0.833519763932,   178
AT1G14687,    AT5G45820,            -0.83330699312,   179
AT1G77920,    AT4G24570,            -0.832395293218,   180
AT1G75240,    AT5G46795,            0.832232992735,   181
AT2G20110,    AT4G21390,            0.831792387948,   182
AT1G75240,    AT2G24540,            0.831613132262,   183
AT2G18380,    AT3G31410,            0.831331212856,   184
AT1G80840,    AT1G78070,            0.831221314431,   185
AT1G80840,    AT1G77200,            0.831055971577,   186
AT1G77200,    AT1G80840,            0.831055971577,   187
AT1G77200,    AT1G80840,            0.831055971577,   188
AT1G68320,    AT1G69830,            -0.830520172819,   189
AT1G75390,    AT5G57660,            0.830403426113,   190
AT1G54330,    AT5G58360,            -0.830266505333,   191
AT1G69010,    AT2G19420,            0.829855152965,   192
AT2G01060,    AT1G73500,            -0.829392673927,   193
AT1G72740,    AT3G57450,            0.829311936588,   194
AT1G28370,    AT3G04640,            0.828907481445,   195
AT1G51700,    AT1G70985,            0.828742212797,   196
AT1G06850,    AT5G51190,            0.828109651491,   197
AT1G72740,    AT1G13700,            -0.827613283959,   198
AT1G68320,    AT1G02340,            0.827437882787,   199
AT2G01940,    AT4G09860,            0.827134126875,   200
AT1G72740,    AT3G17690,            0.826305418516,   201
AT2G18380,    AT3G15440,            0.826164051948,   202
AT1G34670,    AT5G33250,            0.826072817895,   203
AT1G49480,    AT4G32340,            0.822900900466,   204
AT2G02820,    AT3G12320,            -0.822438854237,   205
AT1G74650,    AT2G14950,            0.822013934914,   206
AT2G20110,    AT2G32030,            0.821970895438,   207
AT1G68320,    AT2G15490,            -0.821687345522,   208
AT1G18330,    AT1G33055,            0.821528789448,   209
AT1G25340,    AT5G24550,            0.821239219355,   210
AT2G01060,    AT3G23920,            -0.821140580623,   211
AT2G15740,    AT1G36600,            0.821049017834,   212
AT1G72740,    AT2G40140,            0.820069380454,   213
AT1G32150,    AT5G17300,            0.819968261764,   214
AT1G34670,    AT1G04660,            0.819686914939,   215
AT1G69010,    AT1G24060,            0.819028675362,   216
AT1G69180,    AT2G02120,            0.818935744266,   217
AT1G80840,    AT2G23320,            0.818598650626,   218
AT1G28160,    AT3G55840,            0.818590620676,   219
AT1G49480,    AT3G27170,            -0.818567643566,   220
AT1G30650,    AT2G29490,            0.818247431521,   221
AT2G03500,    AT1G19000,            -0.818162037053,   222
AT1G77920,    AT3G47420,            -0.817639748432,   223
AT2G18550,    AT5G42180,            0.817621889565,   224
AT1G22810,    AT1G51940,            -0.817066751606,   225
AT1G77920,    AT4G17470,            0.816593858339,   226
AT1G75240,    AT4G23600,            -0.816326639186,   227
AT1G63030,    AT3G15310,            0.816268003837,   228
AT1G69010,    AT2G28840,            -0.816031970182,   229
AT1G51700,    AT5G14920,            -0.815400074904,   230
AT1G22810,    AT2G11540,            0.815338502419,   231
AT1G75240,    AT2G23030,            -0.815273590897,   232
AT1G12260,    AT3G08860,            0.815194429168,   233
AT1G77200,    AT2G39030,            -0.814844477104,   234
AT1G53910,    AT1G69920,            -0.814808047239,   235
AT1G51700,    AT2G38465,            -0.814621169678,   236
AT1G70920,    AT3G42220,            0.814617168904,   237
AT1G68320,    AT3G27690,            0.814087661145,   238
AT1G74840,    AT2G40000,            0.813794960016,   239
AT1G80840,    AT1G24140,            0.813740719536,   240
AT1G16490,    AT1G37140,            -0.813322831588,   241
AT2G18160,    AT2G23770,            -0.812835822609,   242
AT2G01060,    AT1G77210,            0.812732987939,   243
AT1G18330,    AT3G25610,            -0.812531839227,   244
AT2G03500,    AT3G25165,            -0.812465949692,   245
AT1G77920,    AT4G39430,            0.812459419371,   246
AT2G18160,    AT4G25440,            -0.811822197438,   247
AT1G19000,    AT1G51800,            -0.811734961593,   248
AT1G80840,    AT3G62640,            0.811716428201,   249
AT1G80840,    AT3G53600,            0.811138216987,   250
AT1G27730,    AT3G04410,            0.810786001041,   251
AT2G02820,    AT3G43170,            -0.810742831664,   252
AT1G49560,    AT1G51290,            -0.810721158121,   253
AT2G15740,    AT2G43290,            0.810537252238,   254
AT1G72740,    AT3G21780,            0.809859842216,   255
AT1G71450,    AT3G01060,            0.809771391329,   256
AT2G02820,    AT5G37030,            -0.809709355355,   257
AT1G68670,    AT4G34950,            -0.808714350989,   258
AT1G49480,    AT1G13470,            0.808627981363,   259
AT2G01060,    AT5G40390,            -0.808465030387,   260
AT1G80840,    AT3G01830,            0.808152446521,   261
AT1G69010,    AT5G56980,            0.807222555355,   262
AT2G02820,    AT5G13170,            -0.806752088306,   263
AT1G22070,    AT2G21650,            -0.806460127546,   264
AT1G76420,    AT5G15110,            0.806367454974,   265
AT1G30490,    AT1G33950,            0.806219880607,   266
AT1G03840,    AT1G53830,            0.806080358099,   267
AT1G12610,    AT5G54720,            0.805566072479,   268
AT1G19000,    AT1G11210,            -0.805504400711,   269
AT1G68320,    AT4G15440,            -0.80521227811,   270
AT1G55110,    AT5G57630,            -0.80446638488,   271
AT1G80840,    AT1G60190,            0.804177310368,   272
AT1G14687,    AT3G57760,            -0.804153721825,   273
AT1G51700,    AT5G12020,            -0.803744576234,   274
AT1G80840,    AT4G27657,            0.80358744594,   275
AT1G77920,    AT3G55980,            -0.803484027781,   276
AT2G26960,    AT3G04170,            0.803444734838,   277
AT1G72740,    AT1G03170,            0.803239358634,   278
AT2G31230,    AT1G77340,            -0.80303186783,   279
AT2G15740,    AT3G01430,            0.802904955235,   280
AT1G69780,    AT4G12410,            -0.802720334549,   281
AT1G20910,    AT4G16310,            -0.80270762254,   282
AT1G68320,    AT1G52830,            0.802633682371,   283
AT1G75240,    AT3G50700,            -0.802605095427,   284
AT1G34180,    AT4G24170,            -0.802450808363,   285
AT1G80840,    AT5G40540,            0.802440982473,   286
AT1G44830,    AT1G61950,            0.802317584137,   287
AT1G51700,    AT5G14180,            -0.802132842472,   288
AT1G72740,    AT5G57220,            0.802006820332,   289
AT2G03500,    AT5G26340,            0.801975863318,   290
AT1G77920,    AT2G37580,            0.801646154218,   291
AT1G77200,    AT2G06630,            0.801503824054,   292
AT2G01060,    AT5G59820,            -0.801394385537,   293
AT1G72740,    AT2G16890,            0.801306324977,   294
AT2G01060,    AT3G50060,            -0.801222707582,   295
AT1G77200,    AT4G25470,            0.800532239835,   296
AT2G02450,    AT4G36010,            0.800456005356,   297
AT1G71450,    AT1G55850,            -0.800396725013,   298
AT1G71450,    AT5G10760,            -0.800220765666,   299
AT2G01940,    AT2G22430,            -0.800170893833,   300
AT1G29280,    AT3G61990,            0.799985016966,   301
AT1G28470,    AT1G68320,            0.799757643087,   302
AT1G68200,    AT5G24270,            -0.799507376359,   303
AT1G77920,    AT3G20810,            0.799045020827,   304
AT1G53910,    AT3G27473,            -0.79888520078,   305
AT1G29160,    AT2G31380,            -0.798501911745,   306
AT1G69780,    AT1G17380,            -0.79841339472,   307
AT1G77200,    AT4G14270,            -0.798332118074,   308
AT2G27300,    AT2G29620,            0.798136095626,   309
AT1G72740,    AT5G01540,            0.797932091992,   310
AT2G01060,    AT4G12720,            -0.797598322528,   311
AT1G14687,    AT2G43010,            -0.797304369442,   312
AT1G13260,    AT1G01190,            0.797178269574,   313
AT2G01060,    AT2G40750,            0.797162870525,   314
AT1G54330,    AT4G08740,            0.79699129235,   315
AT1G68320,    AT1G69160,            0.79681051818,   316
AT2G03500,    AT1G15040,            -0.795989056931,   317
AT1G06180,    AT5G02580,            -0.795855060509,   318
AT1G72740,    AT2G23340,            0.795222397028,   319
AT1G72740,    AT2G23340,            0.795222397028,   320
AT1G72740,    AT4G17500,            0.794568219816,   321
AT1G77200,    AT1G35210,            0.793910453479,   322
AT1G75240,    AT1G23690,            0.793794962206,   323
AT1G69570,    AT5G57690,            0.793711319364,   324
AT2G01060,    AT3G29330,            0.793380980702,   325
AT1G68550,    AT4G27280,            0.793341689159,   326
AT1G32150,    AT2G41250,            0.793268251197,   327
AT1G16490,    AT1G61610,            -0.79322512445,   328
AT1G68320,    AT1G49720,            -0.792966978044,   329
AT2G01060,    AT2G01890,            -0.79280782718,   330
AT1G77200,    AT1G49810,            0.792799955391,   331
AT1G30650,    AT3G24640,            -0.79173689677,   332
AT1G69010,    AT3G47160,            -0.791481319932,   333
