regulator,    target,    score,    rank
AT1G46768,    AT2G22940,            -0.996777801671,   1
AT1G30490,    AT1G72060,            -0.985167879848,   2
AT1G02250,    AT4G35740,            0.979236277812,   3
AT1G68200,    AT2G03410,            0.976672823245,   4
AT1G46768,    AT2G14450,            0.976183945355,   5
AT1G43160,    AT2G47290,            0.973270412293,   6
AT2G27300,    AT5G12030,            -0.970001967674,   7
AT1G32870,    AT1G33820,            0.959685276057,   8
AT1G72740,    ATMG01060,            0.957455459223,   9
AT1G29160,    AT1G30490,            0.9553497254,   10
AT1G71450,    AT1G17740,            0.955338202172,   11
AT2G24430,    AT1G52250,            -0.954358481015,   12
AT1G13450,    AT1G18530,            -0.953677547835,   13
AT1G13450,    AT4G03810,            0.953267662259,   14
AT1G68670,    AT3G43010,            -0.953258178972,   15
AT1G64620,    AT5G39160,            -0.952265076252,   16
AT1G12610,    AT3G12160,            0.950470528841,   17
AT1G06850,    AT3G27370,            -0.948496824993,   18
AT1G74480,    AT4G39753,            0.947951612902,   19
AT2G23320,    AT1G43870,            -0.947423828971,   20
AT1G13260,    AT5G06870,            0.94688045957,   21
AT1G80840,    AT1G76640,            0.946336323724,   22
AT1G53170,    AT1G56530,            0.946135469739,   23
AT1G30490,    AT1G19850,            0.944917766535,   24
AT1G30490,    AT2G20660,            -0.94478373606,   25
AT2G23340,    AT3G08860,            0.944778179115,   26
AT1G68670,    AT2G40310,            -0.944548486333,   27
AT2G23340,    AT5G02780,            0.941870920078,   28
AT1G12260,    AT1G41825,            -0.939098882561,   29
AT1G28160,    AT2G02530,            -0.938013307021,   30
AT2G27300,    AT3G31403,            -0.934678115109,   31
AT1G46768,    AT2G34100,            0.93457958291,   32
AT2G01930,    AT5G02810,            0.934047016211,   33
AT1G06180,    AT4G16010,            -0.932153378291,   34
AT1G80840,    AT1G72600,            -0.931674168881,   35
AT1G12260,    AT3G25090,            -0.931537635341,   36
AT1G68670,    AT1G43640,            -0.931493900666,   37
AT2G22430,    AT1G36180,            0.93017766127,   38
AT1G76890,    AT1G66840,            -0.929692681449,   39
AT1G46768,    AT5G36910,            0.92960265182,   40
AT1G01060,    AT5G26615,            -0.928251618635,   41
AT1G06850,    AT1G61460,            0.927480358486,   42
AT1G68670,    AT5G40840,            -0.925429123517,   43
