regulator,    target,    score,    rank
AT1G62300,    AT4G09020,            0.998199737189,   1
AT2G32460,    AT3G15550,            0.994085668549,   2
AT1G51700,    AT1G53885,            -0.981550818127,   3
AT1G68550,    AT5G23910,            -0.980658441193,   4
AT1G12610,    AT2G11680,            -0.978047755655,   5
AT2G30590,    AT2G43660,            0.975011967645,   6
AT2G01060,    AT3G25930,            0.973218675015,   7
AT2G24430,    AT1G35555,            -0.970478201187,   8
AT1G01060,    AT4G17110,            -0.96779873669,   9
AT1G75240,    AT2G02080,            0.965787347321,   10
AT1G69570,    AT3G46970,            -0.963735380547,   11
AT1G01250,    AT4G26320,            -0.961245204718,   12
AT1G76420,    AT3G60290,            -0.959249600251,   13
AT1G49560,    AT1G69570,            -0.958703419519,   14
AT1G49560,    AT1G69570,            -0.958703419519,   15
AT1G69570,    AT1G49560,            -0.958703419519,   16
AT1G65910,    AT3G45700,            -0.957726547337,   17
AT1G19850,    AT2G47680,            -0.955416332033,   18
AT1G77920,    AT1G32190,            -0.953970455395,   19
AT1G69570,    AT5G26570,            -0.952317131088,   20
AT1G62300,    AT2G38465,            0.951639019252,   21
AT1G36060,    AT2G01940,            0.949283653437,   22
AT1G68320,    AT5G06730,            0.947958375156,   23
AT2G23340,    AT1G66760,            -0.946805226381,   24
AT1G49560,    AT2G42540,            0.946234584136,   25
AT1G62300,    AT1G31680,            0.945935376874,   26
AT1G71450,    AT5G58570,            -0.941902540108,   27
AT1G09540,    AT2G35710,            0.939513139626,   28
AT1G77920,    AT4G16370,            0.939298209825,   29
AT1G64620,    AT2G12880,            -0.939052436625,   30
AT1G76420,    AT2G30610,            -0.937947498939,   31
AT1G68670,    AT1G03850,            0.9352098362,   32
AT1G69180,    AT4G02550,            -0.931959985428,   33
AT1G62300,    AT1G26665,            0.931197826814,   34
AT1G77920,    AT1G61950,            -0.931121765563,   35
AT1G69570,    AT5G32560,            -0.930010563985,   36
AT1G49480,    AT1G29200,            -0.924155732823,   37
AT2G23340,    AT4G15440,            0.923927402648,   38
AT1G69570,    AT4G22770,            -0.922360531047,   39
AT1G62300,    AT2G27920,            0.920599682191,   40
AT1G76420,    AT4G15680,            -0.920313227141,   41
AT1G75390,    AT3G53800,            -0.919756289832,   42
AT1G49560,    AT5G51570,            0.917704216081,   43
AT1G69570,    AT2G07510,            0.916836401256,   44
AT2G23340,    AT3G12320,            -0.915784532671,   45
AT1G64620,    AT3G16330,            0.913139277189,   46
AT2G30250,    AT1G19850,            -0.912485454658,   47
AT1G01060,    AT5G37600,            -0.912346364471,   48
AT1G71450,    AT5G49360,            0.911802727548,   49
AT1G68670,    AT1G19000,            0.909070802464,   50
AT1G28370,    AT1G67450,            0.908219835635,   51
AT1G74650,    AT1G10300,            -0.906924210413,   52
AT1G30210,    AT5G67190,            -0.906327082208,   53
AT1G68320,    AT1G15550,            0.905912074556,   54
AT2G26960,    AT3G52620,            0.905703811025,   55
AT1G69180,    AT5G64800,            -0.905197343819,   56
AT1G01060,    AT4G08370,            0.904612748422,   57
AT1G69780,    AT5G47260,            0.904530831676,   58
AT1G74840,    AT4G34770,            0.90373073842,   59
AT1G62300,    AT5G24470,            0.902393483057,   60
AT2G02080,    AT2G05380,            -0.901565896763,   61
AT1G75240,    AT1G17745,            -0.90146335716,   62
AT2G02080,    AT5G48020,            -0.901196165248,   63
AT1G22810,    AT5G20230,            0.900990756709,   64
AT1G19000,    AT4G29140,            -0.900874138038,   65
AT1G50640,    AT3G07350,            -0.900359675701,   66
AT1G19850,    AT4G05030,            0.900153300951,   67
AT1G64620,    AT1G65480,            0.899849391725,   68
AT1G74480,    AT1G13450,            0.899806662277,   69
AT1G68320,    AT5G25190,            0.899770474804,   70
AT1G75240,    AT3G61920,            -0.899579275876,   71
AT1G74650,    AT1G76890,            -0.898594381209,   72
AT1G69570,    AT1G69180,            0.898083155593,   73
AT1G76890,    AT5G41620,            -0.896402295084,   74
AT1G63030,    AT5G27190,            -0.896385863647,   75
AT1G78700,    AT4G08430,            -0.895925356544,   76
AT1G76420,    AT1G35030,            -0.895608139573,   77
AT2G23340,    AT1G69080,            0.895602082875,   78
AT1G01250,    AT1G02813,            0.895558283126,   79
AT1G55110,    AT4G33130,            0.89438873186,   80
AT1G52150,    AT3G45950,            0.892588334633,   81
AT1G62300,    AT5G44050,            -0.892541539488,   82
AT1G62300,    AT5G61380,            0.891870359409,   83
AT2G23340,    AT3G20810,            0.89179248716,   84
AT1G01250,    AT2G03340,            -0.891484524196,   85
AT1G65910,    AT5G44810,            -0.889813256856,   86
AT2G23340,    AT3G58290,            -0.889073257042,   87
AT1G18330,    AT1G66100,            0.889006689609,   88
AT1G64620,    AT3G14620,            0.887652850094,   89
AT2G02080,    AT5G62280,            0.887206718356,   90
AT1G76890,    AT4G37260,            0.887124335058,   91
AT2G15740,    AT1G68840,            0.886918228944,   92
AT2G18550,    AT3G43210,            -0.886901953073,   93
AT1G62300,    AT2G19450,            0.886803984724,   94
AT1G64620,    AT1G59940,            -0.886562997181,   95
AT2G02080,    AT5G04770,            0.885779028939,   96
AT1G19850,    AT3G58120,            0.884780813814,   97
AT1G69570,    AT3G55450,            -0.883927662129,   98
AT1G12260,    AT1G68320,            0.883894542166,   99
AT1G64620,    AT4G09820,            0.883755999874,   100
AT1G63030,    AT1G66790,            0.883149323511,   101
