regulator,    target,    score,    rank
AT1G44830,    AT5G38330,            0.986023509187,   1
AT2G15740,    AT3G09600,            0.980835862228,   2
AT1G43700,    AT2G11160,            0.975804942891,   3
AT1G32870,    AT4G33666,            0.960849933235,   4
AT1G01060,    AT4G08030,            -0.960229642671,   5
AT2G18550,    AT2G42540,            -0.957147823346,   6
AT1G75390,    AT2G06230,            0.957067436689,   7
AT2G02820,    AT1G29460,            -0.952068616996,   8
AT2G20400,    AT2G12230,            0.950546961968,   9
AT2G02080,    AT4G23220,            -0.948458929482,   10
AT1G76420,    AT1G42400,            0.948265479087,   11
AT2G18550,    AT5G45980,            -0.94672200987,   12
AT1G76420,    AT2G23550,            0.946057272516,   13
AT1G46768,    AT4G14090,            -0.945652345602,   14
AT2G01930,    AT3G46390,            0.94431949062,   15
AT1G43700,    AT5G03350,            -0.941444491895,   16
AT1G06180,    AT1G57630,            -0.937653844644,   17
AT2G23340,    ATMG00820,            -0.935750556528,   18
AT1G28470,    AT3G56890,            0.934229265636,   19
AT1G68200,    AT2G16620,            -0.932923551234,   20
AT1G19040,    AT2G19510,            -0.932483208205,   21
AT1G19210,    AT3G43330,            0.93228865255,   22
AT1G30650,    AT1G21060,            -0.930319417199,   23
AT1G06180,    AT1G14687,            -0.925317499419,   24
AT2G23340,    AT3G54570,            0.923671654096,   25
AT2G02080,    AT5G15590,            -0.921358054875,   26
AT2G02820,    AT1G17390,            -0.919393065738,   27
AT1G62300,    AT2G23320,            0.917809622579,   28
AT2G23290,    AT3G50270,            0.91513991237,   29
AT1G28160,    AT4G07620,            -0.909200628281,   30
AT1G27730,    AT4G20000,            0.909144585216,   31
AT1G06180,    AT3G21520,            -0.907249770801,   32
AT1G19210,    AT3G55980,            0.906501866027,   33
AT1G12630,    AT1G11210,            -0.906128118856,   34
AT1G02250,    AT1G75930,            0.905573026996,   35
AT2G32460,    AT3G09580,            0.904856337548,   36
AT1G19210,    AT4G29780,            0.904346616568,   37
AT1G74480,    AT1G07490,            0.903397682888,   38
AT2G03500,    AT4G07710,            -0.902956955737,   39
AT2G22430,    AT3G12190,            -0.898378945483,   40
AT1G44830,    AT2G07505,            0.897306248598,   41
AT1G32150,    AT1G76420,            0.895236817564,   42
AT2G30590,    AT5G41490,            -0.891844800149,   43
AT1G19000,    AT1G53930,            0.891829639698,   44
AT1G43700,    AT3G17690,            -0.891799913192,   45
AT1G50640,    AT4G07340,            -0.891118827937,   46
AT1G19210,    AT2G27080,            0.890615667808,   47
AT1G76420,    AT5G60140,            0.889728962628,   48
AT2G15740,    AT5G27080,            0.888258784597,   49
AT1G68550,    AT1G15180,            -0.888037255927,   50
AT1G43700,    AT1G59171,            -0.887819410906,   51
AT1G13450,    ATMG00050,            -0.885704588525,   52
AT1G44830,    AT4G17490,            0.884822223517,   53
AT1G19210,    AT4G01030,            -0.884554510174,   54
AT2G02450,    AT1G10420,            0.884415943432,   55
AT1G43700,    AT4G07515,            -0.882508874689,   56
AT1G18330,    AT1G43160,            0.88226164618,   57
AT2G23320,    AT1G30490,            -0.88136656048,   58
AT2G30590,    AT4G08420,            -0.880757620855,   59
AT1G25550,    AT4G05080,            -0.877333635256,   60
AT2G18060,    AT5G28950,            0.87647661564,   61
AT1G19210,    AT1G72520,            0.875383077353,   62
AT1G79580,    AT2G23900,            -0.87373661057,   63
AT1G22810,    AT1G27730,            0.871656678003,   64
AT1G22810,    AT1G27730,            0.871656678003,   65
AT1G19210,    AT2G37430,            0.869939939483,   66
AT1G74650,    AT1G16490,            0.86989582946,   67
AT1G13260,    AT5G64940,            -0.868826264259,   68
AT1G74480,    AT1G16705,            0.866958339349,   69
AT1G20980,    AT2G29500,            0.866813026075,   70
AT1G49010,    AT2G26320,            -0.866484659358,   71
AT1G64620,    AT1G62300,            -0.86597296822,   72
AT1G19210,    AT2G32350,            0.865237363935,   73
AT1G25550,    AT1G47730,            -0.863270622503,   74
AT2G30250,    AT1G49560,            -0.863249370337,   75
AT1G74650,    AT5G62360,            -0.862606610567,   76
AT1G64620,    AT1G29860,            -0.860995969148,   77
