regulator,    target,    score,    rank
AT1G30210,    AT2G07490,            0.978106548968,   1
AT1G28370,    AT1G17665,            -0.970262772976,   2
AT1G72740,    AT5G52670,            -0.968981926481,   3
AT1G12610,    AT1G52000,            0.967566290755,   4
AT1G27730,    AT3G30840,            -0.964269916154,   5
AT1G80840,    AT1G74950,            0.963040878841,   6
AT1G52150,    AT2G19980,            -0.963021549802,   7
AT2G20400,    AT1G51915,            -0.954694760856,   8
AT1G28370,    AT4G03940,            0.952330261775,   9
AT1G80840,    AT1G73120,            0.951549587134,   10
AT1G51140,    AT3G06895,            -0.946361148972,   11
AT1G28370,    AT2G07693,            -0.943419775949,   12
AT2G23320,    AT4G15870,            0.942844613946,   13
AT1G28370,    ATMG00320,            -0.939561088408,   14
AT2G02080,    AT5G39650,            -0.929310089249,   15
AT1G80840,    AT5G45340,            0.928344875283,   16
AT1G69490,    AT3G32220,            0.925423613559,   17
AT1G80840,    AT3G47960,            0.920807649367,   18
AT2G27300,    AT2G10900,            -0.908928059952,   19
AT2G20400,    AT2G43530,            -0.908126167991,   20
AT1G32150,    AT5G25990,            -0.907309394751,   21
AT1G79180,    AT2G23920,            -0.906703083309,   22
AT1G28370,    AT1G37826,            0.903654013426,   23
AT1G28370,    AT3G09600,            0.902601326381,   24
AT1G06180,    AT2G15930,            -0.901727601659,   25
AT1G69780,    AT2G38350,            -0.901085717231,   26
AT2G06200,    AT4G21420,            -0.900812551503,   27
AT1G32870,    AT3G53980,            -0.896195010947,   28
AT1G13260,    AT1G23590,            -0.8953586244,   29
AT1G69490,    AT2G01060,            0.895352322386,   30
AT2G15740,    AT4G18720,            0.893637007604,   31
AT1G30650,    AT3G16960,            -0.892945968739,   32
AT2G22540,    AT3G47340,            0.889067263876,   33
AT1G80840,    AT1G16490,            0.886962376038,   34
AT1G69180,    AT3G20540,            -0.885962166111,   35
AT1G63030,    AT2G47340,            0.885880532373,   36
AT1G19000,    AT4G01460,            0.885064519396,   37
AT1G72740,    AT3G24130,            0.884869887102,   38
AT2G28810,    AT4G37780,            -0.884661776866,   39
AT1G02250,    AT5G54410,            0.879325087952,   40
AT2G22540,    AT3G26740,            0.87774790714,   41
AT1G20910,    AT3G30510,            -0.876987432955,   42
AT1G22810,    AT2G21280,            -0.876339913554,   43
AT2G22540,    AT2G18550,            0.876248476869,   44
AT1G55110,    AT3G21850,            0.875863638667,   45
AT1G12260,    AT2G20520,            0.875552202871,   46
AT2G02080,    AT1G61950,            0.873948900722,   47
AT2G20400,    AT2G44840,            -0.872880536224,   48
AT2G20400,    AT2G18930,            0.8710450055,   49
AT2G26960,    AT3G03830,            -0.870842028448,   50
AT1G80840,    AT1G49230,            -0.870821007846,   51
AT1G79180,    AT5G67430,            0.870286268474,   52
AT1G68320,    AT4G12500,            0.866952102968,   53
AT1G20910,    AT1G69920,            -0.865466937116,   54
AT1G51140,    AT3G59610,            -0.865187304352,   55
AT1G22810,    AT1G27730,            0.864960926572,   56
AT2G28810,    AT3G30250,            -0.860994497893,   57
AT2G01060,    AT1G19850,            0.860842941946,   58
AT2G30590,    AT5G38320,            0.860733574023,   59
AT2G28810,    AT2G01940,            0.860605796882,   60
AT1G29860,    AT1G29670,            0.859970606383,   61
AT1G20910,    AT5G39870,            -0.858931113644,   62
AT1G28370,    AT4G07640,            -0.858820829147,   63
AT1G50640,    AT1G76890,            0.857229855621,   64
AT1G13260,    AT2G14360,            -0.855801659869,   65
AT1G80840,    AT5G24470,            -0.854433506943,   66
AT1G63030,    AT1G20290,            0.853070152124,   67
AT1G69490,    AT4G35210,            -0.849799389641,   68
AT1G51140,    AT1G02250,            0.849337492081,   69
AT2G20400,    AT5G07990,            0.848362183489,   70
AT1G75390,    AT2G04730,            -0.846928632582,   71
AT1G20910,    AT5G41280,            -0.845595905605,   72
AT1G30650,    AT4G10240,            0.845517659168,   73
AT1G30210,    AT5G09730,            0.844936840851,   74
AT1G63030,    AT3G28260,            0.843418645201,   75
AT1G75390,    AT5G26200,            0.842874839457,   76
AT1G72740,    AT5G08640,            0.842280834366,   77
AT1G44830,    AT3G59400,            -0.839453058568,   78
AT2G32460,    AT4G25580,            0.838448193368,   79
AT2G04038,    AT1G33240,            -0.837785634015,   80
AT2G18060,    AT3G17220,            -0.837373899198,   81
AT2G20400,    AT1G63750,            -0.83358833858,   82
AT1G22810,    AT4G15680,            -0.832054623771,   83
AT1G55110,    AT3G60420,            0.830765955257,   84
AT1G52150,    AT5G17080,            -0.830391456906,   85
AT2G20400,    AT5G49590,            0.829595483439,   86
AT1G69490,    AT3G28580,            0.827636524944,   87
AT2G15740,    AT4G18290,            -0.827204371943,   88
AT1G25550,    AT1G29160,            -0.82683060862,   89
AT1G29860,    AT1G13700,            0.826651164765,   90
AT1G20910,    AT5G24110,            -0.826219691444,   91
AT1G76880,    AT2G02640,            -0.82582531573,   92
AT1G20910,    AT4G36600,            0.824458184375,   93
AT2G28810,    AT2G29350,            -0.82383424263,   94
AT1G50640,    AT2G44910,            -0.823802324108,   95
AT2G28810,    AT1G70870,            -0.823267471546,   96
AT1G68200,    AT3G12190,            -0.822463092942,   97
AT1G51140,    AT1G34370,            -0.822145587922,   98
AT1G68320,    AT2G04300,            -0.821394374659,   99
AT1G80840,    AT4G31950,            0.820917461811,   100
AT1G63030,    AT5G36080,            0.820893379668,   101
AT2G28810,    AT2G18080,            -0.820346151648,   102
AT1G78700,    AT5G62400,            0.819936742522,   103
AT1G53230,    AT4G26020,            0.819411504688,   104
AT1G76890,    AT2G30670,            -0.819257594377,   105
AT1G69490,    AT1G77920,            0.819184603368,   106
AT2G22540,    AT5G47980,            -0.817423160475,   107
AT2G28810,    AT3G12320,            -0.816514154435,   108
AT2G01930,    AT2G07230,            -0.815610633596,   109
AT2G02070,    AT2G10610,            0.815566611282,   110
AT1G49560,    AT1G05680,            0.815318465631,   111
AT1G75390,    AT5G02780,            0.814973222556,   112
AT1G68550,    AT3G52620,            -0.814777415134,   113
AT2G28810,    AT2G22590,            0.81367189731,   114
AT1G69780,    AT1G22070,            0.813449709602,   115
AT2G28810,    AT2G29650,            -0.812936688029,   116
AT1G52880,    AT4G20800,            -0.81264275091,   117
AT1G20910,    AT5G46120,            -0.812320228987,   118
AT1G12260,    AT1G76290,            0.811182017149,   119
AT1G80840,    AT2G19250,            -0.810634504269,   120
AT1G69010,    AT1G12260,            -0.810364095748,   121
AT1G80840,    AT3G07650,            -0.810343220289,   122
AT1G33240,    AT5G54270,            -0.810262014077,   123
AT2G18550,    AT2G46870,            0.810175194841,   124
AT2G22540,    AT1G65570,            -0.810096440168,   125
AT2G27300,    AT1G33830,            0.809825615765,   126
AT1G29160,    AT5G44470,            -0.808346319096,   127
AT1G72740,    AT1G20750,            -0.808226261292,   128
AT1G20910,    AT2G10340,            -0.807824469134,   129
AT1G68320,    AT4G15480,            -0.807457729919,   130
AT1G29280,    AT5G13790,            0.806465217114,   131
AT1G69780,    AT4G19690,            -0.806101719958,   132
AT1G69010,    AT1G20980,            -0.804518598941,   133
AT2G28810,    AT3G52780,            -0.804514293339,   134
AT1G72740,    AT1G30210,            -0.802715882663,   135
AT2G28810,    AT3G01490,            0.802456707629,   136
AT2G28810,    AT1G19040,            0.802306018574,   137
AT1G27730,    AT2G26790,            -0.800648076905,   138
AT2G30340,    AT2G21320,            -0.800000993832,   139
