regulator,    target,    score,    rank
AT1G28370,    AT1G74450,            0.993066149497,   1
AT1G12260,    AT5G49590,            -0.985299617049,   2
AT1G69690,    AT2G15970,            0.977821228385,   3
AT1G12630,    AT3G42220,            0.965830665135,   4
AT1G77920,    AT1G09950,            -0.964483866656,   5
AT1G19000,    AT4G26020,            0.958296057798,   6
AT1G27730,    AT4G24570,            0.957982316326,   7
AT1G77920,    AT2G39030,            0.954696879836,   8
AT1G28370,    AT2G35710,            0.953024899266,   9
AT1G49560,    AT5G39410,            0.951393806991,   10
AT2G28810,    AT4G30290,            -0.951099952575,   11
AT2G01940,    AT1G18330,            0.945288575152,   12
AT1G28370,    AT1G12610,            0.9452689671,   13
AT1G28370,    AT1G12610,            0.9452689671,   14
AT1G16490,    AT1G73120,            0.94519949107,   15
AT1G51140,    AT5G44420,            0.941569554791,   16
AT2G02070,    AT3G63160,            0.940246145929,   17
AT2G23320,    AT1G74330,            0.938864560726,   18
AT1G27730,    AT3G62720,            0.938564062886,   19
AT2G23320,    AT4G17500,            0.938047194019,   20
AT1G27730,    AT1G19770,            0.937527822487,   21
AT1G09540,    AT4G08420,            0.936857197346,   22
AT1G01060,    AT2G12210,            0.934814642572,   23
AT2G02070,    AT4G38400,            -0.934333160146,   24
AT2G23320,    AT2G33580,            0.931108125966,   25
AT1G28370,    AT3G57930,            0.930996284413,   26
AT2G23320,    AT5G22250,            0.930675326795,   27
AT1G22810,    AT5G49280,            0.922348561528,   28
AT1G09540,    AT4G22770,            0.920787504902,   29
AT1G01060,    AT1G07500,            0.919419120698,   30
AT1G77920,    AT3G10720,            -0.919082487416,   31
AT1G34180,    AT3G25180,            -0.917164823026,   32
AT2G04038,    AT3G46660,            0.91686577757,   33
AT1G09540,    AT1G71000,            0.916465772669,   34
AT1G29280,    AT5G52050,            -0.915583553648,   35
AT1G06180,    AT5G53450,            0.913451694497,   36
AT1G69690,    AT5G47330,            0.913205835868,   37
AT1G51700,    AT1G09070,            0.911965579184,   38
AT1G77920,    AT2G37760,            0.910286462865,   39
AT1G76880,    AT4G12580,            0.909919591584,   40
AT1G19000,    AT3G42310,            0.909592896226,   41
AT1G09540,    AT1G16730,            -0.908511969295,   42
AT1G75240,    AT3G30270,            0.906667856054,   43
