regulator,    target,    score,    rank
AT1G74650,    AT2G30250,            -0.999636005953,   1
AT2G18380,    ATMG00960,            -0.99960103477,   2
AT1G13260,    AT4G07710,            0.998968417144,   3
AT1G79180,    AT5G29397,            0.998812781404,   4
AT1G75390,    ATMG00870,            0.998793254007,   5
AT2G28810,    AT2G41230,            -0.998784489771,   6
AT2G18380,    AT4G21400,            0.997131856205,   7
AT2G18380,    AT4G39860,            0.996624083438,   8
AT1G19850,    AT1G55110,            0.996504227344,   9
AT1G13260,    ATMG00660,            0.996310893168,   10
AT2G18060,    AT1G34280,            0.996230034172,   11
AT2G18380,    AT1G75240,            -0.996217146237,   12
AT1G65910,    AT3G28740,            -0.995981585786,   13
AT2G30250,    AT1G76590,            0.995492165395,   14
AT1G74650,    AT4G25990,            -0.995172831113,   15
AT1G19850,    AT2G19580,            -0.994492229918,   16
AT1G49560,    AT3G09640,            0.994259932343,   17
AT1G49480,    AT3G25820,            0.994127090329,   18
AT1G51700,    AT2G03500,            0.994026025374,   19
AT1G13260,    ATMG01200,            0.993987539026,   20
AT1G19850,    AT5G61420,            0.993803511662,   21
AT1G19210,    AT4G38950,            0.993437395046,   22
AT1G09540,    AT4G16020,            -0.993252257208,   23
AT1G65910,    AT5G46330,            0.993249446543,   24
AT1G13260,    AT5G44810,            -0.993155075652,   25
AT1G18330,    AT3G28620,            0.993062976041,   26
AT1G49480,    AT2G34110,            -0.992977186533,   27
AT2G23290,    AT3G42350,            0.992931999957,   28
AT1G30490,    AT5G49120,            -0.992538710072,   29
AT1G65910,    AT2G47180,            -0.99246945521,   30
AT2G18380,    AT2G14900,            -0.992421007996,   31
AT1G74650,    AT2G42380,            -0.992409331529,   32
AT1G19210,    AT3G46520,            -0.992228421293,   33
AT1G19850,    AT5G12940,            0.992218042189,   34
AT1G74650,    AT5G10130,            0.992161911163,   35
AT2G23290,    AT1G07690,            -0.992034021781,   36
AT1G13260,    AT4G00510,            -0.991995617975,   37
AT2G27300,    AT1G37826,            -0.991590820245,   38
AT1G52880,    AT4G00940,            -0.991398525745,   39
AT1G09540,    AT5G03380,            -0.991048721543,   40
AT1G51700,    AT5G41620,            -0.990820300839,   41
AT1G43160,    AT3G09610,            0.990815534119,   42
AT1G13260,    AT2G40990,            -0.990372504641,   43
AT1G19210,    AT3G07130,            0.990054044486,   44
AT1G19850,    AT4G33970,            0.989853235751,   45
AT1G51700,    AT3G17110,            -0.989771534823,   46
AT2G18380,    AT4G12750,            -0.989658068258,   47
AT1G19850,    AT3G16150,            0.989486483262,   48
AT1G01250,    AT3G09660,            0.989291116798,   49
AT1G01250,    AT1G72920,            0.989259996964,   50
AT1G13260,    AT1G49430,            -0.989247408915,   51
AT1G74650,    AT1G24150,            0.989101010275,   52
AT2G18380,    AT5G35970,            0.988975502814,   53
AT1G43160,    AT1G75390,            -0.988930815003,   54
AT1G19850,    AT4G23320,            0.988805864945,   55
AT1G19850,    AT1G79380,            0.988709800556,   56
AT1G74650,    AT4G39090,            -0.98838459053,   57
AT2G31230,    AT3G01970,            -0.988208534381,   58
AT1G19850,    AT1G56300,            -0.988143630996,   59
AT1G51700,    AT5G43180,            0.988025678743,   60
AT1G52880,    AT5G16790,            0.987735596691,   61
AT1G19850,    AT1G44110,            0.987484445867,   62
AT1G13260,    AT4G00970,            -0.987321509825,   63
AT1G74650,    AT5G01190,            0.987117751096,   64
AT1G68200,    AT1G66830,            0.987105989506,   65
AT2G18380,    AT4G21270,            0.987085640292,   66
AT2G30250,    AT2G32590,            -0.986885441395,   67
AT1G25340,    AT5G45960,            0.986830097282,   68
AT1G74650,    AT5G09440,            -0.986671331447,   69
AT2G23340,    AT5G05250,            -0.98663511437,   70
AT1G19850,    AT1G12630,            0.986451335375,   71
AT1G32870,    AT2G21640,            0.986291547248,   72
AT1G52880,    AT5G45630,            -0.986192325876,   73
AT1G51700,    AT2G06320,            0.985864859574,   74
AT1G19850,    AT1G57820,            -0.985811674304,   75
AT1G49480,    ATMG00670,            -0.985730769407,   76
AT2G30250,    AT2G37040,            -0.985721191166,   77
AT1G74650,    AT4G29260,            0.985495014426,   78
AT2G18380,    AT1G75940,            -0.985411170538,   79
AT1G65910,    AT1G73480,            -0.985300972903,   80
AT1G13260,    AT1G55040,            0.985300702785,   81
AT1G29860,    AT1G44100,            0.985256030983,   82
AT1G19850,    AT2G46650,            0.985046159094,   83
AT1G76890,    AT2G35270,            -0.985032740003,   84
AT1G19850,    AT1G19610,            -0.984733089532,   85
AT1G19850,    AT1G67800,            0.984221030558,   86
AT2G23320,    AT1G01060,            0.984042747362,   87
AT2G23320,    AT1G01060,            0.984042747362,   88
AT2G18380,    AT1G08130,            0.984029579187,   89
AT1G09540,    AT1G69440,            0.984001465721,   90
AT1G65910,    AT2G16750,            0.983989803422,   91
AT2G18380,    AT3G21240,            0.983448559667,   92
AT1G51700,    AT4G34610,            0.983301685094,   93
AT1G19850,    AT1G72660,            -0.983239911068,   94
AT1G13260,    ATMG00650,            0.983107105899,   95
AT1G19850,    AT4G14610,            0.982963015948,   96
AT2G31230,    AT4G32650,            0.982666510262,   97
AT1G19850,    AT4G26680,            0.982585185643,   98
AT1G19210,    AT5G38690,            0.982577449132,   99
AT1G19850,    AT5G46230,            0.982434180771,   100
AT1G51700,    AT4G26950,            0.982265887459,   101
AT1G19850,    AT1G27090,            -0.98212109636,   102
AT2G18380,    AT2G32990,            0.982060418088,   103
AT1G09540,    AT5G38040,            0.982004662215,   104
AT1G19850,    AT3G55130,            0.981724479924,   105
AT2G23320,    AT1G58270,            0.98172066559,   106
AT1G32870,    AT4G11480,            0.98147422563,   107
AT1G51700,    AT5G47160,            -0.981348745453,   108
AT1G68200,    AT2G25600,            0.981272474206,   109
AT1G74650,    AT1G60960,            -0.981109550859,   110
AT1G13260,    AT5G57100,            0.980851661236,   111
AT1G19850,    AT3G07150,            -0.980802164311,   112
AT1G74650,    AT1G69690,            -0.980800550077,   113
AT1G19850,    AT5G56630,            -0.980717815541,   114
AT1G64620,    AT2G27440,            -0.980539782381,   115
AT1G19850,    AT3G53380,            0.980363628161,   116
AT1G01060,    AT1G47400,            0.98018923219,   117
AT1G19850,    AT3G13860,            -0.980184487229,   118
AT1G52880,    AT2G02080,            0.979908832035,   119
AT1G22810,    AT2G36220,            -0.97958725466,   120
AT2G23340,    AT1G07620,            0.979584914169,   121
AT2G18380,    AT1G01480,            -0.979564108024,   122
AT2G02070,    AT1G29610,            -0.979486515649,   123
AT1G19850,    AT4G10040,            -0.97929550165,   124
AT2G31230,    AT2G44850,            0.979126634056,   125
