regulator,    target,    score,    rank
AT2G18550,    AT3G30844,            0.999912103863,   1
AT1G34370,    AT5G11090,            0.998755215088,   2
AT2G18550,    ATMG00060,            0.998472699682,   3
AT1G68200,    ATMG00080,            0.997512891944,   4
AT1G68200,    AT2G38470,            0.995060433569,   5
AT2G01930,    AT3G01120,            -0.994865946358,   6
AT1G68200,    AT1G36630,            0.994540535672,   7
AT1G69010,    AT1G74050,            0.994128529346,   8
AT2G18550,    ATMG00516,            0.994038959127,   9
AT2G23320,    AT5G30380,            0.994019729112,   10
AT1G80840,    AT4G25000,            0.993833942639,   11
AT1G68200,    AT5G67320,            0.993344116968,   12
AT2G23320,    AT4G25670,            0.993257472027,   13
AT1G69010,    AT3G16240,            -0.992568760412,   14
AT1G62300,    ATMG00640,            0.99169395194,   15
AT1G01060,    AT3G56290,            0.991628739489,   16
AT2G18550,    ATMG00160,            0.991296391232,   17
AT2G20110,    ATMG01360,            0.991135944513,   18
AT1G69010,    AT1G78150,            0.990754302082,   19
AT1G69010,    AT4G38800,            0.990646854163,   20
AT1G69010,    AT3G22440,            0.990418501748,   21
AT2G18550,    ATMG00070,            0.990093426824,   22
AT1G68200,    AT1G57990,            0.98987651189,   23
AT1G69010,    AT2G21290,            0.989734957956,   24
AT1G68200,    AT2G20110,            0.989661488661,   25
AT1G27730,    AT2G20490,            0.989430661002,   26
AT1G68200,    AT5G54510,            0.989209546474,   27
AT2G18550,    ATMG00660,            0.988666665941,   28
AT1G49480,    AT2G20230,            0.988573507765,   29
AT1G63030,    AT5G63625,            0.988404708091,   30
AT2G18550,    ATMG00090,            0.988333042043,   31
AT2G18550,    ATMG01120,            0.988302266634,   32
AT1G45249,    AT1G03090,            -0.98824139902,   33
AT2G18550,    ATMG00030,            0.988184834286,   34
AT1G09540,    AT5G03990,            0.988077866232,   35
AT1G49480,    AT5G63800,            0.986943451181,   36
AT1G13450,    AT1G62310,            0.986598296503,   37
AT2G18550,    ATMG00020,            0.98654182817,   38
