regulator,    target,    score,    rank
AT1G76420,    AT1G33813,            -0.980839205917,   1
AT1G20980,    AT1G24400,            -0.976149545756,   2
AT2G32460,    AT1G23070,            0.976092382946,   3
AT2G18160,    AT1G73570,            -0.971372323012,   4
AT1G47655,    AT2G32890,            0.970852298605,   5
AT1G20910,    AT2G12210,            0.970540671941,   6
AT2G32460,    AT2G21210,            -0.970083479833,   7
AT1G80840,    AT3G11350,            0.970056257571,   8
AT1G49480,    AT1G29160,            0.969933896276,   9
AT1G30210,    ATMG00150,            -0.96940437618,   10
AT1G49010,    AT4G31680,            -0.967039946421,   11
AT1G68320,    AT5G13230,            -0.964858744379,   12
AT2G32460,    AT2G07110,            -0.963243533918,   13
AT1G49560,    AT1G31080,            -0.962127173255,   14
AT1G13450,    AT5G46660,            0.959114499687,   15
AT2G06200,    AT2G13920,            -0.958680720393,   16
AT1G69180,    AT1G54280,            0.957822447018,   17
AT2G31230,    AT1G36120,            0.95771093014,   18
AT2G24430,    AT1G55030,            -0.957408795899,   19
AT2G18380,    AT3G61040,            0.956431825495,   20
AT1G68670,    AT2G16520,            0.954193325357,   21
AT1G47655,    AT1G76590,            0.952767322525,   22
AT1G68320,    AT4G18870,            -0.949987802813,   23
AT2G18380,    AT3G18460,            0.948355452252,   24
AT1G75390,    AT1G33817,            -0.947206559015,   25
AT1G22810,    AT2G02620,            0.946663812614,   26
AT2G01060,    AT3G16240,            -0.944990028313,   27
AT2G01060,    AT1G59620,            -0.941992618861,   28
AT1G72740,    AT2G31230,            0.941624023552,   29
AT1G22070,    AT2G43890,            -0.939605675852,   30
AT2G01060,    AT1G34370,            0.939387679656,   31
AT1G06850,    AT1G69780,            0.939293544155,   32
AT2G18060,    AT2G04840,            -0.938143769274,   33
AT2G01940,    AT5G32490,            0.937727947988,   34
AT1G28470,    AT4G15320,            0.93458643999,   35
AT2G27300,    AT1G36030,            0.933455399494,   36
AT1G03840,    AT1G23630,            -0.932439733864,   37
AT2G01060,    AT4G26540,            -0.932119777012,   38
AT2G31230,    AT2G28810,            0.931926562342,   39
AT1G78700,    AT1G11040,            -0.930812420483,   40
AT1G13260,    AT4G14980,            -0.929667535989,   41
AT2G18380,    AT4G26950,            0.926286235138,   42
AT1G49480,    AT5G15950,            -0.925833108384,   43
AT2G18060,    AT5G36810,            -0.925619370891,   44
AT1G53910,    AT1G29670,            0.92537527765,   45
AT2G24430,    AT4G20790,            0.924683453445,   46
AT1G49480,    AT1G76220,            -0.924136219838,   47
AT1G12630,    AT3G24260,            0.923939841666,   48
AT1G49480,    AT1G12260,            -0.923467735074,   49
AT1G47655,    AT1G74840,            0.922314593592,   50
AT2G27300,    AT1G42400,            0.922237442811,   51
AT1G18330,    AT5G40940,            0.921046822683,   52
AT1G22070,    AT1G33240,            -0.920336350063,   53
AT1G22810,    AT5G51490,            0.92015127262,   54
AT1G53230,    AT1G54330,            0.919956437436,   55
AT1G49480,    AT1G08090,            0.919782981573,   56
AT2G01060,    AT1G55110,            0.919546664799,   57
AT1G13260,    AT4G30830,            -0.918212913919,   58
AT1G68670,    AT3G16550,            -0.916918925239,   59
AT2G01930,    AT1G17545,            -0.916498778569,   60
AT2G24430,    AT1G28470,            0.912494549302,   61
AT2G31230,    AT1G50050,            0.912258533181,   62
AT2G20400,    AT1G67670,            0.911896597075,   63
AT1G06850,    AT4G01390,            -0.9115121406,   64
AT1G47655,    AT4G35770,            0.910632890848,   65
AT1G20910,    AT3G63370,            -0.91058968736,   66
AT2G18380,    AT4G04080,            0.910209953957,   67
AT2G30590,    AT3G03670,            0.910002478258,   68
AT1G74480,    AT3G33080,            -0.908974683721,   69
AT1G76420,    AT1G66490,            0.908915533449,   70
AT2G01060,    AT4G16680,            0.908522955275,   71
AT1G68320,    AT3G11060,            0.908464636038,   72
AT2G28810,    AT5G55780,            -0.906448723387,   73
AT1G52880,    AT5G59360,            -0.906155221363,   74
AT2G18380,    AT3G42580,            0.905854721357,   75
