regulator,    target,    score,    rank
AT1G34190,    AT4G04230,            0.993784736923,   1
AT2G01060,    AT4G21730,            0.993696243795,   2
AT2G27300,    AT3G56520,            0.99270289633,   3
AT2G01060,    AT1G34620,            -0.990104905615,   4
AT1G14687,    AT2G01940,            -0.986106552882,   5
AT2G30250,    AT4G04280,            0.983112891585,   6
AT1G43160,    AT1G53885,            -0.982789119605,   7
AT1G76420,    AT5G56800,            0.982482598962,   8
AT2G01060,    AT1G05480,            -0.979307787636,   9
AT1G74650,    AT1G78700,            0.977941694665,   10
AT1G49010,    AT1G32870,            -0.97339151393,   11
AT1G76880,    AT2G04640,            -0.970856483649,   12
AT2G01940,    AT1G56690,            -0.970807703387,   13
AT1G08320,    AT1G53600,            -0.970515266373,   14
AT2G01060,    AT2G23340,            -0.96918720128,   15
AT1G51140,    AT1G49560,            -0.969154946298,   16
AT1G28160,    AT1G59540,            -0.969104151371,   17
AT1G32150,    AT3G48940,            -0.969097391824,   18
AT1G19850,    AT4G17550,            -0.965217491981,   19
AT1G28160,    AT4G14680,            -0.964927045603,   20
AT1G74650,    AT4G14980,            0.964858045563,   21
AT1G74650,    AT2G41190,            -0.962841949709,   22
AT2G18550,    AT2G41260,            0.962526571453,   23
AT2G02080,    AT5G55180,            0.962116739478,   24
AT2G27300,    AT2G12220,            0.961941443639,   25
AT1G77920,    AT1G19210,            -0.960740644433,   26
AT1G77920,    AT5G10930,            0.960456618556,   27
AT1G19850,    AT4G11470,            0.960432166552,   28
AT1G14687,    AT2G02450,            -0.959809922907,   29
AT2G02080,    AT5G06760,            0.959693289145,   30
AT1G77920,    AT2G32690,            0.959273925368,   31
AT2G23320,    AT1G67623,            0.959230357902,   32
AT1G77920,    AT3G49700,            -0.959218955178,   33
AT1G16490,    AT5G39850,            -0.959105703548,   34
AT1G28160,    AT1G19000,            0.958053776352,   35
AT1G74650,    AT5G47560,            -0.957354706654,   36
AT2G18550,    AT4G20230,            -0.95695316731,   37
AT2G01060,    AT2G34810,            -0.956614816579,   38
AT1G20910,    AT1G62763,            -0.956516236884,   39
AT2G23290,    AT1G11290,            0.954589295247,   40
AT2G01060,    AT4G36670,            0.9527886158,   41
AT2G03500,    AT4G27580,            0.952013923527,   42
AT1G01720,    AT5G62550,            -0.951704524314,   43
AT1G14687,    AT1G57750,            -0.951479909179,   44
AT1G28470,    AT4G23810,            0.950421532319,   45
AT2G02820,    AT1G80340,            0.950228772896,   46
AT1G30210,    AT4G11020,            -0.950120434916,   47
AT2G01060,    AT1G77980,            -0.94988706315,   48
AT2G01060,    AT1G19850,            0.949687806022,   49
AT1G74650,    AT4G33905,            -0.948487391268,   50
AT2G01060,    AT2G43000,            0.947840453594,   51
AT1G19040,    AT1G58340,            0.947797285795,   52
AT1G74650,    AT3G49950,            -0.947362628416,   53
AT1G18330,    AT1G22370,            -0.947246461604,   54
AT1G25340,    AT1G66490,            -0.946655298462,   55
AT1G76880,    AT4G08030,            0.944753078546,   56
AT1G19000,    AT3G30510,            0.944686123607,   57
AT1G06850,    AT3G04540,            0.944674558411,   58
AT1G28470,    AT2G26040,            0.943887432667,   59
AT2G01060,    AT3G43840,            0.943407704219,   60
AT1G28160,    AT3G21660,            0.943346257779,   61
AT1G08320,    AT1G53170,            0.941473554892,   62
AT1G19850,    AT3G48450,            0.940993620579,   63
AT1G51140,    AT2G02820,            -0.940724725597,   64
AT1G19850,    AT1G19610,            0.940209949379,   65
AT2G22540,    AT3G58020,            -0.940111796559,   66
AT1G74650,    AT4G39410,            0.940053105412,   67
AT1G77920,    AT5G06570,            -0.939964209316,   68
AT1G77920,    AT5G61660,            -0.939610761315,   69
AT1G53170,    AT5G50720,            0.939429662691,   70
AT1G16490,    AT3G19400,            -0.939102348411,   71
AT1G02250,    AT5G26615,            0.938792503123,   72
AT1G77920,    AT3G28310,            -0.938517908057,   73
AT2G01940,    AT1G71160,            0.938222591699,   74
AT2G01060,    AT5G24860,            -0.937968422104,   75
AT1G69010,    AT1G52880,            0.937826851532,   76
AT2G01060,    AT4G27730,            0.937119772575,   77
AT1G54330,    AT3G57260,            0.937057725546,   78
AT1G28160,    AT1G68570,            0.936705477591,   79
AT2G01060,    AT3G03830,            0.93643025858,   80
AT1G01720,    AT3G61930,            -0.934498851016,   81
AT1G13260,    AT5G52690,            -0.934062152079,   82
AT2G22540,    AT4G33230,            -0.932659144688,   83
AT2G02820,    AT4G02330,            0.932414433749,   84
AT1G02250,    AT4G33050,            -0.932094296864,   85
AT1G74650,    AT1G73390,            -0.931938419769,   86
AT1G72740,    AT3G43020,            0.931673805909,   87
AT1G53170,    AT5G51990,            0.93163357126,   88
AT2G22540,    AT3G17520,            -0.931431110412,   89
AT2G18550,    AT1G30350,            -0.931022476951,   90
AT2G28810,    AT4G26120,            -0.930704355994,   91
AT1G65910,    AT1G63180,            0.93066071712,   92
AT1G28470,    AT1G51915,            0.929998894889,   93
AT1G18330,    AT1G31030,            -0.929798715464,   94
AT1G69690,    AT1G33070,            0.92945937973,   95
AT1G20910,    AT5G61290,            0.929444889091,   96
AT1G08320,    AT3G57510,            0.929147858766,   97
AT2G03340,    AT3G13180,            -0.927999375504,   98
AT1G74650,    AT1G35140,            0.927730544629,   99
AT1G18330,    AT2G42360,            -0.927561797678,   100
AT1G49010,    AT1G13130,            -0.926971372864,   101
AT2G18380,    AT3G28350,            0.92674218812,   102
AT1G77920,    AT1G28370,            -0.926311559722,   103
AT2G01060,    AT5G49790,            0.925894021759,   104
AT1G28470,    AT3G28580,            0.925691614707,   105
AT2G01060,    AT1G75940,            0.925621247064,   106
AT1G14687,    AT2G30690,            0.925566129688,   107
AT2G18550,    AT2G36050,            -0.925472049463,   108
AT1G20910,    AT3G26450,            0.925422787719,   109
AT2G18550,    AT1G51140,            0.925250870434,   110
AT1G49010,    AT3G58300,            -0.925249110896,   111
AT2G03500,    AT2G28680,            -0.924967199865,   112
AT1G78700,    AT5G01520,            -0.924813226505,   113
AT2G23340,    AT2G02080,            0.924586769993,   114
AT2G23340,    AT1G28170,            0.92425303169,   115
AT2G01060,    AT4G37850,            0.924042474158,   116
AT1G77920,    AT3G24630,            0.92394649831,   117
AT2G22540,    AT5G40260,            -0.923550153368,   118
AT1G02250,    AT2G23680,            -0.923423408806,   119
AT1G77920,    AT1G61590,            0.922852475393,   120
AT1G49480,    AT3G26830,            -0.922470044915,   121
AT1G53170,    AT5G06180,            -0.922071512245,   122
AT1G69780,    AT2G20625,            0.921935846371,   123
AT2G18160,    AT1G43160,            -0.921613765945,   124
AT1G69490,    AT1G26400,            0.92129081055,   125
AT1G49010,    AT1G64405,            -0.92103074127,   126
AT2G22540,    AT3G14440,            -0.920613799406,   127
AT1G62300,    AT1G33790,            -0.920206896103,   128
AT1G19850,    AT5G37540,            -0.919652174972,   129
AT2G01060,    AT1G73070,            -0.919645023162,   130
AT1G18330,    AT1G29770,            0.91943327842,   131
AT2G02820,    AT5G41320,            0.919141310911,   132
AT1G28160,    AT4G25480,            0.918864911844,   133
AT1G20910,    AT3G10830,            -0.918667228185,   134
AT2G22540,    AT3G29670,            -0.918581179194,   135
AT1G74650,    AT2G34800,            0.918088531978,   136
AT1G19850,    AT1G02360,            0.918062638914,   137
AT1G08320,    AT5G54230,            0.917711219874,   138
AT2G01060,    AT3G03240,            -0.917529240405,   139
AT2G18350,    AT3G26130,            0.917528148271,   140
AT1G19850,    AT5G45310,            0.916989299759,   141
AT2G24430,    AT4G13380,            -0.916643001113,   142
AT1G53170,    AT3G47170,            -0.916480308092,   143
AT1G77920,    AT4G32950,            0.915823572028,   144
AT1G74650,    AT2G33530,            -0.915739214933,   145
AT1G28470,    AT2G46860,            0.91566786139,   146
AT2G18550,    AT1G48070,            -0.915663538882,   147
AT1G62300,    AT1G72250,            -0.915486718536,   148
AT2G18550,    AT4G30090,            -0.91527014435,   149
AT2G01060,    AT1G61560,            0.914965688785,   150
AT1G16490,    AT1G03780,            -0.914920400992,   151
AT1G69010,    AT5G17300,            0.914764268847,   152
AT1G36060,    AT2G40250,            0.914117923064,   153
AT2G01060,    AT5G16190,            0.913609078408,   154
AT1G69010,    AT2G37380,            -0.913537541291,   155
AT2G28810,    AT2G28690,            -0.91254333619,   156
AT1G51140,    AT1G34370,            0.911703251292,   157
AT1G77920,    AT2G44460,            0.911194632492,   158
AT2G22540,    AT1G49450,            -0.910977470571,   159
AT1G74650,    AT3G54090,            0.910361738529,   160
AT1G74650,    AT1G24600,            -0.910324613964,   161
AT2G28810,    AT3G23220,            -0.90985931893,   162
AT2G22540,    AT2G18160,            0.909089298026,   163
AT1G33240,    AT1G55110,            -0.908962175219,   164
AT1G62300,    AT2G41810,            0.908737840047,   165
AT2G01060,    AT1G59990,            0.90869154174,   166
AT2G01060,    AT1G18710,            0.908199621607,   167
AT1G47655,    AT1G62870,            -0.907914023413,   168
AT1G28160,    AT1G68500,            0.907851559574,   169
AT2G01060,    AT4G14150,            0.907453321657,   170
AT1G74650,    AT3G20030,            0.907245619909,   171
AT1G28470,    AT4G29230,            0.907127423588,   172
AT1G74650,    AT4G02140,            -0.907046797891,   173
AT1G19040,    AT5G25440,            -0.906668140984,   174
AT2G23320,    AT1G60985,            0.906599845742,   175
AT1G01720,    AT5G17760,            0.906381061454,   176
AT1G69690,    AT1G49010,            -0.90629243176,   177
AT1G16490,    AT2G44470,            -0.90599512339,   178
AT1G69780,    AT5G26920,            -0.905805521192,   179
AT1G77920,    AT2G16230,            -0.905558338233,   180
AT1G06850,    AT4G25590,            -0.905394993553,   181
AT1G77920,    AT2G40480,            0.905346643676,   182
AT1G12630,    AT5G02640,            -0.905013941905,   183
AT1G08320,    AT2G32360,            0.90493405128,   184
AT1G77920,    AT1G70910,            0.904677592584,   185
AT1G28470,    AT5G04000,            -0.904493447887,   186
AT1G62300,    AT4G35190,            0.904166079865,   187
AT2G23320,    AT1G65500,            0.904154155355,   188
AT1G74650,    AT2G01060,            0.903580960058,   189
AT2G01060,    AT1G74650,            0.903580960058,   190
AT1G43160,    AT4G19980,            -0.90338227561,   191
AT2G02080,    AT3G19920,            0.903202048749,   192
AT2G02820,    AT4G00770,            0.902943810113,   193
AT1G28470,    AT5G18870,            -0.902827770347,   194
AT1G30490,    AT3G26050,            0.902648882861,   195
AT1G53170,    AT2G40180,            -0.902540602546,   196
AT2G28810,    AT2G03710,            -0.902206855579,   197
AT2G18550,    AT5G22570,            -0.901995467258,   198
AT1G28470,    AT1G55760,            0.901813346328,   199
AT2G23320,    AT4G10850,            -0.901515241119,   200
AT2G18550,    AT2G39700,            -0.901396524582,   201
AT1G53170,    AT1G69920,            -0.900878252342,   202
AT1G43160,    AT4G38340,            0.900676228172,   203
AT1G01720,    AT1G22650,            0.900674323635,   204
AT1G09540,    AT4G20490,            -0.90046003548,   205
AT2G18550,    AT2G03830,            -0.900340500486,   206
AT1G77920,    AT4G03100,            -0.900115919889,   207
AT1G49010,    AT3G11060,            -0.899967904947,   208
AT2G18550,    AT2G28270,            0.899848698463,   209
AT2G18550,    AT1G49000,            -0.899568158051,   210
AT1G77920,    AT4G30830,            0.899299263251,   211
AT1G76880,    AT3G43680,            0.899004302525,   212
AT1G19850,    AT2G18550,            -0.898975277527,   213
AT2G01060,    AT1G06150,            0.898751550996,   214
AT1G69490,    AT1G07850,            0.898614005346,   215
AT1G20910,    AT3G32220,            -0.89845154336,   216
AT1G77920,    AT1G33240,            0.898312899272,   217
AT1G54330,    AT4G29610,            -0.898262880522,   218
AT2G01060,    AT1G77120,            -0.898181902855,   219
