regulator,    target,    score,    rank
AT2G04038,    AT1G41276,            0.998305763012,   1
AT2G24430,    AT5G50880,            -0.996227821333,   2
AT1G22810,    AT3G49020,            0.995526081104,   3
AT2G18160,    AT1G53420,            0.993318405915,   4
AT1G72740,    AT5G40970,            0.989917252969,   5
AT1G71450,    AT4G04600,            0.985453938278,   6
AT2G02070,    AT1G50090,            -0.982070785778,   7
AT1G52880,    AT1G20160,            0.981745750011,   8
AT1G43160,    AT5G67040,            -0.980775236276,   9
AT2G24430,    AT1G13420,            0.978833440852,   10
AT2G20110,    AT4G07850,            -0.977939058231,   11
AT1G19000,    AT2G14300,            0.977621825803,   12
AT2G24430,    AT3G45270,            0.977385572188,   13
AT2G24430,    AT3G07490,            0.972406964828,   14
AT1G32870,    AT3G21500,            -0.972348493405,   15
AT1G54330,    AT4G07530,            -0.97203972883,   16
AT1G20910,    AT3G14850,            -0.971452226526,   17
AT1G32870,    AT3G23250,            -0.971436818792,   18
AT2G24430,    AT5G20460,            0.970631920217,   19
AT2G23320,    AT1G51140,            -0.969149186104,   20
AT1G55110,    AT1G79270,            -0.969120771805,   21
AT1G43160,    AT4G03880,            -0.968909605056,   22
AT1G76890,    AT1G55110,            -0.967976659492,   23
AT1G80840,    AT5G45700,            0.965402128691,   24
AT2G23320,    AT1G09540,            -0.964580112045,   25
AT1G43160,    AT1G23370,            0.963431910111,   26
AT1G34180,    AT1G14940,            -0.962387302765,   27
AT1G16490,    AT1G41820,            0.962053626194,   28
AT2G24430,    AT1G21300,            0.960293539582,   29
AT1G74480,    AT1G06710,            -0.958613970915,   30
AT1G51700,    AT4G35550,            -0.957252800399,   31
AT1G30490,    AT4G18425,            -0.956025328383,   32
AT1G20910,    AT1G32870,            -0.954023831855,   33
AT2G23320,    AT3G19320,            -0.953137100582,   34
AT1G49560,    AT3G45380,            -0.952896562673,   35
AT1G20910,    AT3G14440,            -0.949111545415,   36
AT1G09540,    AT2G33310,            0.94846766324,   37
AT1G74480,    AT3G51330,            0.947797651359,   38
AT1G01720,    AT2G26400,            -0.947447816077,   39
AT1G79580,    AT1G62300,            0.945861889316,   40
AT2G24430,    AT4G28395,            0.945383369045,   41
AT1G68200,    AT5G49870,            -0.944096319694,   42
AT1G20910,    AT2G20750,            -0.943863109988,   43
AT1G80840,    AT2G24600,            0.943196883129,   44
AT1G19850,    AT1G51700,            0.943090289209,   45
AT1G20910,    AT1G44890,            0.94280275112,   46
AT2G24430,    AT3G31403,            -0.942733050295,   47
AT1G19000,    AT1G65230,            0.942652331685,   48
AT2G24430,    AT3G45700,            0.942527954561,   49
AT1G74480,    AT3G04010,            0.94222194649,   50
AT1G76890,    AT2G23340,            0.942164635362,   51
AT1G76890,    AT2G23340,            0.942164635362,   52
AT1G19850,    AT1G60790,            -0.94196635505,   53
AT1G20910,    AT1G24600,            -0.941088324032,   54
AT1G19000,    AT5G10930,            0.940011814312,   55
AT1G12610,    AT3G26130,            0.939225219003,   56
AT2G01940,    AT3G46130,            0.939173839785,   57
