regulator,    target,    score,    rank
AT1G53910,    AT1G73310,            -0.999076281973,   1
AT1G06850,    AT4G08380,            0.99645511008,   2
AT1G25550,    AT3G42500,            0.994613973011,   3
AT2G03340,    AT5G39130,            -0.988814753096,   4
AT2G18380,    AT1G62690,            0.984575807559,   5
AT1G74840,    AT1G27480,            0.98394068431,   6
AT1G68200,    AT2G03630,            0.979827453326,   7
AT1G55110,    AT5G57780,            -0.975924422249,   8
AT1G20980,    AT4G13070,            0.975533832518,   9
AT1G68550,    AT1G65500,            -0.97527131164,   10
AT2G28810,    AT3G15440,            0.968997675312,   11
AT1G16490,    AT4G24130,            -0.96898115983,   12
AT1G32150,    AT3G15230,            0.968509143427,   13
AT2G23340,    AT2G39540,            -0.966841714921,   14
AT2G32460,    AT4G03700,            0.964099908301,   15
AT2G23340,    AT2G14810,            0.963352098084,   16
AT1G19040,    AT4G24410,            0.963186791192,   17
AT1G51140,    AT3G17520,            0.962717798467,   18
AT1G34370,    AT4G13650,            0.960370993669,   19
AT1G64620,    AT2G24390,            0.958067201268,   20
AT1G19210,    AT1G51140,            0.956811510211,   21
AT1G46768,    AT5G54410,            -0.95599180635,   22
AT1G70920,    AT5G09370,            0.955568511856,   23
AT2G01930,    AT1G49560,            -0.9547071504,   24
AT1G47655,    AT1G03170,            0.954251216746,   25
AT1G51140,    AT3G32050,            0.953502159537,   26
AT2G01940,    AT3G44820,            -0.952241915206,   27
AT1G80840,    AT4G24890,            0.952099877063,   28
AT1G19210,    AT3G19710,            -0.949950167608,   29
AT1G34180,    AT5G07700,            0.949858328341,   30
AT1G79180,    AT2G20110,            0.947489827647,   31
AT2G24430,    AT4G00690,            0.947001445762,   32
AT2G06200,    AT4G21870,            0.946814702742,   33
AT1G30210,    AT2G21990,            -0.946034765824,   34
AT1G69780,    AT4G22010,            0.945495803229,   35
AT2G02070,    AT4G16930,            -0.945204367744,   36
AT1G12260,    AT4G23290,            -0.945146110386,   37
AT2G04038,    AT1G51700,            0.943533484541,   38
AT1G16490,    AT1G07720,            -0.942718204422,   39
AT1G33240,    AT5G37300,            0.94268611536,   40
AT1G30490,    AT1G47765,            -0.942318232951,   41
AT1G19040,    AT5G62850,            0.942166775724,   42
AT1G25550,    AT4G19030,            0.941986272999,   43
AT1G28470,    AT1G29280,            -0.941429421396,   44
AT1G30210,    AT3G27370,            -0.941300636333,   45
AT1G32870,    AT2G29120,            -0.94120626883,   46
AT1G69180,    AT1G61950,            0.940634449093,   47
AT1G76880,    AT4G04080,            -0.940557268483,   48
AT1G53910,    AT4G21020,            0.939743601412,   49
AT1G53910,    AT2G25090,            -0.93948787091,   50
AT1G50640,    AT1G78020,            0.938547165148,   51
AT2G30340,    AT2G11940,            -0.938242423041,   52
AT2G18060,    AT3G58450,            -0.937980937119,   53
AT1G55110,    AT4G34160,            -0.936372377968,   54
AT1G02250,    ATMG00600,            -0.936162407039,   55
AT2G03340,    AT2G38300,            0.935829734267,   56
AT1G59640,    AT2G06640,            0.935667847071,   57
AT2G23340,    AT1G76800,            0.934837832156,   58
AT1G16490,    AT1G76880,            0.933808230322,   59
AT2G01940,    AT5G24900,            0.932882503483,   60
AT2G02070,    AT2G39370,            0.932693369901,   61
AT1G06180,    AT4G40090,            0.931966128885,   62
AT1G20980,    AT1G15320,            -0.931773525187,   63
AT1G69180,    AT3G22940,            -0.931738953589,   64
AT1G47655,    AT3G23720,            -0.931293067873,   65
AT1G36060,    AT3G60530,            0.93082443033,   66
AT1G71450,    AT3G45680,            -0.930753598258,   67
AT1G34670,    AT1G04220,            0.930171412053,   68
AT1G12630,    AT1G13260,            0.929813598193,   69
AT1G32870,    AT2G28690,            -0.928895925152,   70
AT1G72740,    AT1G56530,            -0.927924113366,   71
AT1G34670,    AT5G54010,            -0.927652237101,   72
AT1G47655,    AT2G43530,            0.92763684977,   73
AT1G68550,    AT5G24660,            0.92745161419,   74
AT1G69010,    AT4G11900,            -0.926495210701,   75
AT1G25550,    AT3G52770,            0.92647184261,   76
AT2G23340,    AT1G21140,            0.926389896767,   77
AT1G16490,    AT2G45970,            -0.926388422003,   78
AT1G69780,    AT5G48800,            0.925518073809,   79
AT1G32150,    AT3G42340,            0.925218173653,   80
AT2G28810,    AT1G21810,            0.925121010316,   81
AT1G68550,    AT4G21210,            0.925071990692,   82
AT1G16490,    AT3G48010,            -0.924404993002,   83
AT1G25550,    AT1G78700,            0.924114515372,   84
AT1G53910,    AT3G53960,            0.922206623514,   85
AT1G25550,    AT4G01430,            -0.921934713507,   86
AT2G18350,    AT1G13600,            -0.92113649236,   87
AT2G20110,    AT1G02370,            -0.920979196542,   88
AT1G75390,    AT1G09540,            0.92085988266,   89
AT1G30210,    AT1G33820,            -0.920748441556,   90
AT1G08320,    AT1G77110,            -0.920127402512,   91
AT1G19040,    AT1G01720,            0.919160150925,   92
AT1G25550,    AT3G29670,            -0.919095736524,   93
AT1G28470,    AT2G18380,            0.918973706639,   94
AT1G69490,    AT2G18550,            0.918832615897,   95
AT2G30340,    AT1G63030,            -0.918440496036,   96
AT1G29160,    AT3G48740,            0.917993892069,   97
AT1G16490,    AT5G13900,            -0.917687059789,   98
AT2G01940,    AT2G18350,            0.916838024401,   99
AT2G32460,    AT1G67240,            -0.916672689052,   100
AT2G03340,    ATMG00820,            -0.916646082868,   101
AT2G23340,    AT4G12430,            0.916540445914,   102
AT1G12610,    AT2G43535,            0.916497676531,   103
AT2G01940,    AT1G65310,            0.915060831265,   104
AT1G08320,    AT1G60130,            -0.914399599664,   105
AT1G51700,    AT2G26410,            -0.913940800289,   106
AT1G30490,    AT3G01490,            -0.91380279367,   107
AT1G16490,    AT1G10550,            0.913443753419,   108
AT1G68550,    AT4G03100,            -0.913050555699,   109
AT2G23290,    AT4G05230,            0.913029223845,   110
AT1G19000,    AT1G18590,            -0.912420349821,   111
AT1G12630,    AT4G18250,            -0.91229412634,   112
AT2G02080,    AT2G41370,            0.911815829782,   113
AT2G01930,    AT5G59070,            -0.911595488426,   114
AT1G09540,    AT5G23570,            -0.911556319998,   115
AT2G31230,    AT5G10800,            0.911484819766,   116
AT1G80840,    AT3G29590,            0.911088710227,   117
AT1G08320,    AT3G23130,            0.910834454257,   118
AT2G01940,    AT4G30610,            0.910775764008,   119
AT1G16490,    AT4G28530,            0.91059733814,   120
AT2G28810,    AT3G10180,            -0.909745031285,   121
AT1G36060,    AT2G37380,            0.908903688925,   122
AT2G02070,    AT1G69160,            0.908879000914,   123
AT2G23320,    AT5G48000,            -0.908638851332,   124
AT1G19210,    AT1G66490,            0.908481562706,   125
AT1G19000,    AT5G04950,            -0.90835132792,   126
AT1G54330,    AT1G08320,            0.907821344553,   127
AT1G16490,    AT5G08250,            -0.907792378226,   128
AT2G28810,    AT5G02460,            0.907685181003,   129
AT1G12630,    AT3G21670,            0.907600853916,   130
AT1G30490,    AT5G52350,            -0.907313277125,   131
AT1G69180,    AT2G06850,            0.906010203802,   132
AT1G36060,    AT2G18500,            -0.905689377462,   133
AT1G44830,    AT3G01250,            -0.905534535933,   134
AT1G13260,    AT5G19410,            -0.904998530425,   135
AT1G43700,    AT4G00980,            0.904996713975,   136
AT1G46768,    AT1G29460,            -0.90496652157,   137
AT1G01060,    AT1G56510,            0.904392557681,   138
AT1G19850,    AT5G20480,            0.904209515967,   139
AT1G32870,    AT4G02170,            -0.903940997491,   140
AT1G43160,    AT2G06630,            -0.903486512391,   141
AT1G47655,    AT2G05270,            -0.902578551291,   142
AT1G16490,    AT3G18400,            -0.902389469229,   143
AT2G30250,    AT2G31210,            0.902341479988,   144
AT2G01940,    AT1G60400,            -0.902266353019,   145
AT1G51700,    AT4G00530,            -0.902036897416,   146
AT1G29160,    AT3G24140,            0.901989168878,   147
AT1G22070,    AT4G08290,            0.901841463891,   148
AT1G74650,    AT4G30130,            0.901538281166,   149
AT1G29160,    AT4G15340,            0.900927822158,   150
AT1G16490,    AT2G03720,            0.900033729607,   151
AT2G23290,    AT1G80660,            0.900006765433,   152
AT1G69180,    AT3G46900,            0.899963949675,   153
AT1G76890,    AT1G35740,            0.899725502432,   154
AT2G02070,    AT5G54230,            0.899622896639,   155
AT1G49010,    AT2G24140,            0.899397811484,   156
AT1G51700,    AT1G51880,            -0.89931433315,   157
AT1G76880,    AT1G13420,            0.899248072212,   158
AT2G02070,    AT4G22680,            0.899230377899,   159
AT2G03340,    AT4G23780,            -0.89905152163,   160
AT1G53910,    AT2G25820,            -0.898918788102,   161
AT2G30250,    AT2G41690,            0.89794981444,   162
AT2G23320,    AT1G29160,            -0.897871931032,   163
AT1G25550,    AT2G46680,            -0.897562728173,   164
AT1G36060,    AT1G67710,            -0.897309740605,   165
AT1G68670,    AT4G08620,            0.897056937457,   166
AT1G70920,    AT3G59170,            -0.896486880001,   167
AT1G74840,    AT1G73120,            0.896105536574,   168
AT1G77920,    AT4G38080,            -0.895452002349,   169
AT1G19210,    AT1G64160,            -0.894800814544,   170
AT2G23320,    AT3G50240,            -0.893954563427,   171
AT1G69780,    AT1G08430,            -0.893856950735,   172
AT1G76890,    AT4G39770,            0.893678212142,   173
AT2G18350,    AT1G09390,            0.893316593048,   174
AT1G19850,    AT3G25170,            0.893108892864,   175
AT2G01940,    AT2G37450,            0.892890371913,   176
AT2G32460,    AT1G05450,            -0.89279997716,   177
AT2G02070,    AT3G51750,            0.891512382638,   178
AT1G12610,    AT3G24710,            0.891451665392,   179
AT2G01940,    AT4G37240,            0.891228455019,   180
AT1G77200,    AT1G70920,            -0.890922337183,   181
AT1G44830,    AT2G07650,            0.89079227922,   182
AT1G76420,    AT4G14280,            -0.890688766926,   183
AT2G23320,    AT2G06950,            -0.89065642259,   184
AT1G75390,    AT2G46300,            0.889959252764,   185
AT2G20110,    AT3G21860,            -0.889839655082,   186
AT2G32460,    AT1G64405,            -0.889459770654,   187
AT1G76420,    AT5G04640,            -0.889243745504,   188
AT2G23340,    AT1G78970,            -0.888867269154,   189
AT2G30340,    AT3G50740,            0.888778520132,   190
AT1G53910,    AT1G69780,            -0.888385801209,   191
AT1G51140,    AT1G63240,            -0.888232399664,   192
AT1G69180,    AT1G09990,            -0.888018246064,   193
AT2G30590,    AT2G30925,            -0.887882430273,   194
AT2G30250,    AT1G75430,            -0.887740002603,   195
AT1G28470,    AT2G46860,            -0.88757377156,   196
AT2G20110,    AT4G15060,            -0.886060788401,   197
AT2G06200,    AT1G71870,            -0.88604517383,   198
AT2G02070,    AT3G08040,            0.885906628201,   199
