regulator,    target,    score,    rank
AT1G32870,    ATCG00300,            -0.994525828584,   1
AT1G43700,    AT2G42630,            0.99365432422,   2
AT1G49010,    AT1G41795,            -0.991439764346,   3
AT1G62300,    AT2G23320,            0.988645263716,   4
AT2G23320,    AT3G15500,            0.988235295692,   5
AT2G23320,    AT4G29050,            0.988017036789,   6
AT2G30250,    AT4G35480,            0.986617397085,   7
AT1G74840,    AT3G17130,            0.984857393809,   8
AT1G34670,    AT1G34620,            0.983770737992,   9
AT1G12630,    AT2G02120,            0.982943481858,   10
AT1G03840,    AT2G28550,            -0.982009280123,   11
AT2G28810,    AT2G22500,            -0.98104649339,   12
AT1G69010,    AT5G16910,            -0.980355754492,   13
AT2G23320,    AT5G22250,            0.980091779709,   14
AT2G23320,    AT1G53430,            0.979243469855,   15
AT1G13260,    AT3G22830,            0.979176537714,   16
AT1G49010,    AT3G11100,            0.978598357341,   17
AT1G49010,    AT2G10380,            0.978434700687,   18
AT2G23340,    AT1G69780,            -0.978145935824,   19
AT2G23290,    AT3G26330,            0.977621404565,   20
AT2G30250,    AT1G53440,            0.97741023524,   21
AT1G69010,    AT1G66090,            -0.977408713148,   22
AT1G12630,    AT3G53600,            0.977216432631,   23
AT2G06200,    AT1G14687,            -0.977078489225,   24
AT1G03840,    AT3G26510,            0.975375259256,   25
AT1G12630,    AT4G22590,            0.975165787832,   26
AT1G14687,    AT4G16820,            0.9750147722,   27
AT2G06200,    AT5G61370,            -0.975009907483,   28
AT1G29160,    AT5G64660,            -0.974826621434,   29
AT1G12630,    AT4G27720,            0.974644972256,   30
AT1G22070,    AT2G36220,            0.974537057071,   31
AT2G30250,    AT3G45960,            0.974524199347,   32
AT1G74840,    AT3G50950,            0.974511774724,   33
AT2G28810,    AT1G12630,            -0.974459052198,   34
AT1G12630,    AT2G28810,            -0.974459052198,   35
AT1G12260,    AT5G32490,            -0.974320260464,   36
AT2G28810,    AT3G62690,            -0.97403724269,   37
AT1G03840,    AT1G65390,            -0.97355958159,   38
AT1G69010,    AT3G59730,            0.97328197486,   39
AT1G74840,    AT1G72360,            -0.97284922275,   40
AT2G23320,    AT5G52750,            0.972656669502,   41
AT1G12630,    AT5G22390,            -0.972647702314,   42
AT1G62300,    AT2G16700,            0.972020335444,   43
AT1G29160,    AT4G24570,            -0.971907791319,   44
AT2G28810,    AT1G80820,            -0.9715756624,   45
AT1G01720,    AT1G11960,            0.971439366454,   46
AT1G49010,    AT4G33000,            0.97114337223,   47
AT2G02070,    AT1G48100,            0.970952483127,   48
AT1G69570,    AT5G57560,            0.970744910048,   49
AT2G06200,    AT3G60120,            -0.970689273105,   50
AT1G69010,    AT5G66985,            0.970684438161,   51
AT2G28810,    AT5G26340,            -0.970507488496,   52
AT1G49010,    AT5G17860,            -0.970254012676,   53
AT1G01720,    AT1G74080,            0.970128649945,   54
AT1G49480,    AT4G20820,            0.97012217767,   55
AT1G52880,    AT1G47710,            -0.969897059355,   56
AT2G06200,    AT1G03905,            -0.969312850797,   57
AT2G18550,    AT1G20480,            0.969301878875,   58
AT1G49480,    AT2G18800,            0.969227415794,   59
AT2G31230,    AT1G41825,            0.969189693731,   60
AT1G49010,    AT1G78110,            0.968825497788,   61
AT2G18350,    AT4G04900,            -0.96872709345,   62
AT1G70920,    AT5G38320,            0.968641753051,   63
AT2G28810,    AT5G54720,            -0.968262843275,   64
AT1G12630,    AT1G70420,            0.96791275645,   65
AT1G14687,    AT3G06740,            -0.96755684328,   66
AT1G12630,    AT1G61930,            -0.967013714403,   67
AT2G18350,    AT2G23030,            0.966909807791,   68
AT1G03840,    AT3G44350,            -0.966610271278,   69
AT1G49480,    AT2G42540,            -0.966496949786,   70
AT1G01720,    AT1G61890,            0.966255992578,   71
AT1G79180,    AT2G43620,            -0.966197280731,   72
AT2G23320,    AT4G19520,            0.965978562863,   73
AT1G71450,    AT4G25480,            0.96596705534,   74
AT2G28810,    AT1G37020,            -0.965758597584,   75
AT1G03840,    AT3G50610,            0.965402105122,   76
AT1G49010,    AT3G26490,            0.965360673972,   77
AT2G22430,    AT1G49230,            0.965173644559,   78
AT1G69570,    AT1G72920,            0.965105793078,   79
AT2G23320,    AT1G19020,            0.96477774821,   80
AT2G22430,    AT2G41010,            0.964714863524,   81
AT1G19000,    AT4G31730,            0.964528275312,   82
AT1G03840,    AT2G18690,            -0.964518464533,   83
AT1G28370,    AT2G41640,            0.964467941404,   84
AT2G28810,    AT4G20320,            -0.963754623704,   85
AT1G01720,    ATMG01060,            -0.96366953387,   86
AT1G69010,    AT5G39420,            -0.963514624073,   87
AT2G02080,    AT1G76880,            0.963440368607,   88
AT1G53170,    AT2G16835,            -0.963403783305,   89
AT2G23320,    AT5G49450,            0.963207114318,   90
AT2G23340,    AT1G80960,            -0.963131497884,   91
AT1G28370,    AT1G21910,            0.962839022076,   92
AT1G74840,    AT2G29450,            0.96275588748,   93
AT2G23320,    AT4G14365,            0.962702699733,   94
AT1G74840,    AT1G72200,            -0.962231275249,   95
AT1G49010,    AT5G47240,            0.962030710611,   96
AT2G23320,    AT4G33980,            0.961826576643,   97
AT1G09540,    AT2G13310,            -0.961785423273,   98
AT1G12630,    AT2G31360,            0.961337555549,   99
AT2G28810,    AT4G16860,            -0.961291445899,   100
AT1G49010,    AT1G72220,            0.961163532957,   101
AT2G23320,    AT3G22910,            0.960898600286,   102
AT1G74840,    AT5G62280,            -0.960702694699,   103
AT1G49010,    AT1G22330,            0.960676277718,   104
AT1G74840,    AT5G16010,            0.960520429516,   105
AT1G03840,    AT2G28690,            0.960227323438,   106
AT1G76890,    AT2G20520,            0.959735165781,   107
AT1G49010,    AT1G18590,            0.959558364019,   108
AT2G28810,    AT5G59780,            0.959552863948,   109
AT2G23340,    AT5G10100,            0.959407392698,   110
AT2G18160,    AT1G42410,            0.959373921025,   111
AT2G22430,    AT1G74450,            0.959186146964,   112
AT2G23290,    AT5G24330,            0.958912364998,   113
AT1G69010,    AT4G28085,            -0.958688036877,   114
AT1G01720,    AT5G13080,            0.958630645305,   115
AT2G20110,    AT3G13680,            -0.958612638839,   116
AT1G70920,    AT5G26635,            0.95812288311,   117
AT1G01720,    AT2G45210,            -0.957666329074,   118
AT2G23320,    AT1G23120,            -0.957572983541,   119
AT2G23320,    AT1G01560,            0.957567837854,   120
AT1G49010,    AT1G34370,            0.957179002539,   121
AT2G02070,    AT2G20180,            -0.956899372653,   122
AT1G49010,    AT4G14980,            0.956741225247,   123
AT1G74840,    AT1G63450,            -0.95628644178,   124
AT2G23340,    AT3G20015,            -0.956228459577,   125
AT1G69010,    AT1G76580,            -0.956122875291,   126
AT1G25550,    AT1G04060,            -0.955895330959,   127
AT1G77200,    AT4G37800,            0.955851307546,   128
AT1G12630,    AT4G18170,            0.955807900211,   129
AT1G49010,    AT1G33750,            0.955372506268,   130
AT1G32870,    ATCG00540,            -0.955345028261,   131
AT2G02070,    AT4G15130,            0.955243559524,   132
AT1G19000,    AT3G02910,            0.955206307738,   133
AT2G23340,    AT5G01210,            -0.954871454442,   134
AT2G28810,    AT1G49470,            0.954827059241,   135
AT1G49010,    AT2G34600,            0.95435417769,   136
AT1G29160,    AT3G24310,            -0.954327952249,   137
AT2G03340,    AT5G40940,            0.954186198351,   138
AT1G28370,    AT3G56710,            0.953792501482,   139
