regulator,    target,    score,    rank
AT1G34190,    AT5G57730,            -0.995953634872,   1
AT1G69780,    AT2G20110,            0.992889636484,   2
AT1G69780,    AT2G02070,            0.992169945767,   3
AT1G08320,    AT1G04520,            -0.99024836409,   4
AT1G13450,    AT1G02200,            0.989849069643,   5
AT1G29860,    AT1G24390,            0.988430831576,   6
AT1G52880,    AT3G32040,            -0.987777977495,   7
AT1G30650,    AT1G22335,            -0.987219508523,   8
AT2G02070,    AT4G01950,            0.987027715101,   9
AT1G34370,    AT1G62890,            -0.98619591844,   10
AT1G03840,    AT1G13700,            -0.983028526894,   11
AT1G08320,    AT2G01940,            -0.982565223036,   12
AT1G53170,    AT1G64110,            -0.982524766574,   13
AT1G28470,    AT4G17030,            0.981940166662,   14
AT1G19850,    AT5G12030,            0.981641569751,   15
AT1G33240,    AT2G25810,            0.981083514553,   16
AT1G77920,    AT4G25490,            -0.980503356421,   17
AT1G28470,    AT1G18710,            0.980114151216,   18
AT1G28470,    AT5G49690,            0.979274919037,   19
AT1G77920,    AT5G59310,            0.9792005937,   20
AT1G28470,    AT2G45220,            0.978124671696,   21
AT1G52880,    AT4G26260,            0.977345595996,   22
AT2G18550,    AT2G13820,            -0.976746028334,   23
AT2G06200,    AT1G64390,            0.976696151886,   24
AT2G02070,    AT1G03840,            0.97591522395,   25
AT1G19210,    AT2G29380,            -0.975901292992,   26
AT2G18550,    AT5G62420,            -0.975566943681,   27
AT1G77920,    AT4G21650,            0.975435991295,   28
AT2G30250,    AT5G54740,            -0.975197656568,   29
AT1G77920,    AT2G24140,            0.975057571171,   30
AT1G28370,    AT1G02810,            0.973752491441,   31
AT1G03840,    AT5G49630,            0.973472597142,   32
AT1G76890,    AT1G13420,            -0.973425489051,   33
AT1G22810,    AT2G13920,            0.972492350866,   34
AT1G28470,    AT4G02280,            0.972256913912,   35
AT1G74840,    AT1G71880,            0.971600161556,   36
AT1G77920,    AT3G47970,            -0.971552448965,   37
AT1G22070,    AT3G51895,            0.971253813641,   38
AT1G69780,    AT4G14130,            0.971220552816,   39
AT1G34190,    AT2G05370,            -0.971202772961,   40
AT1G08320,    AT4G18350,            0.971139211342,   41
AT2G18550,    AT5G53290,            -0.971013204021,   42
AT1G51700,    AT5G58680,            0.970944563769,   43
AT1G68320,    AT1G64780,            -0.97075883849,   44
AT2G01060,    AT1G59530,            -0.969707080617,   45
AT1G51700,    AT2G36270,            -0.9693609676,   46
AT1G72740,    AT3G29650,            0.969300879366,   47
AT1G28470,    AT4G02290,            -0.96881554099,   48
AT1G79180,    AT1G78370,            -0.968487200367,   49
AT1G12610,    AT5G06760,            -0.967937490895,   50
AT1G69780,    AT1G53830,            0.967770701179,   51
AT2G06200,    AT1G10070,            -0.967697376459,   52
AT1G30490,    AT1G76880,            -0.967470410407,   53
AT1G52880,    AT4G25350,            -0.967002337512,   54
AT1G65910,    AT1G67110,            0.966932073527,   55
AT2G18550,    AT4G26320,            -0.966384218046,   56
AT1G43700,    AT1G33240,            -0.966128623397,   57
AT1G28470,    AT5G62340,            -0.966053528418,   58
AT1G74840,    AT4G04900,            0.966035006674,   59
AT1G51700,    AT1G72520,            0.96573401995,   60
AT1G30490,    AT1G48330,            -0.965376212898,   61
AT1G28470,    AT1G20823,            -0.965347827505,   62
AT1G53170,    AT1G09750,            0.965309339072,   63
AT1G77920,    AT1G10760,            0.965242775585,   64
AT1G29860,    AT3G42250,            0.965228711411,   65
AT1G76890,    AT3G24060,            0.964993845304,   66
AT2G01940,    AT4G19030,            0.964886105952,   67
AT1G28470,    AT1G64660,            0.964758124149,   68
AT1G53170,    AT3G58990,            0.96460678393,   69
AT1G27730,    AT1G30700,            -0.964536852096,   70
AT1G33240,    AT3G01260,            0.964457872405,   71
AT1G51700,    AT5G42650,            0.964157753436,   72
AT1G76890,    AT1G72240,            -0.964156910845,   73
AT2G18550,    AT3G45300,            0.96379385511,   74
AT2G27300,    AT3G25620,            -0.963725173659,   75
AT1G53170,    AT1G06570,            -0.963608317707,   76
AT1G08320,    AT1G12080,            -0.963439397689,   77
AT1G77920,    AT1G01140,            -0.96327959084,   78
AT1G77920,    AT5G59090,            -0.963154956291,   79
AT2G18550,    AT3G09220,            0.963062041933,   80
AT1G65910,    AT2G30140,            -0.962428966285,   81
AT1G03840,    AT5G11070,            0.962411847279,   82
AT1G22070,    AT1G37900,            -0.962290536789,   83
AT1G08320,    AT4G12580,            0.961900371129,   84
AT1G68320,    AT5G43890,            -0.961702104549,   85
AT1G79180,    AT5G66170,            0.961692410703,   86
AT1G33240,    AT5G19040,            0.961281318003,   87
AT1G74650,    AT1G28470,            0.961241133037,   88
AT1G75390,    AT5G19970,            0.961215396938,   89
AT2G28810,    AT3G42270,            0.960774862713,   90
AT1G74650,    AT3G46230,            0.960513408963,   91
AT1G52880,    AT3G26580,            0.960293079164,   92
AT2G27300,    AT5G46180,            -0.959548183681,   93
AT1G77920,    AT2G47710,            0.95943574577,   94
AT2G06200,    AT2G19900,            -0.959334686864,   95
AT1G69490,    AT4G14280,            -0.959280875958,   96
AT1G69780,    AT1G41797,            0.959186502951,   97
AT1G51700,    AT3G57950,            0.95918009746,   98
AT1G53170,    AT4G22460,            0.959168316681,   99
AT1G75390,    AT1G53940,            0.959137581666,   100
AT1G19210,    AT2G31250,            0.958916463941,   101
AT1G77920,    AT1G34670,            0.958626842025,   102
AT1G33240,    AT2G44110,            0.958487443968,   103
AT2G01940,    AT3G12610,            0.958439455898,   104
AT2G18550,    AT3G26740,            0.958219205537,   105
AT2G06200,    AT1G59660,            -0.957985369715,   106
AT1G53170,    AT1G70410,            0.957779754297,   107
AT1G33240,    AT2G17950,            0.957774918821,   108
AT1G68320,    AT1G44414,            0.957682611141,   109
AT1G52880,    AT5G38790,            -0.957672320834,   110
AT1G68320,    AT1G19050,            -0.957644855552,   111
AT2G06200,    AT2G28780,            0.957635743308,   112
AT1G33240,    AT5G17820,            0.957303165204,   113
AT1G51700,    AT5G24330,            0.957038315201,   114
AT2G18060,    AT1G29440,            -0.956889406827,   115
AT2G01940,    AT1G47960,            -0.956842629115,   116
AT1G33240,    AT2G05520,            -0.956511313168,   117
AT1G69780,    AT2G17820,            0.956468136105,   118
AT2G27300,    AT5G22390,            0.956408371184,   119
AT1G74650,    AT2G26150,            0.956212431955,   120
AT2G27300,    AT5G10130,            0.956147077851,   121
AT2G01060,    AT1G01190,            -0.955827514754,   122
AT1G76890,    AT5G17450,            0.955827427907,   123
AT2G06200,    AT3G22540,            0.955782759856,   124
AT1G52880,    AT1G26800,            0.955741620322,   125
AT1G76890,    AT3G51680,            -0.955631337356,   126
AT1G33240,    AT4G19230,            -0.955429862099,   127
AT1G06850,    AT1G20630,            -0.955321531593,   128
AT1G33240,    AT3G15650,            0.955236267747,   129
AT2G27300,    AT5G53250,            0.95514376346,   130
AT1G27730,    AT2G37700,            0.955133603788,   131
AT2G26960,    AT5G23790,            0.954605410382,   132
AT1G79180,    AT5G14780,            0.954597955868,   133
AT1G28470,    AT5G58070,            0.954537495921,   134
AT2G18550,    AT5G13170,            0.954453475425,   135
AT2G27300,    AT3G53540,            -0.95430320042,   136
AT2G06200,    AT3G50440,            -0.954234276001,   137
AT2G18550,    AT2G41290,            -0.954205309713,   138
AT1G33240,    AT5G42900,            -0.954148435642,   139
AT1G74650,    AT5G19250,            -0.954078309907,   140
AT1G19210,    AT1G24600,            -0.953721431037,   141
AT1G28370,    AT1G16850,            -0.953502925574,   142
AT2G27300,    AT5G43840,            -0.953370259159,   143
AT1G30490,    AT1G70710,            -0.953237338154,   144
AT1G52880,    AT1G28260,            0.953135761246,   145
AT1G08320,    AT5G66400,            0.952969477281,   146
AT2G02820,    AT5G15890,            0.952807357496,   147
AT1G69780,    AT1G77380,            -0.952475642519,   148
AT1G51700,    AT1G58180,            -0.952355805716,   149
AT1G77920,    AT1G72220,            -0.952236437184,   150
AT1G08320,    AT1G03090,            0.951869897307,   151
AT1G53170,    AT1G55510,            -0.951834927658,   152
AT1G77920,    AT3G52780,            0.951771587351,   153
AT1G03840,    AT1G78120,            0.951606252999,   154
AT1G68320,    AT1G62980,            -0.951400849256,   155
AT1G22070,    AT1G21890,            0.95121361965,   156
AT1G29160,    AT1G59730,            -0.951128987687,   157
AT1G77920,    AT1G29160,            0.951040544231,   158
AT1G51140,    AT1G34370,            0.950970098824,   159
AT1G53170,    AT4G09160,            0.950804074282,   160
AT1G33240,    AT3G54500,            0.950783967147,   161
AT1G28470,    AT1G52240,            -0.950772185085,   162
AT1G77920,    AT4G30270,            0.950706441464,   163
AT1G53170,    AT3G18200,            0.950339771823,   164
AT2G27300,    AT3G17690,            0.950313370112,   165
AT1G77920,    AT5G32410,            0.949974658332,   166
AT2G06200,    AT2G39220,            0.949898376489,   167
AT1G53170,    AT2G03090,            0.94988799939,   168
AT1G77200,    AT5G10100,            -0.949876673555,   169
AT2G02820,    AT3G10020,            -0.949724106712,   170
AT2G03500,    AT3G49090,            -0.949678253621,   171
AT2G27300,    AT4G31320,            0.949649995656,   172
AT1G52880,    AT5G02220,            -0.949541097162,   173
AT1G69490,    AT1G75030,            0.949462477169,   174
AT2G03500,    AT2G36760,            -0.949420773142,   175
AT1G33240,    AT2G20920,            -0.949218868531,   176
AT1G28370,    AT1G30650,            -0.948983330316,   177
AT1G52880,    AT2G40610,            -0.948731040748,   178
AT1G06850,    AT3G09640,            -0.948720810715,   179
AT1G08320,    AT1G19850,            0.948701863202,   180
AT1G77920,    AT4G14540,            0.948470596154,   181
AT2G20400,    AT1G60790,            -0.947583674322,   182
AT2G06200,    AT4G18810,            -0.947496351271,   183
AT1G69780,    AT5G28510,            -0.947408682018,   184
AT2G02820,    AT2G45180,            0.947288670775,   185
AT1G50640,    AT1G43840,            -0.947266234596,   186
AT1G51700,    AT1G48510,            0.947133886793,   187
AT1G06850,    AT5G54050,            0.947127083726,   188
AT2G27300,    AT1G50090,            0.947046409213,   189
AT2G27300,    AT4G13770,            0.946898196169,   190
AT1G33240,    AT3G53510,            -0.946639929504,   191
AT1G19210,    AT5G51470,            0.94656813297,   192
AT1G77920,    AT1G29660,            -0.946561102335,   193
AT2G02820,    AT1G62280,            0.946303196014,   194
AT1G53170,    AT2G18550,            -0.946301494726,   195
AT2G18550,    AT1G53170,            -0.946301494726,   196
AT1G27730,    AT3G54400,            0.946299093219,   197
AT1G33240,    AT1G78960,            -0.94614751045,   198
AT1G68200,    AT3G16960,            0.946128288083,   199
AT1G43700,    AT3G59130,            -0.9461065845,   200
AT2G01940,    AT1G30840,            0.94600254159,   201
AT1G68320,    AT4G16620,            0.945996800561,   202
AT1G33240,    AT1G22010,            -0.945919096211,   203
AT1G59640,    AT2G25160,            -0.945868838603,   204
AT1G19850,    AT3G19710,            -0.945662924944,   205
AT1G33240,    AT1G04180,            0.945443618331,   206
AT2G02820,    AT5G25610,            -0.945433859418,   207
AT2G01940,    AT5G66110,            -0.945189735959,   208
AT2G06200,    AT1G22070,            -0.944913142568,   209
AT2G01940,    AT1G20190,            0.944803309805,   210
AT1G53170,    AT1G48000,            -0.944707288558,   211
AT1G50640,    AT4G00350,            -0.944571502297,   212
AT1G33240,    AT1G04040,            0.944539024871,   213
AT1G34670,    AT1G14220,            -0.94430384257,   214
AT1G68320,    AT1G62940,            -0.944198567206,   215
AT1G03840,    AT1G04680,            0.944156682899,   216
AT1G33240,    AT1G54160,            -0.944087329196,   217
AT1G78700,    AT1G17950,            -0.943674154301,   218
AT1G28470,    AT1G71000,            0.943611164744,   219
AT2G06200,    AT5G56320,            0.943570686022,   220
AT1G08320,    AT2G29650,            -0.943568824267,   221
AT2G27300,    AT1G69490,            -0.943490676817,   222
AT1G69780,    AT4G19690,            0.94323662843,   223
AT1G08320,    AT4G19810,            0.943158784566,   224
AT2G18550,    AT4G25250,            -0.942961742333,   225
AT2G27300,    AT5G24070,            0.942937280175,   226
AT2G01940,    AT2G31730,            0.942757138704,   227
AT1G77920,    AT5G19520,            -0.942685859587,   228
AT2G18550,    AT3G46780,            0.942667872065,   229
AT2G01060,    AT3G47500,            -0.942555058859,   230
AT1G50640,    AT1G75290,            -0.942389385789,   231
AT2G18550,    AT3G18170,            -0.942366009659,   232
AT1G69780,    AT1G56680,            0.942230934631,   233
AT2G27300,    AT2G03060,            -0.94213011133,   234
AT1G03840,    AT3G62410,            -0.941973276689,   235
AT1G68320,    AT1G52060,            -0.941727711573,   236
AT1G33240,    AT4G24580,            0.94168424723,   237
AT2G18060,    AT2G11650,            -0.941653261107,   238
AT1G19850,    AT1G20160,            -0.941402588849,   239
AT1G08320,    AT5G19730,            -0.941355433697,   240
AT1G52880,    AT3G29410,            -0.941284046456,   241
AT1G69490,    AT1G79180,            0.941169428187,   242
AT1G77200,    AT5G39050,            -0.941120450347,   243
AT1G76890,    AT4G11190,            -0.940990684015,   244
AT1G33240,    AT4G31830,            -0.940905224143,   245
AT1G74650,    AT3G44990,            -0.940741239114,   246
AT1G51700,    AT1G26560,            -0.940595026993,   247
AT1G69780,    AT5G19410,            -0.940402705823,   248
AT1G69780,    AT2G02620,            0.940371933141,   249
AT1G51700,    AT4G03010,            0.940252268512,   250
AT1G30650,    AT5G23400,            -0.94024268033,   251
AT1G43700,    AT1G33750,            -0.94020496215,   252
AT1G28470,    AT2G18800,            -0.94004606327,   253
AT2G01940,    AT5G44020,            0.939738859482,   254
AT2G02820,    AT5G48180,            -0.939592852088,   255
AT1G53170,    AT1G07430,            -0.939574648019,   256
AT1G28470,    AT5G58080,            -0.939106063922,   257
AT1G53170,    AT3G20810,            -0.938881363187,   258
AT1G76890,    AT2G02630,            -0.938754451529,   259
AT1G69490,    AT2G28160,            -0.938747095187,   260
AT1G51700,    AT4G34410,            0.938671060081,   261
AT1G77920,    AT1G23320,            -0.938327077622,   262
AT1G28470,    AT5G62280,            -0.938282729542,   263
AT1G52880,    AT2G35300,            0.938257034617,   264
AT2G18550,    AT4G35300,            0.938181968843,   265
AT2G02820,    AT3G50740,            0.938178757392,   266
AT1G76890,    AT1G60470,            0.938015353727,   267
AT1G28470,    AT5G18340,            0.937918109111,   268
AT1G28470,    AT2G41970,            -0.937800132087,   269
AT1G33240,    AT5G60520,            0.937676671543,   270
AT1G53170,    AT3G08870,            -0.937370442805,   271
AT1G55110,    AT2G36950,            0.937116023227,   272
AT1G08320,    AT4G12410,            0.936928518293,   273
AT1G08320,    AT5G52640,            0.936446966216,   274
AT1G22070,    AT1G35230,            -0.936082155051,   275
AT1G27730,    AT3G02480,            -0.935457748862,   276
AT1G51700,    AT1G27730,            0.935337127289,   277
AT1G77920,    AT4G03210,            -0.935238552359,   278
AT1G28470,    AT2G46650,            -0.934963241122,   279
AT2G02820,    AT4G38120,            0.93476005263,   280
AT1G34670,    AT4G22010,            -0.934695440542,   281
AT1G53170,    AT3G24750,            0.934579166182,   282
AT1G52880,    AT3G44880,            0.934430751776,   283
AT1G49010,    AT3G26700,            -0.934330266344,   284
AT1G47655,    AT4G11400,            -0.933967386216,   285
AT1G28370,    AT3G09430,            0.933696360475,   286
AT1G30490,    AT1G78430,            -0.933476331583,   287
AT1G01720,    AT3G12320,            0.933296362485,   288
AT1G51700,    AT3G09390,            -0.93322974183,   289
AT1G77920,    AT3G53650,            -0.93319723777,   290
AT1G77200,    AT1G51700,            0.932841449197,   291
AT1G08320,    AT4G11290,            -0.932272169658,   292
AT1G19210,    AT4G33980,            -0.932224583359,   293
AT1G79180,    AT3G59420,            -0.932104000116,   294
AT1G12610,    AT1G78700,            0.931801895927,   295
AT1G74650,    AT5G49870,            -0.931533392063,   296
AT2G27300,    AT1G01770,            -0.931441951255,   297
AT1G76890,    AT1G69780,            -0.931389436182,   298
AT2G27300,    AT5G27230,            0.931316251419,   299
AT2G01060,    AT1G52050,            -0.931312489577,   300
AT1G77200,    AT1G32870,            -0.930930852739,   301
AT1G74650,    AT3G24500,            0.930907928351,   302
AT1G03840,    AT5G45700,            0.930549171455,   303
AT2G27300,    AT3G14310,            0.93047840771,   304
AT2G02820,    AT1G79060,            0.930356328796,   305
AT2G27300,    AT1G76890,            -0.929996875484,   306
AT1G76890,    AT2G27300,            -0.929996875484,   307
AT1G30490,    AT1G71692,            -0.92989588782,   308
AT2G27300,    AT4G27720,            0.929754544989,   309
AT1G71450,    AT5G29080,            -0.929645846528,   310
AT1G75390,    AT1G04060,            0.929638510881,   311
AT2G18550,    AT3G19430,            -0.929575724983,   312
AT2G18550,    AT1G75390,            -0.929367233715,   313
AT1G77920,    AT1G52880,            0.929331176083,   314
AT1G52880,    AT1G77920,            0.929331176083,   315
AT1G53170,    AT2G37380,            0.929027406181,   316
AT1G69780,    AT1G09310,            -0.928956186193,   317
AT1G74650,    AT1G03790,            0.928922951706,   318
AT2G18550,    AT5G56540,            -0.92880215988,   319
AT2G18060,    AT4G37160,            0.928734548688,   320
AT2G27300,    AT1G63240,            -0.928481208282,   321
AT2G18550,    AT2G43140,            -0.928445442313,   322
AT1G52880,    AT1G14730,            0.928380043435,   323
AT1G22070,    AT3G21340,            -0.928264017453,   324
AT1G74650,    AT1G78970,            0.928162530344,   325
AT1G34670,    AT2G16230,            -0.928153317591,   326
AT1G69780,    AT2G26690,            -0.928131211961,   327
AT1G50640,    AT1G71420,            -0.927872744736,   328
AT1G08320,    AT5G06710,            -0.927838746862,   329
AT1G76890,    AT1G71690,            -0.927780549251,   330
AT1G49010,    AT5G09990,            0.92776274281,   331
AT1G51700,    AT1G52560,            -0.927306572785,   332
AT1G43700,    AT2G03360,            0.926790216686,   333
AT1G47655,    AT3G55720,            -0.926789859673,   334
AT1G69780,    AT1G19200,            -0.926770796793,   335
AT2G27300,    AT1G20030,            -0.926686188131,   336
AT1G69780,    AT2G38540,            -0.926554410942,   337
AT1G52880,    AT4G12030,            -0.926266157595,   338
AT1G19850,    AT3G54770,            -0.926188135991,   339
AT1G77920,    AT1G72100,            0.926046608607,   340
AT1G51700,    AT5G07240,            0.925846420562,   341
AT1G49010,    AT1G20970,            0.925712961648,   342
AT1G33240,    AT1G65110,            0.925679238856,   343
AT2G27300,    AT3G21720,            -0.925635054421,   344
AT1G69780,    AT2G23630,            0.925532011926,   345
AT1G28470,    AT5G59040,            0.925254371777,   346
AT2G06200,    AT3G10340,            -0.925092188875,   347
AT1G53170,    AT3G24510,            0.925088402244,   348
AT1G69780,    AT3G31403,            0.924838034887,   349
AT2G02820,    AT2G43100,            0.924668481261,   350
AT2G18060,    AT5G04310,            0.924176151214,   351
AT1G51700,    AT4G09600,            -0.924159667324,   352
AT1G19850,    AT3G22020,            0.924158992039,   353
AT1G51140,    AT1G14430,            0.924113400073,   354
AT1G74840,    AT3G29970,            -0.923986122436,   355
AT1G28470,    AT1G75040,            0.923977022342,   356
AT1G53170,    AT3G15200,            0.923702002999,   357
AT1G75390,    AT3G53040,            -0.923425468837,   358
AT1G22070,    AT4G25470,            -0.923058750803,   359
AT1G52880,    AT1G02205,            0.923048679768,   360
AT1G43700,    AT2G04500,            -0.922816240357,   361
AT1G08320,    AT3G04980,            -0.922760655848,   362
