regulator,    target,    score,    rank
AT2G01060,    AT4G00680,            0.999162523585,   1
AT1G51700,    AT5G61560,            0.999090880316,   2
AT1G76420,    AT5G46330,            0.996675589077,   3
AT1G22810,    AT1G19000,            -0.996062283779,   4
AT1G68550,    AT1G28370,            0.994821375775,   5
AT1G68550,    AT1G28370,            0.994821375775,   6
AT1G69780,    AT1G29280,            0.993880941609,   7
AT1G69780,    AT1G73800,            -0.993858671606,   8
AT1G29280,    AT3G26520,            0.992989326651,   9
AT1G28160,    AT1G24260,            0.992781804761,   10
AT1G22810,    AT1G69080,            -0.991738057933,   11
AT1G22810,    AT1G68840,            0.990875048588,   12
AT2G23320,    AT4G18950,            0.990832803139,   13
AT1G22810,    AT3G53600,            0.990573709274,   14
AT1G19000,    AT2G41640,            -0.989376930796,   15
AT1G51700,    AT4G17500,            0.989337429629,   16
AT2G01060,    AT3G32040,            0.98827978479,   17
AT1G01060,    AT5G67400,            0.987560410285,   18
AT1G34180,    AT3G05390,            0.987192439337,   19
AT1G01060,    AT3G15540,            -0.98636521938,   20
AT2G31230,    AT1G25550,            0.986296831987,   21
AT1G51700,    AT5G19530,            -0.986232547019,   22
AT1G34180,    AT3G55450,            0.986075702774,   23
AT1G69780,    AT4G39830,            -0.98556564595,   24
AT1G76420,    AT5G24540,            0.985344394728,   25
AT1G49480,    AT2G24130,            -0.984924695332,   26
AT2G23290,    AT1G69840,            0.984874889319,   27
AT1G51700,    AT2G28470,            -0.984852572864,   28
AT1G49480,    AT5G26920,            -0.984498918866,   29
AT1G49480,    AT4G01950,            -0.984454415905,   30
AT1G69780,    AT2G29660,            0.984268406665,   31
AT1G30490,    AT2G47290,            -0.984256762261,   32
AT2G18350,    AT5G24550,            0.984103342734,   33
AT2G01060,    AT4G39640,            -0.984049178951,   34
AT1G30490,    ATMG01330,            -0.984049063718,   35
AT1G52150,    AT5G22570,            -0.984012673801,   36
AT2G18350,    AT5G62470,            0.983972313905,   37
AT1G49480,    AT2G47550,            -0.983546720692,   38
AT2G23320,    AT4G27657,            0.983348622962,   39
