regulator,    target,    score,    rank
AT1G32150,    AT2G06220,            -0.983882703497,   1
AT2G28810,    AT1G30135,            -0.982932468071,   2
AT1G52150,    AT2G13310,            -0.982028156035,   3
AT1G44830,    AT2G21000,            -0.973868366238,   4
AT1G74650,    AT2G23920,            0.973463908838,   5
AT1G30490,    AT2G01300,            -0.972319610246,   6
AT1G19210,    AT1G74450,            0.971583425542,   7
AT2G23340,    AT1G42630,            0.971319029181,   8
AT1G19040,    AT2G12880,            0.971262145442,   9
AT2G18350,    AT1G16030,            0.96928588431,   10
AT1G76890,    AT4G08190,            0.966550752324,   11
AT1G30650,    AT4G23220,            -0.963660456753,   12
AT1G68200,    AT5G04010,            0.957235762675,   13
AT1G52150,    AT2G12210,            -0.956328231314,   14
AT2G18160,    AT4G18860,            0.955377908774,   15
AT2G18160,    AT1G41930,            -0.953741695175,   16
AT1G75390,    AT3G59830,            0.953368896795,   17
AT1G72740,    AT1G34240,            -0.948445316734,   18
AT1G43160,    AT1G69780,            -0.946624686927,   19
AT1G75240,    AT4G28160,            -0.943933540833,   20
AT2G02080,    AT1G33900,            -0.943763866174,   21
AT1G01060,    AT5G45340,            0.943215202043,   22
AT2G23320,    AT5G20230,            0.939659767834,   23
AT1G80840,    AT3G55980,            0.938795479337,   24
AT1G16490,    AT1G55430,            0.938136631157,   25
AT2G28810,    AT1G53170,            -0.934256202473,   26
AT2G20110,    AT4G10880,            -0.932677162912,   27
AT1G44830,    AT4G35210,            0.931377059791,   28
AT1G53170,    AT5G67080,            0.930983057647,   29
AT1G09540,    AT5G43890,            -0.928003234906,   30
AT2G23290,    AT3G29750,            -0.92781998589,   31
AT1G09540,    AT5G22860,            0.927462765602,   32
AT1G74480,    AT1G73800,            -0.925461922866,   33
AT1G19210,    AT3G07650,            -0.925015447092,   34
AT1G34180,    AT3G50060,            -0.924235539801,   35
AT2G18160,    AT4G22590,            -0.923867685036,   36
AT2G28810,    AT1G34670,            0.922144751,   37
AT2G23290,    AT1G56300,            -0.921151896,   38
AT1G43160,    AT3G63020,            0.920744461319,   39
AT1G75390,    AT1G27940,            0.919840439296,   40
AT1G34180,    AT3G63380,            0.918529695446,   41
AT1G34180,    AT5G12030,            0.916878961273,   42
AT1G29280,    AT1G76790,            0.915610777295,   43
AT1G19850,    AT3G08860,            0.915168177666,   44
AT1G30650,    AT5G57190,            -0.915092038251,   45
AT1G19000,    AT3G21230,            -0.915046126516,   46
AT1G69010,    AT2G23290,            -0.91497203283,   47
AT2G18380,    AT5G56850,            0.913347087933,   48
AT1G12610,    AT1G68500,            -0.913191780871,   49
AT1G72740,    AT5G37540,            0.912322407362,   50
AT1G69010,    AT5G39610,            0.912059043654,   51
AT2G28810,    AT4G35180,            -0.910415371011,   52
AT1G16490,    AT5G14700,            0.91037090083,   53
AT2G20400,    AT5G51490,            -0.910095825361,   54
AT1G19210,    AT1G73120,            0.9099563233,   55
AT1G16490,    AT1G69880,            -0.909466086822,   56
AT2G30590,    AT1G51115,            0.907799705422,   57
AT1G43160,    AT1G41276,            0.907686616551,   58
AT1G51700,    AT1G01060,            0.905557829477,   59
AT1G51700,    AT1G01060,            0.905557829477,   60
AT1G69010,    AT1G23710,            -0.905430021632,   61
AT1G69780,    AT5G05600,            -0.905241923228,   62
AT1G69010,    AT3G56710,            -0.90494739378,   63
AT2G28810,    AT4G22620,            -0.904508731438,   64
AT1G78700,    AT4G15700,            0.903874725354,   65
AT2G02070,    AT4G04560,            -0.902909371962,   66
AT1G28370,    AT3G56880,            0.902757885518,   67
AT2G18550,    AT3G42360,            -0.902188006341,   68
AT1G19850,    AT1G28260,            0.902156011466,   69
AT1G80840,    AT1G66760,            0.900550535261,   70
AT1G19000,    AT3G14760,            -0.900114899455,   71
AT1G29860,    AT5G06040,            0.89932373467,   72
AT1G69010,    AT5G58680,            -0.899273070031,   73
AT1G25550,    AT1G73805,            0.899239751696,   74
AT1G19210,    AT1G32640,            0.898636645093,   75
AT1G08320,    AT1G25550,            0.898598067096,   76
AT1G19000,    AT2G26320,            0.898262367896,   77
AT1G74480,    AT1G09070,            -0.89710456181,   78
AT2G28810,    AT3G55840,            -0.897051255998,   79
AT2G18550,    AT5G32590,            -0.896365744251,   80
AT1G51700,    AT2G02120,            -0.895638835592,   81
AT1G30650,    AT3G23040,            0.895502267469,   82
AT2G01930,    AT1G44350,            -0.892825372755,   83
AT1G34180,    AT4G33980,            0.891984748295,   84
AT1G69010,    AT5G46295,            -0.891232656975,   85
AT1G69010,    AT1G09930,            -0.889737163937,   86
AT1G16490,    AT3G59350,            0.8889676868,   87
AT1G69010,    AT3G16860,            -0.888429875851,   88
AT2G18060,    AT3G16120,            0.888397441603,   89
AT1G51700,    AT1G63750,            0.888099160955,   90
AT1G68200,    AT3G16970,            -0.887844204783,   91
AT2G18160,    AT4G30430,            -0.887699985487,   92
AT1G65910,    AT3G43010,            -0.88739836309,   93
AT1G09540,    AT2G17470,            0.886921718259,   94
AT1G19210,    AT5G24470,            -0.885571509384,   95
AT1G19000,    AT5G20330,            0.885044711414,   96
AT1G19000,    AT1G74650,            0.884999185855,   97
AT1G68320,    AT1G53620,            -0.884520578146,   98
AT1G72740,    AT2G25460,            0.884483722273,   99
AT1G71450,    AT5G24110,            0.883957235675,   100
AT1G16490,    AT2G24600,            0.883351350306,   101
AT1G53170,    AT1G76640,            0.883214744848,   102
AT1G51700,    AT5G42650,            0.882956023446,   103
AT2G01940,    AT2G39250,            -0.882568959626,   104
AT1G77200,    AT1G72240,            0.882094398773,   105
AT2G01930,    AT1G32970,            -0.881851020458,   106
AT1G12610,    AT5G56570,            -0.881084571603,   107
AT1G30650,    AT1G62320,            -0.88082000997,   108
AT1G28370,    AT5G02570,            0.880126320895,   109
AT2G23290,    AT1G17665,            -0.879648922675,   110
AT2G31230,    AT4G36655,            0.879457336458,   111
AT1G79180,    AT1G42570,            0.879252903787,   112
AT1G70920,    AT2G27620,            0.878844269704,   113
AT2G30250,    AT5G65130,            0.87835192803,   114
AT1G51700,    AT1G17740,            -0.876937894431,   115
AT2G28810,    AT3G19890,            0.876543542005,   116
AT1G51700,    AT4G31800,            0.876241375919,   117
AT1G51700,    AT3G21080,            0.87572696388,   118
AT2G28810,    AT2G15740,            0.875629269288,   119
AT1G51700,    AT4G11280,            0.875127117396,   120
AT1G69010,    AT1G20823,            -0.874570701286,   121
AT2G23290,    AT3G12900,            0.874136793665,   122
AT2G23290,    AT2G03500,            -0.873809352125,   123
AT1G71450,    AT5G48010,            -0.873798005406,   124
AT1G53170,    AT1G20400,            0.873005543974,   125
AT1G78700,    AT5G52390,            -0.872853247349,   126
AT2G18060,    AT5G11070,            -0.872680648984,   127
AT1G69010,    AT5G17350,            -0.871332370831,   128
AT2G18380,    AT1G11210,            0.870862188185,   129
AT1G69010,    AT4G25470,            -0.870206399859,   130
AT1G30650,    AT3G42900,            0.870116529123,   131
AT1G51700,    AT5G58120,            0.869814937365,   132
AT1G16490,    AT2G46510,            0.868576236737,   133
AT1G16490,    AT1G78280,            0.867742212958,   134
AT1G18330,    AT5G62110,            -0.867739830254,   135
AT1G70920,    AT5G58180,            0.866748743737,   136
AT1G65910,    AT1G31750,            0.866744634732,   137
AT1G74840,    AT4G07900,            -0.866446572922,   138
AT1G01060,    AT1G74930,            0.866370148339,   139
AT1G69010,    AT2G41010,            -0.866310772204,   140
AT1G53170,    AT4G14680,            0.866271570009,   141
AT1G36060,    AT2G04670,            -0.866072365908,   142
