regulator,    target,    score,    rank
AT1G22070,    AT1G10770,            0.991178463479,   1
AT1G64620,    AT4G17110,            -0.989167420119,   2
AT1G55110,    AT3G22090,            0.988919445947,   3
AT1G47655,    AT1G17300,            -0.983812049244,   4
AT1G74840,    AT3G57760,            0.978183289228,   5
AT2G03340,    AT1G72940,            -0.971758368946,   6
AT1G12610,    AT5G04340,            0.968831181525,   7
AT1G50640,    AT2G02340,            0.967700332189,   8
AT1G06850,    AT3G50500,            -0.967619810864,   9
AT1G01060,    AT1G06460,            -0.966187126687,   10
AT1G12610,    AT5G56800,            0.964614105449,   11
AT2G02080,    AT3G21780,            -0.964039652037,   12
AT1G46768,    AT5G10500,            0.961427907695,   13
AT1G75390,    AT5G58310,            -0.960164664448,   14
AT1G33240,    AT1G35150,            -0.957355021382,   15
AT1G77920,    AT4G18240,            0.956145429814,   16
AT2G03340,    AT1G72920,            -0.955673840466,   17
AT1G64620,    AT5G39410,            -0.955308758669,   18
AT1G01060,    AT2G21660,            -0.953870954121,   19
AT1G47655,    AT3G49090,            -0.952947107943,   20
AT1G01060,    AT4G34150,            0.952871605235,   21
AT1G74480,    AT1G36756,            -0.952461117775,   22
AT1G69490,    AT2G20480,            -0.951750752145,   23
AT1G49480,    AT1G36110,            -0.951074467552,   24
AT1G69690,    AT2G10620,            -0.950838829129,   25
AT1G22810,    AT5G46300,            0.950811576883,   26
AT1G01060,    AT5G25190,            0.947349631677,   27
AT1G01060,    AT5G22390,            0.94547495857,   28
AT1G50640,    AT1G64380,            0.945363087346,   29
AT1G30210,    AT1G51700,            -0.945187262914,   30
AT1G30210,    AT1G51700,            -0.945187262914,   31
AT1G64620,    AT2G25930,            -0.944464683974,   32
AT2G15740,    AT4G37990,            -0.943864754152,   33
AT1G01060,    AT5G13330,            -0.943629197488,   34
AT1G19040,    AT3G09610,            0.943540233506,   35
AT1G01720,    AT2G12230,            0.943512762993,   36
AT1G01720,    AT1G69780,            -0.943464597323,   37
AT1G69490,    AT3G22610,            0.943021954675,   38
AT2G03340,    AT3G57770,            0.942659166683,   39
AT1G68320,    AT2G36630,            0.941977685671,   40
AT1G12610,    AT2G13310,            -0.941150012737,   41
AT2G18160,    AT3G60940,            -0.940442023899,   42
AT1G55110,    AT4G02330,            0.939677563794,   43
AT1G30210,    AT5G20230,            -0.93848674644,   44
AT1G34370,    AT3G24280,            -0.938388088775,   45
AT2G32460,    AT3G12955,            0.937785430798,   46
AT1G01060,    AT3G29320,            -0.937152210764,   47
AT1G34190,    AT5G44670,            -0.93696701293,   48
AT1G43700,    AT4G03740,            0.936508170169,   49
AT1G64620,    AT3G12320,            0.936444012106,   50
AT2G02450,    AT1G53170,            0.936434828157,   51
AT2G02450,    AT1G53170,            0.936434828157,   52
AT1G47655,    AT2G31700,            0.936171115505,   53
AT1G75240,    AT1G68840,            0.93523562852,   54
AT1G30210,    AT1G27730,            -0.934756170933,   55
AT1G30210,    AT1G27730,            -0.934756170933,   56
AT1G49010,    AT1G52880,            -0.934433463905,   57
AT1G46768,    AT2G21130,            -0.932454613485,   58
AT1G01720,    AT1G05100,            0.929996723665,   59
AT1G75240,    AT1G01530,            0.929635248817,   60
AT2G18160,    AT2G27690,            -0.928621470122,   61
AT1G01060,    AT3G47420,            0.92804332754,   62
AT1G75390,    AT1G70950,            0.927788826382,   63
AT1G01060,    AT5G28200,            0.927317577383,   64
AT1G06850,    AT5G45340,            0.926698092961,   65
AT1G20910,    AT5G26696,            -0.926267786638,   66
AT1G74840,    AT3G54500,            0.926126657153,   67
AT2G23290,    AT1G13130,            0.925857572108,   68
AT1G46768,    AT2G03340,            -0.925584301907,   69
AT1G77920,    AT3G46970,            0.924659553889,   70
AT2G32460,    AT1G70985,            0.924332339872,   71
AT1G64620,    AT5G06980,            0.924304348316,   72
AT1G76880,    AT1G06540,            0.923014768546,   73
AT1G29160,    AT1G74010,            0.922839879066,   74
AT2G32460,    AT3G24470,            0.922801207634,   75
AT1G01060,    AT3G56880,            0.921917785286,   76
AT1G14687,    AT2G06020,            -0.921862125187,   77
AT1G64620,    AT1G49480,            -0.921677811038,   78
AT1G01060,    AT1G33760,            0.921578303675,   79
AT2G20110,    AT4G17500,            0.921198536368,   80
AT1G77920,    AT5G46295,            -0.921165106043,   81
AT1G01060,    AT5G63810,            -0.921113219141,   82
AT2G02450,    AT3G56090,            0.920953844678,   83
AT2G30250,    AT1G60190,            0.920241015369,   84
AT1G69490,    AT2G25730,            -0.920154930666,   85
AT1G59640,    AT5G18470,            0.918921322008,   86
AT1G01060,    AT1G77920,            -0.918820030536,   87
AT2G20400,    AT1G09080,            -0.918646332699,   88
AT1G01060,    AT5G59820,            0.918557237455,   89
AT1G64620,    AT2G16660,            -0.917075855926,   90
AT1G19040,    AT3G60650,            0.917006053841,   91
AT1G51700,    AT5G61600,            0.916487979448,   92
AT1G64620,    AT3G28740,            -0.916340746142,   93
AT1G01060,    AT3G08860,            -0.916216134374,   94
AT2G02080,    AT2G36050,            0.915865679226,   95
AT1G34180,    AT5G57660,            -0.915133231963,   96
AT1G77920,    AT5G62720,            0.915109087349,   97
AT1G30210,    AT2G45560,            0.913939562165,   98
AT1G01060,    AT5G57630,            -0.913338105864,   99
AT1G64620,    AT3G22840,            0.912650895765,   100
AT1G69010,    AT5G13170,            0.911501013545,   101
AT1G19040,    AT1G33817,            -0.911051939725,   102
AT1G75240,    AT1G21910,            0.911014299295,   103
AT2G22430,    AT3G25780,            0.910314663375,   104
AT2G18550,    AT2G10650,            0.91030966586,   105
AT1G69490,    AT4G27290,            0.909804388057,   106
AT1G52880,    AT1G50640,            0.909607813027,   107
AT1G64620,    AT3G14310,            -0.909400371487,   108
AT1G12260,    AT1G63030,            -0.908939511709,   109
AT1G33240,    AT2G15390,            -0.908418607896,   110
AT1G34180,    AT5G06570,            -0.908285168883,   111
AT1G01060,    AT5G12020,            -0.907925653956,   112
AT2G02450,    AT4G22590,            0.907669231947,   113
AT1G01720,    AT2G02450,            0.907615825399,   114
AT2G02450,    AT1G01720,            0.907615825399,   115
AT2G02450,    AT1G01720,            0.907615825399,   116
AT1G12610,    AT5G23820,            -0.907498833495,   117
AT2G20110,    AT4G31800,            0.90737313539,   118
AT1G01720,    AT5G02580,            -0.907287063119,   119
AT1G64620,    AT4G33700,            -0.906394932987,   120
AT1G69490,    AT2G15490,            -0.906386405907,   121
AT1G25550,    AT4G11650,            -0.906168222107,   122
AT1G64620,    AT1G49490,            0.905429287183,   123
AT1G46768,    AT1G19960,            -0.905321173991,   124
AT1G71450,    AT5G49870,            0.904522956593,   125
AT1G77920,    AT1G33960,            0.904160710135,   126
AT1G64620,    AT1G48100,            0.903903354498,   127
AT1G74840,    AT2G43510,            -0.903569970796,   128
AT1G64620,    AT4G04330,            -0.902959692033,   129
AT1G64620,    AT5G03240,            -0.902799535938,   130
AT1G53170,    AT2G24600,            0.90254531032,   131
AT1G71450,    AT5G43150,            0.902264296376,   132
AT1G68320,    AT3G50060,            0.901195666249,   133
AT1G01720,    AT4G29570,            0.899983023332,   134
AT1G64620,    AT5G15950,            0.899322153125,   135
AT1G74840,    AT5G56830,            0.899248025869,   136
AT1G77920,    AT4G24110,            -0.898849628775,   137
AT1G30210,    AT2G15830,            0.898658522573,   138
AT2G20110,    AT5G49520,            0.898183422673,   139
AT1G01060,    AT1G52830,            0.897903524861,   140
AT1G75390,    AT5G45820,            0.897277620079,   141
AT2G20110,    AT1G08860,            0.897243995387,   142
AT1G69010,    AT4G05330,            -0.896955779067,   143
AT1G75240,    AT2G28900,            -0.896278087152,   144
AT1G01060,    AT4G16820,            0.896245650103,   145
AT1G74840,    AT2G18700,            0.895530779982,   146
AT2G18160,    AT1G20450,            -0.895042501118,   147
AT2G02820,    AT5G44210,            -0.894998580264,   148
AT1G01060,    AT1G36940,            -0.894824412841,   149
AT1G01060,    AT5G60100,            -0.894687572558,   150
AT1G22070,    AT4G18520,            0.894633061404,   151
AT1G53910,    AT4G17490,            -0.894569325129,   152
AT1G16490,    AT4G19780,            0.893957890216,   153
AT1G64620,    AT5G23730,            0.893934431482,   154
AT1G01060,    AT1G13930,            -0.89388728169,   155
AT1G01720,    AT1G17420,            0.893673390918,   156
AT1G01060,    AT1G19050,            0.892991957246,   157
