regulator,    target,    score,    rank
AT2G23290,    AT2G06220,            0.999586572862,   1
AT1G75240,    AT3G32280,            0.995542177813,   2
AT1G19210,    AT2G12210,            -0.993417459405,   3
AT2G02080,    AT3G45140,            -0.992483025836,   4
AT1G02250,    AT2G01060,            0.989960546002,   5
AT1G06850,    AT4G33130,            0.987443186184,   6
AT1G68200,    AT2G45570,            0.986056253239,   7
AT2G02080,    AT1G19850,            0.984604281158,   8
AT1G34190,    AT3G22700,            -0.983649166525,   9
AT1G19850,    AT2G27620,            0.983640022815,   10
AT1G36060,    AT4G22770,            -0.983247621318,   11
AT2G27300,    AT3G48640,            0.981508203309,   12
AT1G68200,    AT1G31850,            0.980239489752,   13
AT1G68200,    AT1G08260,            0.978585125783,   14
AT1G69570,    AT1G70810,            -0.974302415508,   15
AT1G01060,    AT5G54300,            0.973525143094,   16
AT2G28810,    AT2G01940,            -0.972207220046,   17
AT1G62300,    AT5G11460,            0.969974705732,   18
AT1G62300,    AT2G30250,            0.969896735181,   19
AT1G62300,    AT2G30250,            0.969896735181,   20
AT1G01250,    AT5G49590,            -0.969839440394,   21
AT2G31230,    AT4G27280,            -0.96983651688,   22
AT2G02080,    AT1G75240,            0.968210064173,   23
AT2G22430,    AT1G17990,            -0.967448229939,   24
AT1G22070,    AT5G24280,            0.967108857399,   25
AT1G49560,    AT5G51570,            0.966667836825,   26
AT1G69180,    AT2G18700,            0.964908952047,   27
AT1G28160,    AT1G31690,            -0.964333541375,   28
AT1G34190,    AT3G28320,            -0.96428686881,   29
AT1G28160,    AT5G45210,            0.964056301412,   30
AT1G69570,    AT3G46970,            -0.963452067118,   31
AT1G49560,    AT5G26570,            0.963298266075,   32
AT1G22070,    AT4G19130,            0.9618162207,   33
AT1G29160,    AT1G17745,            0.961441524227,   34
AT1G52150,    AT3G55670,            -0.96116993949,   35
AT1G28160,    AT5G02220,            -0.961137851576,   36
AT1G02250,    AT2G14490,            0.960739653183,   37
AT1G28160,    AT1G69780,            0.960735618345,   38
AT1G68200,    AT3G43040,            0.960586133088,   39
AT1G19850,    AT2G42380,            0.958494511493,   40
AT2G02080,    AT1G51960,            0.95811764533,   41
AT1G68320,    AT2G28810,            -0.956965858997,   42
AT2G28810,    AT1G68320,            -0.956965858997,   43
AT2G22430,    AT1G15550,            -0.956881354147,   44
AT2G23320,    AT1G35910,            -0.956817509728,   45
AT1G62300,    AT5G60250,            0.956105315368,   46
AT1G74840,    AT2G27690,            0.956008521058,   47
AT1G74650,    AT5G02190,            0.955789505721,   48
AT2G01060,    AT1G56360,            0.955757857384,   49
AT1G70920,    AT2G22940,            0.954887019897,   50
AT1G79180,    AT3G62550,            0.954785748977,   51
AT2G23320,    AT2G04640,            0.953549624764,   52
AT2G23340,    AT1G11260,            -0.95334159194,   53
AT1G74840,    AT2G25900,            0.952654889898,   54
AT1G32870,    AT1G68840,            -0.951490874496,   55
AT2G23340,    AT1G32780,            -0.951234056613,   56
AT2G28810,    AT1G73830,            -0.950710353766,   57
AT2G23340,    AT5G28860,            -0.949961897333,   58
AT1G52150,    AT2G13070,            -0.94991597437,   59
AT1G68200,    AT2G47680,            0.948670890765,   60
AT1G69570,    AT3G10890,            0.948616065039,   61
AT1G49560,    AT1G17460,            0.947361889973,   62
AT1G49560,    AT5G48110,            -0.946637897641,   63
AT1G28160,    AT4G38400,            0.94660466426,   64
AT1G49560,    AT2G40130,            0.946474787502,   65
AT1G75240,    AT5G22310,            0.94634356063,   66
AT2G28810,    AT5G06730,            -0.945923923328,   67
AT1G33240,    AT1G14420,            0.945868995904,   68
AT1G19210,    AT5G54120,            0.94546818914,   69
AT2G23340,    AT1G66760,            -0.945056716814,   70
AT1G70920,    AT5G37260,            -0.945010485121,   71
AT1G68200,    AT3G10410,            0.944008940431,   72
AT1G69180,    AT4G26270,            -0.943656488139,   73
AT1G71450,    AT5G08260,            -0.943281721398,   74
AT1G33240,    AT1G53230,            -0.943160717447,   75
AT2G30250,    AT1G12740,            -0.943102173453,   76
AT1G69180,    AT5G04770,            0.942772822102,   77
AT2G23340,    AT3G47500,            -0.942736575969,   78
AT2G22430,    AT1G21920,            -0.94213062039,   79
AT2G23290,    AT5G09360,            0.942010376676,   80
AT1G28160,    AT2G30360,            -0.941684873877,   81
AT2G28810,    AT1G16980,            -0.941657938796,   82
AT1G68200,    AT4G30290,            -0.941629221412,   83
AT2G28810,    AT1G69180,            -0.940914663096,   84
AT1G49560,    AT1G80480,            0.940715472302,   85
AT1G16490,    AT2G36550,            -0.938581554961,   86
AT2G28810,    AT2G41250,            -0.938294742123,   87
AT1G49560,    AT1G01060,            -0.938000582218,   88
AT1G49560,    AT1G01060,            -0.938000582218,   89
AT1G28160,    AT1G06570,            0.93788791009,   90
AT2G28810,    AT1G36060,            -0.937547935772,   91
AT2G28810,    AT2G07510,            -0.937353518513,   92
AT1G69180,    AT5G48490,            0.936494273755,   93
AT1G50640,    AT3G07350,            -0.936153098047,   94
AT1G49480,    AT5G42250,            -0.935684076311,   95
AT1G77920,    AT3G58570,            0.934510399369,   96
AT1G77200,    AT5G54700,            0.934505055677,   97
AT2G23340,    AT1G12200,            0.933953512801,   98
AT1G49480,    AT5G45820,            -0.933841588576,   99
AT1G49560,    AT1G13930,            0.933807976484,   100
AT1G76890,    AT2G01900,            -0.933662477566,   101
AT1G01060,    AT2G28840,            -0.933640033517,   102
AT1G49560,    AT2G36390,            0.932625384904,   103
AT1G19000,    AT1G33055,            0.932272758834,   104
AT1G77200,    AT2G30925,            0.931946014563,   105
AT2G28810,    AT4G26470,            0.931608469105,   106
AT2G23320,    AT1G34670,            0.931156625163,   107
AT2G23320,    AT1G34670,            0.931156625163,   108
AT1G49560,    AT2G27920,            0.93108049212,   109
AT1G49560,    AT1G56300,            0.930881462307,   110
AT2G28810,    AT5G22390,            -0.930570270912,   111
AT1G80840,    AT4G29140,            -0.930549349275,   112
AT1G08320,    AT4G37260,            0.930287543638,   113
