regulator,    target,    score,    rank
AT1G80840,    AT4G24380,            0.981722621435,   1
AT1G22070,    AT3G09600,            -0.975499826945,   2
AT1G22810,    AT1G72920,            0.971186748575,   3
AT1G68320,    AT2G04040,            -0.966060860795,   4
AT2G20400,    AT2G34930,            -0.965267380869,   5
AT1G12260,    AT5G59305,            -0.964807478104,   6
AT2G28810,    AT4G24410,            -0.964102215912,   7
AT2G18550,    AT5G54410,            0.962808798015,   8
AT1G22810,    AT2G21040,            -0.962784425099,   9
AT1G29860,    AT5G10250,            0.961328516174,   10
AT1G63030,    AT5G26270,            0.960786113655,   11
AT1G50640,    AT5G18340,            -0.960443448923,   12
AT1G28470,    AT3G56890,            0.954371895414,   13
AT2G04038,    AT3G28630,            0.95303715428,   14
AT1G43700,    AT2G18610,            -0.950907976211,   15
AT1G76420,    AT2G38720,            0.949977495346,   16
AT1G29860,    AT3G44570,            -0.94728899473,   17
AT1G16490,    AT1G11210,            -0.947177978873,   18
AT1G68320,    AT2G29500,            -0.945411179832,   19
AT2G02820,    AT4G18720,            -0.944899206573,   20
AT2G01930,    AT2G07290,            -0.943412258035,   21
AT1G30490,    AT2G23320,            -0.939824449123,   22
AT1G80840,    AT1G72940,            0.937781413069,   23
AT1G53170,    AT3G17690,            0.93754386953,   24
AT1G76420,    AT5G34880,            0.934640487602,   25
AT1G25550,    AT1G61160,            -0.930616256169,   26
AT2G03340,    AT4G36500,            -0.930355711372,   27
AT1G65910,    AT2G32350,            0.925786210444,   28
AT1G19850,    AT1G67270,            -0.921876047828,   29
AT1G69180,    AT5G32490,            0.921875010623,   30
AT1G16490,    AT2G26320,            -0.921257824997,   31
AT1G43160,    AT2G23280,            0.919976733146,   32
AT1G76420,    ATMG00820,            0.919637235338,   33
AT1G28470,    AT3G21780,            0.914603951458,   34
AT1G68320,    AT2G27620,            0.912776120744,   35
AT1G68670,    AT2G46860,            -0.912639844987,   36
AT2G23320,    AT5G28630,            0.911369198569,   37
AT1G33240,    AT4G20770,            -0.91030071179,   38
AT1G71450,    AT4G24350,            -0.90989806888,   39
AT1G01720,    AT1G69570,            0.909014065138,   40
AT1G01720,    AT1G69570,            0.909014065138,   41
AT1G49560,    AT4G03380,            -0.90732726153,   42
AT1G28160,    AT4G38120,            -0.907240822916,   43
AT1G19850,    AT1G43160,            -0.906821177089,   44
AT1G19850,    AT2G37140,            0.905736985456,   45
AT1G30490,    AT1G24140,            -0.904796554865,   46
AT1G74650,    AT2G42440,            -0.904601614173,   47
AT1G80840,    AT1G19380,            0.904552957664,   48
AT1G74650,    AT1G66630,            0.903977658154,   49
AT1G01720,    AT4G35280,            0.90236349663,   50
AT1G19040,    AT4G04840,            -0.901674596051,   51
AT1G43700,    AT2G14390,            -0.901594932084,   52
AT2G18550,    AT5G43120,            0.900028806849,   53
AT1G19210,    AT4G11280,            0.899833262568,   54
AT2G02450,    AT1G26480,            -0.897631149758,   55
AT1G13260,    AT4G08300,            0.897077443592,   56
AT1G74650,    AT4G31950,            0.896683136783,   57
AT1G01720,    AT1G28480,            0.895592490884,   58
AT2G23320,    AT3G44350,            0.895178117299,   59
AT2G02070,    AT5G57400,            0.894385565062,   60
AT1G80840,    AT1G32970,            0.894207550682,   61
AT2G23340,    AT5G41490,            0.89382949338,   62
AT2G23320,    AT2G47180,            0.893799040396,   63
AT1G65910,    AT2G32140,            0.893440705116,   64
AT1G19210,    AT4G17490,            0.893427549084,   65
AT2G15740,    AT5G24110,            0.892191622607,   66
AT2G20400,    AT5G24120,            -0.891891746778,   67
AT2G23320,    AT1G47400,            -0.891465994026,   68
AT1G30490,    AT4G31805,            -0.891300727991,   69
AT1G68670,    AT1G80820,            0.89109456258,   70
AT2G23320,    AT5G01540,            0.890303217051,   71
AT2G15740,    AT4G04100,            -0.888201086004,   72
AT1G53170,    AT3G19550,            0.887580202217,   73
AT1G51700,    AT4G25470,            0.887329105618,   74
AT2G03340,    AT3G55980,            -0.887249553411,   75
AT2G23340,    AT4G37780,            -0.886848598705,   76
AT2G28810,    AT1G65210,            -0.886737219116,   77
AT2G03340,    AT5G14700,            -0.886067563891,   78
AT2G01930,    AT1G06850,            -0.885084494725,   79
AT1G22810,    AT5G55350,            0.884715188209,   80
AT1G28470,    AT4G30720,            0.884260180008,   81
AT1G74480,    AT1G36830,            0.88333286609,   82
AT1G49010,    AT4G25490,            0.881591714723,   83
AT2G04038,    AT2G23290,            0.881074092747,   84
AT1G74650,    AT1G41900,            0.880921265126,   85
AT1G34190,    AT1G20530,            0.880462669795,   86
AT1G68670,    AT1G73220,            0.879906096336,   87
AT1G71450,    AT5G22570,            0.879225048605,   88
AT1G01720,    AT3G60420,            0.878421745385,   89
AT1G01720,    AT1G67000,            0.87841405357,   90
AT1G16490,    AT2G27080,            0.878207236539,   91
AT1G16490,    AT1G31640,            0.875830213855,   92
AT1G01720,    AT3G12320,            0.874404955389,   93
AT2G23320,    AT5G54720,            0.873939069173,   94
AT2G04038,    AT2G12210,            0.873526354445,   95
AT1G12260,    AT3G43530,            -0.872528086463,   96
AT1G01720,    AT2G03340,            -0.872392183009,   97
AT1G65910,    AT5G47220,            0.871546486665,   98
AT1G80840,    AT4G01030,            -0.87095045733,   99
AT1G72740,    AT3G50890,            -0.870205085051,   100
AT1G30490,    AT5G51950,            -0.869790388396,   101
AT2G20400,    AT4G13700,            -0.869258295202,   102
AT1G69180,    AT1G31370,            0.868189936752,   103
AT2G23320,    AT5G40070,            -0.868188205467,   104
AT1G68320,    AT2G24430,            0.867715277372,   105
AT1G72740,    AT3G54500,            -0.867577010861,   106
AT1G43160,    AT5G50360,            -0.866986050883,   107
