regulator,    target,    score,    rank
AT1G46768,    AT4G23290,            0.993551236627,   1
AT1G53910,    AT4G38580,            0.989242199901,   2
AT1G75240,    AT3G01550,            0.987038760517,   3
AT1G01060,    AT1G72940,            0.986728841423,   4
AT1G79180,    AT4G03710,            0.981325312477,   5
AT2G03340,    AT2G12880,            -0.978783101725,   6
AT1G46768,    AT5G61400,            -0.972893763643,   7
AT1G49560,    AT1G01060,            -0.970413464527,   8
AT1G49560,    AT1G01060,            -0.970413464527,   9
AT2G18550,    AT3G56880,            0.968365088095,   10
AT1G34190,    AT1G32870,            0.96718149653,   11
AT1G34190,    AT1G32870,            0.96718149653,   12
AT1G34180,    AT3G13100,            0.964373186944,   13
AT1G34180,    AT4G11890,            0.963952269016,   14
AT1G78700,    AT3G27510,            0.962822691548,   15
AT2G30250,    AT5G22530,            0.961134212181,   16
AT2G18550,    AT5G66650,            0.957828543166,   17
AT1G46768,    AT5G14550,            -0.956912884042,   18
AT1G34180,    AT5G39050,            0.955459069362,   19
AT2G30250,    AT5G12930,            0.952176136515,   20
AT1G06850,    AT1G12610,            0.950029842753,   21
AT1G06850,    AT1G12610,            0.950029842753,   22
AT1G34180,    AT4G26470,            0.949836560159,   23
AT2G18550,    AT2G28355,            0.948955661705,   24
AT1G46768,    AT3G09610,            0.948709290462,   25
AT1G01060,    AT1G75250,            0.946941497042,   26
AT1G08320,    AT4G35180,            0.945555735835,   27
AT1G29160,    AT1G75390,            -0.944515264923,   28
AT1G46768,    AT2G21130,            -0.943961893676,   29
AT1G20910,    AT5G27180,            0.9433226541,   30
AT1G34180,    AT2G35480,            0.941245501688,   31
AT2G01060,    AT1G09070,            -0.9392883366,   32
AT1G53170,    AT1G28370,            0.938542120918,   33
AT1G53170,    AT1G28370,            0.938542120918,   34
AT2G18550,    AT1G51700,            0.937657207979,   35
AT2G18550,    AT1G51700,            0.937657207979,   36
AT1G46768,    AT2G21660,            -0.937009421044,   37
AT1G34180,    AT4G04490,            0.935600548246,   38
AT1G32150,    AT1G04660,            0.935251235544,   39
AT1G53910,    AT3G45810,            -0.935199272622,   40
AT1G34180,    AT5G46830,            -0.934870706572,   41
AT2G01060,    AT5G25140,            -0.934369079123,   42
AT1G75240,    AT3G19380,            0.934054328445,   43
AT1G34180,    AT5G51440,            0.932939971131,   44
AT1G29160,    AT2G47060,            -0.932930515524,   45
AT2G01930,    AT3G14440,            0.932055415645,   46
AT1G52150,    AT2G28900,            0.931899496133,   47
AT1G53910,    AT5G64310,            -0.931799978604,   48
AT1G28370,    AT4G24110,            0.931404059483,   49
AT1G69570,    AT2G41250,            0.931041672321,   50
AT1G69570,    AT3G52800,            0.930157333219,   51
AT2G01930,    AT1G80840,            0.929932222988,   52
AT2G01930,    AT1G80840,            0.929932222988,   53
AT1G49560,    AT2G21650,            -0.929895342319,   54
AT1G22070,    AT1G09970,            0.929575581852,   55
AT2G01930,    AT2G10490,            0.928307213474,   56
AT2G01060,    AT2G24600,            -0.92826171602,   57
AT1G01720,    AT1G41276,            0.927813170302,   58
AT2G31230,    AT1G06170,            -0.927518202739,   59
AT1G28370,    AT3G01080,            -0.927347772356,   60
AT1G19000,    AT4G38840,            0.925446653633,   61
AT2G06200,    AT1G32940,            -0.924830414951,   62
AT1G20910,    AT2G42100,            0.924820570078,   63
AT1G33240,    AT5G24550,            0.924493451582,   64
AT2G31230,    AT2G04050,            0.924162364995,   65
AT2G01060,    AT5G22390,            -0.923862165444,   66
AT2G01060,    AT5G16200,            -0.923767787987,   67
AT1G32150,    AT2G24540,            0.923643193737,   68
AT2G30250,    AT3G05360,            0.923364788089,   69
AT2G26960,    AT1G76600,            0.922740276119,   70
AT1G77920,    AT1G76960,            0.921945976548,   71
AT1G01060,    AT5G22430,            0.921865222432,   72
AT2G23320,    AT5G47850,            0.921678591567,   73
AT1G03840,    AT5G04190,            0.921086580002,   74
AT1G75240,    AT5G11670,            -0.920386015138,   75
AT1G69570,    AT3G27170,            0.920051645097,   76
AT1G32150,    AT3G46230,            -0.919833072318,   77
AT1G34180,    AT2G03760,            0.919453376368,   78
AT2G01060,    AT5G45340,            -0.919421610609,   79
AT1G69570,    AT1G27730,            0.918940762769,   80
AT1G69570,    AT1G27730,            0.918940762769,   81
AT1G34180,    AT1G05680,            0.91871498371,   82
AT1G53170,    AT1G25400,            0.918134738607,   83
AT1G59640,    AT5G24600,            0.917848029318,   84
AT1G34180,    AT1G15520,            0.917790725745,   85
AT1G09540,    AT4G16620,            -0.917466266365,   86
AT1G71450,    AT4G36580,            -0.915851327509,   87
AT1G75240,    AT1G21910,            0.915522578918,   88
AT1G52150,    AT5G08260,            0.915496385144,   89
AT1G49010,    AT3G47430,            0.914709878976,   90
AT1G69180,    AT5G52570,            0.914162989625,   91
AT1G19210,    AT1G62360,            0.913879650811,   92
AT1G32150,    AT1G19640,            0.913728093517,   93
AT2G06200,    AT2G18900,            -0.913364608893,   94
AT1G30650,    AT1G68840,            0.913204422019,   95
AT1G34190,    AT3G57460,            0.913198874952,   96
AT1G75240,    AT1G12200,            -0.912943555292,   97
AT2G01930,    AT3G63440,            0.91231363352,   98
AT1G68670,    AT5G15850,            0.911729509142,   99
AT2G18550,    AT2G25930,            -0.911166655414,   100
AT1G32150,    AT1G35140,            0.910985622514,   101
AT2G01930,    AT5G57660,            0.910591091485,   102
AT2G01060,    AT5G39410,            0.910447775566,   103
AT1G29160,    AT2G23810,            -0.909813904241,   104
AT1G12630,    AT3G21850,            -0.908496611379,   105
AT2G30250,    AT5G62480,            0.908486875169,   106
AT1G74840,    AT4G23030,            -0.90827380007,   107
AT1G28470,    AT1G57630,            -0.908083141728,   108
AT1G80840,    AT5G04340,            0.907909913281,   109
AT1G20910,    AT4G11370,            -0.907366813107,   110
AT2G18550,    AT1G03170,            0.907106765878,   111
AT1G46768,    AT5G17350,            0.907076225044,   112
AT1G54330,    AT3G16175,            -0.906936235588,   113
AT1G34180,    AT2G47520,            0.90662665427,   114
AT1G68670,    AT5G04770,            0.906346870058,   115
AT1G77920,    AT2G39650,            -0.905388624148,   116
AT2G22430,    AT1G19210,            -0.905334824004,   117
AT1G29160,    AT1G31680,            0.905243191621,   118
AT1G51140,    AT4G03450,            -0.905216376388,   119
AT1G71450,    AT3G48460,            0.905121974164,   120
AT1G53910,    AT1G46768,            -0.904566073604,   121
AT1G78700,    AT2G18550,            0.904096913135,   122
AT1G28470,    AT5G05730,            -0.904096544102,   123
AT1G71450,    AT5G60950,            -0.903072564472,   124
AT1G53910,    AT1G16730,            -0.902684791305,   125
AT1G30650,    AT1G72920,            0.902555410915,   126
AT1G69180,    AT3G02140,            0.902467540577,   127
AT1G71450,    AT5G50800,            0.902296308187,   128
AT1G79180,    AT4G03670,            0.902042858235,   129
AT2G31230,    AT5G07760,            0.902004339481,   130
AT1G34180,    AT4G25200,            0.901579389702,   131
AT1G53910,    AT3G10720,            -0.90139236328,   132
AT1G36060,    AT5G50590,            0.901325444616,   133
AT1G71450,    AT4G33310,            -0.901268301064,   134
AT1G51140,    AT1G09540,            -0.901134672625,   135
AT1G51700,    AT1G52560,            0.901064443497,   136
AT1G29160,    AT1G48210,            0.901026063599,   137
AT2G06200,    AT2G26790,            -0.900946615564,   138
AT2G22430,    AT4G20170,            -0.900510904804,   139
AT1G69570,    AT5G37770,            0.899173140551,   140
AT2G22430,    AT4G23150,            0.899152478001,   141
AT2G01930,    AT3G18560,            0.899041824334,   142
AT2G01930,    AT3G59060,            0.898631224508,   143
AT2G18550,    AT5G59820,            0.898439944161,   144
AT1G69780,    AT2G38290,            -0.898368695234,   145
AT1G08320,    AT2G47190,            0.898290204019,   146
AT1G71450,    AT1G64780,            0.897734033665,   147
AT2G31230,    AT4G17460,            -0.897585673476,   148
AT1G47655,    AT1G19000,            0.897261972606,   149
AT1G69780,    AT1G10480,            0.896964580779,   150
AT1G20910,    AT3G48640,            -0.896766279166,   151
AT1G28470,    AT3G13380,            -0.896547567238,   152
AT1G69570,    AT5G53250,            0.896516853558,   153
AT1G03840,    AT5G23660,            -0.896400717157,   154
AT2G31230,    AT4G38960,            -0.896181214806,   155
AT1G08320,    AT2G15480,            0.896042368662,   156
AT1G32150,    AT5G18670,            0.896035340296,   157
AT1G46768,    AT3G62550,            -0.895993651874,   158
