regulator,    target,    score,    rank
AT1G33240,    AT5G53840,            1.0,   1
AT1G51700,    AT4G03270,            0.999999915801,   2
AT1G52880,    AT2G47490,            0.999999858512,   3
AT1G18330,    AT1G69760,            -0.999997861501,   4
AT2G20400,    AT5G49590,            0.999997835287,   5
AT1G18330,    AT3G28510,            -0.999997735588,   6
AT1G19850,    AT5G45530,            0.999997063453,   7
AT2G02820,    AT3G53230,            -0.999996884758,   8
AT1G69010,    AT1G29720,            0.999996787299,   9
AT1G69010,    AT1G07500,            -0.999996289529,   10
AT1G69010,    AT2G24160,            0.999996072364,   11
AT1G32150,    ATMG01200,            -0.999995403219,   12
AT1G30650,    AT4G12330,            0.999995386768,   13
AT1G74650,    AT2G35210,            -0.999993115205,   14
AT2G30590,    AT1G10050,            -0.99999294903,   15
AT1G69010,    AT3G09640,            -0.999992628097,   16
AT1G19850,    AT5G43790,            0.999992577703,   17
AT1G64620,    AT2G07693,            -0.999990894119,   18
AT1G54330,    AT5G45240,            0.999989682712,   19
AT1G69010,    AT5G11790,            0.999988297363,   20
AT1G51700,    AT2G34650,            0.999986734292,   21
AT1G19850,    AT2G23540,            0.999985027639,   22
AT1G69010,    AT3G53380,            0.999984511503,   23
AT1G51700,    AT2G39300,            0.999984071927,   24
AT1G19040,    AT1G02320,            -0.999982337982,   25
AT2G02820,    AT1G70630,            0.999981413421,   26
AT1G69010,    AT4G15420,            -0.999980766948,   27
AT1G69010,    AT1G33260,            0.999977749355,   28
AT2G18380,    AT2G26650,            0.999974441644,   29
AT1G69010,    AT5G50315,            0.999974243751,   30
AT1G75240,    AT1G77200,            0.99997219953,   31
AT1G69010,    AT2G31270,            0.999971264702,   32
AT1G49480,    AT4G01490,            0.999970164037,   33
AT1G69010,    AT1G21550,            -0.999968670309,   34
AT1G19850,    AT5G17760,            0.999966331706,   35
AT1G12630,    AT2G36220,            -0.999964833925,   36
AT1G43160,    AT4G08710,            0.999962604857,   37
AT1G69010,    AT5G47120,            -0.999961490235,   38
AT2G32460,    AT1G69440,            0.999956940312,   39
AT1G77200,    AT2G32740,            0.999955546806,   40
AT1G69010,    AT5G25620,            -0.999953871497,   41
AT1G69010,    AT3G03520,            -0.999951942718,   42
AT2G03500,    AT1G14360,            -0.999941554926,   43
AT2G01060,    AT5G37670,            -0.999940488147,   44
AT1G51700,    AT3G06390,            -0.99993718439,   45
AT1G32150,    AT2G39705,            0.999933280736,   46
AT2G28810,    AT5G59670,            0.99993268525,   47
AT1G18330,    AT2G26960,            -0.999932398964,   48
AT1G19850,    AT5G44620,            0.999931802747,   49
AT1G32150,    AT3G15030,            0.999929580567,   50
AT1G01060,    AT1G76270,            0.9999285389,   51
AT1G52880,    AT4G09130,            -0.999924832872,   52
AT1G32870,    AT1G23760,            0.999921531576,   53
AT1G12630,    AT1G22070,            0.999915961472,   54
AT1G69780,    AT2G23060,            -0.999905981806,   55
AT1G01060,    AT5G43180,            0.999901841999,   56
AT2G20110,    AT5G45120,            -0.999891389076,   57
AT1G18330,    AT1G19640,            -0.999884821528,   58
AT1G49480,    AT4G26020,            0.999878430003,   59
AT1G69010,    AT3G63200,            0.999875155229,   60
AT2G01060,    AT5G55970,            -0.999871910095,   61
AT2G22430,    AT1G68200,            0.999864689507,   62
AT1G49480,    AT2G37130,            0.999858419806,   63
