regulator,    target,    score,    rank
AT1G02250,    AT1G31140,            1.0,   1
AT1G30490,    AT1G75163,            0.999710532053,   2
AT1G02250,    AT5G24770,            0.999674403714,   3
AT2G18550,    ATMG01360,            0.999638017272,   4
AT1G19000,    AT3G29240,            0.999422909159,   5
AT2G20400,    AT5G52820,            0.99926409562,   6
AT2G18550,    AT3G25770,            0.999256579471,   7
AT2G01930,    AT3G13470,            -0.999153014618,   8
AT1G19000,    AT2G05380,            0.999099688502,   9
AT1G49480,    AT2G21240,            0.999036259641,   10
AT1G09540,    AT4G29330,            0.99899257607,   11
AT2G18550,    AT4G16660,            0.998955818343,   12
AT2G18550,    AT5G52470,            0.998930384741,   13
AT1G19000,    AT4G36900,            0.998637308029,   14
AT1G80840,    AT3G20810,            0.998606708768,   15
AT1G80840,    AT1G02250,            0.998560734892,   16
AT2G20110,    AT1G19600,            0.998553681044,   17
AT1G35460,    AT1G75380,            0.99846282723,   18
AT1G43700,    AT2G31800,            0.998207422915,   19
AT2G18550,    AT1G70890,            0.998202715212,   20
AT1G27730,    AT3G44260,            0.99819665925,   21
AT1G30490,    AT3G16240,            -0.998178982518,   22
AT2G18550,    AT4G27990,            0.998092426408,   23
AT1G71450,    ATCG00220,            0.998010213143,   24
AT2G18380,    AT2G47590,            0.997945494651,   25
AT1G02250,    AT1G09210,            0.997840806255,   26
AT1G09540,    AT3G17611,            0.997769858497,   27
AT2G23290,    AT1G66100,            -0.997732224314,   28
AT2G22540,    AT1G05340,            0.997432815284,   29
AT2G02070,    AT5G18100,            0.997288876659,   30
AT2G18550,    AT1G35730,            0.997286346926,   31
AT2G26960,    AT4G10250,            0.997266077126,   32
AT2G28810,    AT5G23060,            -0.997143645234,   33
AT2G20400,    AT1G03470,            0.997003856306,   34
AT2G22540,    AT5G35970,            -0.996888506364,   35
AT1G01720,    AT3G22890,            0.996848488345,   36
AT1G69010,    ATCG01020,            0.996688628384,   37
AT2G20400,    AT3G49780,            0.996669539829,   38
AT2G18550,    AT5G34790,            0.99663166148,   39
AT1G35460,    AT2G26150,            -0.996601340672,   40
AT1G34190,    AT4G02370,            0.996592283821,   41
AT2G30250,    AT1G70410,            -0.99657286823,   42
AT2G20400,    AT5G53800,            0.996552651299,   43
AT2G22430,    AT3G50260,            0.996550725389,   44
AT1G55110,    AT4G20260,            -0.996363592595,   45
AT2G20400,    AT5G11580,            0.996293329253,   46
AT1G59640,    AT1G17530,            0.996261549338,   47
AT1G27730,    AT3G11450,            0.996252771972,   48
AT2G18350,    AT1G54050,            -0.996058272015,   49
AT2G20110,    AT5G25540,            0.995917202362,   50
AT2G20400,    AT1G56070,            -0.995749659496,   51
AT2G01930,    AT4G22570,            -0.99568899182,   52
AT1G30490,    AT3G26580,            0.9956674233,   53
AT1G09540,    AT4G27520,            0.99553818005,   54
AT1G30490,    AT4G01850,            0.995490347773,   55
AT2G18350,    ATCG00280,            0.995402718664,   56
AT1G01720,    AT3G56290,            0.99527196709,   57
AT1G59640,    AT3G52230,            0.995051132744,   58
AT1G35460,    AT4G19420,            0.994796733189,   59
AT2G22540,    AT1G19000,            0.994615979843,   60
AT2G22540,    AT1G19000,            0.994615979843,   61
AT2G20110,    AT4G34670,            0.994351082837,   62
AT2G18350,    AT4G12560,            0.994167124222,   63
AT1G69010,    ATCG00090,            0.994071312745,   64
AT1G20980,    AT1G16320,            0.993872367021,   65
AT1G55110,    AT4G25340,            0.993836231301,   66
AT1G64620,    AT1G72010,            0.993808661373,   67
AT2G30250,    AT3G20770,            0.993779255773,   68
AT1G43160,    AT2G11780,            0.993473782358,   69
AT1G33240,    AT5G14760,            0.993435379433,   70
AT1G49480,    AT1G15740,            0.993359152371,   71
AT1G43160,    AT3G07725,            0.993304435658,   72
AT1G09540,    AT3G63160,            0.993271782701,   73
AT1G01720,    AT4G10120,            0.993243629464,   74
AT1G72010,    AT1G23860,            0.993115640153,   75
AT1G34190,    AT4G22220,            0.993084946729,   76
AT2G18550,    AT4G37760,            -0.993056420007,   77
AT1G43160,    AT5G16130,            -0.993023580624,   78
AT2G02070,    AT4G05150,            0.99278290823,   79
AT2G20110,    AT5G42900,            0.992737037251,   80
