regulator,    target,    score,    rank
AT2G32460,    AT2G24930,            0.886194588088,   1
AT3G09735,    AT1G33830,            -0.883013227008,   2
AT4G36740,    AT2G01800,            -0.876444690371,   3
AT1G19210,    AT5G47600,            0.875525449933,   4
AT5G65410,    AT1G50160,            0.873132622002,   5
AT4G37260,    AT3G32910,            0.8726161241,   6
AT5G61620,    AT2G05080,            0.867165716047,   7
AT1G43160,    AT2G41230,            0.864400857372,   8
AT5G04390,    AT4G10240,            -0.862723162481,   9
AT2G33710,    AT1G47470,            0.860427615331,   10
AT5G66940,    AT1G02250,            0.860392252,   11
AT5G04410,    AT3G53130,            -0.857516400983,   12
AT3G09735,    AT2G45380,            -0.856660896507,   13
AT1G69570,    AT2G02610,            -0.855020364015,   14
AT5G60130,    AT2G37800,            -0.85319076444,   15
AT4G28500,    AT5G05880,            -0.852947174597,   16
AT5G47390,    AT1G26710,            0.851623502728,   17
AT3G12250,    AT4G10460,            -0.851248032153,   18
AT3G57920,    AT5G60730,            0.850952429687,   19
AT3G57920,    AT1G65210,            0.85091397646,   20
AT2G01930,    AT5G28610,            -0.847853883243,   21
AT3G01530,    AT4G37490,            0.847690068369,   22
AT3G15170,    AT1G53660,            0.847342294621,   23
AT1G12260,    AT5G57730,            0.846587801526,   24
AT1G49560,    AT3G25010,            -0.846558706661,   25
AT1G13260,    AT3G22231,            0.844669768043,   26
AT1G14687,    AT5G62120,            0.843392137649,   27
AT1G71450,    AT1G72580,            -0.842470705343,   28
AT2G40260,    AT3G19780,            -0.839883268568,   29
AT5G67190,    AT4G09420,            0.839759676808,   30
AT3G50410,    AT4G07970,            -0.839513062439,   31
AT2G46770,    AT5G01870,            0.83883282706,   32
AT5G58900,    AT4G27654,            0.837630480269,   33
AT2G31230,    AT3G06100,            0.837142292001,   34
AT3G47500,    AT3G53060,            0.835910213426,   35
AT2G20110,    AT3G10580,            0.835214443547,   36
AT3G60490,    AT1G18990,            -0.83280791489,   37
AT5G51190,    AT5G44420,            0.832465242688,   38
AT3G56400,    AT1G16260,            0.8309887256,   39
AT1G69780,    AT2G15960,            -0.830031660577,   40
AT4G16750,    AT4G28310,            -0.829533912194,   41
AT3G01970,    AT4G07840,            -0.829141438078,   42
AT2G20110,    AT5G42280,            -0.829061916403,   43
AT3G60580,    AT5G39670,            0.828788251517,   44
AT5G51190,    AT3G22240,            0.828354196721,   45
AT3G50260,    AT5G42180,            -0.828137845922,   46
