regulator,    target,    score,    rank
AT1G28470,    AT4G18550,            0.27768402966,   1
AT1G71450,    AT1G22275,            0.27474038204,   2
AT2G40260,    AT3G46500,            0.266313274904,   3
AT5G19790,    AT3G62680,            0.263417403678,   4
AT2G40260,    AT1G19250,            0.249565870255,   5
AT5G19790,    AT4G19680,            0.245928225441,   6
AT5G19790,    AT3G49960,            0.243602831534,   7
AT5G19790,    AT5G24313,            0.232392066999,   8
AT5G19790,    AT4G40090,            0.226410789451,   9
AT5G66730,    AT1G11350,            0.224671941587,   10
AT5G19790,    AT5G22410,            0.223887307717,   11
AT1G19850,    AT2G38810,            0.222836056029,   12
AT2G46770,    AT3G43760,            0.222394683264,   13
AT2G40260,    AT1G80340,            0.221254926161,   14
AT5G65310,    AT3G25930,            0.218673769858,   15
AT3G18400,    AT2G02340,            0.20931332287,   16
AT2G40260,    AT1G68010,            0.208482030318,   17
AT5G24110,    AT4G14365,            0.20789392235,   18
AT5G19790,    AT5G67400,            0.205739219989,   19
AT5G19790,    AT5G04960,            0.205336042837,   20
AT3G60490,    AT2G34670,            0.199490171535,   21
AT1G33240,    AT4G33560,            -0.19902507379,   22
AT2G40260,    AT4G12800,            0.197565502605,   23
AT3G18400,    AT5G13320,            0.196673816191,   24
AT4G01280,    AT5G02650,            0.19526805608,   25
AT3G60530,    AT3G25100,            0.192096796243,   26
AT3G02940,    AT5G09530,            0.191369869833,   27
AT1G28470,    AT1G11190,            0.191218274379,   28
AT1G09540,    AT1G53830,            0.190964083489,   29
AT5G19790,    AT4G02270,            0.190772628289,   30
AT5G46350,    AT1G12180,            -0.183956036172,   31
AT1G22810,    AT3G46230,            0.179881958441,   32
AT5G65310,    AT5G56540,            0.179832480952,   33
AT3G50260,    AT5G15300,            -0.178972838315,   34
AT2G40260,    AT2G02950,            0.177914542752,   35
AT5G19790,    AT5G05500,            0.17516860661,   36
AT3G18400,    AT3G06390,            0.174377989666,   37
AT1G19000,    AT4G01030,            0.173210957247,   38
AT5G19790,    AT5G36270,            0.173012958194,   39
AT5G13080,    AT1G26420,            0.172563563774,   40
AT1G18330,    AT5G12030,            0.171633198363,   41
AT3G15500,    AT5G15240,            0.167229190644,   42
AT3G18400,    AT2G35380,            0.167143654254,   43
AT2G40260,    AT1G45474,            0.166187017467,   44
AT3G18400,    AT5G40990,            0.166184516415,   45
AT5G65310,    AT2G16980,            0.165955957177,   46
AT3G60490,    AT2G45470,            0.164685298874,   47
AT3G04060,    AT2G14095,            0.163043310539,   48
AT1G14687,    AT2G23860,            0.163025953629,   49
AT3G01970,    AT1G26380,            0.162874374675,   50
AT3G01970,    AT3G18250,            0.16233879059,   51
AT5G65310,    AT2G34070,            0.161669386151,   52
AT3G18400,    AT1G49430,            0.161344579554,   53
AT5G03790,    AT4G05630,            0.161341237291,   54
AT3G26790,    AT3G32220,            0.160588299475,   55
AT5G08520,    AT1G26410,            -0.160406993262,   56
AT2G40260,    AT5G64620,            0.160290173698,   57
AT4G01550,    AT5G43450,            0.159269962442,   58
AT1G01720,    AT1G78490,            -0.157807702748,   59
AT1G09540,    AT2G31860,            0.157235278929,   60
AT5G17800,    AT3G43080,            0.156539405011,   61
AT5G24110,    AT1G64405,            0.156214857474,   62
AT4G21080,    AT2G24880,            -0.155893556936,   63
AT5G19790,    AT3G10710,            0.153761392232,   64
AT1G28470,    AT1G29500,            -0.153251531144,   65
AT5G19790,    AT4G33730,            0.149273162126,   66
AT3G56850,    AT2G40910,            0.148417944374,   67
AT5G65310,    AT2G22930,            0.14835445963,   68
AT5G19790,    AT1G79860,            0.146848971605,   69
AT1G52150,    AT1G77700,            0.145780546608,   70
AT1G69010,    AT1G32740,            -0.145679964112,   71
AT1G79580,    AT1G14220,            0.144717145981,   72
AT5G62000,    AT5G07760,            -0.143662678245,   73
AT3G22830,    AT2G43660,            -0.143264464827,   74
AT1G18330,    AT1G54050,            0.142874775306,   75
AT1G19000,    AT2G31690,            -0.142601804695,   76
AT2G44840,    AT2G19770,            -0.141587647943,   77
AT4G31620,    AT4G04980,            0.141495440212,   78
AT5G13080,    AT2G19190,            0.139981234149,   79
AT1G76890,    AT4G30170,            0.139453645177,   80
AT2G31230,    AT5G66570,            0.138889170731,   81
AT5G17300,    AT2G33080,            -0.138457534379,   82
AT1G09540,    AT1G53680,            0.138082844359,   83
AT1G19850,    AT1G49910,            0.13721687543,   84
AT5G19790,    AT3G20460,            0.137144163135,   85
AT3G18400,    AT4G31970,            0.136172468969,   86
AT2G40260,    AT4G38970,            0.134704619845,   87
AT3G18400,    AT5G22500,            0.134222930071,   88
AT2G02080,    AT2G42320,            0.133945648822,   89
AT5G19790,    AT1G54970,            0.133652885094,   90
AT3G18400,    AT3G53510,            0.133209872164,   91
AT1G19850,    AT3G05060,            0.133049233023,   92
AT3G09600,    AT4G11180,            0.132893270121,   93
AT5G19790,    AT2G03720,            0.132164522884,   94
AT2G23340,    AT3G13175,            -0.132159212354,   95
AT5G66730,    AT2G30830,            -0.13211563468,   96
AT2G40260,    AT1G52230,            0.13146950764,   97
AT5G58900,    AT2G14550,            -0.130152278484,   98
AT5G19790,    AT2G27440,            0.130036315878,   99
AT1G09540,    AT3G28550,            0.128561913193,   100
AT2G40260,    AT3G47070,            0.128106777695,   101
AT5G65310,    AT4G23890,            0.127500251675,   102
AT5G19790,    AT5G54040,            0.126581219629,   103
AT1G19850,    AT5G20040,            0.12527734271,   104
AT5G04410,    AT1G80320,            0.124794682036,   105
AT1G09540,    AT4G30670,            0.123428238407,   106
AT5G24110,    AT1G51915,            0.123316766033,   107
AT2G31230,    AT4G23493,            0.123182645393,   108
AT3G01970,    AT1G74000,            0.123073170016,   109
AT1G06850,    AT4G35210,            0.123001150425,   110
AT1G19850,    AT5G64080,            0.122752481761,   111
AT5G19790,    AT5G23030,            0.121894486214,   112
AT1G14687,    AT5G51320,            0.121434646061,   113
AT1G36060,    AT3G14510,            0.120521561041,   114
AT3G61150,    AT1G67760,            0.119586595473,   115
AT5G25810,    AT3G18170,            0.119010141305,   116
AT5G19790,    AT4G25790,            0.118967820421,   117
AT5G07310,    AT5G51850,            0.118807388297,   118
AT1G22810,    AT4G18350,            0.118706676772,   119
AT1G09540,    AT5G41730,            0.118245936932,   120
AT3G10500,    AT4G37770,            0.117664079568,   121
AT5G65310,    AT5G19260,            0.117662874983,   122
AT4G22070,    AT2G45220,            0.1161196163,   123
AT2G36010,    AT1G31760,            0.115686432053,   124
AT5G65510,    AT2G47200,            0.115545550656,   125
AT2G40260,    AT3G14060,            0.115143580886,   126
AT5G19790,    AT1G64020,            -0.115072604086,   127
AT2G40260,    AT4G12470,            0.11481543399,   128
AT2G40620,    AT3G01670,            -0.114568995839,   129
AT3G04060,    AT1G66540,            0.113795324473,   130
AT3G04060,    AT5G11540,            0.113282159382,   131
AT1G46768,    AT3G51590,            -0.113268077073,   132
AT4G16750,    AT1G02360,            -0.112869488172,   133
AT3G60580,    AT1G74670,            -0.112574754159,   134
AT3G24120,    AT1G12090,            0.112429541824,   135
