regulator,    target,    score,    rank
AT1G50640,    AT4G25410,            0.988903237564,   1
AT1G32150,    AT1G03870,            0.988015898059,   2
AT1G19000,    AT5G46370,            -0.985669385018,   3
AT2G18350,    AT5G05390,            -0.984560269135,   4
AT1G19000,    AT5G20330,            0.984265960878,   5
AT1G69010,    AT4G19170,            0.983957398333,   6
AT1G28470,    AT1G29670,            0.983516413698,   7
AT1G33240,    AT4G13195,            -0.98237733003,   8
AT1G44830,    AT3G30290,            -0.982213041143,   9
AT1G32150,    AT1G04040,            0.981954210312,   10
AT1G28470,    AT5G01870,            0.981921887728,   11
AT1G08320,    AT2G02950,            -0.981729024004,   12
AT1G28470,    AT2G34910,            -0.981381043041,   13
AT1G09540,    AT1G80730,            -0.981330127429,   14
AT1G52880,    AT3G56230,            -0.980656770791,   15
AT1G28470,    AT1G49860,            0.980630055712,   16
AT1G28470,    AT3G28510,            0.980250752373,   17
AT1G01060,    AT4G33980,            -0.979761409998,   18
AT2G20110,    AT5G21030,            -0.979095769579,   19
AT1G28470,    AT1G76240,            -0.978893603182,   20
AT1G32150,    AT4G09990,            0.978644494415,   21
AT1G28470,    AT4G29020,            0.978570082913,   22
AT2G02820,    AT1G33030,            -0.978332541567,   23
AT2G23320,    AT5G22410,            -0.977751906315,   24
AT2G18380,    AT5G66650,            -0.977441596115,   25
AT1G52880,    AT1G30850,            -0.977350174526,   26
AT1G09540,    AT5G65600,            -0.977095966187,   27
AT1G28470,    AT5G59320,            0.976847185508,   28
AT1G32150,    AT1G30990,            0.976842500621,   29
AT1G69490,    AT1G02850,            0.976575276195,   30
AT1G28470,    AT5G56540,            -0.976491872408,   31
AT2G24430,    AT5G06730,            0.976382976214,   32
AT1G28470,    AT3G08770,            0.97623498475,   33
AT1G08320,    AT5G62420,            -0.97617298751,   34
AT2G02070,    AT5G05900,            0.975955661109,   35
AT1G32150,    AT4G14770,            -0.975669201743,   36
AT2G30250,    AT3G15500,            0.975592622775,   37
AT1G49560,    AT2G30140,            0.974942126644,   38
AT1G74840,    AT2G14630,            -0.974779022024,   39
AT1G20980,    AT4G12270,            -0.974706681897,   40
AT1G28470,    AT4G38690,            -0.974666504588,   41
AT2G02070,    AT4G08950,            0.974617926934,   42
AT1G28470,    AT4G14380,            -0.974407877358,   43
AT1G32150,    AT2G03720,            0.974373748386,   44
AT1G08320,    AT2G12900,            -0.97424395843,   45
AT1G28470,    AT5G51470,            -0.974204360483,   46
AT1G33240,    AT4G12350,            -0.974086015234,   47
AT1G30490,    AT4G15290,            -0.974045055622,   48
AT1G28470,    AT3G01220,            -0.974022931405,   49
AT2G31230,    AT2G36970,            0.973942701647,   50
AT1G77920,    AT2G27080,            -0.97393576818,   51
AT2G18350,    AT1G30100,            -0.973847793009,   52
AT1G32150,    AT3G16240,            0.973830499308,   53
AT2G20110,    AT4G09900,            0.973683003644,   54
AT1G28470,    AT2G23410,            -0.973565174895,   55
AT1G43700,    AT3G45970,            -0.973505855325,   56
AT1G33240,    AT4G19980,            -0.973504287902,   57
AT1G72740,    AT3G12130,            0.973153984758,   58
AT1G28470,    AT1G68450,            0.973081847575,   59
AT1G32870,    AT5G05340,            -0.972850712553,   60
AT1G34670,    AT1G50280,            -0.972790856884,   61
AT1G12630,    AT5G19110,            0.972564867848,   62
AT1G28470,    AT2G38530,            0.972551274098,   63
AT1G12630,    AT2G48090,            -0.972439166037,   64
AT2G18380,    AT3G54340,            -0.97239373385,   65
AT1G32150,    AT3G21720,            -0.972063427939,   66
AT1G33240,    AT1G62030,            -0.971721997561,   67
AT1G49560,    AT4G36740,            0.971475261064,   68
AT1G32150,    AT2G47540,            0.971474453358,   69
AT1G28470,    AT1G51260,            -0.971381395709,   70
AT1G52880,    AT1G26250,            0.970707433875,   71
AT1G30490,    AT4G19810,            0.970118642386,   72
AT1G18330,    AT2G14450,            0.969883796555,   73
AT1G28470,    AT1G28260,            0.969844914635,   74
AT2G22430,    AT4G18290,            -0.969823269521,   75
AT1G32150,    AT3G10710,            0.969722264196,   76
AT1G30490,    AT5G47950,            -0.969697733843,   77
AT1G49560,    AT3G47340,            -0.969671805541,   78
