regulator,    target,    score,    rank
AT1G16490,    AT5G28490,            0.628364502068,   1
AT2G26960,    AT3G09130,            0.598777042142,   2
AT2G26960,    AT1G62340,            0.590712441032,   3
AT1G18330,    AT2G14450,            0.583286024585,   4
AT2G15740,    AT3G11060,            -0.578565978022,   5
AT2G20110,    AT4G09900,            0.545197854562,   6
AT1G01060,    AT1G11210,            -0.526495295477,   7
AT2G28810,    AT4G22440,            -0.526431847742,   8
AT2G26960,    AT3G30220,            -0.526324196881,   9
AT1G01250,    AT4G18970,            -0.523733716373,   10
AT2G20110,    AT5G21030,            -0.506643800204,   11
AT2G26960,    AT3G57770,            0.505855700977,   12
AT1G74480,    AT4G09430,            -0.502247330433,   13
AT1G29280,    AT4G08420,            -0.501734007802,   14
AT2G15740,    AT4G07930,            -0.497969828715,   15
AT1G76420,    AT1G19320,            0.485405086369,   16
AT1G01060,    AT1G56300,            -0.481444176582,   17
AT1G49010,    AT5G60140,            0.479470681673,   18
AT1G54330,    AT2G34580,            0.464214174802,   19
AT1G01060,    AT4G33980,            -0.464031160977,   20
AT1G34670,    AT1G50280,            -0.46059567743,   21
AT1G29280,    AT4G21080,            -0.459661045743,   22
AT2G15740,    AT2G40170,            -0.457466865639,   23
AT2G15740,    AT1G36230,            -0.456411797956,   24
AT1G75240,    AT2G31780,            0.455046354229,   25
AT1G34180,    AT4G31620,            0.451931561875,   26
AT2G20400,    AT4G04170,            0.451691806225,   27
AT1G01060,    AT3G26740,            -0.44882688417,   28
AT1G68200,    AT5G65800,            0.448083437548,   29
AT1G29280,    AT2G45380,            -0.441722191124,   30
AT2G28810,    AT3G08500,            0.439600148132,   31
AT1G70920,    AT3G21570,            -0.436341020386,   32
AT2G23290,    AT4G23780,            0.43558396366,   33
AT1G68200,    AT5G60080,            0.424758153061,   34
AT1G75240,    AT2G46050,            0.423464566482,   35
AT1G01060,    AT5G24470,            -0.42179955365,   36
AT2G26960,    AT2G02660,            0.419616125196,   37
AT1G29280,    AT5G39400,            -0.418045498565,   38
AT1G20980,    AT4G12270,            -0.417218432722,   39
AT2G15740,    AT4G03370,            -0.417060036823,   40
AT2G18380,    AT3G54340,            -0.416676834497,   41
AT1G71450,    AT1G78840,            -0.412333919065,   42
AT2G28810,    AT5G13620,            -0.410749220779,   43
AT1G01060,    AT2G46830,            0.410454569424,   44
AT2G28810,    AT1G34100,            0.410153955946,   45
AT1G20910,    AT1G65990,            0.409174987372,   46
AT1G54330,    AT2G37610,            0.409041294346,   47
AT1G75240,    AT3G46800,            0.408664338758,   48
AT1G02250,    AT1G20290,            0.408452077887,   49
AT2G28810,    AT4G08800,            0.406002705935,   50
AT1G01060,    AT3G07650,            -0.405606502023,   51
AT1G29280,    AT5G11410,            -0.403056559954,   52
AT2G15740,    AT3G18540,            -0.399428969696,   53
AT1G76420,    AT5G52320,            -0.39939854003,   54
AT1G34670,    AT3G13240,            -0.399311122461,   55
AT1G77200,    AT1G31210,            -0.397657062385,   56
AT1G01060,    AT1G66830,            0.395970738029,   57
AT1G68550,    AT4G17700,            0.395525612363,   58
AT2G28810,    AT5G38820,            0.395468903976,   59
AT1G13260,    AT1G67220,            0.392859782058,   60
AT1G20910,    AT4G34940,            -0.392679058004,   61
AT1G18330,    AT1G02490,            0.391597628342,   62
AT1G76420,    AT5G12990,            0.388387189146,   63
AT2G18350,    AT5G05390,            -0.38690654492,   64
AT1G34670,    AT1G43630,            0.386368272758,   65
AT2G23290,    AT3G05240,            0.385657234798,   66
AT1G49010,    AT3G52810,            -0.385627509272,   67
AT2G01940,    AT5G56860,            0.384675237549,   68
AT1G19040,    AT4G26800,            -0.384322696779,   69
AT1G29280,    AT2G01280,            -0.384175496492,   70
AT1G19040,    AT5G62110,            -0.382881308985,   71
AT1G01060,    AT4G30650,            -0.381432540427,   72
AT2G26960,    AT1G33820,            0.38051819884,   73
AT1G19210,    AT1G44070,            0.380287001478,   74
AT1G03840,    AT2G13720,            0.379149443392,   75
AT2G04038,    AT2G11940,            0.372942872901,   76
AT2G28810,    AT1G35150,            0.370989235391,   77
AT1G01250,    AT1G03790,            0.370670258267,   78
AT2G22430,    AT3G14450,            0.370373196765,   79
AT1G01060,    AT1G49720,            -0.369294354108,   80
AT1G16490,    AT1G66970,            0.369152440668,   81
AT1G76420,    AT1G27990,            0.368936852233,   82
AT2G18550,    AT5G28240,            0.368721799386,   83
AT1G19040,    AT3G44460,            0.368505986815,   84
AT1G76420,    AT4G15320,            -0.364641169659,   85
AT2G01930,    AT1G48730,            0.364063750006,   86
AT2G28810,    AT2G21740,            0.363409667494,   87
AT2G22430,    AT5G34840,            0.362674618599,   88
AT1G76420,    AT5G36840,            0.362526539008,   89
AT2G03500,    AT1G17230,            0.362287507894,   90
AT1G29280,    AT2G10750,            0.361635844978,   91
AT1G72740,    AT1G48800,            0.360283789281,   92
AT2G23290,    AT5G03270,            0.359894074884,   93
AT2G18550,    AT3G15670,            -0.359384330963,   94
AT1G01250,    AT1G12030,            -0.358971643125,   95
AT1G34180,    AT4G03630,            0.356462530927,   96
AT1G02250,    AT3G23270,            0.35580045868,   97
AT2G01930,    AT5G14380,            -0.353486649313,   98
AT1G69010,    AT2G32570,            0.353355594663,   99
AT2G23290,    AT5G39130,            0.353278980297,   100
AT2G04038,    AT1G37150,            -0.353122697061,   101
AT2G02070,    AT5G05900,            0.352885898179,   102
AT2G01930,    AT4G17980,            0.352379142572,   103
AT1G68200,    AT5G50790,            0.352093723082,   104
AT1G19850,    AT1G64670,            0.351532284091,   105
AT1G74480,    AT5G01480,            0.350756096193,   106
AT1G53230,    AT3G43330,            -0.350558341323,   107
AT1G19040,    AT5G33370,            0.34886494937,   108
AT1G74480,    AT5G45310,            0.347477004066,   109
AT2G26960,    AT5G15590,            0.346995631622,   110
AT1G71450,    AT2G11360,            0.346848020586,   111
AT2G03500,    AT5G06520,            -0.346137122756,   112
AT1G01250,    AT1G11690,            -0.345967592586,   113
AT1G53910,    AT5G02900,            0.345960665544,   114
AT1G19040,    AT4G35280,            -0.345915402886,   115
AT1G68550,    AT2G43380,            -0.344741195831,   116
AT1G76420,    AT5G51190,            0.344266227523,   117
AT1G68670,    AT3G28190,            -0.343846111359,   118
AT1G65910,    AT4G29250,            0.343638315,   119
AT2G23290,    AT1G70080,            0.343507354239,   120
AT1G77200,    AT2G45610,            0.342812777235,   121
AT1G68670,    AT2G05930,            0.341826479245,   122
AT2G23290,    AT4G11460,            0.341651924484,   123
AT1G63030,    AT2G14540,            -0.341509305506,   124
AT1G53230,    AT5G63900,            0.341174296734,   125
AT1G20910,    AT1G23320,            -0.340979942386,   126
AT1G69690,    AT3G18070,            0.340959141076,   127
AT1G51140,    AT1G58330,            -0.340848821183,   128
AT1G62300,    AT4G04440,            0.340597535248,   129
AT1G18330,    AT4G18395,            -0.340588016877,   130
AT2G20400,    AT2G33720,            0.339648203876,   131
AT2G20110,    AT1G61160,            0.339453474806,   132
AT1G76420,    AT3G44350,            -0.338440841501,   133
AT1G01250,    AT4G21630,            -0.338149444947,   134
AT1G16490,    AT1G11590,            -0.337378828819,   135
AT1G74840,    AT2G16200,            -0.3362123805,   136
AT1G53910,    AT5G12910,            -0.336004007486,   137
AT1G19040,    AT1G79960,            -0.335597579976,   138
AT2G04038,    AT1G36340,            0.335356738968,   139
AT2G02820,    AT1G23680,            -0.333096506471,   140
AT1G28160,    AT5G28230,            0.332760454736,   141
AT1G69570,    AT4G36350,            -0.332687257127,   142
AT2G18350,    AT4G12160,            -0.332467746439,   143
AT2G04038,    AT3G12730,            0.332428048672,   144
AT1G68670,    AT3G16160,            -0.332278922438,   145
AT1G29280,    AT4G24950,            -0.332170263297,   146
AT1G43160,    AT2G27570,            0.331727454932,   147
AT1G01060,    AT1G10930,            -0.331696937308,   148
AT1G65910,    AT1G76210,            -0.331689125838,   149
AT1G03840,    AT3G04540,            -0.33087596757,   150
AT1G01060,    AT4G26370,            -0.33079490457,   151
AT1G29280,    AT4G25420,            0.330729633516,   152
AT1G69780,    AT1G78390,            0.330274812857,   153
AT1G34180,    AT3G02970,            0.329862739052,   154
AT2G03500,    AT2G11830,            0.329621976836,   155
AT1G19040,    AT5G46360,            0.329614453514,   156
AT1G01060,    AT4G14180,            0.329552909178,   157
AT1G19000,    AT4G32730,            -0.32907234159,   158
AT2G02080,    AT4G03640,            0.328206447682,   159
AT1G62300,    AT3G03240,            -0.327852373377,   160
AT1G01060,    AT5G29040,            -0.326728993974,   161
AT2G22430,    AT4G18290,            -0.326652854444,   162
AT1G29280,    AT5G60470,            -0.326426446467,   163
AT1G19850,    AT1G10990,            0.326353093611,   164
AT1G69010,    AT4G19170,            0.325878279629,   165
AT1G68200,    AT1G31310,            0.325784622476,   166
AT1G19000,    AT5G46370,            -0.324732151625,   167
AT1G34190,    AT5G09930,            0.324663870162,   168
AT2G15740,    AT1G67635,            0.324031309377,   169
AT2G28810,    AT1G02550,            -0.322785409809,   170
AT1G29280,    AT5G40290,            0.322015221851,   171
AT1G19000,    AT5G20330,            0.321933757576,   172
AT1G71450,    AT4G08050,            0.321227454236,   173
AT1G49480,    AT5G42230,            -0.320978387981,   174
AT1G34670,    AT4G31940,            0.320928214089,   175
AT2G02080,    AT2G36550,            0.320679971197,   176
AT1G29280,    AT5G64800,            -0.319090299199,   177
AT1G53230,    AT5G29080,            0.31792485269,   178
AT1G53230,    AT2G11540,            -0.316921004485,   179
AT2G20110,    AT2G24010,            0.316089331161,   180
AT1G19040,    AT2G14760,            0.314676602873,   181
AT2G01060,    AT5G44260,            -0.31450037895,   182
AT1G70920,    AT2G38350,            -0.313673649828,   183
AT1G77200,    AT5G59330,            -0.313088496555,   184
AT1G54330,    AT3G42340,            -0.312850032183,   185
AT1G34180,    AT5G15480,            0.312831658256,   186
AT1G01060,    AT4G20250,            -0.312377090266,   187
AT1G71450,    AT1G72270,            -0.311951922376,   188
AT2G15740,    AT1G74070,            0.31137072059,   189
AT1G01060,    AT5G39980,            -0.31058191715,   190
AT1G20910,    AT3G54820,            0.31044241999,   191
AT2G01940,    AT3G62890,            0.310011089126,   192
AT1G50640,    AT4G25410,            0.30929515641,   193
AT2G18550,    AT5G61750,            -0.308857986985,   194
AT1G29280,    AT3G60790,            -0.308599001088,   195
AT2G01940,    AT5G38760,            0.308309583464,   196
AT1G34670,    AT1G05950,            -0.308049786035,   197
AT1G65910,    AT3G12460,            0.307563219608,   198
AT1G70920,    AT2G21140,            0.307531542788,   199
AT1G68200,    AT4G04420,            -0.307353882978,   200
AT2G18160,    AT4G18080,            -0.307297434235,   201
AT2G01940,    AT3G01530,            0.306609365167,   202
AT1G68550,    AT4G23200,            0.30639691748,   203
AT2G22540,    AT1G41276,            0.306348402947,   204
AT2G28810,    AT4G19530,            -0.306272527461,   205
AT1G01060,    AT5G43440,            -0.305427430248,   206
AT1G52150,    AT3G28007,            0.305360830803,   207
AT1G72740,    AT1G30710,            -0.305348319268,   208
AT1G77200,    AT1G63950,            0.305185595432,   209
AT1G01060,    AT4G15580,            -0.304986157386,   210
AT1G13450,    AT5G40645,            0.304660906131,   211
AT1G76420,    AT1G14430,            0.304380184545,   212
AT2G26960,    AT1G41900,            -0.304353545459,   213
AT1G69010,    AT5G51480,            0.303913002056,   214
AT1G64620,    AT3G13370,            0.303110525342,   215
AT1G20910,    AT2G36760,            -0.301800833928,   216
AT1G75240,    AT3G45140,            0.301398106858,   217
AT2G30250,    AT3G15500,            0.301240401083,   218
AT2G18550,    AT1G47885,            0.300831560833,   219
AT1G20910,    AT1G75920,            -0.300819637683,   220
AT2G28810,    AT2G44240,            0.299848902609,   221
AT1G68200,    AT4G25040,            0.299082125762,   222
AT2G23290,    AT3G42550,            0.298683766154,   223
AT2G28810,    AT3G01015,            0.298287970699,   224
AT1G64620,    AT3G53550,            0.298018067145,   225
AT2G20110,    AT1G56360,            0.297707937826,   226
AT1G54330,    AT2G34880,            0.297502984509,   227
AT1G01250,    AT1G34290,            0.296899599049,   228
AT2G02070,    AT4G08950,            0.296812572932,   229
AT1G54330,    AT5G51650,            0.296540836058,   230
AT1G36060,    AT5G22570,            -0.296361623477,   231
AT2G01930,    AT2G07230,            -0.296211426453,   232
AT2G18380,    AT3G29190,            0.29607870065,   233
AT2G02820,    AT1G22890,            -0.295768072425,   234
AT1G53170,    AT5G38080,            -0.295621537136,   235
AT2G30250,    AT3G54520,            0.294775884106,   236
AT1G71450,    AT4G05470,            0.294768937179,   237
AT1G01250,    AT5G57690,            0.294667485618,   238
AT2G30590,    AT3G27812,            -0.294652168543,   239
AT1G13260,    AT1G30470,            0.294160709051,   240
AT1G74480,    AT3G47140,            0.29410960334,   241
AT2G15740,    AT4G08610,            0.293945589448,   242
AT1G22070,    AT5G45690,            -0.293754778432,   243
AT1G20980,    AT3G19730,            -0.29370873678,   244
AT1G74840,    AT2G14630,            -0.293621841452,   245
AT1G69010,    AT3G59845,            -0.293525642452,   246
AT2G02070,    AT4G20470,            0.293496116429,   247
AT2G23290,    AT4G03205,            0.292987338333,   248
AT1G63030,    AT2G27620,            -0.29294672399,   249
AT2G28810,    AT5G44120,            0.291771096499,   250
AT2G20110,    AT2G15010,            0.291700184843,   251
AT2G15740,    AT1G55050,            0.29107433038,   252
AT1G09540,    AT4G23610,            -0.290986199568,   253
AT1G70920,    AT3G16360,            -0.290810637618,   254
AT1G34180,    ATMG00890,            0.29060499412,   255
AT1G29280,    AT3G54070,            0.290597093526,   256
AT1G75240,    AT1G50180,            -0.290201282045,   257
AT1G79180,    AT2G15920,            0.28994599972,   258
AT1G72740,    AT2G36145,            -0.288983493506,   259
AT2G28810,    AT1G65240,            0.288781443424,   260
AT2G20400,    AT1G29600,            0.288222253446,   261
AT1G19000,    AT5G13230,            0.288119173734,   262
AT1G71450,    AT5G60320,            -0.288024218551,   263
AT1G09540,    AT2G10400,            -0.287946800831,   264
AT1G62300,    AT4G38000,            0.286763448535,   265
AT2G20110,    AT3G09050,            -0.286739637144,   266
AT1G34670,    AT1G31000,            -0.286518980522,   267
AT2G28810,    AT1G69100,            -0.285802654556,   268
AT1G77200,    AT2G19330,            0.285734464371,   269
AT2G03500,    AT1G68480,            -0.285391032643,   270
AT1G19000,    AT1G33870,            0.284373850151,   271
AT1G34190,    AT3G53910,            -0.28424368488,   272
AT1G49010,    AT3G51410,            0.284031656742,   273
AT1G51140,    AT2G36020,            -0.283643179176,   274
AT2G22430,    AT3G29220,            0.282614696775,   275
AT1G01250,    AT2G06410,            -0.282492476004,   276
