regulator,    target,    score,    rank
AT2G24430,    AT1G26390,            0.988193766703,   1
AT1G28470,    AT3G49960,            -0.987240841033,   2
AT1G79580,    AT2G30925,            0.98674443958,   3
AT1G51700,    AT5G35770,            0.986396401281,   4
AT1G08320,    AT5G44400,            0.98539509531,   5
AT1G19850,    AT5G51990,            0.985081781728,   6
AT1G28470,    AT1G16390,            -0.984698208473,   7
AT1G01060,    AT3G07650,            -0.984393674089,   8
AT1G28470,    AT5G02000,            -0.984069312292,   9
AT1G52150,    AT2G29220,            0.983106425403,   10
AT1G28470,    AT5G23210,            -0.982838360841,   11
AT2G24430,    AT4G11650,            0.982826994765,   12
AT1G77200,    AT3G62760,            0.982219108732,   13
AT1G69690,    AT5G39030,            -0.98218206235,   14
AT1G77200,    AT1G78090,            0.981789760077,   15
AT2G18380,    AT4G13480,            0.981570564808,   16
AT1G77200,    AT2G24800,            0.980802795105,   17
AT1G12630,    AT5G55350,            -0.97993926286,   18
AT1G08320,    AT1G21130,            0.979347066564,   19
AT1G01060,    AT5G42900,            -0.978973653555,   20
AT2G30250,    AT3G45730,            0.978754268461,   21
AT1G47655,    AT5G56640,            0.978619658376,   22
AT1G77200,    AT5G44110,            0.978044500734,   23
AT1G19850,    AT1G08430,            0.977800387959,   24
AT1G30490,    AT5G52140,            0.977266072713,   25
AT1G09540,    AT2G03370,            0.976827168293,   26
AT1G13260,    AT2G25900,            0.976435144437,   27
AT1G77200,    AT1G51880,            0.976400324063,   28
AT2G28810,    AT2G20880,            -0.975513135997,   29
AT1G30650,    AT4G13610,            0.975122928531,   30
AT1G69780,    AT5G04120,            0.975108243099,   31
AT2G31230,    AT1G69160,            0.974696951039,   32
AT1G33240,    AT4G31875,            -0.974230726629,   33
AT2G22540,    AT2G45550,            0.973645806586,   34
AT1G08320,    AT2G38760,            -0.973534578563,   35
AT1G75240,    AT3G62610,            0.973229902879,   36
AT1G19850,    AT5G66780,            0.973079517215,   37
AT1G49480,    AT1G06160,            0.97300070366,   38
AT1G77200,    AT1G28600,            -0.972621387623,   39
AT1G28470,    AT5G06960,            0.972490133892,   40
AT1G74840,    AT1G13450,            0.972206607271,   41
AT1G77200,    AT1G57560,            0.971737802807,   42
AT1G28470,    AT1G62320,            -0.971731538937,   43
