regulator,    target,    score,    rank
AT2G24430,    AT1G26390,            0.992277257972,   1
AT1G28470,    AT3G49960,            -0.991518218148,   2
AT1G51700,    AT5G35770,            0.990040899953,   3
AT1G79580,    AT2G30925,            0.989950076518,   4
AT1G08320,    AT5G44400,            0.989212417053,   5
AT1G19850,    AT5G51990,            0.989097701055,   6
AT1G28470,    AT1G16390,            -0.989020023879,   7
AT1G01060,    AT3G07650,            -0.988955694546,   8
AT1G28470,    AT5G02000,            -0.988616347321,   9
AT2G24430,    AT4G11650,            0.987543973869,   10
AT1G77200,    AT3G62760,            0.987329920627,   11
AT1G52150,    AT2G29220,            0.987031906994,   12
AT1G28470,    AT5G23210,            -0.987016480321,   13
AT1G69690,    AT5G39030,            -0.987003426748,   14
AT2G18380,    AT4G13480,            0.986745953803,   15
AT1G77200,    AT1G78090,            0.986625256777,   16
AT1G77200,    AT2G24800,            0.985573058845,   17
AT1G12630,    AT5G55350,            -0.985229321972,   18
AT1G01060,    AT5G42900,            -0.9845618145,   19
AT1G08320,    AT1G21130,            0.984456000898,   20
AT2G30250,    AT3G45730,            0.984276867629,   21
AT1G47655,    AT5G56640,            0.98419291633,   22
AT1G30490,    AT5G52140,            0.983163773139,   23
AT1G19850,    AT1G08430,            0.98312804789,   24
AT1G77200,    AT5G44110,            0.982883616015,   25
AT1G09540,    AT2G03370,            0.982438328965,   26
AT1G77200,    AT1G51880,            0.981791042664,   27
AT1G13260,    AT2G25900,            0.981496391323,   28
AT1G69780,    AT5G04120,            0.980371362229,   29
AT1G33240,    AT4G31875,            -0.979976767129,   30
AT2G28810,    AT2G20880,            -0.97984772154,   31
AT2G31230,    AT1G69160,            0.979583250664,   32
AT1G75240,    AT3G62610,            0.979523285155,   33
AT1G19850,    AT5G66780,            0.979280454014,   34
AT1G30650,    AT4G13610,            0.979239725439,   35
AT1G08320,    AT2G38760,            -0.979135107026,   36
AT2G22540,    AT2G45550,            0.97907412436,   37
AT1G49480,    AT1G06160,            0.978645563339,   38
AT1G77200,    AT1G28600,            -0.978631583314,   39
AT1G28470,    AT5G06960,            0.978394209209,   40
AT1G19850,    AT1G60470,            0.977739620958,   41
AT1G28470,    AT2G35210,            -0.977538535267,   42
AT1G77200,    AT1G57560,            0.977413214841,   43
AT1G74840,    AT1G13450,            0.977247496038,   44
AT1G19850,    AT2G31085,            -0.977246786314,   45
AT1G28470,    AT1G62320,            -0.977190708181,   46
AT1G76420,    AT5G01150,            0.976654913339,   47
AT1G28470,    AT5G22410,            -0.97660345321,   48
AT1G33240,    AT1G11545,            0.976276953308,   49
AT1G52880,    AT5G44260,            -0.976251605017,   50
AT1G28470,    AT1G60750,            0.9761568165,   51
AT1G74650,    AT3G12250,            0.975782767851,   52
AT1G79580,    AT3G19085,            -0.975620259107,   53
AT1G28470,    AT5G35190,            -0.975571474338,   54
AT1G46768,    AT1G06980,            -0.975336402661,   55
AT2G30250,    AT4G18880,            0.975252594112,   56
AT1G30650,    AT1G51920,            -0.974895926295,   57
AT1G72740,    AT1G17740,            0.974819379531,   58
AT2G18350,    AT5G35510,            0.974797154036,   59
AT1G77200,    AT2G34810,            0.974724436655,   60
AT1G28470,    AT5G49630,            0.974721637841,   61
AT1G74650,    AT4G22490,            0.974646820606,   62
AT1G08320,    AT4G11780,            -0.974542236951,   63
AT1G28160,    AT5G32490,            0.974337446263,   64
AT1G28470,    AT3G20160,            -0.974308276077,   65
AT2G01930,    AT3G12910,            0.974268181805,   66
AT2G30590,    AT2G41690,            0.974037227775,   67
AT1G77920,    AT1G02790,            -0.974018340868,   68
AT1G49010,    AT1G69920,            0.973920203169,   69
AT1G19850,    AT3G28550,            -0.973916725911,   70
AT2G22540,    AT3G13370,            -0.973793099939,   71
AT1G33240,    AT4G11880,            -0.973548201693,   72
AT1G01060,    AT2G33830,            -0.973517049914,   73
AT1G28470,    AT4G04990,            0.973399171941,   74
AT1G28470,    AT4G27400,            -0.973329415307,   75
AT1G74840,    AT1G80380,            0.973226260285,   76
AT1G80840,    AT3G19940,            -0.973125445387,   77
AT1G74840,    AT3G15650,            -0.973001612563,   78
AT1G55110,    AT5G44680,            -0.972938493563,   79
AT1G28470,    AT4G30320,            -0.972803983372,   80
AT1G77920,    AT1G60190,            -0.972754834764,   81
AT1G55110,    AT4G17160,            0.972749766308,   82
AT1G72740,    AT3G49170,            0.972742857221,   83
AT1G28470,    AT5G52250,            -0.972637039143,   84
AT1G18330,    AT3G22920,            -0.972557083244,   85
AT1G28470,    AT2G29460,            0.97241530448,   86
AT1G16490,    AT5G67300,            0.972361031745,   87
AT2G30250,    AT1G26410,            0.97223229096,   88
AT1G69780,    AT5G07190,            0.972116287374,   89
AT1G28470,    AT4G40090,            -0.971928155429,   90
AT1G28470,    AT4G34580,            -0.971754353578,   91
AT1G14687,    AT5G20710,            -0.971671870415,   92
AT2G23320,    AT1G21120,            0.971658018899,   93
AT1G74840,    AT5G49450,            0.971625537801,   94
AT2G24430,    AT5G63560,            0.971495014331,   95
AT1G28470,    AT1G16440,            -0.971473194287,   96
AT1G55110,    AT2G31230,            0.971442525704,   97
AT1G28470,    AT3G19430,            -0.971435023091,   98
AT1G47655,    AT5G15950,            -0.971350110352,   99
AT1G71450,    AT1G77110,            -0.971306216223,   100
AT1G28470,    AT1G51915,            0.97119252474,   101
AT1G32870,    AT4G31970,            0.970959988748,   102
AT1G28470,    AT3G54580,            -0.97092614826,   103
AT2G28810,    AT4G33720,            0.970898151172,   104
AT1G74840,    AT1G71030,            0.97084796402,   105
AT1G28470,    AT5G10130,            -0.970804746444,   106
AT1G16490,    AT1G51960,            0.970776155929,   107
AT1G28470,    AT5G65600,            0.970584464813,   108
AT1G28470,    AT3G20470,            0.970300597537,   109
AT1G77200,    AT3G48940,            0.970255069024,   110
AT1G77200,    AT5G56540,            0.970198616137,   111
AT1G08320,    AT3G62150,            0.970190018227,   112
AT2G28810,    AT1G28270,            0.970023378173,   113
AT1G28470,    AT2G45220,            -0.969917524937,   114
AT1G28470,    AT2G28470,            -0.969767795206,   115
AT2G20110,    AT5G33240,            0.96970159891,   116
AT1G49480,    AT5G58910,            -0.969637273318,   117
AT1G02250,    AT2G19370,            -0.969523838616,   118
AT1G32870,    AT4G28460,            0.969423217946,   119
AT1G18330,    AT1G77760,            -0.969415086264,   120
AT1G69780,    AT3G14370,            0.969279455348,   121
AT2G23320,    AT1G26380,            0.969269350789,   122
AT1G52880,    AT1G02220,            0.969187594053,   123
AT1G49480,    AT5G67190,            0.969099966987,   124
AT1G33240,    AT5G08330,            0.969069685167,   125
AT1G76890,    AT4G24580,            0.969010382759,   126
AT1G77920,    AT1G30490,            0.968805983458,   127
AT1G46768,    AT4G32695,            0.968742212874,   128
AT1G72740,    AT1G61800,            0.96866937713,   129
AT1G28470,    AT2G22290,            -0.968661468268,   130
