regulator,    target,    score,    rank
AT1G01720,    AT3G17520,            0.994605829203,   1
AT1G30650,    AT3G30610,            0.992788812294,   2
AT1G49560,    AT5G10100,            -0.992556844995,   3
AT1G51700,    AT3G27785,            0.992372344682,   4
AT1G34370,    AT4G11660,            0.992351070437,   5
AT2G18550,    AT4G29230,            -0.992326116328,   6
AT1G30490,    AT3G44950,            0.992133395452,   7
AT1G65910,    AT3G26210,            -0.991997088345,   8
AT1G69780,    AT4G21340,            0.990962534348,   9
AT1G19000,    AT4G20000,            -0.990505542477,   10
AT2G01060,    AT4G03270,            -0.990299399522,   11
AT2G18380,    AT1G51850,            0.990229306962,   12
AT2G30340,    AT1G64170,            0.990034543444,   13
AT1G19850,    AT3G16160,            -0.989975574904,   14
AT1G19000,    AT1G48510,            -0.989470145927,   15
AT2G23320,    AT4G14280,            0.989449816886,   16
AT1G19000,    AT1G17630,            -0.989420629369,   17
AT1G49560,    AT4G30090,            0.989305237391,   18
AT2G23340,    AT2G34810,            0.989219532801,   19
AT1G01720,    AT5G20830,            0.98917526216,   20
AT1G52880,    AT1G52560,            0.988852074878,   21
AT1G18330,    AT2G21110,            -0.988834972367,   22
AT2G01060,    AT4G25940,            0.988456510276,   23
AT1G75240,    AT1G52190,            0.988316557843,   24
AT1G19000,    AT4G33050,            -0.988283569781,   25
AT2G01060,    AT5G53200,            0.988029559816,   26
AT1G03840,    AT3G57770,            -0.987958117672,   27
AT1G19000,    AT4G40020,            -0.987681468999,   28
AT1G69570,    AT4G03210,            -0.987532301535,   29
AT1G19210,    AT3G50580,            0.987378822681,   30
AT1G34180,    AT4G26010,            -0.987162816295,   31
AT1G01720,    AT1G52690,            0.987065750893,   32
AT1G52150,    AT2G27240,            0.986988277315,   33
AT2G18350,    AT2G10780,            -0.986709933005,   34
AT1G69010,    AT1G22130,            0.98667384748,   35
AT1G53170,    AT5G65990,            0.986590260895,   36
AT1G01720,    AT1G53885,            -0.986493039445,   37
AT2G23340,    AT3G49700,            -0.986237189521,   38
AT2G23340,    AT5G10930,            0.985862190923,   39
AT1G65910,    AT5G44990,            -0.985696685609,   40
AT2G02070,    AT1G51620,            -0.985460778224,   41
AT1G19000,    AT1G80340,            -0.985377934415,   42
AT1G74650,    AT2G41260,            -0.985361513975,   43
AT2G22430,    AT1G09795,            0.985285271585,   44
AT1G19000,    AT4G21120,            -0.985096299025,   45
AT1G01720,    AT5G66780,            0.985025699033,   46
AT1G19000,    AT3G44720,            -0.984998993563,   47
AT2G22430,    AT2G36690,            -0.984915695743,   48
AT2G23340,    AT4G22120,            0.984470466916,   49
AT2G01060,    AT2G17140,            0.984467493604,   50
AT2G18550,    AT3G50410,            0.984451859427,   51
AT1G19850,    AT5G67300,            -0.984233555385,   52
AT1G12630,    AT3G58740,            0.983892021456,   53
AT1G32150,    AT2G44940,            -0.983743063815,   54
AT1G32150,    AT2G37590,            0.983513058906,   55
AT1G19210,    AT1G22600,            0.983500025803,   56
AT1G68320,    AT4G08140,            -0.983358686633,   57
AT1G12610,    AT1G36830,            -0.983322631685,   58
AT1G77920,    AT4G35770,            -0.983239102076,   59
AT1G52150,    AT1G20530,            0.983165578373,   60
AT2G03340,    AT5G07310,            0.983127449737,   61
AT1G68550,    AT2G04640,            -0.983051958712,   62
AT1G43160,    AT3G02060,            -0.982952637526,   63
AT1G12260,    AT3G42430,            0.982933259305,   64
AT1G49560,    AT3G59630,            0.982893410741,   65
AT1G51140,    AT2G36010,            -0.982828846276,   66
AT1G53910,    AT2G46915,            0.982750078482,   67
AT1G69490,    AT2G46680,            0.982646446753,   68
AT2G01940,    AT5G62850,            0.98263724562,   69
AT1G51700,    AT3G30640,            -0.982623274444,   70
AT2G01060,    AT1G74180,            0.98253919369,   71
AT1G51140,    AT1G13740,            0.9820734205,   72
AT2G01060,    AT1G13100,            -0.982029922641,   73
AT1G19000,    AT1G21550,            -0.981884690485,   74
AT1G49560,    AT5G01520,            -0.981800615791,   75
AT1G75240,    AT1G16530,            0.981773296204,   76
AT1G69780,    AT4G36620,            -0.981759035613,   77
AT1G76420,    AT1G10620,            -0.981602354737,   78
AT1G01720,    AT5G55180,            0.981573702893,   79
AT2G28810,    AT4G09540,            0.981542162929,   80
AT2G22540,    AT2G02690,            -0.981508755739,   81
AT1G19000,    AT5G04000,            0.981448820757,   82
AT1G18330,    AT2G33530,            0.981448480452,   83
AT1G19000,    AT2G44630,            -0.981446093221,   84
AT1G75240,    AT5G47900,            -0.981186745534,   85
AT2G22430,    AT3G23630,            -0.980737630559,   86
AT2G18160,    AT2G48050,            -0.980521709865,   87
AT1G32150,    AT5G34460,            -0.980488286097,   88
AT1G19000,    AT4G31000,            -0.980276044408,   89
AT1G18330,    AT1G19040,            0.98026982708,   90
AT1G69490,    AT1G27050,            -0.980121329535,   91
AT1G49560,    AT1G56600,            -0.979996682572,   92
AT1G19000,    AT4G01920,            -0.979838328795,   93
AT1G69490,    AT5G47040,            0.979806249876,   94
AT1G49010,    AT3G49150,            -0.979794433144,   95
AT1G19000,    AT1G18590,            -0.979672308049,   96
AT1G68320,    AT5G55040,            -0.979633105091,   97
AT2G22430,    AT2G42720,            -0.979625249137,   98
AT1G72740,    AT5G03150,            -0.97949100848,   99
AT1G69780,    AT5G39850,            -0.979267526959,   100
AT1G65910,    AT5G15120,            -0.979093628455,   101
AT1G64620,    AT2G06020,            -0.979013947663,   102
AT1G03840,    AT1G62680,            0.978875594224,   103
AT1G13260,    AT2G15310,            -0.978817328457,   104
AT1G01720,    AT1G20120,            0.978709510189,   105
AT1G13260,    AT3G54500,            0.978680274082,   106
AT1G69780,    AT4G26140,            0.978660303822,   107
AT2G22430,    AT3G51480,            -0.978300890139,   108
AT1G09540,    AT4G28810,            0.978228307773,   109
AT1G80840,    AT3G26932,            0.978159420289,   110
AT1G43160,    AT2G42150,            0.978152130935,   111
AT1G06850,    AT1G03470,            -0.978111159507,   112
AT1G12610,    AT4G04890,            -0.977870776992,   113
AT2G02070,    AT4G14365,            -0.977739433264,   114
AT2G18550,    AT1G37020,            -0.977645352667,   115
AT1G74650,    AT2G03830,            0.977489812919,   116
AT1G01720,    AT3G01500,            0.977396293456,   117
AT1G27730,    ATMG00140,            0.977360251946,   118
AT2G22430,    AT5G07990,            0.977346991401,   119
AT2G18550,    AT2G21185,            -0.977074768554,   120
AT1G77200,    AT4G29990,            -0.977029005339,   121
AT2G02080,    AT1G62763,            0.976938560282,   122
AT2G18060,    AT2G39330,            0.976898466803,   123
AT1G19000,    AT1G19610,            -0.976654128281,   124
AT1G49560,    AT1G11420,            0.976559834805,   125
AT1G75240,    AT3G42980,            -0.976441281902,   126
AT2G23290,    AT5G62630,            -0.976438478979,   127
AT1G69780,    AT4G36110,            -0.976372155446,   128
AT2G23340,    AT5G45800,            0.976281885514,   129
AT1G65910,    AT2G19310,            -0.976175746985,   130
AT1G43160,    AT1G02370,            -0.976132071621,   131
AT1G28160,    AT5G61620,            -0.976021466939,   132
AT2G24430,    AT3G55550,            -0.9759888837,   133
AT1G69180,    AT1G69320,            0.975982593647,   134
AT1G74650,    AT2G15960,            -0.975661869103,   135
AT2G22430,    AT5G26920,            -0.975624326948,   136
AT2G23340,    AT5G62070,            0.975623828734,   137
AT1G69010,    AT3G25185,            0.975528831549,   138
AT2G18160,    AT1G73850,            -0.975269080745,   139
AT2G22430,    AT4G37450,            -0.975262855582,   140
AT1G22070,    AT2G29250,            -0.975254074358,   141
AT2G22430,    AT3G51750,            0.975227000873,   142
AT1G69570,    AT1G76800,            0.975180803986,   143
AT1G74840,    AT1G35210,            -0.975136475725,   144
AT1G19000,    AT1G13590,            -0.975115348919,   145
AT1G06850,    AT1G41750,            0.975100572014,   146
AT2G01940,    AT1G26710,            0.975076837223,   147
AT1G33240,    AT1G67100,            -0.974996405183,   148
AT1G68320,    AT1G08430,            -0.974930144933,   149
AT1G69780,    AT3G57860,            -0.974834053759,   150
AT2G01060,    AT1G60630,            0.974793694485,   151
AT1G49560,    AT2G20200,            -0.974775358548,   152
AT1G28470,    AT4G15250,            0.974731099405,   153
AT2G01060,    AT2G24600,            0.974553496562,   154
AT1G19000,    AT2G25200,            -0.974512455077,   155
AT2G18550,    AT1G54720,            -0.974469037196,   156
AT1G65910,    AT1G23560,            -0.974419176696,   157
AT2G02070,    AT1G29270,            -0.97428017821,   158
AT1G20910,    AT5G57620,            -0.974108864355,   159
AT1G01720,    AT4G39590,            -0.973934181361,   160
AT2G22430,    AT2G40260,            -0.973874489723,   161
AT1G74650,    AT4G11470,            0.973801297977,   162
AT1G69780,    AT2G22330,            -0.973730875747,   163
AT1G69490,    AT1G05340,            0.97369589665,   164
AT1G69690,    AT1G32770,            -0.973693227573,   165
AT1G25550,    AT1G59124,            0.973540078795,   166
AT2G02820,    AT1G34170,            -0.973514445582,   167
AT2G22430,    AT4G09760,            0.973466131637,   168
AT1G51140,    AT5G03190,            0.973457477889,   169
AT2G22430,    AT5G01110,            -0.97340273626,   170
AT1G49560,    AT1G72140,            0.973394018125,   171
AT1G68550,    AT5G27980,            0.973376170626,   172
AT1G49560,    AT3G15110,            0.973345075681,   173
AT1G32870,    AT2G06970,            0.973287566887,   174
AT2G01940,    AT5G55800,            -0.973272958781,   175
AT1G34180,    AT5G04010,            -0.973167443624,   176
AT1G69780,    AT4G36600,            0.973153420554,   177
AT1G19850,    AT2G19610,            -0.973057204884,   178
AT2G23320,    AT1G24620,            0.973038317562,   179
AT2G23340,    AT5G46240,            -0.973020744376,   180
AT1G78700,    AT3G19430,            0.973002181945,   181
AT1G51140,    AT1G65310,            -0.972965171531,   182
AT1G19000,    AT3G63210,            0.972832969444,   183
AT2G22430,    AT2G15390,            -0.972819531826,   184
AT1G79580,    AT3G27620,            0.972700455206,   185
AT1G03840,    AT1G75520,            -0.972687401531,   186
AT1G34670,    AT1G54540,            0.972671435744,   187
AT2G22540,    AT4G20450,            -0.972368901308,   188
AT1G69010,    AT4G02750,            -0.972354912198,   189
AT1G19000,    AT1G21120,            -0.97230695709,   190
AT1G80840,    AT2G13880,            0.972279989378,   191
AT1G49560,    AT5G18130,            -0.972273861023,   192
AT1G78700,    AT2G25890,            -0.972265850518,   193
AT1G64620,    AT5G60450,            0.972240146817,   194
AT1G79580,    AT4G35010,            -0.972091740522,   195
AT2G22430,    AT1G11170,            0.972028881709,   196
AT2G01060,    AT1G49880,            0.971870473602,   197
AT1G19000,    AT1G33880,            -0.971815231667,   198
