regulator,    target,    score,    rank
AT1G01720,    AT3G17520,            0.996584862662,   1
AT1G30650,    AT3G30610,            0.995706934438,   2
AT1G51700,    AT3G27785,            0.994978770669,   3
AT1G49560,    AT5G10100,            -0.99485605214,   4
AT1G65910,    AT3G26210,            -0.994580846439,   5
AT1G34370,    AT4G11660,            0.994503704228,   6
AT2G18550,    AT4G29230,            -0.994332070693,   7
AT1G30490,    AT3G44950,            0.994330239333,   8
AT1G69780,    AT4G21340,            0.993513639491,   9
AT1G19000,    AT4G20000,            -0.99340236727,   10
AT1G19850,    AT3G16160,            -0.993215849051,   11
AT2G18380,    AT1G51850,            0.993191041527,   12
AT2G01060,    AT4G03270,            -0.99312877955,   13
AT2G30340,    AT1G64170,            0.993008291322,   14
AT1G19000,    AT1G17630,            -0.992548001254,   15
AT1G19000,    AT1G48510,            -0.992427236066,   16
AT1G49560,    AT4G30090,            0.992375241333,   17
AT2G23320,    AT4G14280,            0.992359816896,   18
AT1G18330,    AT2G21110,            -0.992222787203,   19
AT2G23340,    AT2G34810,            0.991873555468,   20
AT1G01720,    AT5G20830,            0.991770373903,   21
AT1G52880,    AT1G52560,            0.991730840676,   22
AT2G01060,    AT4G25940,            0.991699440368,   23
AT1G19000,    AT4G33050,            -0.991573267705,   24
AT1G75240,    AT1G52190,            0.991438798888,   25
AT1G03840,    AT3G57770,            -0.991382804825,   26
AT2G01060,    AT5G53200,            0.991285392723,   27
AT1G34180,    AT4G26010,            -0.991124141658,   28
AT1G19210,    AT3G50580,            0.99111469901,   29
AT1G19000,    AT4G40020,            -0.991043506997,   30
AT1G69570,    AT4G03210,            -0.991013170354,   31
AT1G01720,    AT1G52690,            0.99049308578,   32
AT1G52150,    AT2G27240,            0.990402796265,   33
AT1G69010,    AT1G22130,            0.990238992388,   34
AT1G53170,    AT5G65990,            0.990047040937,   35
AT2G23340,    AT3G49700,            -0.989355687928,   36
AT1G65910,    AT5G44990,            -0.989287622105,   37
AT1G74650,    AT2G41260,            -0.989162454438,   38
AT2G23340,    AT5G10930,            0.988965613511,   39
AT1G01720,    AT5G66780,            0.988743121296,   40
AT1G19000,    AT4G21120,            -0.988719772512,   41
AT1G19000,    AT1G80340,            -0.98869628361,   42
AT2G02070,    AT1G51620,            -0.988594536793,   43
AT2G22430,    AT1G09795,            0.988582653032,   44
AT2G18350,    AT2G10780,            -0.988571295534,   45
AT1G01720,    AT1G53885,            -0.988384044281,   46
AT2G01060,    AT2G17140,            0.988374878746,   47
AT2G18550,    AT3G50410,            0.988350159059,   48
AT2G23340,    AT4G22120,            0.988130128817,   49
AT2G22430,    AT2G36690,            -0.988096351147,   50
