regulator,    target,    score,    rank
AT1G64620,    AT5G60450,            0.599025572067,   1
AT1G51700,    AT3G30640,            -0.561183827122,   2
AT1G71450,    AT2G03850,            -0.558519636031,   3
AT1G32150,    AT5G34460,            -0.526766418605,   4
AT1G30490,    AT3G44950,            0.523764194578,   5
AT2G18380,    AT4G31060,            -0.51075359673,   6
AT1G64620,    AT5G27180,            -0.505463254355,   7
AT1G64620,    AT4G20090,            0.475037259479,   8
AT1G52150,    AT4G31900,            -0.474234924247,   9
AT1G64620,    AT1G76230,            0.459911882236,   10
AT2G18060,    AT1G23690,            0.458192689681,   11
AT1G77200,    AT4G29990,            -0.457762906108,   12
AT1G64620,    AT2G25600,            0.456038556999,   13
AT2G18380,    AT1G51850,            0.455983731926,   14
AT1G49010,    AT3G49150,            -0.451691245864,   15
AT1G32150,    AT2G44940,            -0.447041562405,   16
AT1G63030,    AT5G15480,            0.432714633437,   17
AT1G12610,    AT1G36830,            -0.432309176603,   18
AT1G65910,    AT3G26210,            -0.429878847939,   19
AT1G64620,    AT3G45000,            -0.426998086968,   20
AT1G69780,    AT4G21340,            0.421268607937,   21
AT1G65910,    AT3G58230,            -0.420517569093,   22
AT1G32150,    AT2G37590,            0.420284730041,   23
AT1G71450,    AT4G37260,            -0.415036283208,   24
AT1G77200,    AT1G11470,            0.414808061836,   25
AT1G77200,    AT5G60130,            -0.414527778306,   26
AT1G79580,    AT3G27620,            0.414301975631,   27
AT1G12610,    AT1G07745,            -0.413498657454,   28
AT1G64620,    AT3G62230,            -0.405518879436,   29
AT2G26960,    AT1G51110,            0.40464784462,   30
AT2G18060,    AT5G02730,            0.404536189546,   31
AT1G53230,    AT5G05840,            0.402419657036,   32
AT1G71450,    AT2G07550,            -0.40066949781,   33
AT2G32460,    AT2G46870,            -0.400174526833,   34
AT2G26960,    AT2G04760,            0.399846770981,   35
AT1G01060,    AT4G23960,            -0.398992817115,   36
AT1G77200,    AT1G35380,            -0.39797955348,   37
AT2G06200,    AT2G27700,            0.397930514003,   38
AT1G71450,    AT4G25800,            -0.3963324303,   39
AT1G64620,    AT5G58310,            0.394571577102,   40
AT1G77200,    AT3G25750,            -0.392315613943,   41
AT1G79580,    AT2G39370,            -0.391664095774,   42
AT1G79580,    AT5G49770,            0.391631646046,   43
AT2G18380,    AT3G01260,            0.389996431781,   44
AT1G75240,    AT1G52190,            0.38968231004,   45
AT1G52150,    AT2G27240,            0.388640457263,   46
AT2G28810,    AT4G09540,            0.388021238318,   47
AT1G22070,    AT2G29250,            -0.387523207784,   48
AT1G80840,    AT4G26290,            0.385279159908,   49
AT2G04038,    AT4G08300,            0.382662065627,   50
AT2G15740,    AT3G03190,            0.382043326087,   51
AT1G62300,    AT5G28420,            -0.381959163332,   52
AT1G64620,    AT5G62140,            0.38187901007,   53
AT1G69780,    AT2G36100,            0.376846426186,   54
AT1G68320,    AT1G12220,            0.376656041384,   55
AT1G03840,    AT3G57770,            -0.376502815258,   56
AT1G69180,    AT1G26860,            -0.376038853177,   57
AT1G53230,    AT3G42550,            0.375091216567,   58
AT1G75240,    AT3G10750,            -0.374223862154,   59
AT1G52150,    AT1G20530,            0.373985097205,   60
AT1G01060,    AT2G33080,            -0.37360416294,   61
AT2G18060,    AT2G39330,            0.372463066687,   62
AT2G26960,    AT5G46270,            -0.371631049473,   63
AT1G32150,    AT1G71390,            0.37146682086,   64
AT1G59640,    AT1G08810,            0.369340799001,   65
AT1G64620,    AT5G18560,            -0.366660938788,   66
AT1G34180,    AT5G04010,            -0.365511350028,   67
AT1G71450,    AT1G75460,            -0.364415380502,   68
AT1G32150,    AT5G38790,            -0.364384503795,   69
AT2G31230,    AT1G28375,            0.36275379562,   70
AT1G33240,    AT2G36440,            -0.362071254452,   71
AT1G01060,    AT3G50610,            -0.361246999919,   72
AT1G12610,    AT2G20660,            -0.360253359311,   73
AT1G75240,    AT3G42980,            -0.360063194726,   74
AT2G30250,    AT5G63740,            0.359416459263,   75
AT1G29160,    AT2G35530,            -0.353575066083,   76
