regulator,    target,    score,    rank
AT1G72740,    AT2G36730,            0.994080698876,   1
AT1G25550,    AT5G67520,            -0.993621740638,   2
AT1G19000,    AT1G67980,            -0.993396525098,   3
AT1G34670,    AT5G41040,            0.990151673339,   4
AT1G77200,    AT5G26110,            0.990130940701,   5
AT2G23340,    AT4G30340,            -0.989528763142,   6
AT1G72740,    AT3G42860,            0.989526182802,   7
AT1G72740,    AT1G04940,            0.989298801584,   8
AT1G62300,    AT5G35900,            0.988739773441,   9
AT1G20980,    AT1G56320,            0.988513676654,   10
AT1G19000,    AT4G14680,            -0.988513382856,   11
AT1G74840,    AT3G46110,            -0.98822991138,   12
AT1G12260,    AT1G65110,            0.988109601413,   13
AT2G02070,    AT1G13600,            0.987893435679,   14
AT1G68320,    AT5G37620,            -0.987291673427,   15
AT1G28470,    AT1G54280,            0.987214194555,   16
AT1G19000,    AT2G34230,            0.987165523145,   17
AT1G74650,    AT5G50260,            0.986930870123,   18
AT2G30340,    AT3G30230,            0.986744375552,   19
AT1G55110,    AT2G26440,            0.986586528657,   20
AT1G72740,    AT4G02790,            0.986342216734,   21
AT1G72740,    AT4G03630,            -0.986293710993,   22
AT1G20910,    AT5G39960,            0.986152251494,   23
AT2G01060,    AT4G01010,            0.986131541228,   24
AT1G69180,    AT2G06320,            0.985836809678,   25
AT1G69780,    AT1G49220,            0.985816675871,   26
AT1G29860,    AT2G40180,            0.985705047114,   27
AT1G19000,    AT1G69890,            -0.985610195254,   28
AT1G72740,    AT4G09730,            0.985537563575,   29
AT1G53170,    AT4G25480,            0.985455002849,   30
AT1G75240,    AT2G37140,            0.985347822336,   31
AT1G20980,    AT2G19200,            0.985306355409,   32
AT1G34670,    ATMG00150,            -0.985207264998,   33
AT1G34670,    AT3G55090,            0.985036088361,   34
AT1G19000,    AT3G23920,            0.984888349073,   35
AT1G49010,    AT3G01970,            -0.984882833124,   36
AT2G23290,    AT3G15500,            -0.98483344869,   37
AT1G03840,    AT5G57110,            -0.984536479909,   38
AT2G30250,    AT2G07560,            -0.984505891108,   39
AT1G72740,    AT5G65520,            -0.98440028187,   40
AT2G02820,    AT4G28500,            0.984345788427,   41
AT1G72740,    ATMG00870,            -0.984330168491,   42
AT1G19000,    AT1G25260,            -0.984327770694,   43
