regulator,    target,    score,    rank
AT1G72740,    AT2G36730,            0.997278592916,   1
AT1G19000,    AT1G67980,            -0.99706546157,   2
AT1G25550,    AT5G67520,            -0.996677900132,   3
AT1G77200,    AT5G26110,            0.993999305814,   4
AT1G72740,    AT3G42860,            0.993632638802,   5
AT1G34670,    AT5G41040,            0.993628002245,   6
AT1G72740,    AT1G04940,            0.993310107513,   7
AT2G23340,    AT4G30340,            -0.992958573443,   8
AT1G20980,    AT1G56320,            0.992753139071,   9
AT1G62300,    AT5G35900,            0.992690173642,   10
AT1G19000,    AT4G14680,            -0.992592018849,   11
AT1G74840,    AT3G46110,            -0.992146513478,   12
AT1G12260,    AT1G65110,            0.991893629025,   13
AT1G28470,    AT1G54280,            0.991493512162,   14
AT2G02070,    AT1G13600,            0.991348994324,   15
AT1G19000,    AT2G34230,            0.991242975281,   16
AT1G72740,    AT4G03630,            -0.99108318627,   17
AT1G74650,    AT5G50260,            0.990953201173,   18
AT1G72740,    AT4G02790,            0.990843162911,   19
AT1G55110,    AT2G26440,            0.99078780288,   20
AT2G30340,    AT3G30230,            0.9907859262,   21
AT1G20910,    AT5G39960,            0.990717463015,   22
AT1G68320,    AT5G37620,            -0.990702135578,   23
AT1G69780,    AT1G49220,            0.990478760904,   24
AT2G01060,    AT4G01010,            0.990312801099,   25
AT1G72740,    AT4G09730,            0.989760217054,   26
AT1G19000,    AT1G69890,            -0.989745541822,   27
AT1G29860,    AT2G40180,            0.989683449886,   28
AT1G75240,    AT2G37140,            0.989649712195,   29
AT1G20980,    AT2G19200,            0.989387136787,   30
AT1G53170,    AT4G25480,            0.989256094776,   31
AT1G34670,    AT3G55090,            0.989163746771,   32
AT1G19000,    AT3G23920,            0.989106466414,   33
AT1G49010,    AT3G01970,            -0.989073624374,   34
AT1G19000,    AT1G25260,            -0.989028046,   35
AT2G30250,    AT2G07560,            -0.98898174679,   36
AT1G72740,    AT5G65520,            -0.988915857769,   37
AT1G72740,    AT2G31170,            0.988703022109,   38
AT2G23290,    AT3G15500,            -0.988690345094,   39
AT1G19000,    AT3G30350,            -0.988515071172,   40
AT1G19000,    AT4G27010,            -0.988470369005,   41
AT1G03840,    AT5G57110,            -0.988361330568,   42
AT1G77200,    AT2G22390,            0.988328478875,   43
AT1G76890,    AT5G45850,            0.988253897767,   44
AT1G19850,    AT5G25460,            0.988039559345,   45
AT2G02820,    AT4G28500,            0.987983433611,   46
AT1G53230,    AT1G42200,            0.987760315567,   47
AT1G49010,    AT5G22300,            -0.987740527831,   48
AT1G76890,    AT2G20570,            0.987649902216,   49
AT1G55110,    AT4G22620,            0.987648477418,   50
AT1G20980,    AT1G17950,            0.987615714665,   51
AT1G72740,    AT4G15300,            0.987588042478,   52
AT1G01720,    AT3G22830,            0.987562156675,   53
AT1G51140,    AT1G64270,            0.987552618668,   54
