regulator,    target,    score,    rank
AT1G49010,    AT3G20770,            0.996534504944,   1
AT1G51140,    AT1G08590,            0.995725342776,   2
AT1G51140,    AT1G09170,            0.995064085768,   3
AT1G51140,    AT4G14680,            -0.994691549513,   4
AT1G20910,    AT1G30135,            0.994382951685,   5
AT2G23320,    AT5G26010,            -0.993916959411,   6
AT2G23320,    AT4G12330,            -0.993824978741,   7
AT1G33240,    AT1G77060,            -0.993530926695,   8
AT1G80840,    AT2G44380,            -0.993384839212,   9
AT2G23320,    AT1G05950,            0.993350830901,   10
AT1G55110,    AT3G62410,            0.993101561141,   11
AT1G51140,    AT5G13910,            0.992688904165,   12
AT1G19850,    AT1G13470,            0.991627867238,   13
AT1G19000,    AT1G23570,            0.991596833977,   14
AT1G51700,    AT3G23250,            0.991533023932,   15
AT1G55110,    AT1G09290,            0.991383635564,   16
AT2G01060,    AT4G37770,            -0.991361553338,   17
AT2G23320,    AT5G59580,            0.99129315512,   18
AT1G51700,    AT3G05170,            -0.991252965544,   19
AT1G75240,    AT1G49000,            0.990899798785,   20
AT2G23340,    AT5G07760,            -0.990755958275,   21
AT2G23320,    AT5G14230,            0.9907268805,   22
AT2G23320,    AT3G54150,            0.99052251843,   23
AT1G76890,    AT4G04330,            -0.990362217029,   24
AT1G13260,    AT1G19890,            0.990343239478,   25
AT2G23320,    AT1G69920,            0.990199413869,   26
AT2G01940,    AT1G53690,            -0.98976551648,   27
AT1G51140,    AT3G42830,            -0.9897176207,   28
AT1G33240,    AT1G13270,            -0.989581688806,   29
AT1G69780,    AT3G51680,            -0.989428294369,   30
AT2G20400,    AT3G18400,            0.989370588831,   31
AT1G20910,    AT5G52760,            0.989358968418,   32
AT2G02070,    AT3G02330,            0.989190531147,   33
AT1G79580,    AT2G17210,            -0.989091557512,   34
AT1G51700,    AT4G10120,            0.989016880818,   35
AT1G34190,    AT5G51720,            -0.988727664861,   36
AT1G18330,    AT2G18970,            0.988474148082,   37
AT1G49480,    AT5G40970,            0.988405465645,   38
AT2G30590,    AT3G21300,            0.988319880933,   39
AT2G23340,    AT1G77680,            0.988080464772,   40
AT1G51140,    AT5G67480,            0.987904298294,   41
AT1G74840,    AT4G33790,            0.987897007646,   42
AT1G72740,    AT5G04200,            -0.987767864605,   43
AT1G55110,    AT1G33870,            0.987650713137,   44
AT1G28370,    AT5G65090,            -0.987568542965,   45
AT1G09540,    AT2G26560,            -0.987534273503,   46
AT1G13260,    AT5G52660,            -0.987466475575,   47
AT1G33240,    AT5G47710,            -0.987222741048,   48
AT1G51700,    AT1G63750,            0.987172870374,   49
AT2G23320,    AT2G04530,            0.98694392178,   50
AT1G51140,    AT1G77360,            -0.986932563238,   51
AT1G19000,    AT3G24050,            -0.986690998636,   52
AT1G19850,    AT4G27170,            0.986551406293,   53
AT1G68200,    AT5G28130,            -0.986513867934,   54
AT1G49480,    AT4G26020,            0.986455203608,   55
AT1G02250,    AT1G66940,            -0.986347562794,   56
AT1G28370,    AT4G31950,            0.986250507794,   57
AT1G51140,    AT5G03190,            0.986247516463,   58
AT1G55110,    AT2G22330,            0.986242300396,   59
AT1G14687,    AT4G25160,            -0.986228706323,   60
AT1G53910,    AT5G12420,            0.986218635146,   61
AT2G23320,    AT1G74770,            -0.98597833266,   62
AT1G19850,    AT3G48030,            -0.985955523443,   63
AT1G68550,    AT2G46310,            0.985885741701,   64
AT1G33240,    AT1G28190,            -0.985826694897,   65
AT1G09540,    AT1G22640,            0.985812596549,   66
AT1G33240,    AT1G17380,            -0.98580908455,   67
AT2G02450,    AT1G32060,            0.985692511668,   68
AT1G13260,    AT2G15970,            -0.985604792347,   69
AT1G01720,    AT1G07290,            0.985583026728,   70
AT1G80840,    AT1G26530,            0.985492744528,   71
AT1G25340,    AT2G29000,            -0.985418292,   72
AT2G23320,    AT2G24600,            0.985255718608,   73
AT1G28470,    AT3G49300,            -0.985146138238,   74
AT1G79580,    AT2G03110,            -0.98495859362,   75
AT2G01940,    AT5G10970,            -0.984916524186,   76
AT1G74650,    AT5G62165,            0.984913524585,   77
AT1G27730,    AT1G34140,            -0.984908328473,   78
AT2G23320,    AT4G29170,            0.984855849699,   79
AT2G24430,    AT4G24510,            -0.984735337296,   80
AT1G51700,    AT5G65160,            -0.984640342459,   81
AT2G23320,    AT1G12560,            -0.984637370797,   82
AT1G02250,    AT5G28820,            -0.98423393449,   83
AT1G69570,    AT1G19780,            -0.983989416997,   84
