regulator,    target,    score,    rank
AT1G77920,    AT5G40290,            -0.547597841529,   1
AT1G34190,    AT5G51720,            -0.49383877057,   2
AT2G23290,    AT2G23540,            -0.487946801593,   3
AT1G69010,    AT3G02380,            -0.472693089091,   4
AT1G69570,    AT1G19780,            -0.465253725467,   5
AT2G01940,    AT1G53690,            -0.456636161243,   6
AT1G69010,    AT5G46830,            -0.454562131339,   7
AT2G23290,    AT2G02720,            0.454172109081,   8
AT1G69010,    AT3G29796,            -0.445245173811,   9
AT1G68320,    AT5G35550,            -0.445141306638,   10
AT1G34190,    AT1G70820,            -0.444923619237,   11
AT2G03500,    AT1G61630,            -0.44432158593,   12
AT1G02250,    AT5G61620,            0.443653913453,   13
AT2G28810,    AT4G08250,            0.440866724241,   14
AT2G20110,    AT2G06090,            -0.440082126835,   15
AT2G23290,    AT1G02205,            0.438722260409,   16
AT2G23290,    AT4G10845,            0.435413126062,   17
AT1G52150,    AT5G46300,            -0.43235666992,   18
AT1G68200,    AT5G28130,            -0.43126979488,   19
AT1G69570,    AT4G12440,            0.421675545988,   20
AT2G30340,    AT2G40230,            -0.418903843686,   21
AT1G68550,    AT2G46310,            0.417537163603,   22
AT2G18380,    AT5G62750,            -0.416269477623,   23
AT1G74480,    AT4G34950,            0.408876177356,   24
AT1G34180,    AT1G05670,            0.401963580868,   25
AT1G79180,    AT3G54890,            0.400565263659,   26
AT1G50640,    AT2G40790,            -0.397395378053,   27
AT1G34190,    AT3G45510,            -0.391416765827,   28
AT2G30250,    AT4G10240,            0.387165593292,   29
AT2G28810,    AT2G31480,            -0.385243924266,   30
AT1G77920,    AT2G19360,            0.38109572394,   31
AT2G20110,    AT1G14940,            -0.381039714012,   32
AT1G63030,    AT2G41340,            0.380906497714,   33
AT2G23290,    AT2G19500,            0.378281583612,   34
AT2G30250,    AT3G22420,            0.377605546637,   35
AT1G79180,    AT5G39020,            0.37743779713,   36
AT2G23290,    AT3G11870,            -0.376846247785,   37
AT1G68320,    AT4G39320,            0.373933001104,   38
AT2G22430,    AT4G11400,            -0.37329457065,   39
AT1G02250,    AT1G43920,            -0.370811059496,   40
AT1G43160,    AT3G60730,            -0.370347329286,   41
AT1G20980,    AT3G25880,            -0.370198682,   42
AT1G77920,    AT3G59370,            -0.368941247716,   43
AT1G02250,    AT5G49660,            0.367561067958,   44
AT1G69570,    AT5G16460,            -0.366784118712,   45
AT1G74480,    AT1G63520,            -0.362471774119,   46
AT2G03500,    AT5G48210,            0.362278736499,   47
AT2G32460,    AT4G21300,            -0.361308974686,   48
AT1G30210,    AT4G33330,            0.360961498941,   49
AT1G47655,    AT4G13080,            0.358731658938,   50
