regulator,    target,    score,    rank
AT2G23320,    AT4G19570,            -0.994067270517,   1
AT1G55110,    AT4G15480,            0.993882826435,   2
AT1G30490,    AT1G17910,            0.993630284115,   3
AT1G19850,    AT2G15780,            0.991902967147,   4
AT2G23320,    AT1G23320,            -0.991753886777,   5
AT1G32870,    AT1G32780,            -0.991528705066,   6
AT1G33240,    AT5G43800,            0.990240150167,   7
AT1G34670,    AT5G22270,            0.990147912503,   8
AT1G32150,    AT3G23340,            -0.990023658629,   9
AT1G16490,    AT2G16760,            -0.989715895405,   10
AT1G34670,    AT2G25160,            -0.989496167865,   11
AT2G18550,    AT1G34370,            0.988935521063,   12
AT1G47655,    AT5G65130,            0.988851426491,   13
AT1G33240,    AT4G39190,            -0.988773067441,   14
AT1G25550,    AT5G17260,            0.988619453742,   15
AT1G34670,    AT5G12420,            0.988414211883,   16
AT2G26960,    AT4G04630,            0.988377942965,   17
AT1G16490,    AT5G56070,            0.98828258476,   18
AT2G02820,    AT4G03330,            -0.988267381307,   19
AT1G43160,    AT5G24660,            0.988207265367,   20
AT1G52150,    AT4G09860,            0.987682184672,   21
AT2G02070,    AT2G22330,            -0.987366446592,   22
AT1G09540,    AT1G66380,            0.987079159613,   23
AT2G01930,    AT3G58350,            -0.986510173302,   24
AT2G01060,    AT1G64590,            -0.986282235145,   25
AT1G34670,    AT3G55090,            0.98611192134,   26
AT2G01940,    AT1G69180,            0.985995296306,   27
AT2G23320,    AT5G42490,            -0.98585631824,   28
AT1G53230,    AT4G17245,            -0.985705527052,   29
AT1G25550,    AT2G46270,            0.984924435842,   30
AT1G68550,    AT5G58850,            0.984755259552,   31
AT2G01930,    AT1G04520,            -0.984692103786,   32
AT1G34190,    AT5G17040,            -0.984683680985,   33
AT1G79580,    AT5G18660,            -0.98465167928,   34
AT1G44830,    AT3G15230,            0.984589373527,   35
AT1G74840,    AT4G34220,            0.984547536292,   36
AT1G64620,    AT2G25500,            0.984495545494,   37
AT1G01060,    AT4G10490,            0.984442524163,   38
AT1G69010,    AT4G09900,            0.984027475504,   39
AT1G13260,    AT4G31960,            0.98402618535,   40
AT1G69780,    AT5G25160,            -0.983935401114,   41
AT2G01940,    AT1G27285,            0.983626120487,   42
AT2G18160,    AT2G33380,            -0.983580936808,   43
AT1G18330,    AT1G51300,            -0.983517798015,   44
AT1G16490,    AT5G24080,            -0.982980746958,   45
AT2G01930,    AT3G56480,            -0.982914126297,   46
AT2G26960,    AT2G11220,            0.982837247886,   47
AT2G01060,    AT4G32730,            0.98276299763,   48
AT2G30250,    AT5G65230,            0.982691400928,   49
AT1G25550,    AT1G04620,            0.982547146147,   50
AT1G34670,    AT3G45680,            -0.982224651178,   51
AT1G29160,    AT1G03820,            -0.982161656603,   52
AT1G33240,    AT1G21950,            -0.982092228751,   53
AT1G77200,    AT3G56670,            0.982050164315,   54
AT1G34670,    AT3G05360,            0.981792867493,   55
AT1G06850,    AT3G10710,            0.981681691388,   56
AT1G80840,    AT5G45820,            0.981672243524,   57
AT2G02080,    AT2G24950,            0.981669748735,   58
AT1G32150,    AT3G13784,            0.981559065083,   59
AT1G51140,    AT1G10340,            -0.981521220059,   60
