regulator,    target,    score,    rank
AT1G55110,    AT4G15480,            0.996215960329,   1
AT2G23320,    AT4G19570,            -0.996125277459,   2
AT1G30490,    AT1G17910,            0.995770444267,   3
AT1G19850,    AT2G15780,            0.994738385421,   4
AT2G23320,    AT1G23320,            -0.994031365749,   5
AT1G32870,    AT1G32780,            -0.993948041931,   6
AT1G34670,    AT5G22270,            0.993072981319,   7
AT1G32150,    AT3G23340,            -0.992838868042,   8
AT1G33240,    AT5G43800,            0.992762476631,   9
AT1G34670,    AT2G25160,            -0.992194205101,   10
AT1G16490,    AT2G16760,            -0.992128617335,   11
AT2G18550,    AT1G34370,            0.99187057634,   12
AT1G33240,    AT4G39190,            -0.991866268051,   13
AT1G25550,    AT5G17260,            0.991597537634,   14
AT1G47655,    AT5G65130,            0.991574262176,   15
AT1G16490,    AT5G56070,            0.991526270012,   16
AT2G26960,    AT4G04630,            0.991361486775,   17
AT2G02820,    AT4G03330,            -0.991287373221,   18
AT1G34670,    AT5G12420,            0.991267567299,   19
AT1G43160,    AT5G24660,            0.991260661045,   20
AT1G52150,    AT4G09860,            0.991156432258,   21
AT2G02070,    AT2G22330,            -0.990694062296,   22
AT1G09540,    AT1G66380,            0.990493552025,   23
AT2G01930,    AT3G58350,            -0.990067804643,   24
AT2G01060,    AT1G64590,            -0.98952798555,   25
AT2G01940,    AT1G69180,            0.989496076842,   26
AT1G34670,    AT3G55090,            0.989342956922,   27
AT2G23320,    AT5G42490,            -0.989139658582,   28
AT1G53230,    AT4G17245,            -0.98891743922,   29
AT1G79580,    AT5G18660,            -0.988287476509,   30
AT1G74840,    AT4G34220,            0.988182201289,   31
AT1G34190,    AT5G17040,            -0.988174628119,   32
AT1G25550,    AT2G46270,            0.988155485792,   33
AT2G01930,    AT1G04520,            -0.988086456457,   34
AT1G69010,    AT4G09900,            0.987909776896,   35
AT1G68550,    AT5G58850,            0.987904033562,   36
AT1G01060,    AT4G10490,            0.987755470284,   37
AT1G64620,    AT2G25500,            0.987697780719,   38
AT1G13260,    AT4G31960,            0.987638495626,   39
AT2G18160,    AT2G33380,            -0.9874875705,   40
AT1G69780,    AT5G25160,            -0.987443430227,   41
AT2G01940,    AT1G27285,            0.987341801831,   42
AT1G18330,    AT1G51300,            -0.987329829401,   43
AT2G01930,    AT3G56480,            -0.986931051479,   44
AT1G44830,    AT3G15230,            0.986900086724,   45
AT2G26960,    AT2G11220,            0.986676504148,   46
AT2G01060,    AT4G32730,            0.986666944833,   47
AT1G16490,    AT5G24080,            -0.986550001995,   48
AT1G25550,    AT1G04620,            0.986531653291,   49
AT2G30250,    AT5G65230,            0.986462072515,   50
AT1G34670,    AT3G45680,            -0.9860401691,   51
AT1G77200,    AT3G56670,            0.986010115753,   52
AT1G34670,    AT3G05360,            0.985932071798,   53
AT1G33240,    AT1G21950,            -0.985875968366,   54
AT1G29160,    AT1G03820,            -0.985797923627,   55
AT1G06850,    AT3G10710,            0.985623067806,   56
AT2G02080,    AT2G24950,            0.985572828901,   57
AT1G51140,    AT1G10340,            -0.985566289306,   58
AT1G16490,    AT4G24350,            0.985465579802,   59
AT1G32150,    AT3G13784,            0.985390293846,   60
AT1G78700,    AT2G42430,            -0.985387723855,   61
AT1G80840,    AT5G45820,            0.985184711238,   62
AT1G16490,    AT1G28590,            -0.985074184456,   63
AT2G01940,    AT1G63040,            -0.984972608205,   64
AT1G16490,    AT4G17785,            -0.984921106195,   65
AT1G16490,    AT2G07510,            0.984842424929,   66
AT1G34670,    AT4G24130,            0.984833755907,   67
AT1G20910,    AT2G05640,            -0.984679474536,   68
AT1G01720,    AT1G18970,            0.98464832841,   69
AT1G18330,    AT1G16030,            0.984643219553,   70
AT1G34670,    AT5G41040,            0.984502795454,   71
AT1G32870,    AT1G23790,            -0.984445943184,   72
AT2G02070,    AT2G35530,            -0.984252932683,   73
AT1G53910,    AT2G33680,            -0.984045073257,   74
AT1G79580,    AT3G26830,            -0.983889543542,   75
AT1G74480,    AT5G39130,            -0.983830183287,   76
AT1G77200,    AT5G48860,            0.983685164315,   77
AT1G51140,    AT2G22200,            -0.98358641154,   78
AT1G69010,    AT5G43030,            -0.983543499963,   79
AT2G01060,    AT3G17520,            -0.983540410318,   80
AT1G77200,    AT5G14890,            0.98313727755,   81
AT1G77200,    AT2G33530,            -0.98281000043,   82
AT1G13450,    AT3G16790,            0.982581237997,   83
AT1G06850,    AT4G04440,            -0.982580071777,   84
AT1G34180,    AT5G67570,            0.982337546917,   85
AT2G02070,    AT4G25260,            -0.982116269217,   86
