regulator,    target,    score,    rank
AT1G72740,    AT2G32310,            -0.516281505493,   1
AT1G27730,    AT2G10620,            0.51326605184,   2
AT1G29160,    AT1G03820,            -0.511774923624,   3
AT2G18060,    AT2G36040,            -0.511138581424,   4
AT2G26960,    AT4G04630,            0.494298462787,   5
AT2G23320,    AT5G42490,            -0.476489634213,   6
AT2G27300,    AT5G10220,            0.47377762569,   7
AT1G80840,    AT5G46680,            0.472060130797,   8
AT1G29160,    AT3G26330,            0.466787245757,   9
AT1G30490,    AT3G26880,            -0.466784439903,   10
AT2G02080,    AT2G24950,            0.464790644208,   11
AT1G53230,    AT4G17245,            -0.461076713416,   12
AT1G29860,    AT4G07330,            0.460829398635,   13
AT2G18060,    AT5G63540,            0.459332268143,   14
AT1G29860,    AT5G53840,            -0.455784382037,   15
AT2G18060,    AT1G20160,            -0.450940767265,   16
AT2G23320,    AT4G19570,            -0.449449664131,   17
AT1G43700,    AT3G27950,            0.448825410624,   18
AT1G02250,    AT1G73050,            0.448363226036,   19
AT1G19850,    AT2G24080,            0.445215697892,   20
AT1G02250,    AT5G53960,            -0.438966474769,   21
AT1G22810,    AT1G17390,            0.436705209074,   22
AT1G29160,    AT1G05040,            0.435595464913,   23
AT1G53170,    AT4G08050,            0.435481984317,   24
AT1G80840,    AT2G37730,            0.433837599457,   25
AT1G19040,    AT3G18650,            0.433521705703,   26
AT1G72740,    AT5G36930,            -0.43066490453,   27
AT2G18350,    AT3G04540,            0.426368826659,   28
AT1G18330,    AT4G32340,            0.423444397586,   29
AT2G23320,    AT1G23320,            -0.416999755709,   30
AT1G80840,    AT2G33080,            0.416397159321,   31
AT2G27300,    AT1G26400,            0.415854429543,   32
AT1G19850,    AT2G39850,            0.415200963722,   33
AT1G01060,    AT2G04570,            0.414452844319,   34
AT1G69690,    AT3G24900,            0.411087722757,   35
AT2G27300,    AT2G42860,            -0.409715896949,   36
AT2G03500,    AT1G49810,            0.409287493341,   37
AT1G19040,    AT3G57850,            -0.407891130726,   38
AT2G27300,    AT1G12770,            -0.400258816819,   39
AT1G01060,    AT4G10490,            0.399976542521,   40
AT2G30250,    AT1G66120,            0.398139511749,   41
AT1G77920,    AT3G26310,            -0.396686974441,   42
AT1G65910,    AT3G56850,            -0.395390985683,   43
AT1G65910,    AT1G20180,            0.395111663322,   44
AT2G22540,    AT2G01760,            0.394673740171,   45
AT1G64620,    AT2G25500,            0.393913575652,   46
AT2G22540,    AT2G46130,            -0.393375627732,   47
AT1G34180,    AT5G67570,            0.391097865671,   48
AT1G20980,    AT1G13130,            0.390390938049,   49
AT1G29860,    AT2G33710,            0.389914797752,   50
AT1G54330,    AT5G57520,            -0.389280269415,   51
AT1G49480,    AT5G61700,            0.386752186286,   52
AT2G23320,    AT2G11370,            -0.382626201229,   53
AT1G77200,    AT2G33530,            -0.382059187972,   54
AT2G18060,    AT1G51410,            0.380995283434,   55
AT1G54330,    AT4G07620,            -0.377858522134,   56
AT1G43700,    AT5G01780,            0.377020837675,   57
AT1G18330,    AT5G12020,            0.3764748218,   58
AT1G80840,    AT1G44740,            0.374946231174,   59
AT1G27730,    AT2G19140,            0.374535915443,   60
AT2G18060,    AT3G14300,            -0.373581663341,   61
AT1G29860,    AT4G37230,            -0.373178961706,   62
AT2G22540,    AT3G44550,            -0.372230832986,   63
AT2G27300,    AT4G19620,            -0.370875631684,   64
AT1G12260,    AT5G66330,            0.368901146254,   65
AT1G79580,    AT5G18660,            -0.3681294741,   66
AT1G43700,    AT1G32450,            0.367640828946,   67
AT1G74650,    AT3G55130,            0.367620211019,   68
AT1G22810,    AT2G35560,            -0.367444765764,   69
AT1G80840,    AT5G45820,            0.36701162717,   70
AT2G27300,    AT4G23300,            0.366585309421,   71
AT1G74480,    AT2G13950,            -0.361566967229,   72
AT1G29160,    AT1G13540,            -0.361534132829,   73
AT1G14687,    AT3G21860,            0.360248901645,   74
AT1G43700,    AT2G41470,            0.359104763879,   75
AT1G01060,    AT2G12220,            -0.358804634052,   76
AT1G69690,    AT1G61450,            0.358467310359,   77
AT1G29160,    AT4G16470,            0.358409469452,   78
AT2G30250,    AT5G65230,            0.356878784676,   79
AT1G19040,    AT5G54740,            -0.355842932553,   80
AT1G18330,    AT1G23420,            -0.355789329608,   81
AT1G76890,    AT3G24060,            -0.355283647125,   82
AT1G77920,    AT5G07550,            0.354701336224,   83
AT2G26960,    AT1G35730,            0.352188490249,   84
AT1G33240,    AT1G21950,            -0.350809637738,   85
AT1G19850,    AT1G57750,            0.34868211863,   86
AT1G02250,    AT1G05580,            0.348676813814,   87
AT1G36060,    AT1G22480,            -0.348325342045,   88
AT1G22810,    AT4G35725,            -0.348282182559,   89
AT1G69570,    AT1G52620,            -0.348044192809,   90
AT1G19040,    AT4G07500,            0.347951795766,   91
AT1G18330,    AT4G04160,            0.347238651107,   92
AT1G29160,    AT5G47370,            0.347132806409,   93
AT1G80840,    AT4G31060,            0.346787114279,   94
AT1G77920,    AT3G26480,            0.346405733979,   95
AT1G69780,    AT1G22010,            -0.345929068173,   96
AT1G74650,    AT1G23650,            0.345665927463,   97
AT1G43700,    AT5G53190,            0.345654587178,   98
AT1G53230,    AT3G24410,            0.345619259113,   99
AT1G77200,    AT2G05520,            -0.344997807004,   100
AT1G30490,    AT4G31900,            -0.344150581396,   101
AT2G27300,    AT3G11920,            -0.343756810505,   102
AT2G18350,    AT4G33720,            -0.342936417184,   103
AT1G29860,    AT3G16470,            -0.342819871741,   104
AT1G02250,    AT2G23720,            0.342489160984,   105
AT1G30490,    AT4G25760,            -0.341039297088,   106
AT2G18060,    AT4G14470,            -0.340458210341,   107
AT1G30210,    AT3G13370,            -0.340082271477,   108
AT1G77920,    AT3G24710,            0.339420082462,   109
AT1G72740,    AT5G32430,            -0.338952739551,   110
AT2G23320,    AT3G56080,            -0.338337125764,   111
AT1G69570,    AT4G15720,            -0.338151117065,   112
AT1G02250,    AT1G42570,            -0.33673073335,   113
AT1G74650,    AT1G77340,            -0.336119743092,   114
AT2G18060,    AT2G04063,            -0.33604511101,   115
AT1G77200,    AT1G20530,            0.335957092833,   116
AT1G12630,    AT2G28530,            -0.335538586659,   117
AT1G32870,    AT3G16370,            0.335332664475,   118
AT2G20110,    AT1G36910,            0.334625606373,   119
AT2G27300,    AT3G51400,            -0.334294657268,   120
AT1G49480,    AT4G15690,            -0.334222914114,   121
AT2G23320,    AT2G34880,            -0.333776142467,   122
AT1G79580,    AT4G04150,            0.33238797948,   123
AT2G18060,    AT4G25530,            -0.331973330127,   124
AT1G28160,    AT1G15960,            -0.331173557623,   125
AT1G77200,    AT3G56670,            0.331122559473,   126
AT1G28160,    AT4G36770,            -0.331078670059,   127
AT1G12610,    AT5G47990,            0.33096740147,   128
AT1G02250,    AT2G32420,            0.330239366591,   129
AT1G71450,    AT2G46915,            0.330159294398,   130
AT2G18060,    AT3G14670,            -0.328170616711,   131
AT1G19850,    AT5G44050,            0.328124353003,   132
AT1G43700,    AT2G40620,            -0.32753389605,   133
AT1G76890,    AT2G23860,            0.327056089623,   134
AT1G02250,    AT1G53930,            -0.326880282964,   135
AT2G18350,    AT1G47540,            -0.325600483668,   136
AT1G34190,    AT5G42640,            0.325297958375,   137
AT1G65910,    AT1G35513,            0.325211608683,   138
AT1G12610,    AT5G13320,            -0.323226697667,   139
AT1G69010,    AT4G09900,            0.322734125289,   140
AT1G74480,    AT1G57943,            0.322515658108,   141
AT1G12260,    AT5G49330,            -0.322124016945,   142
AT1G80840,    AT3G21840,            0.321411599778,   143
AT1G36060,    AT3G58200,            0.321351597044,   144
AT1G34190,    AT3G60060,            -0.321160519362,   145
AT1G28160,    AT3G28380,            -0.320827565847,   146
AT2G03500,    AT2G22920,            0.32080786003,   147
AT1G29160,    AT1G26770,            -0.320320417,   148
AT1G12630,    AT4G12360,            -0.319992282707,   149
AT1G02250,    AT3G10180,            0.319924378378,   150
AT1G77920,    AT4G35900,            0.319510788631,   151
AT2G03500,    AT1G43590,            0.3189157175,   152
AT2G03500,    AT1G19720,            0.318588514519,   153
AT2G30250,    AT5G12270,            -0.318174028035,   154
AT1G52150,    AT3G30510,            -0.317950940937,   155
AT1G22810,    AT5G09950,            0.3177107972,   156
AT1G29860,    AT3G27450,            -0.317512202189,   157
AT1G22810,    AT3G56700,            0.315965383124,   158
AT1G14687,    AT5G49290,            0.315673360365,   159
AT2G18060,    AT5G59110,            0.314836588345,   160
AT1G19040,    AT1G70400,            -0.314681781032,   161
AT2G30250,    AT1G37063,            -0.314678994246,   162
AT2G03500,    AT3G17230,            0.314479567857,   163
AT2G18350,    AT4G22430,            0.314452909232,   164
AT1G29860,    AT4G22610,            -0.314135119829,   165
AT2G02820,    AT4G03330,            -0.313966086157,   166
AT2G20400,    AT4G16920,            -0.313681387673,   167
AT1G33240,    AT1G33610,            0.313479548585,   168
AT1G53910,    AT5G38370,            0.313209263936,   169
AT1G12610,    AT4G37780,            -0.31285787438,   170
AT1G80840,    AT3G42910,            -0.312615454593,   171
AT2G18380,    AT1G49650,            0.312225480531,   172
AT1G34180,    AT1G49870,            0.312131375851,   173
AT2G18350,    AT3G27750,            0.311838871713,   174
AT2G01060,    AT1G19410,            -0.311102468284,   175
AT1G69780,    AT4G09480,            0.310982857345,   176
AT1G29160,    AT2G28240,            0.309636361124,   177
AT2G20400,    AT1G56160,            0.309278613601,   178
AT2G18060,    AT1G56410,            -0.308899649778,   179
AT1G18330,    AT1G51300,            -0.308853057475,   180
AT1G06850,    AT4G07480,            -0.308625309255,   181
AT2G18350,    AT3G44030,            -0.308619550288,   182
AT1G29860,    AT1G51805,            -0.308541799587,   183
AT2G24430,    AT3G18610,            0.308143435852,   184
AT2G28810,    AT5G12110,            0.307507589188,   185
AT1G30210,    AT1G68530,            -0.307400783776,   186
AT1G65910,    AT3G57180,            -0.307313986391,   187
AT1G32870,    AT1G22150,            -0.307261494885,   188
AT1G65910,    AT5G60970,            -0.306503764151,   189
AT2G26960,    AT2G11220,            0.306439571824,   190
AT1G12260,    AT2G04870,            -0.305737615352,   191
AT2G03500,    AT4G21300,            0.304880028251,   192
AT1G68670,    AT1G61810,            -0.30442998706,   193
AT2G30250,    AT1G39270,            -0.304042841656,   194
AT2G20400,    AT1G50930,            -0.303706212629,   195
AT1G77920,    AT3G56400,            0.302677131692,   196
AT2G20400,    AT3G16890,            0.301750222216,   197
AT1G12260,    AT2G19360,            -0.301182755972,   198
AT1G30490,    AT1G33470,            0.300753512602,   199
AT1G43700,    AT1G63180,            0.300449821052,   200
AT2G20400,    AT1G69120,            -0.3004046908,   201
AT2G27300,    AT3G28920,            -0.29962352575,   202
AT1G79580,    AT1G36550,            0.29908330551,   203
AT1G34670,    AT1G53270,            0.299039972485,   204
AT1G29860,    AT1G47990,            0.298971649997,   205
AT2G23290,    AT3G23450,            0.298833158505,   206
AT1G43700,    AT1G12190,            0.298781406814,   207
AT1G74480,    AT2G18010,            0.297636282095,   208
AT1G02250,    AT2G07760,            -0.29729435214,   209
AT1G68320,    AT3G54050,            0.297195217961,   210
AT2G01930,    AT1G19510,            0.296979328742,   211
AT2G18060,    AT2G02660,            0.296889917081,   212
AT1G30490,    AT1G17910,            0.296601462278,   213
AT2G27300,    AT2G29770,            0.296389211392,   214
AT2G18350,    AT4G27110,            0.295545464052,   215
AT2G02450,    AT2G01500,            0.295448613817,   216
AT1G43700,    AT1G13930,            0.29425589099,   217
AT2G23320,    AT4G17380,            -0.294045589031,   218
AT2G18380,    AT4G13450,            0.29335061291,   219
AT2G18350,    AT5G57550,            0.293244451465,   220
AT1G65910,    AT1G77405,            -0.292761426147,   221
AT1G54330,    AT1G43010,            -0.292612933379,   222
AT2G26960,    AT1G67790,            0.2925498639,   223
AT1G18330,    AT3G09735,            -0.292333596557,   224
AT1G18330,    AT5G56800,            0.292325695291,   225
