regulator,    target,    score,    rank
AT1G69690,    AT4G33560,            -0.982321488028,   1
AT1G19000,    AT4G09110,            -0.981045210055,   2
AT1G27730,    AT1G72940,            0.980839290527,   3
AT2G22540,    AT3G48520,            0.98073107875,   4
AT1G19000,    AT4G28150,            -0.980671902785,   5
AT1G19000,    AT1G15820,            0.980576864859,   6
AT2G20110,    AT2G16005,            -0.980454461976,   7
AT1G27730,    AT4G25490,            0.980418463534,   8
AT1G06850,    AT3G42430,            0.979679439449,   9
AT1G75390,    AT3G02990,            0.97868939646,   10
AT1G54330,    AT1G69540,            0.97835121388,   11
AT1G12630,    AT5G18990,            0.977706144612,   12
AT2G20110,    AT1G35995,            -0.977232785066,   13
AT1G19000,    AT3G60450,            -0.977086632744,   14
AT1G46768,    AT4G24960,            0.977065998935,   15
AT1G49480,    AT3G25190,            0.976996944455,   16
AT2G23320,    AT3G54150,            0.976800322522,   17
AT1G25340,    AT2G34890,            0.976719686878,   18
AT2G23320,    AT1G80380,            0.976715401512,   19
AT1G65910,    AT2G29040,            0.976299369096,   20
AT1G49480,    AT3G20370,            0.976275157171,   21
AT2G02820,    AT5G19070,            -0.976200706893,   22
AT1G69010,    AT2G35980,            -0.976123647649,   23
AT1G27730,    AT4G24570,            0.976120539911,   24
AT1G80840,    AT5G57560,            0.976103434522,   25
AT1G80840,    AT4G34150,            0.976034297836,   26
AT1G19000,    AT2G29450,            -0.975936323321,   27
AT2G02820,    AT1G03310,            0.975846825906,   28
AT1G75390,    AT5G67160,            -0.975824071072,   29
AT1G19000,    AT4G12690,            0.975811815039,   30
AT2G30250,    AT5G19240,            0.975779093972,   31
AT1G69010,    AT5G10030,            0.975708949885,   32
AT1G69010,    AT3G52740,            -0.975658803811,   33
AT2G02820,    AT4G03430,            -0.975657023502,   34
AT1G49480,    AT5G46150,            0.975395096599,   35
AT1G69010,    AT1G33590,            -0.975313931383,   36
AT1G01720,    AT1G64200,            -0.975245287542,   37
AT1G01720,    AT5G27400,            -0.975144492848,   38
AT1G75390,    AT1G72200,            -0.975078865747,   39
