regulator,    target,    score,    rank
AT1G69690,    AT4G33560,            -0.994658189419,   1
AT1G19000,    AT4G28150,            -0.992799382541,   2
AT1G19000,    AT1G15820,            0.992765494413,   3
AT1G19000,    AT4G09110,            -0.992645367475,   4
AT1G27730,    AT4G25490,            0.992602733209,   5
AT1G75390,    AT3G02990,            0.990934098155,   6
AT1G06850,    AT3G42430,            0.990923127494,   7
AT2G23320,    AT3G54150,            0.989602589491,   8
AT2G20110,    AT2G16005,            -0.989581825121,   9
AT1G49480,    AT3G25190,            0.989501234823,   10
AT1G69010,    AT2G35980,            -0.98911541004,   11
AT2G22540,    AT3G48520,            0.989009919564,   12
AT2G02820,    AT5G19070,            -0.988940413708,   13
AT1G27730,    AT4G24570,            0.988923727592,   14
AT2G30250,    AT5G19240,            0.988922287848,   15
AT1G01720,    AT1G64200,            -0.988571971191,   16
AT1G54330,    AT1G69540,            0.988554729025,   17
AT1G75390,    AT5G67160,            -0.98853784323,   18
AT1G12630,    AT5G18990,            0.988534015598,   19
AT1G49480,    AT3G20370,            0.988531440451,   20
AT2G02820,    AT1G03310,            0.988345030138,   21
AT1G80840,    AT5G57560,            0.988065700762,   22
AT1G80840,    AT4G34150,            0.98804265864,   23
AT1G69010,    AT5G10030,            0.988007766101,   24
AT1G46768,    AT4G24960,            0.98786569665,   25
AT1G19000,    AT2G29450,            -0.987840819162,   26
AT1G33240,    AT5G22920,            0.987777853332,   27
AT1G49480,    AT5G46150,            0.98774732678,   28
AT1G25340,    AT2G34890,            0.987727706991,   29
AT1G19000,    AT2G35500,            0.987567363488,   30
AT2G02820,    AT4G03430,            -0.987447118654,   31
AT1G19000,    AT3G60450,            -0.987429788929,   32
AT2G20110,    AT1G35995,            -0.987395487236,   33
AT2G23320,    AT1G80380,            0.987324353661,   34
AT1G69010,    AT3G52740,            -0.98730211511,   35
AT1G49480,    AT4G21870,            0.987253120257,   36
AT1G01720,    AT5G15890,            -0.987065352115,   37
AT2G06200,    AT5G41280,            -0.986996257664,   38
AT1G69010,    AT1G33590,            -0.98697596086,   39
AT1G49480,    AT5G48410,            -0.986775157165,   40
AT1G19000,    AT5G51830,            -0.986702972082,   41
AT1G69010,    AT5G13190,            -0.986691174975,   42
AT1G19000,    AT4G12400,            0.986618062313,   43
AT2G30250,    AT3G07600,            0.986612038937,   44
AT1G27730,    AT1G72940,            0.986437697279,   45
AT2G30250,    AT4G40080,            0.986403173082,   46
AT1G64620,    AT1G70470,            0.986402649506,   47
AT1G33240,    AT5G14760,            -0.986399797604,   48
AT1G72740,    AT3G20780,            0.986364488369,   49
AT1G74840,    AT1G13450,            -0.986324715427,   50
AT1G72740,    AT5G26980,            0.986322222997,   51
AT1G72740,    AT1G64580,            0.986269516121,   52
AT1G19000,    AT4G12690,            0.986045635312,   53
AT1G46768,    AT2G29440,            0.985907707451,   54
AT1G69010,    AT1G80800,            0.985899596756,   55
AT1G62300,    AT4G37370,            0.985880233806,   56
AT1G01720,    AT5G04950,            -0.985877637403,   57
AT1G74840,    AT4G12000,            0.98586453529,   58
AT1G65910,    AT2G29040,            0.985794469063,   59
AT1G01720,    AT5G27400,            -0.985716560561,   60
AT2G02080,    AT5G14080,            0.985703932366,   61
AT1G19000,    AT5G05860,            0.985673397087,   62
AT1G75390,    AT1G72200,            -0.985643321301,   63
AT1G32870,    AT1G52710,            -0.985589529975,   64
AT1G28370,    AT2G27080,            0.985552175617,   65
AT2G28810,    AT5G14340,            0.985478068362,   66
AT2G30250,    AT5G07100,            0.985417125672,   67
AT1G72740,    AT3G59730,            0.985309797682,   68
AT1G47655,    AT5G53980,            0.985284535682,   69
AT2G30250,    AT3G59470,            -0.985146571728,   70
AT1G29160,    AT3G43170,            -0.985122957753,   71
AT1G49480,    AT5G26960,            0.985116532193,   72
AT1G30650,    AT1G60380,            0.985027696707,   73
AT2G02080,    AT5G19600,            0.985025595329,   74
AT1G69490,    AT5G49450,            0.984945076036,   75
AT1G32150,    AT3G30330,            -0.984891290884,   76
AT1G77200,    AT5G45680,            0.984742234036,   77
AT1G69010,    AT4G29440,            -0.984662272715,   78
AT2G06200,    AT4G15130,            -0.984622858885,   79
AT2G02820,    AT2G21620,            -0.984553398045,   80
AT2G30250,    AT2G44850,            -0.98451015553,   81
AT1G51700,    AT5G66070,            0.984415880838,   82
AT1G19000,    AT2G20680,            -0.984310344226,   83
AT1G43160,    AT1G65230,            -0.984193602717,   84
AT1G52880,    AT1G05140,            0.984187784616,   85
AT1G18330,    AT1G47300,            0.984114301081,   86
AT1G69010,    AT2G18800,            0.983964218525,   87
AT1G19850,    AT4G10990,            -0.983960703942,   88
AT1G69010,    AT4G20890,            -0.983818074239,   89
AT1G43700,    AT1G14280,            0.983808564732,   90
AT1G49480,    AT1G53650,            0.983771639347,   91
AT2G23320,    AT4G16860,            0.983647095272,   92
AT1G19000,    AT2G26980,            0.983628850983,   93
AT1G19000,    AT5G04250,            -0.983619619014,   94
AT1G19000,    AT1G30380,            0.98358638359,   95
AT2G23320,    AT5G54720,            0.983566539487,   96
AT1G19000,    AT5G16010,            -0.98351972416,   97
AT1G01720,    AT5G43750,            -0.983477920195,   98
AT1G69010,    AT1G70170,            -0.983404472292,   99
AT2G02820,    AT5G01850,            -0.983322491917,   100
AT1G69010,    AT5G57785,            0.983282621187,   101
AT1G49480,    AT2G26360,            0.983269060374,   102
AT1G19000,    AT2G46600,            -0.98326430117,   103
AT2G18160,    AT1G01060,            -0.983202019085,   104
AT1G33240,    AT2G36270,            -0.983145415123,   105
AT1G75390,    AT1G09350,            0.983129284081,   106
AT1G69010,    AT3G20090,            0.983099804516,   107
AT1G62300,    AT4G11470,            0.983090074859,   108
AT1G01060,    AT2G17770,            -0.983074142188,   109
AT2G23320,    AT4G29050,            0.983032794863,   110
AT1G49480,    AT4G31100,            0.982999204464,   111
AT1G19000,    AT5G40850,            0.982992701964,   112
AT1G19000,    AT2G25000,            0.982965286263,   113
AT1G62300,    AT5G50140,            0.982962734228,   114
AT1G49480,    AT1G06420,            0.982845343944,   115
AT1G01720,    AT4G34960,            -0.982797216486,   116
AT1G43700,    AT1G02400,            -0.982792694437,   117
AT2G30250,    AT5G53590,            0.982790749525,   118
AT2G30250,    AT2G02120,            0.982777225932,   119
AT1G49480,    AT4G02850,            0.982776393435,   120
AT1G19000,    AT5G57840,            0.982746156059,   121
AT2G23320,    AT3G25740,            0.982719895283,   122
AT1G69780,    AT1G14770,            0.982704342134,   123
AT2G06200,    AT1G29600,            0.982589079716,   124
AT1G33240,    AT1G31330,            0.9825738005,   125
AT1G32870,    AT1G73040,            -0.982563845556,   126
AT1G28370,    AT2G41010,            0.982559830213,   127
AT1G19000,    AT5G44530,            -0.982487729609,   128
AT1G74840,    AT3G06740,            -0.982453850948,   129
AT2G02080,    AT1G03457,            0.982443934269,   130
AT1G64620,    AT1G72360,            0.982439809987,   131
AT1G69180,    AT3G04250,            -0.982431325276,   132
AT1G69490,    AT3G12320,            0.982426966737,   133
AT1G18330,    AT1G05560,            0.98238037406,   134
AT1G19000,    AT3G62390,            0.982254612379,   135
AT1G19000,    AT3G62930,            0.982168097113,   136
AT1G01720,    AT5G04760,            0.982116915503,   137
AT1G74650,    AT1G04500,            0.982090157433,   138
AT1G69010,    AT4G27720,            -0.9820422003,   139
AT1G69780,    AT1G05710,            0.982011665661,   140
AT1G19000,    AT1G61590,            0.981966623265,   141
AT1G19000,    AT1G68590,            0.98196049657,   142
AT1G55110,    AT1G19020,            0.981868964874,   143
AT1G69010,    AT4G10470,            0.981859720207,   144
AT2G02820,    AT5G48400,            -0.98185103089,   145
AT2G20400,    AT2G32470,            -0.981844086109,   146
AT1G49480,    AT2G16980,            0.981798850345,   147
AT1G64620,    AT1G27620,            0.981750985847,   148
AT1G49480,    AT5G01620,            0.981667911815,   149
AT1G74840,    AT2G38465,            0.981656566613,   150
AT1G32870,    AT4G11530,            -0.98164958718,   151
AT1G49480,    AT3G14780,            0.981453393433,   152
AT1G64620,    AT4G04740,            0.981433017721,   153
AT1G68550,    AT5G58770,            0.98140794389,   154
AT2G02820,    AT5G51570,            -0.981404500294,   155
AT2G01060,    AT5G37570,            0.981358348797,   156
AT1G19000,    AT3G08940,            0.981342541048,   157
AT1G74840,    AT2G34850,            0.981281646805,   158
AT1G69490,    AT4G33920,            0.981268210486,   159
AT1G49480,    AT2G05160,            0.981219055062,   160
AT1G33240,    AT3G45840,            0.9811895425,   161
AT1G74840,    AT4G34990,            0.981150212696,   162
AT2G30250,    AT3G22840,            0.981126328992,   163
AT1G49480,    AT4G37340,            0.981100772559,   164
AT1G69010,    AT2G46990,            0.981097530825,   165
AT1G01720,    AT3G24040,            -0.981055749917,   166
AT1G14687,    AT2G39040,            -0.981032780672,   167
AT1G33240,    AT3G04310,            0.981021569219,   168
AT1G49480,    AT2G37460,            0.980988350423,   169
AT1G64620,    AT5G47740,            0.980911088575,   170
AT1G74840,    AT2G47450,            -0.980846664325,   171
AT1G62300,    AT2G16500,            0.980837250171,   172
AT1G19000,    AT5G47420,            0.980741905761,   173
AT1G69780,    AT4G22570,            0.98061931514,   174
AT1G80840,    AT4G11280,            0.980609509058,   175
AT1G69010,    AT5G18470,            -0.980557085897,   176
AT1G01720,    AT3G15990,            0.98054898045,   177
AT1G74840,    AT5G55970,            0.980523245567,   178
AT2G30250,    AT4G20860,            0.98046513787,   179
AT1G29160,    AT3G01220,            -0.980448801153,   180
AT2G02820,    AT3G07000,            0.980432087721,   181
AT1G20980,    AT5G17050,            0.980421488923,   182
AT1G01720,    AT5G67340,            0.980329788689,   183
AT1G13260,    AT3G45640,            0.980313569996,   184
AT1G64620,    AT3G26980,            -0.980286582933,   185
AT1G29160,    AT5G37840,            -0.980156345741,   186
AT1G64620,    AT1G29670,            -0.980136711891,   187
AT2G23320,    AT2G22500,            0.980083951685,   188
AT1G19000,    AT2G43620,            -0.980063167199,   189
AT1G34180,    AT5G18160,            0.980011323069,   190
AT2G06200,    AT3G50950,            -0.980010105313,   191
AT1G33240,    AT4G28750,            0.979995504076,   192
AT1G53170,    AT1G80100,            0.979989373073,   193
AT1G75390,    AT3G22930,            0.979981393608,   194
AT1G19000,    AT2G06520,            0.979965198428,   195
AT2G02820,    AT2G04690,            0.979890011176,   196
AT2G02820,    AT3G24190,            -0.979877834952,   197
AT2G02820,    AT3G50740,            0.979834116806,   198
AT1G01720,    AT3G09390,            0.979798539864,   199
AT1G32870,    AT3G26290,            -0.979765059844,   200
AT2G18550,    AT4G17585,            0.979710817836,   201
AT2G02820,    AT1G18590,            0.979686443686,   202
AT2G23320,    AT5G39580,            0.979661451513,   203
AT1G13260,    AT1G80440,            0.979623222332,   204
AT1G75390,    AT1G22770,            0.979560457862,   205
AT1G69010,    AT5G66815,            0.979498529265,   206
AT1G49480,    AT4G01430,            0.979468264605,   207
AT1G75390,    AT5G18850,            -0.979456656282,   208
AT2G23320,    AT4G28085,            0.979408781668,   209
AT1G74840,    AT5G42570,            0.979363996244,   210
AT1G19000,    AT1G16070,            0.97930792554,   211
AT1G64620,    AT3G02910,            0.979305646902,   212
AT1G46768,    AT1G71697,            0.979288422602,   213
AT1G19000,    AT1G56220,            0.979257957239,   214
AT1G55110,    AT5G06980,            0.979251589069,   215
AT1G19000,    AT5G17040,            -0.979248384416,   216
AT1G69780,    AT3G57180,            0.979242083123,   217
AT2G20400,    AT5G54590,            0.97913748291,   218
AT2G02820,    AT3G09440,            -0.979115743757,   219
AT1G75390,    AT2G29660,            -0.97911506562,   220
AT1G64620,    AT1G72300,            0.979107295362,   221
AT1G53910,    AT1G03130,            -0.97909441918,   222
AT1G46768,    AT5G09820,            -0.979087244343,   223
AT1G19000,    AT1G73640,            0.979080891699,   224
AT1G69010,    AT3G03050,            -0.979073843676,   225
AT1G46768,    AT5G44110,            0.979072589392,   226
AT1G19000,    AT1G15380,            0.979049655817,   227
AT1G49480,    AT4G03070,            0.979027132688,   228
AT1G69010,    AT3G53620,            -0.979013912656,   229
AT1G19000,    AT1G08310,            0.979011155625,   230
AT1G64620,    AT4G32190,            -0.979006308114,   231
AT1G64620,    AT5G18690,            0.978956277463,   232
AT1G19000,    AT1G53560,            0.978946298307,   233
AT1G49480,    AT1G05460,            0.978938311586,   234
AT1G49480,    AT3G32040,            0.978920314993,   235
AT2G02820,    AT5G64240,            0.978904041732,   236
AT1G77200,    AT5G42200,            0.978874502606,   237
AT1G28470,    AT4G08040,            0.978859159372,   238
AT1G69780,    AT5G62130,            -0.97884000491,   239
AT1G28370,    AT4G17490,            0.978828342777,   240
AT1G69010,    AT3G22910,            -0.978787774025,   241
AT1G19000,    AT2G26650,            0.978728535983,   242
AT1G49480,    AT3G28050,            0.978684251591,   243
AT1G69010,    AT4G27970,            -0.978669425079,   244
AT1G52880,    AT1G43700,            0.978634349044,   245
AT1G69780,    AT1G03820,            0.978633332181,   246
AT1G32870,    AT2G36430,            -0.97863108822,   247
AT1G69780,    AT5G03670,            0.978603223697,   248
AT1G49480,    AT1G80690,            0.978597116553,   249
AT1G69010,    AT5G64260,            -0.978584983459,   250
AT1G20980,    AT2G02100,            0.978457183092,   251
AT1G53910,    AT1G52230,            -0.978456361281,   252
AT1G62300,    AT5G61380,            0.978442483167,   253
AT2G02080,    AT5G47650,            -0.978408974776,   254
AT1G19000,    AT3G04010,            -0.978387012387,   255
AT1G01720,    AT1G66880,            0.978373741152,   256
AT1G49480,    AT4G20230,            0.978339455837,   257
AT2G18550,    AT1G57790,            0.978330447472,   258
AT1G69490,    AT5G65300,            0.978320056486,   259
AT1G43700,    AT5G44770,            0.978314532196,   260
AT1G49480,    AT1G78290,            -0.978263013361,   261
AT1G29280,    AT2G34180,            0.978235872104,   262
AT1G19000,    AT4G11190,            0.978225273854,   263
AT1G49480,    AT3G29410,            0.978222000376,   264
AT1G19000,    AT1G48100,            -0.978218589556,   265
AT2G02820,    AT2G04040,            -0.978160735798,   266
AT2G06200,    AT1G64620,            0.978121328159,   267
AT1G01720,    AT3G60910,            -0.978101407401,   268
AT1G51140,    AT1G76080,            0.978052365409,   269
AT1G49480,    AT1G44970,            0.978033559251,   270
AT1G69010,    AT1G14550,            -0.978010730779,   271
AT1G51140,    AT3G26490,            0.978005145739,   272
AT1G13260,    AT3G59130,            -0.977997966322,   273
AT1G03840,    AT3G45260,            -0.977993464724,   274
AT1G01720,    AT1G29395,            0.977981632623,   275
AT1G62300,    AT5G10510,            0.97797204999,   276
AT1G22070,    AT5G11070,            0.977931427978,   277
AT1G01720,    AT2G40610,            -0.977929813252,   278
AT1G19000,    AT3G06020,            0.977921355101,   279
AT1G53910,    AT1G69780,            -0.977897401984,   280
AT1G69010,    AT2G22390,            0.977854630962,   281
AT1G19000,    AT1G06780,            -0.977851604092,   282
AT1G01720,    AT3G20110,            -0.977825215939,   283
AT1G01060,    AT2G18160,            -0.977824225357,   284
AT1G69780,    AT2G01660,            0.9777646815,   285
AT2G06200,    AT2G31150,            0.977741305524,   286
AT1G01720,    AT3G55090,            0.97770640854,   287
AT1G79180,    AT4G01280,            0.977667305629,   288
AT2G23320,    AT5G39670,            0.977645291959,   289
AT2G02820,    AT5G27760,            -0.977630077102,   290
AT1G55110,    AT2G23720,            0.977600657378,   291
AT1G29860,    AT2G30750,            0.977571941888,   292
AT2G30250,    AT5G24110,            0.977569938178,   293
AT1G62300,    AT3G19010,            0.977529777443,   294
AT1G19000,    AT1G71950,            -0.977504127868,   295
AT2G02080,    AT2G21650,            0.977474318764,   296
