regulator,    target,    score,    rank
AT1G34180,    AT5G18160,            0.536506028764,   1
AT1G27730,    AT1G72940,            0.517903002133,   2
AT2G20110,    AT2G16005,            -0.49405085659,   3
AT1G34180,    AT1G35790,            -0.484590180094,   4
AT2G27300,    AT2G46860,            -0.483205766031,   5
AT2G20110,    AT1G35995,            -0.481447198672,   6
AT1G65910,    AT2G29040,            0.462685234364,   7
AT1G75240,    AT4G07620,            0.44055348023,   8
AT2G01940,    AT5G66940,            0.431647269668,   9
AT1G12630,    AT5G18990,            0.428771417713,   10
AT1G28470,    AT5G65580,            0.428472463943,   11
AT1G49560,    AT2G15870,            -0.426615457529,   12
AT1G30650,    AT1G76780,            0.424026705366,   13
AT2G18060,    AT3G19780,            -0.423614689964,   14
AT1G75240,    AT3G31380,            -0.421309393145,   15
AT1G09540,    AT2G31210,            0.417697313202,   16
AT1G08320,    AT2G27180,            0.413943480822,   17
AT1G74480,    AT3G30830,            0.412407884408,   18
AT1G19850,    AT3G49900,            -0.40968272258,   19
AT1G49560,    AT4G29710,            -0.404107411726,   20
AT1G30650,    AT3G15310,            0.402515630333,   21
AT1G50640,    AT2G10690,            -0.395021093494,   22
AT2G20110,    AT2G26620,            -0.39401452507,   23
AT1G49010,    AT5G32510,            0.385627510629,   24
AT1G08320,    AT2G23570,            0.380272090243,   25
AT2G27300,    AT3G27920,            0.377046399478,   26
AT1G28470,    AT2G46680,            0.375459587445,   27
AT1G75240,    AT1G29960,            -0.373515127883,   28
AT1G49010,    AT1G21510,            0.373490882135,   29
AT1G34180,    AT5G49190,            -0.373278794609,   30
AT1G19210,    AT5G25470,            -0.369351803442,   31
AT1G18330,    AT2G10010,            0.367169408357,   32
AT2G18060,    AT2G38920,            0.361299366853,   33
AT1G75240,    AT4G03930,            -0.357984742887,   34
AT2G20110,    AT3G43120,            -0.356562682315,   35
AT1G12630,    AT3G12580,            -0.356020254954,   36
AT1G27730,    AT3G29190,            0.355190106898,   37
AT1G28470,    AT4G21323,            0.352003347471,   38
AT1G28470,    AT1G79800,            -0.350850390321,   39
AT2G01940,    AT1G17910,            -0.34300677111,   40
AT2G27300,    AT2G30925,            0.339621572662,   41
AT1G75240,    AT5G40420,            -0.338845593303,   42
AT1G75240,    AT5G35420,            -0.338617492062,   43
AT1G30650,    AT2G21510,            0.337633334389,   44
AT2G27300,    AT3G27810,            0.337433700575,   45
AT1G08320,    AT3G30845,            0.337151453521,   46
AT1G19850,    AT1G21240,            -0.336420885297,   47
AT2G18060,    AT4G18720,            0.334886726119,   48
AT2G18060,    AT3G19480,            0.3340142108,   49
