regulator,    target,    score,    rank
AT1G68550,    AT1G72030,            -0.993689178996,   1
AT1G49480,    AT5G58787,            0.993597096025,   2
AT1G49480,    AT3G18750,            0.992134998714,   3
AT1G33240,    AT4G21870,            0.992028477316,   4
AT1G32870,    AT2G19580,            0.991947491699,   5
AT1G68550,    AT1G01770,            -0.991772971997,   6
AT2G22430,    AT3G11020,            0.991587666243,   7
AT1G49480,    AT4G27710,            0.991439653143,   8
AT1G49480,    AT3G30730,            0.991410114806,   9
AT1G76890,    AT2G22400,            -0.990996038633,   10
AT2G22430,    AT4G19960,            0.990923950703,   11
AT1G49480,    AT3G13062,            0.99083337017,   12
AT2G02450,    AT2G36760,            -0.990692246721,   13
AT1G49480,    AT3G23760,            0.990675622749,   14
AT1G19000,    AT5G13730,            0.99060801201,   15
AT1G30490,    AT3G43330,            -0.990443795951,   16
AT1G34190,    AT1G52340,            -0.990342329015,   17
AT1G33240,    AT5G59980,            -0.990296528094,   18
AT1G19000,    AT3G62390,            0.990226137585,   19
AT1G13260,    AT5G48110,            -0.990177460342,   20
AT2G20110,    AT3G19080,            0.990155655618,   21
AT1G69780,    AT2G19770,            0.99008565284,   22
AT1G51140,    AT2G38465,            -0.99004584239,   23
AT1G33240,    AT5G28140,            -0.989893981109,   24
AT2G20110,    AT3G51420,            0.98982193877,   25
AT2G18380,    AT1G05860,            0.989810074206,   26
AT1G34190,    AT4G33560,            -0.989797501672,   27
AT2G20110,    AT2G32765,            0.989702719143,   28
AT1G47655,    AT5G06950,            0.989624384028,   29
AT1G14687,    AT5G51760,            0.989583166259,   30
AT1G49480,    AT5G48480,            -0.989519535106,   31
AT1G27730,    AT2G35710,            0.989109934932,   32
AT1G49480,    AT1G64200,            0.989080811866,   33
AT1G19000,    AT4G30993,            0.989043717392,   34
AT1G51140,    AT2G25930,            -0.988861008675,   35
AT1G19000,    AT5G35790,            0.988851250101,   36
AT1G53910,    AT3G47550,            0.988811710829,   37
AT1G49010,    AT2G37520,            -0.988704165993,   38
AT1G52150,    AT5G59305,            0.988487694185,   39
AT1G76890,    AT2G29320,            0.988378273287,   40
AT1G19000,    AT1G20560,            0.988376092704,   41
AT1G76890,    AT1G69250,            -0.988322250482,   42
AT1G32870,    AT1G64670,            -0.988306184027,   43
AT1G19000,    AT5G52780,            0.988231948009,   44
AT1G19000,    AT2G24500,            -0.98821119231,   45
AT1G68550,    AT5G62930,            -0.988183089638,   46
AT1G32870,    AT2G46450,            -0.988176358574,   47
