regulator,    target,    score,    rank
AT2G20400,    AT2G29880,            0.996159794686,   1
AT1G34670,    AT2G22860,            -0.992988176896,   2
AT1G27730,    AT4G03330,            0.992394999023,   3
AT1G19850,    AT4G17340,            -0.992299178226,   4
AT1G19850,    AT5G16030,            -0.991728947251,   5
AT2G30340,    AT1G23210,            0.991510838204,   6
AT2G01940,    AT2G16270,            0.991412527313,   7
AT1G69490,    AT3G12540,            -0.991404185628,   8
AT2G01940,    AT5G01880,            -0.990773028,   9
AT1G53170,    AT4G21580,            -0.990072143955,   10
AT2G02820,    AT5G19790,            0.989915715293,   11
AT1G06850,    AT1G73040,            -0.989775550112,   12
AT1G08320,    AT5G47740,            0.989451371222,   13
AT1G08320,    AT4G21320,            0.989354655735,   14
AT1G06850,    AT4G20430,            0.989336463013,   15
AT2G23320,    AT2G26320,            0.98897007426,   16
AT2G15740,    AT3G50220,            0.988860976899,   17
AT1G53170,    AT1G16310,            -0.988814766051,   18
AT2G18380,    AT4G14695,            0.988572295678,   19
AT1G49010,    AT5G06100,            0.988344265062,   20
AT2G31230,    AT2G26050,            0.988052920702,   21
AT1G74840,    AT2G41480,            0.987880336587,   22
AT1G53170,    AT3G48690,            -0.987788543312,   23
AT2G01940,    AT5G61130,            0.987736333699,   24
AT1G69780,    AT4G01950,            0.987678380081,   25
AT1G08320,    AT3G16770,            0.987656326732,   26
AT1G08320,    AT4G28190,            -0.987509570623,   27
AT2G18380,    AT3G17000,            -0.987443863103,   28
AT1G28470,    AT3G56370,            -0.987375810339,   29
AT2G06200,    AT5G52790,            0.987373823919,   30
AT1G28470,    AT4G37050,            0.987338498896,   31
AT1G33240,    AT2G47930,            0.987257951151,   32
AT1G53170,    AT4G03100,            0.987233523547,   33
AT2G18350,    AT1G02820,            0.987146703281,   34
AT1G53170,    AT3G10340,            -0.98707358146,   35
AT1G08320,    AT5G28520,            0.987032015964,   36
AT2G01940,    AT4G30800,            0.987027635992,   37
AT2G01940,    AT3G06420,            -0.986872643717,   38
AT1G19850,    AT1G33750,            -0.986730872529,   39
AT1G19850,    AT5G60670,            -0.986703033406,   40
AT1G53170,    AT5G25450,            -0.986640047435,   41
AT1G20910,    AT1G52390,            -0.986637536926,   42
AT2G18350,    AT5G37300,            -0.986627295458,   43
AT1G29160,    AT3G09350,            0.986620504747,   44
AT1G28470,    AT3G22420,            0.986610841071,   45
AT2G01940,    AT2G19670,            0.986500338307,   46
AT1G08320,    AT5G14650,            -0.986496483194,   47
AT2G01940,    AT4G26490,            -0.986398572624,   48
AT1G30650,    AT5G47850,            -0.986217883825,   49
AT1G69490,    AT2G02990,            0.986181160032,   50
AT1G08320,    AT2G37470,            -0.986179098308,   51
AT1G06850,    AT5G58750,            0.98609647508,   52
AT1G19850,    AT2G22510,            0.985902502657,   53
AT2G02080,    AT5G02230,            -0.985799956164,   54
AT1G33240,    AT2G31790,            0.985769293499,   55
AT1G08320,    AT3G44750,            -0.985762232263,   56
AT2G31230,    AT3G45810,            0.985760090099,   57
AT1G28470,    AT1G20180,            0.985722351974,   58
AT2G01940,    AT1G03790,            -0.985713812109,   59
AT1G19850,    AT5G22300,            0.985560094377,   60
AT1G08320,    AT1G09200,            -0.985411002672,   61
AT1G08320,    AT1G55670,            0.9853189071,   62
AT1G34670,    AT1G62380,            -0.985146891019,   63
AT1G30650,    AT5G16820,            0.985090628733,   64
AT1G29160,    AT5G59090,            -0.985052255465,   65
AT2G01060,    AT2G47200,            0.985044581193,   66
AT2G02820,    AT4G14440,            -0.985041663806,   67
AT2G01940,    AT1G58360,            -0.984925294603,   68
AT1G28470,    AT1G20070,            -0.984854605543,   69
AT2G18550,    AT3G61430,            -0.984687189119,   70
AT1G08320,    AT3G51350,            -0.984612564388,   71
AT1G06850,    AT1G02730,            0.984599495646,   72
AT1G65910,    AT3G50190,            0.984479422581,   73
AT1G77920,    AT2G22170,            -0.984355291494,   74
AT2G18350,    AT1G66310,            -0.984274887347,   75
AT1G30490,    AT2G41510,            -0.984271817492,   76
AT1G06850,    AT1G23100,            0.984262082209,   77
AT1G32870,    AT4G34138,            0.984242127421,   78
AT1G34670,    AT2G48140,            0.984213999814,   79
AT2G01940,    AT3G51290,            0.98413421734,   80
AT2G01940,    AT2G13360,            -0.984123236674,   81
AT2G20110,    AT1G63240,            -0.984109280507,   82
AT1G27730,    AT5G57040,            -0.984047190788,   83
AT1G08320,    AT2G26760,            -0.984046963269,   84
AT2G01940,    AT4G09160,            0.983882562725,   85
AT2G01940,    AT2G22610,            0.983819952922,   86
AT1G68320,    AT4G30090,            -0.983817207864,   87
AT2G01940,    AT1G50090,            0.983779911731,   88
AT1G74840,    AT1G29020,            0.983770783866,   89
AT1G69490,    AT1G18090,            -0.983756006911,   90
AT1G19850,    AT2G04840,            -0.983755708175,   91
AT1G77920,    AT1G54160,            0.983735916699,   92
AT1G43700,    AT2G13820,            -0.983714274813,   93
AT1G54330,    AT3G28490,            0.98369207653,   94
AT1G33240,    AT1G06460,            -0.983670310435,   95
AT1G77920,    AT3G50980,            0.983660488219,   96
AT1G27730,    AT1G48510,            0.98358563903,   97
AT1G77920,    AT1G13700,            0.983566116674,   98
AT1G08320,    AT3G27360,            -0.98354802697,   99
AT2G20110,    AT5G19920,            0.983484560358,   100
AT1G65910,    AT3G59440,            0.983410340227,   101
AT2G01940,    AT4G23800,            0.983398709037,   102
AT1G68320,    AT4G37490,            -0.983376044783,   103
AT1G33240,    AT1G72240,            0.983375382692,   104
AT1G77920,    AT4G04490,            0.983355982373,   105
AT2G22540,    AT5G56860,            0.983344476887,   106
AT1G27730,    AT5G55780,            0.983341838538,   107
AT2G01940,    AT5G12940,            0.983337495974,   108
AT2G02820,    AT1G61930,            0.983301360977,   109
AT1G08320,    AT1G53645,            -0.983241513368,   110
AT1G19850,    AT1G29160,            0.983113484364,   111
AT1G53170,    AT3G02640,            0.983095148732,   112
AT1G69780,    AT3G27170,            0.983032547174,   113
AT1G77920,    AT4G33150,            0.982964261014,   114
AT2G20110,    AT1G22070,            -0.982958056216,   115
AT1G77920,    AT4G13770,            -0.982908769938,   116
AT1G28470,    AT2G16990,            0.982746775019,   117
AT1G01720,    AT5G01440,            -0.982706966013,   118
AT1G77920,    AT3G62760,            -0.98262947925,   119
AT1G19850,    AT4G14930,            0.982582671154,   120
AT1G49010,    AT1G62090,            -0.982568153685,   121
AT1G08320,    AT5G23010,            -0.982288494078,   122
AT1G02250,    AT5G06760,            -0.982276738814,   123
AT1G08320,    AT4G14630,            -0.982262860523,   124
AT2G28810,    AT5G23030,            0.982176754049,   125
AT2G01940,    AT4G02280,            -0.982150650701,   126
AT1G28470,    AT3G47980,            -0.982148806085,   127
AT1G53170,    AT3G44880,            -0.982077796547,   128
AT1G77920,    AT5G47610,            0.98197369493,   129
AT1G74840,    AT1G11960,            0.981946340008,   130
AT1G69490,    AT5G23050,            0.98194207873,   131
AT1G34370,    AT1G18100,            0.981863892138,   132
AT1G32870,    AT5G23190,            0.981842594217,   133
AT1G19850,    AT3G13450,            0.981841237974,   134
AT2G20110,    AT5G13770,            -0.981781770472,   135
AT2G02820,    AT5G19890,            0.981767122657,   136
AT1G29160,    AT5G19520,            -0.981724299094,   137
AT1G77920,    AT1G25510,            -0.981723894905,   138
AT1G49480,    AT3G22760,            0.981723396701,   139
AT1G28470,    AT1G55240,            0.981596300847,   140
AT1G08320,    AT4G23670,            0.981584412691,   141
AT1G08320,    AT4G16620,            0.981535841842,   142
AT1G77920,    AT3G60140,            0.981527138544,   143
AT1G22070,    AT5G14580,            -0.981500900855,   144
AT1G32870,    AT5G62490,            0.981497428633,   145
AT1G49010,    AT1G31950,            -0.981490519577,   146
AT2G01940,    AT1G52560,            -0.981475477179,   147
AT1G77920,    AT3G63230,            -0.981374096107,   148
AT2G18380,    AT5G50360,            -0.981367822729,   149
AT1G68320,    AT1G76310,            -0.981327318172,   150
AT2G02080,    AT3G05740,            0.981301284192,   151
AT2G18380,    AT1G21410,            -0.981273422989,   152
AT1G77920,    AT1G10340,            -0.981151218431,   153
AT1G77920,    AT1G64110,            0.981108459204,   154
AT1G79180,    AT2G43840,            0.981036341904,   155
AT2G06200,    AT5G06730,            -0.981009680565,   156
AT2G06200,    AT3G22020,            -0.98095135165,   157
AT1G69490,    AT4G00940,            0.98087597467,   158
AT1G19850,    AT5G39320,            -0.98081743261,   159
AT1G06850,    AT2G01460,            -0.980810664931,   160
AT2G20110,    AT5G35510,            -0.980754524806,   161
AT1G53170,    AT5G50890,            0.980738472895,   162
AT1G78700,    AT5G17860,            -0.980717521028,   163
AT1G06850,    AT3G19590,            0.980525429955,   164
AT2G01940,    AT1G44900,            0.980493569399,   165
AT2G18550,    AT4G26010,            -0.980450144888,   166
AT1G68320,    AT1G31320,            -0.980406593517,   167
AT1G27730,    AT4G31860,            -0.98035292886,   168
AT1G53170,    AT5G39520,            -0.980337268501,   169
AT2G30590,    AT1G59660,            0.980257452756,   170
AT2G01940,    AT1G59700,            -0.980242777958,   171
AT1G74650,    AT4G27260,            0.980166073049,   172
AT1G77920,    AT2G29500,            0.980160034817,   173
AT1G78700,    AT2G43580,            -0.980059552922,   174
