regulator,    target,    score,    rank
AT1G69010,    AT4G03690,            -0.57634165467,   1
AT2G01060,    AT3G24790,            0.506916586227,   2
AT1G12610,    AT4G03170,            -0.491444068024,   3
AT1G32150,    AT1G34140,            -0.469844631651,   4
AT1G34190,    AT5G59110,            -0.450376437916,   5
AT1G19040,    AT2G31210,            -0.433033323134,   6
AT1G34180,    AT2G18340,            0.425164503762,   7
AT1G72740,    AT1G43240,            -0.424751258044,   8
AT1G32150,    AT4G19380,            0.424186496298,   9
AT2G01060,    AT3G51150,            -0.423248682438,   10
AT1G32150,    AT4G00416,            0.418564362512,   11
AT1G32150,    AT1G11690,            0.396204841432,   12
AT1G19040,    AT3G57260,            -0.391322407866,   13
AT1G69010,    AT5G28950,            -0.387726981999,   14
AT1G12630,    AT1G32600,            0.383274302191,   15
AT2G01060,    AT1G32180,            0.382822312161,   16
AT1G32150,    AT3G49520,            0.380368988289,   17
AT1G32150,    AT2G43520,            0.378245130744,   18
AT1G12260,    AT1G09400,            -0.375215044469,   19
AT1G22810,    AT1G02570,            0.374543810748,   20
AT1G19040,    AT5G32460,            0.371993054716,   21
AT1G34190,    AT3G60280,            0.371671213578,   22
AT1G47655,    AT3G05240,            -0.371264883729,   23
AT1G19040,    AT2G24450,            0.36479378724,   24
AT1G69010,    AT2G07380,            -0.363607711483,   25
AT1G25550,    AT3G52770,            0.360818103239,   26
AT1G19040,    AT1G31450,            0.356725745267,   27
AT2G30250,    AT2G07230,            0.356394460245,   28
AT1G34190,    AT5G54270,            0.352608585058,   29
AT1G53230,    AT3G60920,            -0.350480531069,   30
AT1G19040,    AT2G37590,            0.349914415359,   31
AT1G43160,    AT2G14230,            0.349708509755,   32
AT1G43160,    AT3G24630,            -0.348720615467,   33
AT1G34190,    AT5G67180,            0.346562771406,   34
AT2G01060,    AT2G16830,            0.346171656748,   35
AT1G52150,    AT1G16760,            0.343838832418,   36
AT2G23340,    AT3G28630,            0.343820314961,   37
AT2G03500,    AT4G08450,            -0.342188029986,   38
AT1G34190,    AT5G22430,            -0.340807088561,   39
AT1G49480,    AT5G26350,            0.340330296868,   40
AT1G49480,    AT2G25680,            -0.339320120926,   41
AT2G31230,    AT2G26050,            0.33910407059,   42
AT1G68670,    AT2G22030,            -0.336946460691,   43
AT1G69010,    AT5G04380,            -0.33639118181,   44
AT2G01060,    AT1G77020,            0.335307342158,   45
AT1G62300,    AT4G15680,            -0.334036278608,   46
AT1G01720,    AT1G73000,            -0.333797908509,   47
AT2G01060,    AT5G55590,            0.332823834488,   48
AT1G29280,    AT5G51800,            -0.331957027706,   49
AT1G01250,    AT3G32280,            0.331835154562,   50
AT2G18350,    AT1G02820,            0.331112541936,   51
AT1G72740,    AT1G18220,            0.330623925191,   52
AT2G30250,    AT4G23220,            0.324538117619,   53
AT1G70920,    AT2G23920,            -0.323948079606,   54
AT1G20980,    AT1G54880,            0.322397649263,   55
AT2G18380,    AT2G13730,            -0.321847512002,   56
AT1G01720,    AT5G01440,            -0.318655397096,   57
AT1G32150,    AT2G07740,            0.318514591509,   58
AT1G34180,    AT3G53300,            0.318149200057,   59
AT2G01060,    AT4G19520,            -0.318085281481,   60
AT2G03500,    AT5G03150,            -0.315116551519,   61
AT2G28810,    AT4G25140,            -0.314999482015,   62
AT1G22810,    AT3G43650,            -0.313022487227,   63
AT2G32460,    AT4G11760,            0.309846853,   64
AT1G75240,    AT5G66020,            -0.308063518953,   65
AT1G68670,    AT4G07370,            0.30786993988,   66
AT2G18350,    AT5G28810,            0.306153822737,   67
AT1G01250,    AT4G07850,            -0.304023937976,   68
AT2G30250,    AT3G16020,            0.303361513034,   69
AT1G75240,    AT1G13680,            -0.302917197714,   70
AT1G29280,    AT3G47770,            -0.30246686214,   71
AT1G30210,    AT5G17300,            -0.301915227517,   72
AT2G01930,    AT5G01380,            -0.301327445455,   73
AT1G32150,    AT2G24370,            0.300158025145,   74
AT1G68670,    AT5G38035,            -0.299818036667,   75
AT1G29280,    AT3G11110,            -0.299784152994,   76
AT1G74480,    AT1G51520,            -0.298605510177,   77
AT2G01060,    AT5G44550,            0.296009081065,   78
AT2G04038,    AT4G09890,            0.295793644374,   79
AT2G01930,    AT4G16000,            0.294015797307,   80
