regulator,    target,    score,    rank
AT2G20110,    AT2G40010,            0.987342927305,   1
AT1G01060,    AT2G21660,            -0.986331971338,   2
AT2G20110,    AT1G60610,            -0.986050237221,   3
AT1G72740,    AT5G42180,            0.985924281978,   4
AT1G51140,    AT2G41190,            0.985486355185,   5
AT1G64620,    AT3G59080,            0.985445487865,   6
AT1G77200,    AT1G67360,            0.98486831086,   7
AT2G18380,    AT5G11820,            0.984623103683,   8
AT2G22540,    AT3G27450,            0.984522576845,   9
AT1G77920,    AT4G02360,            0.984198492789,   10
AT1G22070,    AT2G30770,            0.984043934982,   11
AT2G02080,    AT5G03790,            -0.983858142688,   12
AT2G20110,    AT1G02305,            -0.98341996669,   13
AT1G19850,    AT3G50930,            0.983398924751,   14
AT1G68670,    AT5G41080,            0.983339942176,   15
AT1G71450,    AT5G16930,            0.983157945435,   16
AT2G20110,    AT4G34650,            -0.983066217033,   17
AT1G49010,    AT1G79520,            -0.982856831006,   18
AT1G01060,    AT3G47860,            -0.982789288996,   19
AT1G64620,    AT1G23480,            0.98266262299,   20
AT1G71450,    AT5G50890,            0.982607026649,   21
AT2G20110,    AT2G31350,            -0.982446617667,   22
AT1G77920,    AT1G64950,            0.982404932624,   23
AT1G43160,    AT5G67310,            0.982073936715,   24
AT1G08320,    AT2G37750,            0.98135570492,   25
AT1G53910,    AT3G09910,            0.98131089259,   26
AT2G20110,    AT5G39520,            -0.981060173853,   27
AT1G29860,    AT1G25330,            -0.981014459727,   28
AT1G77920,    AT2G25625,            0.980840131221,   29
AT1G53170,    AT2G20880,            0.980799604214,   30
AT1G77920,    AT5G01015,            -0.980790037462,   31
AT2G20110,    AT2G24090,            0.980741773306,   32
AT1G28160,    AT3G25165,            0.98073324682,   33
AT1G71450,    AT3G23740,            0.980635501594,   34
AT1G69180,    AT1G22480,            -0.980608680664,   35
AT1G51140,    AT4G24400,            0.980588650777,   36
AT1G51140,    AT5G11160,            -0.980562226174,   37
AT1G01720,    AT4G05020,            0.980479511741,   38
AT1G01720,    AT1G72770,            0.980412658629,   39
AT2G20110,    AT3G54090,            0.980407605892,   40
AT2G02820,    AT3G51810,            -0.980222603593,   41
AT1G69180,    AT3G43210,            0.980032282347,   42
AT1G01060,    AT5G18540,            -0.979997813241,   43
AT1G77920,    AT2G47600,            0.97990801558,   44
AT2G20110,    AT2G02390,            -0.97987733604,   45
AT1G75240,    AT2G42890,            -0.979818359531,   46
AT2G01060,    AT3G03620,            0.979741352103,   47
AT1G77920,    AT1G52690,            0.979672872881,   48
AT2G01940,    AT3G61060,            0.979535475691,   49
AT1G71450,    AT4G13710,            0.979443271988,   50
AT1G51140,    AT1G45145,            0.979338959921,   51
AT2G20110,    AT1G59990,            0.979266209325,   52
AT2G03500,    AT4G26820,            -0.979246304333,   53
AT2G27300,    AT4G11890,            0.979227061676,   54
AT1G49480,    AT4G21080,            0.979189624378,   55
AT1G51140,    AT4G18280,            0.979168471848,   56
AT1G71450,    AT5G67100,            0.978991629024,   57
AT1G53910,    AT3G19480,            -0.978950032071,   58
AT1G77920,    AT5G16590,            -0.97891208841,   59
AT1G69570,    AT5G40750,            0.978501359328,   60
AT1G08320,    AT4G22050,            0.978462663136,   61
AT2G20110,    AT4G00810,            0.978405373906,   62
AT2G20110,    AT1G12000,            0.978372618911,   63
AT2G01060,    AT1G43670,            -0.978259684832,   64
AT2G02820,    AT4G17860,            0.978215090533,   65
AT2G20110,    AT4G04430,            -0.978168246317,   66
AT1G53910,    AT3G06470,            -0.978045399525,   67
AT1G77920,    AT3G17330,            -0.977978177709,   68
AT1G75390,    AT2G19320,            0.977898416384,   69
AT1G77920,    AT4G23600,            0.977819094766,   70
AT1G75240,    AT1G22990,            -0.977739967901,   71
AT1G69010,    AT1G74490,            -0.977632691804,   72
AT2G20110,    AT1G11860,            0.977421760451,   73
AT1G12630,    AT5G01190,            0.977391383652,   74
AT1G43700,    AT5G44310,            0.977378095441,   75
AT2G20110,    AT4G19710,            0.977376894422,   76
AT1G77920,    AT2G39050,            0.9770795283,   77
AT1G20910,    AT5G02230,            -0.977065564608,   78
AT2G20110,    AT1G31750,            -0.977058817997,   79
AT1G49010,    AT4G13120,            0.97698107915,   80
AT1G51140,    AT2G34510,            -0.976977076738,   81
AT1G28370,    AT1G79250,            -0.976756726352,   82
AT1G01720,    AT5G13750,            0.976715675312,   83
AT2G20110,    AT4G21980,            -0.976496505147,   84
AT1G55110,    AT2G41950,            -0.976423341875,   85
AT2G20110,    AT3G57380,            -0.97636099718,   86
AT1G74650,    AT3G11690,            0.976283595704,   87
AT1G77920,    AT2G47770,            0.976231139674,   88
AT1G36060,    AT4G28090,            0.976177986736,   89
AT1G77920,    AT5G22460,            0.9761740534,   90
AT1G51140,    AT5G21160,            -0.976163361657,   91
AT1G77920,    AT4G03820,            0.976132263359,   92
AT1G51140,    AT2G42790,            0.976119451385,   93
AT2G01060,    AT4G01390,            -0.976113001878,   94
AT1G77920,    AT4G14010,            0.976037729735,   95
AT2G02450,    AT3G08870,            -0.975969287598,   96
AT1G77920,    AT5G16600,            0.975878246178,   97
AT1G55110,    AT1G29050,            0.975827638788,   98
AT1G22810,    AT5G51770,            -0.975811477517,   99
AT2G20110,    AT1G03550,            -0.975793279358,   100
AT2G02820,    AT3G55910,            -0.975713131157,   101
AT1G69780,    AT1G68840,            0.97569885182,   102
AT1G55110,    AT5G64140,            -0.97554160265,   103
AT2G20110,    AT2G45210,            -0.975535204117,   104
AT1G69010,    AT1G47370,            -0.975518204909,   105
AT1G77920,    AT4G35790,            0.975505833949,   106
AT1G51140,    AT5G44020,            -0.975460073991,   107
AT2G20110,    AT4G00355,            -0.975386605547,   108
AT1G32870,    AT2G17840,            0.975348623672,   109
AT1G71450,    AT3G02010,            0.975236992207,   110
AT1G75240,    AT1G62480,            0.975228603916,   111
AT2G02820,    AT1G80730,            0.975217102752,   112
AT2G01940,    AT4G13230,            0.975100596136,   113
AT1G77920,    AT2G35300,            0.97507836416,   114
AT1G51140,    AT5G10730,            0.975024903458,   115
AT2G20110,    AT1G14810,            0.97497906728,   116
AT1G51140,    AT3G12250,            0.974961987538,   117
AT2G20110,    AT1G32350,            -0.974934571773,   118
AT2G20110,    AT1G04520,            0.974927191392,   119
AT1G69570,    AT1G64890,            -0.974893602655,   120
AT1G51140,    AT1G54100,            0.97486900338,   121
AT1G69780,    AT5G35490,            0.974867269347,   122
AT1G64620,    AT3G16360,            -0.974781698566,   123
AT1G68550,    AT4G38470,            -0.974772359789,   124
AT2G02820,    AT1G27050,            0.974687506999,   125
AT2G20110,    AT2G43510,            -0.974663205091,   126
AT2G20110,    AT2G04530,            0.974660417524,   127
AT1G51140,    AT1G63260,            -0.974660245033,   128
AT1G64620,    AT1G14345,            0.974629851938,   129
AT1G55110,    AT3G14560,            0.974608995285,   130
AT1G51140,    AT3G05360,            0.97459781736,   131
AT2G18550,    AT5G23640,            0.974520266649,   132
AT1G55110,    AT1G11080,            -0.974514059507,   133
AT2G01060,    AT4G26540,            -0.974440092118,   134
AT1G77920,    AT3G09580,            -0.974363034745,   135
AT1G55110,    AT3G10610,            -0.974337713653,   136
AT1G55110,    AT5G47700,            -0.974094015447,   137
AT1G77920,    AT5G52450,            0.974086344467,   138
AT2G02820,    AT3G61930,            -0.974077507268,   139
AT1G77920,    AT4G23400,            -0.974050236534,   140
AT2G20110,    AT2G34640,            0.973938150855,   141
AT1G51140,    AT3G22200,            0.973909660842,   142
AT1G77200,    AT5G42050,            0.973883984631,   143
AT1G77920,    AT5G06760,            0.973871160568,   144
AT1G19850,    AT5G57520,            -0.973838367447,   145
AT1G55110,    AT3G44990,            -0.973808179401,   146
AT2G01060,    AT2G02500,            -0.973651976542,   147
AT1G55110,    AT3G20300,            0.973617929093,   148
AT1G29160,    AT3G53200,            0.973594049266,   149
AT1G77920,    AT1G52290,            -0.973487340158,   150
AT1G77920,    AT5G27520,            0.973423761641,   151
AT1G68550,    AT3G21750,            0.973399278289,   152
AT1G64620,    AT1G31830,            -0.973266380799,   153
AT2G23320,    AT1G66930,            0.973220459446,   154
AT1G29280,    AT1G52200,            0.973218756506,   155
AT2G01060,    AT1G50490,            -0.973159674681,   156
AT1G51140,    AT2G46680,            0.973126629553,   157
AT1G49010,    AT1G09160,            0.973118696441,   158
AT1G69010,    AT1G69610,            0.973062421536,   159
AT1G33240,    AT5G13090,            0.97305181297,   160
AT1G51140,    AT3G51830,            0.973014668285,   161
AT1G53170,    AT2G06050,            0.972962840408,   162
AT2G18060,    AT1G34760,            0.972946230622,   163
AT1G01720,    AT2G26710,            -0.972911940263,   164
AT1G55110,    AT4G09160,            -0.972891901723,   165
AT1G62300,    AT1G68875,            0.972860905751,   166
AT1G69570,    AT1G08500,            -0.97281695994,   167
AT2G20110,    AT2G28000,            0.972688868722,   168
AT1G77920,    AT5G50915,            -0.972597731576,   169
AT1G69570,    AT2G41250,            0.972575010682,   170
AT2G20110,    AT3G55890,            -0.972548930577,   171
AT2G22540,    AT1G03840,            0.97247811753,   172
AT2G20110,    AT3G48020,            -0.97247798152,   173
AT2G20110,    AT1G28260,            -0.972452011391,   174
AT2G20110,    AT3G01970,            -0.972397959201,   175
AT2G02820,    AT5G19260,            0.972379485585,   176
AT1G64620,    AT5G57910,            -0.97237262371,   177
AT1G77920,    AT1G60550,            -0.972342969132,   178
AT1G49010,    AT1G64405,            -0.972241314438,   179
AT2G20110,    AT2G18050,            -0.972220938648,   180
AT1G51140,    AT2G15970,            0.972198596893,   181
AT2G20110,    AT2G35190,            0.971974534206,   182
AT1G77920,    AT2G35730,            0.971960047616,   183
AT1G49010,    AT4G05200,            0.971952212976,   184
AT1G51140,    AT3G61450,            0.971884764588,   185
AT1G51140,    AT4G40070,            0.971815029696,   186
AT1G64620,    AT3G28007,            -0.97168202243,   187
AT1G68320,    AT2G15535,            0.97165770858,   188
AT1G76890,    AT3G25610,            -0.971611036786,   189
AT1G72740,    AT4G11880,            0.971564365911,   190
AT2G01060,    AT3G03240,            0.971429540704,   191
AT1G69010,    AT3G15790,            0.971428000865,   192
AT2G01060,    AT1G20930,            -0.97142007905,   193
AT1G43700,    AT5G04530,            0.971399448984,   194
AT1G68550,    AT3G25870,            0.971140816801,   195
AT1G49010,    AT2G33330,            0.97109785529,   196
AT1G43700,    AT3G02640,            -0.971059561548,   197
AT1G77920,    AT1G04220,            0.971038025169,   198
AT1G49010,    AT3G01470,            -0.971032581192,   199
AT1G12630,    AT2G03110,            0.971005092933,   200
AT1G77920,    AT2G22590,            0.970979060205,   201
AT1G01060,    AT5G11150,            -0.970965911473,   202
AT1G51140,    AT3G20250,            0.970957844871,   203
AT1G51140,    AT1G29395,            0.970947299403,   204
AT1G77200,    AT1G27760,            0.970930675756,   205
AT1G77920,    AT3G12510,            0.97089823493,   206
AT1G75240,    AT3G17390,            0.970877257322,   207
AT1G77920,    AT4G12580,            0.970866313954,   208
AT1G55110,    AT4G38660,            -0.970850875019,   209
AT1G55110,    AT1G57590,            0.970818052689,   210
AT2G02820,    AT5G09730,            0.970800538111,   211
AT1G55110,    AT1G23040,            0.970775554525,   212
AT1G75390,    AT3G51740,            -0.97077111929,   213
AT1G01720,    AT5G13200,            0.970762090598,   214
AT2G20110,    AT1G54120,            -0.970702278984,   215
AT1G51140,    AT2G28400,            0.970686682977,   216
AT2G27300,    AT1G57750,            -0.970657365497,   217
AT2G02450,    AT3G28540,            -0.970625720811,   218
AT1G52150,    AT3G17980,            -0.970617456746,   219
AT2G20400,    AT5G26570,            0.970568989372,   220
AT2G20110,    AT3G23390,            0.970568787573,   221
AT2G28810,    AT1G66230,            -0.970515030807,   222
AT1G12260,    AT1G60540,            -0.97051333004,   223
AT1G77920,    AT5G42290,            0.970509129736,   224
AT1G33240,    AT5G28770,            0.97042503537,   225
AT2G20110,    AT1G49975,            0.970422845549,   226
AT1G51140,    AT1G17745,            0.970383707551,   227
AT2G02820,    AT4G37980,            -0.970380635009,   228
AT2G01060,    AT1G72540,            0.970368188248,   229
AT2G20110,    AT1G05340,            -0.970354838972,   230
AT2G26960,    AT1G12030,            0.970349631159,   231
AT1G64620,    AT3G63110,            0.970333223749,   232
AT2G02820,    AT5G46180,            -0.970271491784,   233
AT2G20110,    AT4G34860,            -0.970225637841,   234
AT1G77920,    AT4G35560,            0.970182729403,   235
AT1G77920,    AT1G09390,            -0.970158389626,   236
AT1G51140,    AT1G62540,            0.970147536886,   237
AT1G19850,    AT5G12380,            -0.970136542957,   238
AT1G49010,    AT4G38160,            0.970013343437,   239
AT1G52150,    AT1G11580,            -0.969993861218,   240
AT1G49010,    AT3G11420,            -0.96995929146,   241
AT1G53910,    AT3G17820,            0.969932724825,   242
AT2G02820,    AT2G46240,            -0.969914570144,   243
AT1G77920,    AT1G67300,            0.969908237417,   244
AT1G77920,    AT5G65730,            -0.969891385277,   245
AT1G01060,    AT5G61380,            -0.969888867689,   246
AT1G01720,    AT5G57610,            0.969886038738,   247
AT1G51140,    AT1G02670,            0.96985129004,   248
AT1G19000,    AT2G17880,            0.969825884544,   249
AT1G69010,    AT5G51550,            -0.96974646158,   250
AT2G20110,    AT5G25560,            -0.969739747742,   251
AT2G30250,    AT1G76930,            0.969666897752,   252
AT2G20110,    AT1G62660,            -0.969646261349,   253
AT1G51140,    AT5G17860,            0.969644809891,   254
AT1G19000,    AT2G46770,            0.969542929647,   255
AT1G77920,    AT2G37870,            0.969534604993,   256
AT1G77920,    AT5G65990,            0.969524414742,   257
AT1G51140,    AT5G02760,            -0.969408121209,   258
AT1G29280,    AT5G59080,            0.969403145766,   259
AT1G01720,    AT1G49840,            -0.969391214169,   260
AT2G20110,    AT4G09600,            -0.969314174258,   261
AT1G77920,    AT3G15680,            -0.969307489642,   262
AT1G22810,    AT1G68340,            -0.969299206962,   263
AT1G53910,    AT1G80560,            -0.969277351558,   264
AT2G02820,    AT3G52960,            0.969191965093,   265
AT1G64620,    AT2G25735,            0.969157249827,   266
AT2G20110,    AT4G22740,            -0.969111487782,   267
AT2G02820,    AT5G20720,            0.969096685097,   268
AT1G32870,    AT1G10090,            0.969067500326,   269
AT2G20110,    AT1G23205,            0.969029855993,   270
AT1G49010,    AT4G22010,            0.968984494419,   271
AT2G20110,    AT3G59650,            0.968940973661,   272
AT1G77920,    AT3G07430,            -0.968936601299,   273
AT2G20110,    AT2G17500,            -0.96890099504,   274
AT1G49010,    AT4G30610,            0.968886514577,   275
AT1G51140,    AT1G06830,            -0.96875013887,   276
AT1G55110,    AT1G69530,            -0.968730650629,   277
