regulator,    target,    score,    rank
AT2G20110,    AT2G40010,            0.994843793536,   1
AT2G20110,    AT1G60610,            -0.99482619658,   2
AT1G51140,    AT2G41190,            0.994564864907,   3
AT1G77200,    AT1G67360,            0.994557858347,   4
AT1G64620,    AT3G59080,            0.994119531148,   5
AT1G72740,    AT5G42180,            0.993757335943,   6
AT1G77920,    AT4G02360,            0.992545131012,   7
AT1G01060,    AT2G21660,            -0.992344592315,   8
AT1G77920,    AT1G64950,            0.992253638997,   9
AT2G18380,    AT5G11820,            0.992033562233,   10
AT1G68670,    AT5G41080,            0.991995480112,   11
AT2G22540,    AT3G27450,            0.991922837361,   12
AT1G22070,    AT2G30770,            0.991714852781,   13
AT1G19850,    AT3G50930,            0.991658247045,   14
AT2G20110,    AT4G34650,            -0.991654304016,   15
AT2G20110,    AT1G02305,            -0.991650057806,   16
AT2G02080,    AT5G03790,            -0.991253442829,   17
AT1G77920,    AT5G01015,            -0.991045536888,   18
AT1G64620,    AT1G23480,            0.991032327681,   19
AT1G53170,    AT2G20880,            0.990956574723,   20
AT1G01060,    AT3G47860,            -0.990914116547,   21
AT1G43160,    AT5G67310,            0.990801954919,   22
AT1G49010,    AT1G79520,            -0.990696760121,   23
AT1G28160,    AT3G25165,            0.990352097524,   24
AT1G53910,    AT3G09910,            0.990218137209,   25
AT1G69180,    AT1G22480,            -0.990182636825,   26
AT2G02820,    AT3G51810,            -0.990116196524,   27
AT2G20110,    AT2G31350,            -0.990083717848,   28
AT1G71450,    AT5G16930,            0.989950555786,   29
AT1G77920,    AT2G25625,            0.989851500599,   30
AT1G51140,    AT4G24400,            0.989573934452,   31
AT2G20110,    AT5G39520,            -0.989516356336,   32
AT1G77920,    AT2G47600,            0.989516319493,   33
AT1G01720,    AT1G72770,            0.989470903419,   34
AT1G08320,    AT2G37750,            0.989457505416,   35
AT1G01720,    AT4G05020,            0.989362298566,   36
AT1G71450,    AT5G50890,            0.989126779471,   37
AT1G75240,    AT2G42890,            -0.98909287992,   38
AT2G20110,    AT3G54090,            0.98904939274,   39
AT1G51140,    AT4G18280,            0.988867932264,   40
AT1G51140,    AT5G11160,            -0.988825422381,   41
AT2G20110,    AT2G24090,            0.988803001653,   42
AT1G01060,    AT5G18540,            -0.988682978084,   43
AT1G77920,    AT1G52690,            0.988648774341,   44
AT2G01940,    AT3G61060,            0.988520935401,   45
AT2G20110,    AT2G02390,            -0.988477619447,   46
AT1G71450,    AT3G23740,            0.988135688099,   47
AT1G29860,    AT1G25330,            -0.987977946819,   48
AT2G20110,    AT1G59990,            0.987952251467,   49
AT1G53910,    AT3G19480,            -0.987774420023,   50
AT1G49480,    AT4G21080,            0.987682620029,   51
AT2G03500,    AT4G26820,            -0.98760326107,   52
AT1G69570,    AT5G40750,            0.98756753977,   53
AT2G01060,    AT1G43670,            -0.987495672809,   54
AT2G20110,    AT1G31750,            -0.987471328866,   55
AT1G71450,    AT5G67100,            0.987437397632,   56
AT2G02820,    AT4G17860,            0.987170755937,   57
AT1G51140,    AT1G45145,            0.987168683104,   58
AT1G69010,    AT1G74490,            -0.987060715227,   59
AT1G69180,    AT3G43210,            0.987013418274,   60
AT2G01060,    AT4G01390,            -0.986892642547,   61
AT1G77920,    AT3G17330,            -0.986750762692,   62
AT1G77920,    AT5G16590,            -0.986492721626,   63
AT1G08320,    AT4G22050,            0.986466960853,   64
AT2G20110,    AT4G00810,            0.98639398458,   65
AT1G43700,    AT5G44310,            0.986314708313,   66
AT1G01720,    AT5G13750,            0.986274892655,   67
AT2G20110,    AT1G12000,            0.986262413185,   68
AT1G53910,    AT3G06470,            -0.986218815416,   69
AT2G20110,    AT1G11860,            0.986129566995,   70
AT1G75390,    AT2G19320,            0.986110972841,   71
AT1G77920,    AT5G22460,            0.986070770194,   72
AT1G75240,    AT1G22990,            -0.985930211854,   73
AT2G01060,    AT3G03620,            0.985874393913,   74
AT1G20910,    AT5G02230,            -0.985867643731,   75
AT1G12630,    AT5G01190,            0.985825385294,   76
AT2G02450,    AT3G08870,            -0.98577167178,   77
AT2G27300,    AT4G11890,            0.985752446173,   78
AT1G49010,    AT4G13120,            0.985736900834,   79
AT1G55110,    AT2G41950,            -0.985716049027,   80
AT1G77920,    AT2G47770,            0.985648702105,   81
AT1G77920,    AT4G23600,            0.9855860307,   82
AT2G20110,    AT1G03550,            -0.98556451425,   83
AT1G77920,    AT2G39050,            0.985560037458,   84
AT1G71450,    AT4G13710,            0.98541371542,   85
AT1G51140,    AT5G44020,            -0.985377728878,   86
AT2G20110,    AT1G14810,            0.985271898373,   87
AT1G77920,    AT4G14010,            0.985238354632,   88
AT2G02820,    AT3G55910,            -0.985226810704,   89
AT2G20110,    AT4G21980,            -0.985185530095,   90
AT2G20110,    AT3G57380,            -0.985129441272,   91
AT1G77920,    AT4G03820,            0.984982373326,   92
AT1G74650,    AT3G11690,            0.984955735088,   93
AT1G69780,    AT5G35490,            0.984912650495,   94
AT1G77920,    AT2G35300,            0.984905902948,   95
AT1G55110,    AT5G64140,            -0.984876083711,   96
AT1G51140,    AT1G63260,            -0.98486001046,   97
AT1G51140,    AT2G34510,            -0.98485692437,   98
AT2G01940,    AT4G13230,            0.984772426081,   99
AT1G28370,    AT1G79250,            -0.984602534235,   100
AT1G69570,    AT1G64890,            -0.984550864604,   101
AT1G71450,    AT3G02010,            0.984500653274,   102
AT1G51140,    AT2G42790,            0.984433638457,   103
AT1G36060,    AT4G28090,            0.984381394567,   104
AT1G64620,    AT3G16360,            -0.984336561067,   105
AT2G20110,    AT2G43510,            -0.984321284823,   106
AT2G20110,    AT4G19710,            0.984320313682,   107
AT1G68550,    AT3G21750,            0.984301913211,   108
AT1G51140,    AT1G54100,            0.98428768253,   109
AT1G51140,    AT3G12250,            0.984285741621,   110
AT1G32870,    AT2G17840,            0.984249541548,   111
AT2G18550,    AT5G23640,            0.984199206525,   112
AT1G51140,    AT3G05360,            0.984181979571,   113
AT2G02820,    AT1G80730,            0.984135851111,   114
AT2G20110,    AT1G32350,            -0.983960932595,   115
AT2G20110,    AT4G00355,            -0.983933627209,   116
AT1G64620,    AT5G57910,            -0.983758805446,   117
AT2G20110,    AT2G45210,            -0.983730547746,   118
AT1G69010,    AT1G47370,            -0.983640950802,   119
AT1G19850,    AT5G57520,            -0.983587837583,   120
AT1G53170,    AT2G06050,            0.983507556329,   121
AT1G77920,    AT3G09580,            -0.983451655959,   122
AT1G51140,    AT5G10730,            0.983420411384,   123
AT1G55110,    AT3G10610,            -0.983224229798,   124
AT1G69780,    AT1G68840,            0.983174835932,   125
AT2G01060,    AT2G02500,            -0.983154636124,   126
AT2G20110,    AT2G04530,            0.98313327991,   127
AT1G22810,    AT5G51770,            -0.983127460855,   128
AT2G02820,    AT3G61930,            -0.983116587694,   129
AT1G55110,    AT1G11080,            -0.983103974269,   130
AT1G77920,    AT4G23400,            -0.983046114788,   131
AT2G20110,    AT2G28000,            0.983043164899,   132
AT1G49010,    AT1G09160,            0.983041563447,   133
AT1G77920,    AT4G35790,            0.983031869707,   134
AT1G51140,    AT3G22200,            0.983024417093,   135
AT2G20110,    AT1G04520,            0.98299047605,   136
AT1G77920,    AT5G27520,            0.982945891235,   137
AT1G55110,    AT5G47700,            -0.98292877867,   138
AT1G55110,    AT1G29050,            0.98290495658,   139
AT2G20110,    AT4G04430,            -0.982867777528,   140
AT1G77920,    AT5G16600,            0.982866522807,   141
AT1G68550,    AT4G38470,            -0.982857846833,   142
AT1G75240,    AT1G62480,            0.98281693965,   143
AT1G77920,    AT5G06760,            0.982748923392,   144
AT1G77920,    AT1G60550,            -0.982747587504,   145
AT1G77200,    AT5G42050,            0.982743972585,   146
AT1G51140,    AT5G21160,            -0.98266622265,   147
AT2G18060,    AT1G34760,            0.982654991454,   148
AT1G69010,    AT1G69610,            0.982561723922,   149
AT1G55110,    AT3G14560,            0.982477029584,   150
AT1G69570,    AT2G41250,            0.982471613554,   151
AT1G77920,    AT1G52290,            -0.982422957035,   152
AT1G51140,    AT3G51830,            0.982379342752,   153
AT1G29280,    AT1G52200,            0.982373466162,   154
AT2G01060,    AT4G26540,            -0.982308739676,   155
AT2G20110,    AT2G18050,            -0.982295904838,   156
AT1G64620,    AT1G31830,            -0.982273388268,   157
AT2G20110,    AT3G48020,            -0.98221744534,   158
AT2G20110,    AT3G01970,            -0.982173082089,   159
AT2G02820,    AT1G27050,            0.982164245528,   160
AT2G23320,    AT1G66930,            0.982145316159,   161
AT1G64620,    AT1G14345,            0.982123073741,   162
AT2G20110,    AT2G34640,            0.982118250622,   163
AT1G49010,    AT4G38160,            0.982091671473,   164
AT2G20110,    AT2G35190,            0.981965742794,   165
AT1G55110,    AT4G09160,            -0.981939390261,   166
AT1G62300,    AT1G68875,            0.981936392548,   167
AT1G77920,    AT5G52450,            0.981910804713,   168
AT1G69010,    AT3G15790,            0.981905636338,   169
AT1G55110,    AT3G44990,            -0.981825659601,   170
AT2G01060,    AT1G50490,            -0.981824808664,   171
AT1G33240,    AT5G13090,            0.981766401847,   172
AT1G64620,    AT3G28007,            -0.981760292107,   173
AT1G77920,    AT2G35730,            0.981719688327,   174
AT2G20110,    AT3G55890,            -0.981584250874,   175
AT1G55110,    AT3G20300,            0.981564258496,   176
AT1G77920,    AT3G12510,            0.981477219568,   177
AT1G49010,    AT1G64405,            -0.981450278417,   178
AT1G77920,    AT4G12580,            0.981208283768,   179
AT1G51140,    AT3G20250,            0.981096960556,   180
AT2G22540,    AT1G03840,            0.981059474669,   181
AT1G55110,    AT1G57590,            0.981034288259,   182
AT1G72740,    AT4G11880,            0.981032112593,   183
AT1G69570,    AT1G08500,            -0.981027675805,   184
AT1G51140,    AT2G15970,            0.981024241659,   185
AT2G02820,    AT2G46240,            -0.980951179977,   186
AT2G20110,    AT1G28260,            -0.980931835116,   187
AT1G29160,    AT3G53200,            0.980860127099,   188
AT1G51140,    AT2G46680,            0.980840326169,   189
AT1G01720,    AT5G13200,            0.980815694649,   190
AT1G51140,    AT1G29395,            0.980680684508,   191
AT2G20110,    AT1G49975,            0.980616140953,   192
AT1G51140,    AT3G61450,            0.980581617675,   193
AT1G77920,    AT5G42290,            0.98057320965,   194
AT1G77920,    AT5G50915,            -0.980570133413,   195
AT1G52150,    AT3G17980,            -0.980499299207,   196
AT1G12260,    AT1G60540,            -0.980498317293,   197
AT1G51140,    AT1G62540,            0.980450746179,   198
AT1G01720,    AT2G26710,            -0.980426572373,   199
AT1G68320,    AT2G15535,            0.980407005329,   200
AT1G77200,    AT1G27760,            0.980389384122,   201
AT2G02820,    AT5G19260,            0.980385453606,   202
AT1G01060,    AT5G11150,            -0.980363107768,   203
AT2G02820,    AT4G37980,            -0.980349734427,   204
AT1G77920,    AT5G65730,            -0.980286475359,   205
AT1G53910,    AT1G80560,            -0.980253877336,   206
AT2G02450,    AT3G28540,            -0.980233512734,   207
AT1G64620,    AT3G63110,            0.980229362818,   208
AT1G77920,    AT2G37870,            0.9802216639,   209
AT2G02820,    AT5G46180,            -0.980200699354,   210
AT2G20110,    AT5G25560,            -0.980133716004,   211
AT2G20110,    AT4G22740,            -0.980114768233,   212
AT2G20110,    AT1G54120,            -0.98010279676,   213
AT1G75240,    AT3G17390,            0.980095486757,   214
