regulator,    target,    score,    rank
AT1G19850,    AT2G27570,            0.983572913434,   1
AT1G28160,    AT5G03020,            0.978669306954,   2
AT1G62300,    AT2G26380,            0.977877010846,   3
AT1G51140,    AT5G20790,            0.977740925718,   4
AT1G29860,    AT2G29470,            0.977652038671,   5
AT2G23320,    AT5G60350,            0.976955810884,   6
AT1G28470,    AT1G74310,            0.976866684323,   7
AT1G01720,    AT2G21900,            0.976839787827,   8
AT2G02450,    AT1G76250,            -0.976826254269,   9
AT1G28470,    AT1G73260,            0.976824396595,   10
AT2G22540,    AT5G18810,            0.976713154181,   11
AT1G28470,    AT4G09600,            0.976612744922,   12
AT1G69570,    AT4G17990,            0.976348974672,   13
AT1G71450,    AT5G56750,            0.976248771218,   14
AT1G71450,    AT2G18190,            0.976162040714,   15
AT1G28470,    AT2G29380,            0.97605882654,   16
AT1G71450,    AT1G07180,            0.975809644676,   17
AT1G06850,    AT4G03810,            0.975354314264,   18
AT1G51700,    AT2G32190,            0.974879140793,   19
AT1G32870,    AT5G51440,            0.974868464864,   20
AT2G30250,    AT2G35980,            0.974864688435,   21
AT2G28810,    AT1G14180,            0.974458815634,   22
AT2G23320,    AT5G60270,            0.974269804225,   23
AT1G71450,    AT1G35200,            0.974246957647,   24
AT2G30250,    AT1G21850,            0.974102541262,   25
AT1G06850,    AT5G09980,            0.973928340582,   26
AT1G69780,    AT5G02170,            -0.973862815321,   27
AT1G34180,    AT5G48530,            0.973825431363,   28
AT1G49480,    AT3G43990,            -0.973764607374,   29
AT2G27300,    AT3G55630,            0.973649625161,   30
AT1G25340,    AT5G07240,            -0.973533263808,   31
AT2G23320,    AT4G36470,            -0.973458388356,   32
AT1G19000,    AT1G70130,            -0.973377363336,   33
AT1G49480,    AT1G43910,            -0.973376934547,   34
AT1G50640,    AT2G40170,            -0.973256406516,   35
AT1G65910,    AT2G22240,            -0.973024403906,   36
AT2G30250,    AT1G69550,            0.973000330464,   37
AT1G29280,    AT5G41890,            -0.972955811249,   38
AT1G19210,    AT3G17690,            0.972752171956,   39
AT1G32870,    AT2G19190,            0.972581211386,   40
AT1G06180,    AT3G23010,            -0.972423443299,   41
AT1G03840,    AT2G18120,            0.972421574806,   42
AT2G30590,    AT1G72060,            -0.972416025643,   43
AT1G27730,    AT2G38750,            0.972237410196,   44
AT1G13260,    AT5G37690,            -0.972163822347,   45
AT1G79580,    AT4G33710,            0.972103256238,   46
AT1G28470,    AT2G19990,            -0.972010209805,   47
AT1G28470,    AT2G16270,            -0.972007196939,   48
AT2G02070,    AT5G49360,            -0.971992061259,   49
AT1G19000,    AT2G24850,            -0.971925722217,   50
AT1G79580,    AT3G28350,            0.971914735911,   51
AT1G80840,    AT2G26190,            0.971857271812,   52
AT1G22070,    AT4G12330,            -0.971843543132,   53
AT1G80840,    AT5G03390,            0.971573577666,   54
AT1G32870,    AT2G47520,            0.971514394203,   55
AT1G19210,    AT5G53050,            0.971486018787,   56
AT1G71450,    AT5G23010,            -0.971430445297,   57
AT2G30250,    AT2G18660,            0.971391261794,   58
AT2G22430,    AT2G32740,            -0.971317775201,   59
AT1G28470,    AT3G48580,            0.97130322024,   60
AT2G30250,    AT2G37880,            0.971290753858,   61
AT1G71450,    AT2G43100,            -0.971283297125,   62
AT1G34180,    AT1G61550,            0.971258082033,   63
AT1G69780,    AT1G68510,            -0.971231160892,   64
AT1G49010,    AT2G22760,            -0.97111703381,   65
AT2G28810,    AT3G20880,            0.971089524076,   66
AT1G49010,    AT3G28050,            0.97106223894,   67
AT2G23320,    AT3G17700,            0.971036004245,   68
AT1G28470,    AT3G46230,            0.97102230679,   69
AT1G71450,    AT1G31320,            -0.97088633794,   70
AT1G49480,    AT5G51750,            0.97081363607,   71
AT1G33240,    AT1G52880,            -0.970740215097,   72
AT1G19210,    AT3G11840,            0.970688639145,   73
AT1G32870,    AT1G66090,            0.970588371108,   74
AT2G30250,    AT3G54560,            -0.970498293636,   75
AT2G27300,    AT4G25810,            0.970451548965,   76
AT1G76890,    AT2G02130,            0.970301843609,   77
AT1G28470,    AT4G16150,            0.970222668741,   78
AT1G49480,    AT4G31950,            -0.970139525511,   79
