regulator,    target,    score,    rank
AT1G28470,    AT1G74310,            0.99149145582,   1
AT1G19850,    AT2G27570,            0.991178836513,   2
AT1G62300,    AT2G26380,            0.990501775736,   3
AT1G29860,    AT2G29470,            0.990303298559,   4
AT1G01720,    AT2G21900,            0.989887538788,   5
AT1G28470,    AT1G73260,            0.989829293589,   6
AT2G23320,    AT5G60350,            0.989796833102,   7
AT1G51140,    AT5G20790,            0.989774437619,   8
AT1G28470,    AT4G09600,            0.989713779312,   9
AT2G30250,    AT2G35980,            0.989713749543,   10
AT1G71450,    AT5G56750,            0.989569568085,   11
AT1G71450,    AT2G18190,            0.989224920827,   12
AT1G06850,    AT4G03810,            0.989027719976,   13
AT2G23320,    AT4G36470,            -0.988327070664,   14
AT1G32870,    AT5G51440,            0.988241023498,   15
AT2G23320,    AT5G60270,            0.987986122349,   16
AT1G28470,    AT2G29380,            0.987738389872,   17
AT1G69780,    AT5G02170,            -0.987412714864,   18
AT1G28160,    AT5G03020,            0.987400933474,   19
AT1G71450,    AT1G35200,            0.987248618591,   20
AT1G51700,    AT2G32190,            0.987239565604,   21
AT1G49480,    AT3G43990,            -0.987179058006,   22
AT1G06850,    AT5G09980,            0.987171782736,   23
AT2G27300,    AT3G55630,            0.98691465994,   24
AT1G65910,    AT2G22240,            -0.986765736431,   25
AT1G19000,    AT1G70130,            -0.986590104414,   26
AT1G34180,    AT1G61550,            0.98654635217,   27
AT2G30590,    AT1G72060,            -0.986513735589,   28
AT1G71450,    AT1G07180,            0.986353572654,   29
AT2G30250,    AT1G21850,            0.986324692037,   30
AT2G28810,    AT1G14180,            0.986069428709,   31
AT1G19210,    AT3G17690,            0.986035601564,   32
AT1G80840,    AT2G26190,            0.985881766618,   33
AT1G34180,    AT5G48530,            0.985875773239,   34
AT1G50640,    AT2G40170,            -0.985729595423,   35
AT1G49480,    AT1G43910,            -0.985631319195,   36
AT2G30250,    AT2G18660,            0.985507408306,   37
AT1G29280,    AT5G41890,            -0.985473018909,   38
AT1G13260,    AT5G37690,            -0.98544351719,   39
AT1G69570,    AT4G17990,            0.98535049107,   40
AT2G30250,    AT1G69550,            0.985281837757,   41
AT1G76890,    AT2G02130,            0.985119213199,   42
AT1G19210,    AT5G54170,            0.985109762393,   43
AT1G80840,    AT5G03390,            0.985026936154,   44
AT2G02450,    AT1G76250,            -0.98498631011,   45
AT2G23320,    AT5G64870,            0.984876429398,   46
AT2G28810,    AT3G20880,            0.984843609284,   47
AT2G22540,    AT5G18810,            0.984842273977,   48
AT2G30250,    AT2G37880,            0.984679750139,   49
AT2G27300,    AT2G31860,            0.984673771077,   50
AT1G32870,    AT2G19190,            0.984636684052,   51
AT1G71450,    AT1G31320,            -0.9846342708,   52
AT2G27300,    AT4G25810,            0.984584205428,   53
AT1G28470,    AT2G19990,            -0.984418318227,   54
AT1G79580,    AT3G28350,            0.984189438824,   55
AT1G22070,    AT4G12330,            -0.98417471848,   56
AT1G49560,    AT1G01750,            -0.984018357671,   57
AT1G49010,    AT3G28050,            0.983986757403,   58
AT1G19000,    AT5G39580,            -0.983925375735,   59
AT1G03840,    AT2G18120,            0.983908358317,   60
AT1G28470,    AT3G46230,            0.98384107863,   61
AT1G32870,    AT2G47520,            0.983815402621,   62
AT1G27730,    AT2G38750,            0.983813538374,   63
AT1G32870,    AT1G66090,            0.983790927108,   64
AT1G71450,    AT2G43100,            -0.983789130501,   65
AT1G19000,    AT2G24850,            -0.983769842817,   66
AT1G28470,    AT5G51680,            0.983564784645,   67
AT1G79580,    AT4G33710,            0.983398883522,   68
AT1G19210,    AT5G53050,            0.983320058244,   69
AT2G02070,    AT5G49360,            -0.983270335314,   70
AT2G30250,    AT1G71530,            0.983246285339,   71
AT1G19210,    AT3G11840,            0.983244100192,   72
AT1G28470,    AT3G48580,            0.983234414307,   73
AT1G71450,    AT5G16080,            0.983208119715,   74
AT1G28470,    AT2G16270,            -0.983130896624,   75
AT2G02820,    AT5G14990,            0.983107963613,   76
AT1G69780,    AT1G68510,            -0.983065342919,   77
AT1G06180,    AT3G23010,            -0.983017975405,   78
AT1G33240,    AT1G52880,            -0.982980899387,   79
AT1G49480,    AT5G51750,            0.982962714077,   80
AT2G30250,    AT3G54560,            -0.982953629413,   81
AT2G23320,    AT5G44910,            0.982734846608,   82
AT1G68200,    AT3G47340,            0.98272041557,   83
AT1G71450,    AT5G23010,            -0.982712176129,   84
AT1G25340,    AT5G07240,            -0.982585147948,   85
AT1G28470,    AT4G16150,            0.98257642792,   86
AT2G30590,    AT2G17120,            -0.982437057986,   87
AT1G08320,    AT3G21520,            0.982414025339,   88
AT1G49480,    AT4G31950,            -0.98230002676,   89
AT2G30590,    AT1G65500,            -0.982265009017,   90
AT1G71450,    AT1G21440,            -0.982141646368,   91
AT1G19000,    AT1G24140,            -0.982102555368,   92
AT1G19000,    AT5G57560,            -0.982071906392,   93
AT2G28810,    AT1G08430,            0.982070709374,   94
AT1G49010,    AT2G22760,            -0.982020400418,   95
AT2G23290,    AT1G79040,            -0.981944442244,   96
AT1G71450,    AT1G25510,            -0.981894821185,   97
AT1G62300,    AT4G37710,            0.981879767902,   98
AT1G49480,    AT4G26020,            -0.981834926304,   99
AT1G19000,    AT5G57500,            -0.981775985637,   100
AT1G06850,    AT1G32560,            0.981775380589,   101
AT1G12260,    AT3G24630,            -0.981654491441,   102
AT2G23320,    AT3G17700,            0.981603452463,   103
AT2G03500,    AT3G16330,            0.981563121889,   104
AT1G76420,    AT5G46330,            0.981521112712,   105
AT1G12610,    AT5G20230,            0.981431023099,   106
AT2G30250,    AT1G69790,            0.981429311992,   107
AT1G53910,    AT4G17460,            -0.981394732158,   108
AT2G02080,    AT2G15480,            -0.981342850363,   109
AT2G23320,    AT4G30280,            0.981315767863,   110
AT1G19000,    AT2G38790,            -0.981296177928,   111
AT1G80840,    AT5G64905,            0.981280397877,   112
AT1G19210,    AT3G23220,            0.98122771343,   113
AT1G52880,    AT4G05240,            0.981200323371,   114
AT2G22430,    AT2G32740,            -0.981104806703,   115
AT1G09540,    AT4G10410,            -0.981095793176,   116
AT1G80840,    AT5G28610,            0.981093381896,   117
AT1G71450,    AT3G08870,            0.981063369826,   118
AT2G30590,    AT3G55740,            -0.981058447005,   119
AT1G30650,    AT1G13080,            0.981044501964,   120
AT2G30250,    AT1G08560,            -0.981030582038,   121
AT2G23340,    AT2G21830,            0.981021091382,   122
AT2G23320,    AT4G28703,            0.980754207208,   123
AT1G52150,    AT1G22280,            -0.980643784367,   124
AT1G22810,    AT1G12610,            0.980628739485,   125
AT1G01720,    AT3G62720,            0.980621973772,   126
AT1G49010,    AT4G11020,            -0.980579223414,   127
AT2G30250,    AT1G50930,            0.980577892004,   128
AT1G01060,    AT5G67400,            0.980552764539,   129
AT2G30590,    AT1G23710,            -0.980551521651,   130
AT1G62300,    AT4G23190,            0.980520373357,   131
AT1G09540,    AT3G60390,            -0.980449018984,   132
AT2G20110,    AT2G07440,            -0.980441844287,   133
AT1G19210,    AT3G59080,            0.980356563002,   134
AT1G71450,    AT5G23020,            -0.980284121124,   135
AT2G20110,    AT2G14290,            0.980173324676,   136
AT1G01060,    AT4G02270,            0.980165168903,   137
