regulator,    target,    score,    rank
AT2G22430,    AT2G32740,            -0.628472307368,   1
AT2G22540,    AT5G18810,            0.592600634308,   2
AT2G22430,    AT3G08500,            -0.587732536928,   3
AT1G47655,    AT2G34890,            -0.539294419051,   4
AT1G18330,    AT4G19480,            0.536199303245,   5
AT1G28160,    AT5G03020,            0.518486675435,   6
AT1G14687,    AT1G47940,            0.500920259574,   7
AT1G19040,    AT3G48010,            0.489861402376,   8
AT2G22430,    AT5G59100,            -0.483171109113,   9
AT2G22430,    AT5G49260,            -0.481758825319,   10
AT1G77920,    AT5G61550,            -0.478076988512,   11
AT2G22430,    AT1G03890,            -0.475853313078,   12
AT1G34670,    AT3G05310,            -0.471641626286,   13
AT1G02250,    AT1G48940,            0.469431889254,   14
AT2G22430,    AT3G13890,            -0.463018508961,   15
AT2G22430,    AT1G03710,            -0.462143036226,   16
AT1G29160,    AT2G40670,            -0.443776259499,   17
AT2G01940,    AT3G45940,            0.433103165537,   18
AT1G03840,    AT2G18120,            0.432877112787,   19
AT1G19850,    AT2G27570,            0.426225153372,   20
AT1G74650,    AT1G63870,            0.419557577203,   21
AT1G77920,    AT1G18310,            -0.419021775251,   22
AT2G18060,    AT2G38900,            -0.418592847288,   23
AT2G22430,    AT1G43870,            -0.416155520505,   24
AT1G74650,    AT3G42240,            0.414897139645,   25
AT1G69570,    AT4G17990,            0.410849097644,   26
AT2G22430,    AT5G48350,            -0.410526910969,   27
AT1G47655,    AT4G04100,            0.408016786707,   28
AT1G75390,    AT4G10350,            0.396566609404,   29
AT2G22540,    AT2G03630,            -0.39536866693,   30
AT1G28160,    AT2G14630,            0.390113919995,   31
AT2G22430,    AT2G11540,            -0.38762032829,   32
AT2G18060,    AT3G01020,            -0.38725319675,   33
AT2G22430,    AT1G65110,            -0.384698155564,   34
AT2G01940,    AT5G65590,            -0.38234717283,   35
AT2G15740,    AT1G30795,            0.381938334076,   36
AT1G12630,    AT5G01680,            -0.381863433371,   37
AT1G79580,    AT4G33710,            0.381176549109,   38
AT1G47655,    AT5G45570,            0.380968876368,   39
AT1G72740,    AT4G13790,            0.380174605523,   40
AT1G02250,    AT1G33817,            0.377120120271,   41
AT1G28160,    AT2G14020,            0.371018781529,   42
AT2G22430,    AT2G14410,            -0.365790400687,   43
AT2G22430,    AT5G50590,            -0.364058923412,   44
AT2G22430,    AT5G18430,            -0.364031523903,   45
AT1G02250,    AT1G09410,            -0.363558296508,   46
AT1G29160,    AT3G15170,            -0.359202162582,   47
AT2G22430,    AT3G04290,            -0.358613517611,   48
AT2G22430,    AT3G21830,            -0.357952560185,   49
AT1G74650,    AT2G34360,            0.355493482951,   50
AT1G47655,    AT1G35380,            -0.355339344567,   51
AT2G18060,    AT3G06360,            -0.34935900085,   52
AT1G28160,    AT2G32570,            0.342711479079,   53
AT2G02080,    AT3G43100,            -0.342610104488,   54
AT1G28160,    AT2G37910,            0.342451357672,   55
AT1G75390,    AT2G43870,            0.342223131824,   56
AT1G75390,    AT5G35510,            0.342099299962,   57
AT1G47655,    AT2G05370,            0.340705646159,   58
AT1G53230,    AT2G27750,            -0.339858445459,   59
AT1G34670,    AT4G04830,            -0.339555625926,   60
AT1G28160,    AT3G58300,            0.338905867274,   61
AT2G22430,    AT2G34580,            -0.33412836128,   62
AT1G47655,    AT2G23510,            0.33205671678,   63
AT2G03340,    AT1G23600,            0.33039241753,   64
AT2G01940,    AT5G53520,            0.328843210649,   65
AT2G03340,    AT1G49030,            -0.3273606996,   66
AT1G28160,    AT3G49020,            0.322425948196,   67
AT2G22430,    AT5G38580,            -0.31909073334,   68
AT1G34670,    AT3G57920,            -0.317677541037,   69
AT1G28160,    AT2G32780,            0.316373015552,   70
AT2G22430,    AT3G44580,            -0.314431022446,   71
AT1G34670,    AT1G18550,            -0.313507163832,   72
AT1G51140,    AT2G35700,            0.313307391204,   73
AT1G19040,    AT4G15700,            0.312087778117,   74
AT1G19040,    AT5G42120,            0.310579027956,   75
AT1G74650,    AT2G30925,            0.308869736877,   76
