regulator,    target,    score,    rank
AT1G80840,    AT5G04340,            0.995304009403,   1
AT1G49480,    AT5G57530,            -0.995162722297,   2
AT1G80840,    AT1G66160,            0.994291659037,   3
AT1G01060,    AT3G46970,            -0.992880334993,   4
AT1G01060,    AT3G50500,            -0.992217569919,   5
AT1G29160,    AT3G06160,            0.991547933792,   6
AT1G01060,    AT4G09020,            -0.991085911739,   7
AT1G01060,    AT2G26510,            -0.990494253554,   8
AT1G01060,    AT3G05880,            -0.990476334436,   9
AT1G74840,    AT5G06570,            0.989570233891,   10
AT1G01060,    AT2G28900,            -0.989409084199,   11
AT1G30210,    AT5G64860,            0.989316276194,   12
AT1G80840,    AT1G65390,            0.988996379272,   13
AT1G68320,    AT1G52710,            -0.988769407179,   14
AT1G01060,    AT4G30650,            -0.988669060021,   15
AT1G01060,    AT1G65870,            0.988067443888,   16
AT2G28810,    AT4G23600,            0.987667435249,   17
AT1G01060,    AT4G26670,            -0.987467121656,   18
AT1G01060,    AT5G67480,            -0.987110396131,   19
AT1G64620,    AT2G24540,            0.98690226482,   20
AT1G06850,    AT3G47160,            -0.986412347085,   21
AT1G53170,    AT3G53600,            0.986003485317,   22
AT1G30210,    AT1G01060,            -0.985937401435,   23
AT1G01060,    AT3G52180,            -0.985783892266,   24
AT1G01060,    AT4G05330,            -0.985648703376,   25
AT2G22430,    AT5G16900,            0.985472689857,   26
AT1G80840,    AT2G41640,            0.985381721258,   27
AT1G69490,    AT3G12320,            0.985171827334,   28
AT1G51700,    AT2G28720,            -0.985084556327,   29
AT1G01060,    AT2G25930,            -0.984965335541,   30
AT1G22070,    AT5G24470,            0.984738630694,   31
AT2G03340,    AT4G17120,            0.984708487203,   32
AT1G64620,    AT1G32900,            0.984299039362,   33
AT1G06850,    AT5G08520,            -0.984137182574,   34
AT1G01060,    AT1G27630,            -0.983974284897,   35
AT1G64620,    AT3G47420,            0.983965434954,   36
AT1G06850,    AT1G08550,            -0.983766876035,   37
AT1G18330,    AT1G71030,            0.983735029861,   38
AT1G01060,    AT5G06690,            -0.983610687882,   39
AT1G69780,    AT4G24020,            0.98359772637,   40
AT1G51700,    AT2G25590,            -0.983039340659,   41
AT1G64620,    AT4G16820,            0.982977298599,   42
AT1G28370,    AT2G33580,            0.982975561968,   43
AT1G27730,    AT1G19380,            0.98296227284,   44
AT1G06850,    AT1G06460,            -0.982932109934,   45
AT1G69780,    AT2G36050,            0.982700172236,   46
AT1G28370,    AT5G63130,            0.981730991513,   47
AT2G31230,    AT2G42940,            -0.981581302762,   48
AT1G64620,    AT1G48210,            -0.981347907298,   49
AT1G18330,    AT4G36040,            0.980930071784,   50
AT1G01720,    AT2G32140,            0.980780161529,   51
AT1G13450,    AT4G27657,            -0.980519572216,   52
AT1G01060,    AT5G03240,            -0.980503057906,   53
AT1G18330,    AT5G42250,            0.980467263227,   54
AT1G77920,    AT3G18560,            -0.980311027964,   55
AT1G01060,    AT4G04330,            -0.980253444857,   56
AT1G53170,    AT4G33905,            0.980020323253,   57
AT1G80840,    AT1G23710,            0.979923124939,   58
AT1G30210,    AT3G10410,            0.979890309128,   59
AT1G53170,    AT1G42990,            0.979689970608,   60
AT1G01060,    AT1G56300,            -0.979456490262,   61
