regulator,    target,    score,    rank
AT1G29280,    AT2G30400,            0.59155415293,   1
AT1G79580,    AT3G25440,            -0.576042752845,   2
AT1G51140,    AT2G36090,            0.56357327273,   3
AT1G79580,    AT2G14410,            0.562257326028,   4
AT1G51140,    AT2G17170,            -0.555561180195,   5
AT1G29280,    AT5G05440,            -0.538982004742,   6
AT2G28810,    AT4G23600,            0.531742632308,   7
AT1G51140,    AT3G60560,            -0.528776866521,   8
AT1G74480,    AT4G01080,            -0.527743818853,   9
AT1G22810,    AT4G15350,            0.527303685794,   10
AT1G22810,    AT2G38890,            0.519778784792,   11
AT1G69180,    AT5G60310,            0.511727434833,   12
AT1G63030,    AT5G52680,            0.507628587283,   13
AT1G29280,    AT1G68850,            0.501204892348,   14
AT1G47655,    AT2G16980,            0.496176827235,   15
AT1G13260,    AT3G57920,            -0.491586460732,   16
AT1G69180,    AT4G03170,            -0.477234024042,   17
AT1G47655,    AT4G14770,            -0.475417901463,   18
AT2G28810,    AT1G66940,            -0.473523782353,   19
AT1G70920,    AT3G11480,            -0.472024225498,   20
AT1G63030,    AT2G11540,            0.465549817776,   21
AT1G09540,    AT2G16410,            0.463968415197,   22
AT2G18060,    AT4G08740,            -0.462693022483,   23
AT1G79580,    AT1G22110,            -0.462229545648,   24
AT1G74650,    AT3G13810,            0.459464941324,   25
AT1G19000,    AT1G17615,            0.457483750265,   26
AT1G69180,    AT4G09110,            0.453510882804,   27
AT1G28470,    AT3G23450,            -0.45159720686,   28
AT1G74480,    AT4G09080,            0.450044069869,   29
AT2G31230,    AT2G42940,            -0.447710238304,   30
AT2G30590,    AT3G49380,            -0.445051420995,   31
AT1G74480,    AT3G11380,            0.445000784769,   32
AT1G20980,    AT5G38195,            -0.443696957146,   33
AT1G13260,    AT2G27750,            0.442214379659,   34
AT1G20980,    AT2G42140,            -0.439283316256,   35
AT1G19850,    AT1G76640,            0.437121546755,   36
AT1G51140,    AT5G23960,            0.435659121256,   37
AT1G25550,    AT1G68880,            -0.434230441585,   38
AT1G79580,    AT1G70650,            -0.433701092532,   39
AT1G74650,    AT1G14930,            -0.432373088056,   40
AT2G28810,    AT1G06640,            0.432284891395,   41
AT1G69180,    AT3G11980,            0.431882495397,   42
AT1G74650,    AT5G24540,            0.430662454417,   43
AT1G32870,    AT5G33240,            0.430608309701,   44
AT1G70920,    AT5G48000,            -0.429656581516,   45
AT2G01930,    AT3G17790,            -0.428314930578,   46
AT2G18350,    AT2G24000,            -0.425965572994,   47
AT1G22810,    AT1G54720,            0.424441785947,   48
AT1G74480,    AT5G35240,            0.419964829734,   49
AT1G30650,    AT5G07150,            0.41785686081,   50
AT2G04038,    AT5G31017,            -0.417257335928,   51
AT2G28810,    AT5G09530,            0.416202501447,   52
AT2G28810,    AT5G07010,            0.414612743852,   53
AT1G25550,    AT4G25820,            -0.410304067756,   54
AT1G49480,    AT5G57530,            -0.409663417201,   55
AT2G28810,    AT1G04040,            -0.408392686716,   56
AT1G16490,    AT4G01110,            -0.407550264737,   57
AT2G22430,    AT4G09860,            -0.407269561359,   58
AT1G77200,    AT4G25410,            -0.402822579266,   59
AT2G20400,    AT3G54630,            -0.402499586472,   60
AT2G28810,    AT5G57840,            0.402311544809,   61
AT1G29280,    AT5G56490,            0.402154404771,   62
AT1G29280,    AT2G01460,            0.401813688558,   63
AT1G08320,    AT2G28755,            -0.400960177464,   64
AT1G29280,    AT4G12330,            0.400647738471,   65
AT1G78700,    AT5G43120,            0.400591796255,   66
AT1G16490,    AT1G66960,            0.392967117618,   67
AT2G28810,    AT5G26260,            0.390755609005,   68
AT2G04038,    AT2G06500,            -0.390579455648,   69
AT1G29280,    AT5G25830,            0.389460517713,   70
AT1G29280,    AT3G29190,            0.38769155389,   71
AT2G23290,    AT1G21250,            -0.383743011429,   72
AT1G29860,    AT3G30220,            0.383410901095,   73
AT2G02820,    AT5G27020,            -0.382335608721,   74
AT2G01930,    AT3G15450,            0.38209550413,   75
AT1G19850,    AT5G49690,            0.38131553445,   76
AT1G25550,    AT4G38080,            -0.379275874843,   77
AT1G13450,    AT3G20770,            0.378471499424,   78
AT2G20400,    AT3G48370,            0.377863137123,   79
AT1G09540,    AT2G26790,            -0.377495797926,   80
AT1G65910,    AT2G31725,            0.376841078822,   81
AT1G22810,    AT3G51200,            0.375972330956,   82
AT1G20980,    AT3G02240,            -0.373441702441,   83
AT1G28160,    AT2G05450,            0.373111577632,   84
AT1G01060,    AT4G30660,            -0.372327693752,   85
AT1G29280,    AT5G06510,            0.372220714902,   86
AT2G06200,    AT5G49870,            0.371962312336,   87
AT1G29860,    AT4G15060,            0.371622832594,   88
AT1G19850,    AT2G39370,            0.371163000565,   89
AT2G04038,    AT2G36710,            -0.370072072574,   90
AT1G68200,    AT4G07840,            0.368824941528,   91
AT2G28810,    AT5G02940,            0.368680570905,   92
AT1G29860,    AT5G51520,            0.366901624894,   93
AT1G74480,    AT1G36756,            -0.365963332885,   94
AT2G30590,    AT5G26270,            -0.364327561448,   95
AT2G02450,    AT4G26460,            -0.364039215562,   96
AT1G75390,    AT2G10450,            -0.363896724184,   97
AT2G20400,    AT1G67790,            0.363538274161,   98
AT1G34180,    AT1G28430,            -0.361563282755,   99
AT1G25550,    AT1G34660,            0.360528319611,   100
AT1G54330,    AT2G29750,            0.360324619152,   101
AT2G02070,    AT3G46390,            -0.359789555411,   102
AT1G29280,    AT4G36370,            -0.359637877083,   103
AT1G13450,    AT5G57550,            0.359479764965,   104
AT2G30250,    AT5G03720,            0.357374752143,   105
AT1G79580,    AT4G03100,            -0.357364350247,   106
AT1G34370,    AT1G27380,            0.356222486011,   107
AT1G34370,    AT1G57570,            0.355553098791,   108
AT1G47655,    AT4G10220,            0.355292661119,   109
AT1G28160,    AT1G66800,            0.354327145352,   110
AT1G29280,    AT4G02280,            0.352236348962,   111
AT1G51140,    AT3G45690,            0.351982232555,   112
AT1G79580,    AT4G03690,            0.351813717869,   113
AT1G34670,    AT2G05820,            -0.351637790635,   114
AT1G20980,    AT4G32220,            -0.351542393841,   115
AT1G22070,    AT1G75870,            -0.351542189229,   116
AT2G28810,    AT4G24350,            0.351330925251,   117
AT2G02450,    AT3G62640,            0.350727718033,   118
AT1G74480,    AT5G38330,            0.349977238186,   119
AT1G53910,    AT1G62170,            -0.349615717818,   120
AT1G43160,    AT2G36890,            -0.348999417398,   121
AT1G14687,    AT1G48670,            -0.348340913783,   122
AT1G25550,    AT1G19630,            -0.348264743358,   123
AT2G30590,    AT5G55010,            -0.347796190875,   124
AT1G54330,    AT2G03720,            -0.347615382822,   125
AT2G30250,    AT1G07590,            0.347578516773,   126
AT1G34370,    AT1G68570,            -0.346224543092,   127
AT1G19850,    AT1G17390,            0.345991702978,   128
AT1G14687,    AT4G21323,            -0.345327513022,   129
AT1G08320,    AT5G27170,            0.344898701813,   130
AT1G79580,    AT4G26930,            0.34397844926,   131
AT1G70920,    AT1G24070,            -0.343701503104,   132
AT2G18350,    AT5G52390,            -0.342988905156,   133
AT1G49010,    AT2G38250,            -0.342974741579,   134
AT2G28810,    AT3G56070,            -0.3429202798,   135
AT1G09540,    AT1G03170,            0.342596855865,   136
AT1G29160,    AT3G06160,            0.341999549554,   137
AT1G69010,    AT3G05930,            0.341763015161,   138
AT1G34670,    AT2G11650,            0.341739010934,   139
AT1G51140,    AT5G34840,            0.341699115889,   140
AT1G75390,    AT5G24240,            -0.341056487738,   141
AT2G18350,    AT2G19630,            -0.340256312111,   142
AT1G36060,    AT3G03840,            0.340171385546,   143
AT2G18350,    AT4G10250,            0.340074560815,   144
AT1G25550,    AT5G61260,            -0.339854977876,   145
AT1G75390,    AT1G74590,            -0.339837011834,   146
AT2G28810,    AT3G09930,            -0.339756601357,   147
AT2G18550,    AT4G10240,            -0.339547971205,   148
AT1G25550,    AT1G74460,            -0.339454197443,   149
AT1G76880,    AT1G36095,            0.339344053188,   150
AT1G22810,    AT2G05080,            0.338991544735,   151
AT1G13450,    AT5G49480,            -0.337974193991,   152
AT1G19000,    AT5G13180,            0.337868967571,   153
AT2G30590,    AT3G59830,            -0.337465324272,   154
AT2G02070,    AT3G09130,            -0.336904716014,   155
AT1G47655,    AT5G47150,            0.336855344145,   156
AT1G54330,    AT3G47950,            0.336738207155,   157
AT1G28160,    AT1G02830,            0.336565749679,   158
AT2G22430,    AT5G26870,            0.336545461221,   159
AT1G34670,    AT1G20520,            0.336481009914,   160
AT1G49010,    AT2G26150,            -0.336164659652,   161
AT2G01930,    AT3G31300,            -0.336152197623,   162
AT1G79580,    AT5G28820,            -0.335851511935,   163
AT1G68200,    AT1G35040,            0.334324841352,   164
AT1G68200,    AT2G10690,            -0.333965798132,   165
AT1G69010,    AT3G02040,            -0.333331758809,   166
AT1G75390,    AT3G53060,            0.331661829801,   167
AT2G23290,    AT2G28085,            -0.331084097126,   168
AT2G04038,    AT4G39610,            -0.33066488707,   169
AT2G20400,    AT1G63590,            0.329956920128,   170
AT1G28470,    AT3G62380,            0.329440558979,   171
AT1G22810,    AT5G35710,            0.328873934374,   172
AT1G47655,    AT2G45380,            0.328800466398,   173
AT1G02250,    AT1G04500,            -0.328261045498,   174
AT1G19850,    AT2G22070,            -0.327642745428,   175
AT2G18060,    AT1G62320,            0.327268070723,   176
AT2G01060,    AT1G75520,            -0.326614924823,   177
AT1G30650,    AT3G19550,            0.325278647922,   178
AT2G02450,    AT5G50940,            -0.324347413539,   179
AT1G76420,    AT5G60530,            0.323013865215,   180
AT1G20980,    AT2G03130,            -0.322868573622,   181
AT1G13450,    AT5G54080,            0.322072370049,   182
AT1G13450,    AT3G45300,            0.321949969577,   183
AT1G13450,    AT3G48530,            0.320944502671,   184
AT2G28810,    AT1G31550,            0.320335209603,   185
AT1G09540,    AT2G19890,            0.320296219142,   186
AT1G49560,    AT1G28050,            0.320055055036,   187
AT1G18330,    AT4G36040,            0.319407259318,   188
AT1G30650,    AT2G35730,            -0.318859119236,   189
AT1G22070,    AT5G24470,            0.318742148866,   190
AT1G13450,    AT1G79400,            -0.318607109836,   191
AT2G18060,    AT1G56080,            -0.31849085023,   192
AT2G30250,    AT2G27310,            0.318461493804,   193
AT1G22070,    AT2G45800,            -0.317060084411,   194
AT1G47655,    AT5G35940,            -0.31703776115,   195
AT1G69180,    AT2G24400,            0.316372521738,   196
AT1G55110,    AT5G37610,            0.316096219263,   197
AT1G69690,    AT3G53200,            0.315704503084,   198
AT2G18380,    AT3G42300,            0.315329092903,   199
AT1G59640,    AT2G14030,            0.31397214701,   200
AT1G19850,    AT3G04980,            -0.313393103229,   201
AT1G79580,    AT1G07850,            -0.313378191259,   202
AT1G02250,    AT5G37450,            0.312579504406,   203
AT1G34670,    AT5G55020,            0.312245676033,   204
AT1G79180,    AT1G44254,            -0.312244037757,   205
AT2G02820,    AT4G05280,            -0.312194221949,   206
AT1G29280,    AT1G14750,            0.311938345118,   207
AT2G20400,    AT1G23250,            0.311923942874,   208
AT1G65910,    AT5G09780,            0.311887448781,   209
AT2G01930,    AT3G30270,            0.311725259631,   210
AT2G18060,    AT2G05880,            0.311548229155,   211
AT1G68200,    AT2G31770,            0.311210770314,   212
AT1G13450,    AT5G07700,            0.311167146095,   213
AT1G30650,    AT3G14280,            0.310507920148,   214
AT1G70920,    AT5G49750,            0.3099424334,   215
AT1G59640,    AT3G44460,            0.308392739055,   216
AT2G22430,    AT3G32250,            -0.308092303822,   217
AT1G65910,    AT5G17480,            0.307012545921,   218
AT1G63030,    AT2G46850,            0.306932678,   219
AT2G15740,    AT5G46660,            0.306770276894,   220
AT2G22540,    AT4G28500,            0.306421140563,   221
AT2G02820,    AT2G03520,            -0.306225875699,   222
AT1G69010,    AT3G60270,            0.305573435129,   223
AT1G22810,    AT5G17460,            -0.30538962107,   224
AT2G18550,    AT1G69320,            0.304694897382,   225
AT1G19850,    AT1G16760,            0.304370959456,   226
AT1G28160,    AT4G08440,            0.304285473048,   227
AT1G29860,    AT2G07520,            0.304079305351,   228
AT1G77200,    AT2G31850,            0.30374486238,   229
AT2G27300,    AT2G12940,            -0.303685910598,   230
AT2G30590,    AT5G11220,            -0.303533268896,   231
AT1G62300,    AT1G09970,            0.303355123873,   232
AT1G68670,    AT5G57345,            0.303195217507,   233
AT2G27300,    AT1G01110,            -0.302963501982,   234
AT1G76880,    AT3G43970,            0.302467479361,   235
AT1G29280,    AT1G03880,            -0.30243712764,   236
AT1G19850,    AT5G08480,            0.30228975351,   237
AT2G18380,    AT1G67623,            0.301875295745,   238
AT1G76420,    AT5G14750,            0.301621194997,   239
AT1G14687,    AT2G17890,            -0.301597569924,   240
AT1G32870,    AT2G07280,            -0.300289611498,   241
AT2G23290,    AT4G17460,            0.29977483671,   242
AT1G34670,    AT3G25165,            0.299512572489,   243
AT1G69180,    AT2G44590,            0.299322760669,   244
AT2G02080,    AT1G56520,            -0.299074792605,   245
AT1G08320,    ATMG01060,            0.298721988689,   246
AT2G01060,    AT1G13680,            0.298666523767,   247
AT1G20980,    AT3G20950,            -0.298485422322,   248
AT1G74480,    AT3G26190,            0.298298782358,   249
AT1G74650,    AT2G37140,            -0.298164163803,   250
AT1G19210,    AT1G11970,            0.29815780363,   251
AT1G22810,    AT5G35510,            0.297878321565,   252
AT2G01930,    AT3G10150,            -0.29786092783,   253
AT2G18380,    AT1G72670,            -0.297696001085,   254
AT1G63030,    AT5G06540,            -0.297692078168,   255
AT1G19850,    AT2G43990,            -0.296935745963,   256
AT1G54330,    AT5G37960,            0.296327100079,   257
AT1G02250,    AT1G52070,            -0.296255001706,   258
AT1G69180,    AT3G32060,            -0.296031807033,   259
AT2G02820,    AT5G18880,            -0.295888828111,   260
AT1G14687,    AT1G78360,            -0.295379037034,   261
AT1G34370,    AT4G37260,            0.295323289586,   262
AT2G18350,    AT2G46040,            -0.294536159239,   263
AT1G77200,    AT2G29740,            0.294385022152,   264
AT1G62300,    AT1G23910,            0.293758681066,   265
AT1G18330,    AT5G42250,            0.293515019835,   266
AT1G29280,    AT2G24080,            0.293485548375,   267
AT2G02820,    AT1G21300,            -0.293102714492,   268
AT1G43700,    AT3G32150,            0.292950547191,   269
AT2G22430,    AT5G64905,            0.292309282194,   270
AT2G24430,    AT1G74540,            0.292305436942,   271
AT1G76880,    AT2G36610,            -0.292278074212,   272
AT1G08320,    AT5G35660,            -0.291997188097,   273
AT1G76890,    AT2G30830,            -0.291696662897,   274
AT1G28370,    AT1G53325,            0.291170237483,   275
AT1G30650,    AT4G22530,            0.291141320021,   276
AT2G27300,    AT3G16040,            0.290747358445,   277
AT1G59640,    AT1G78090,            -0.290697154888,   278
AT1G29860,    AT1G74500,            -0.290391043919,   279
AT1G02250,    AT4G10350,            0.290081143708,   280
AT1G79580,    AT5G03350,            0.289728670239,   281
AT1G53910,    AT1G75430,            -0.289625737573,   282
AT2G30590,    AT5G12450,            -0.28780966943,   283
AT1G29280,    AT3G47770,            0.287770113515,   284
AT1G19850,    AT1G30080,            0.287343053328,   285
AT1G51140,    AT4G21050,            0.28719054735,   286
AT1G29860,    AT2G43380,            0.287037504669,   287
AT2G28810,    AT4G22510,            0.286726816118,   288
AT1G34370,    AT1G61830,            -0.286065702041,   289
AT1G08320,    AT3G30800,            0.285788651287,   290
AT1G09540,    AT4G26380,            0.285738766513,   291
