regulator,    target,    score,    rank
AT1G49480,    AT3G10030,            0.994286314326,   1
AT1G80840,    AT5G44010,            -0.993503046903,   2
AT2G18380,    AT2G42340,            -0.991010413527,   3
AT1G28370,    AT1G28480,            0.990990477885,   4
AT2G20110,    AT5G06570,            0.990559888665,   5
AT2G01060,    AT4G00416,            0.990319848501,   6
AT2G18380,    AT1G10770,            -0.989755325338,   7
AT1G29280,    AT5G19700,            0.989347112953,   8
AT2G23340,    AT2G17050,            0.989208101376,   9
AT1G28470,    AT5G24380,            0.988773270674,   10
AT1G29280,    AT2G02550,            -0.98866009838,   11
AT1G13260,    AT1G09090,            0.988337357291,   12
AT1G20910,    AT5G56110,            0.98804838008,   13
AT2G01930,    AT3G12250,            0.987655161444,   14
AT2G18060,    AT4G00480,            -0.987626270085,   15
AT2G01940,    AT5G66430,            -0.98746643607,   16
AT2G01060,    AT1G69880,            0.986956908494,   17
AT1G28470,    AT4G01730,            -0.986649169807,   18
AT1G28470,    AT3G55130,            0.986506284189,   19
AT1G28470,    AT1G17910,            0.986431586555,   20
AT1G18330,    AT3G23880,            0.986109129762,   21
AT1G53230,    AT1G80440,            -0.985732303496,   22
AT1G33240,    AT4G34590,            -0.98561161749,   23
AT1G28370,    AT5G09470,            -0.985479056516,   24
AT2G01060,    AT2G47780,            0.985452695812,   25
AT1G32870,    AT4G34950,            0.984585047922,   26
AT1G68670,    AT1G48660,            -0.984204785988,   27
AT2G22430,    AT1G03170,            0.984102770557,   28
AT1G28470,    AT5G16570,            0.984094468321,   29
AT1G30490,    AT2G02990,            0.984070405793,   30
AT1G80840,    AT3G54420,            -0.983973073792,   31
AT1G27730,    AT1G64130,            -0.983711633852,   32
AT1G28470,    AT4G02800,            -0.983686217672,   33
AT1G49480,    AT1G32030,            0.983505508379,   34
AT1G28370,    AT2G45460,            -0.983468116428,   35
AT1G79580,    AT2G36610,            -0.983277945142,   36
AT1G28470,    AT3G06210,            0.983202489946,   37
AT2G23340,    AT2G37390,            -0.982925217696,   38
AT1G28470,    AT1G23790,            -0.982779681956,   39
AT2G06200,    AT1G08830,            0.982710053426,   40
AT1G64620,    AT1G30950,            0.982684903881,   41
AT1G69780,    AT5G19340,            -0.982633790478,   42
AT1G27730,    AT3G51810,            0.98258880844,   43
AT1G77200,    AT4G01430,            -0.982577410596,   44
AT1G28470,    AT2G26760,            -0.982565839196,   45
AT1G28370,    AT1G72450,            0.982516585753,   46
AT1G77200,    AT2G14020,            -0.982220272612,   47
AT1G49480,    AT3G42830,            0.982166941957,   48
