regulator,    target,    score,    rank
AT1G80840,    AT5G44010,            -0.996960541998,   1
AT1G49480,    AT3G10030,            0.996828211695,   2
AT1G28370,    AT1G28480,            0.994805049839,   3
AT2G18380,    AT2G42340,            -0.9942802428,   4
AT2G01060,    AT4G00416,            0.994177551159,   5
AT2G20110,    AT5G06570,            0.993875459183,   6
AT2G18380,    AT1G10770,            -0.993762423562,   7
AT1G29280,    AT2G02550,            -0.993065192961,   8
AT1G29280,    AT5G19700,            0.992859229229,   9
AT2G23340,    AT2G17050,            0.992642122227,   10
AT1G13260,    AT1G09090,            0.992099914158,   11
AT1G20910,    AT5G56110,            0.992059527817,   12
AT1G28470,    AT5G24380,            0.991875137044,   13
AT2G01930,    AT3G12250,            0.991723460785,   14
AT2G01940,    AT5G66430,            -0.991603497287,   15
AT2G18060,    AT4G00480,            -0.991154979354,   16
AT1G18330,    AT3G23880,            0.990903928197,   17
AT2G01060,    AT1G69880,            0.990564944252,   18
AT1G28470,    AT4G01730,            -0.990491755887,   19
AT1G28470,    AT1G17910,            0.99031078618,   20
AT1G28470,    AT3G55130,            0.990118477461,   21
AT1G53230,    AT1G80440,            -0.989936352481,   22
AT2G01060,    AT2G47780,            0.989673001854,   23
AT1G33240,    AT4G34590,            -0.989601757913,   24
AT1G28370,    AT5G09470,            -0.989477414154,   25
AT1G68670,    AT1G48660,            -0.98924184029,   26
AT1G80840,    AT3G54420,            -0.98864229746,   27
AT1G30490,    AT2G02990,            0.988483906357,   28
AT1G28470,    AT5G16570,            0.988329214293,   29
AT1G32870,    AT4G34950,            0.988199192213,   30
AT2G22430,    AT1G03170,            0.98807191495,   31
AT1G27730,    AT1G64130,            -0.988053067987,   32
AT1G49480,    AT1G32030,            0.987882039863,   33
AT1G28470,    AT4G02800,            -0.987829002079,   34
AT1G28470,    AT1G23790,            -0.98776163503,   35
AT1G28470,    AT3G06210,            0.987647646233,   36
AT1G79580,    AT2G36610,            -0.98751157228,   37
AT1G28370,    AT1G72450,            0.987493381011,   38
AT1G77200,    AT4G01430,            -0.987457014506,   39
AT1G28370,    AT2G45460,            -0.987415299807,   40
AT1G27730,    AT3G51810,            0.987257421363,   41
AT1G64620,    AT1G30950,            0.987225926594,   42
AT1G69780,    AT5G19340,            -0.987194447106,   43
AT1G28470,    AT2G26760,            -0.987126840966,   44
AT2G06200,    AT1G08830,            0.986992449685,   45
AT1G49480,    AT3G42830,            0.986980698796,   46
AT2G23340,    AT2G37390,            -0.986973699404,   47
AT1G77200,    AT2G14020,            -0.986923616048,   48
AT1G51700,    AT1G13600,            0.986729144439,   49
AT1G06850,    AT3G62010,            -0.986178582089,   50
AT1G80840,    AT1G17360,            -0.985964871233,   51
AT2G18550,    AT1G13700,            -0.985746014398,   52
AT1G49560,    AT3G47420,            0.985444580814,   53
AT1G28470,    AT3G48770,            0.985443347965,   54
AT2G30250,    AT5G25810,            0.985315339339,   55
AT1G28470,    AT2G17620,            -0.985271438328,   56
