regulator,    target,    score,    rank
AT1G16490,    AT5G66370,            -0.52490650036,   1
AT1G53910,    AT4G35700,            -0.523024642793,   2
AT1G52150,    AT4G23200,            0.493428907875,   3
AT1G09540,    AT2G20880,            0.49110346774,   4
AT1G69010,    AT5G47330,            -0.460807881043,   5
AT2G30340,    AT2G36630,            0.457682826528,   6
AT1G69180,    AT5G04120,            -0.442543314838,   7
AT1G52150,    AT2G36750,            -0.43707127714,   8
AT1G52150,    AT4G15190,            0.429602702432,   9
AT1G27730,    AT1G64130,            -0.421491536749,   10
AT1G68200,    AT4G03640,            0.420487973659,   11
AT1G14687,    AT3G30650,            0.41845812638,   12
AT2G18380,    AT2G42340,            -0.414489155675,   13
AT2G15740,    AT2G04570,            0.412977252162,   14
AT1G53910,    AT4G27580,            0.407859991307,   15
AT1G68200,    AT1G26410,            0.407797780312,   16
AT1G79580,    AT2G16660,            -0.406888005249,   17
AT2G28810,    AT3G29070,            -0.40502397529,   18
AT1G55110,    AT1G04645,            -0.400461516298,   19
AT1G55110,    AT1G56100,            -0.399151369455,   20
AT1G74480,    AT2G18490,            0.397030319111,   21
AT1G19210,    AT2G31780,            0.390184916787,   22
AT2G23290,    AT1G34100,            -0.388369867622,   23
AT1G16490,    AT3G12840,            -0.382246686344,   24
AT1G19210,    AT5G40420,            -0.379262295389,   25
AT1G55110,    AT5G05150,            -0.376930784951,   26
AT1G68320,    AT3G29800,            -0.374887475457,   27
AT1G69010,    AT2G07738,            -0.373943751164,   28
AT1G69010,    ATMG00720,            -0.372418796822,   29
AT1G78700,    AT4G16160,            0.372338594181,   30
AT1G06180,    AT2G26720,            -0.370452118605,   31
AT1G52150,    AT5G17340,            0.369562499846,   32
AT1G79580,    AT2G36610,            -0.369438221028,   33
AT1G62300,    AT2G47910,            0.366054458276,   34
AT1G54330,    AT1G57650,            -0.36599247764,   35
AT1G14687,    AT2G01500,            -0.363870576379,   36
AT1G49010,    AT5G62110,            0.362299274713,   37
AT1G55110,    AT2G15420,            -0.359467763353,   38
AT1G63030,    AT4G16980,            -0.358239364971,   39
AT1G63030,    AT4G05300,            0.358009257422,   40
AT1G75240,    AT4G08970,            0.357953219529,   41
AT1G16490,    AT1G14420,            0.353960123732,   42
AT1G16490,    AT2G37450,            0.352918598936,   43
AT2G20110,    AT5G06570,            0.352829697242,   44
AT1G51700,    AT3G22830,            -0.352727395821,   45
