regulator,    target,    score,    rank
AT1G51140,    AT4G18510,            -0.995976311845,   1
AT1G64620,    AT1G78570,            0.995848013104,   2
AT1G22070,    AT1G80480,            0.993516962856,   3
AT1G64620,    AT5G08330,            -0.993151128431,   4
AT1G49010,    AT3G05130,            -0.993029171488,   5
AT1G18330,    AT2G34140,            -0.992235281213,   6
AT1G52150,    AT3G45940,            0.992049624946,   7
AT1G13260,    AT3G59940,            0.990838941764,   8
AT1G77920,    AT1G59660,            0.990767466657,   9
AT1G43160,    AT3G29500,            0.990387808341,   10
AT1G01060,    AT3G58570,            -0.98984353214,   11
AT1G13260,    AT1G26800,            0.98978678955,   12
AT2G04038,    AT1G68510,            0.989651305484,   13
AT1G22070,    AT1G20020,            0.989461687894,   14
AT2G31230,    AT5G38500,            0.989433756995,   15
AT1G29160,    AT5G57345,            -0.98941922771,   16
AT1G64620,    AT3G09640,            0.989331120225,   17
AT1G19850,    AT1G66430,            -0.989294824584,   18
AT2G30250,    AT3G45730,            0.989239606266,   19
AT1G01060,    AT2G28900,            -0.989197182639,   20
AT2G30250,    AT5G15540,            0.989182653181,   21
AT2G22430,    AT2G15600,            -0.988974876246,   22
AT1G01060,    AT4G09020,            -0.988925525695,   23
AT1G68550,    AT3G12130,            0.987695605159,   24
AT1G12630,    AT4G23080,            0.987545835997,   25
AT2G18550,    AT1G33770,            0.98754082282,   26
AT1G76420,    AT4G36410,            -0.987328372381,   27
AT1G47655,    AT1G77405,            0.987269687556,   28
AT2G01060,    AT2G34440,            0.987055951511,   29
AT2G30250,    AT1G49980,            0.986887199504,   30
AT2G30590,    AT1G16130,            0.986708632166,   31
AT1G33240,    AT4G27450,            0.986474322247,   32
AT1G19850,    AT1G34760,            0.986431326377,   33
AT2G02080,    AT4G23600,            -0.986352136996,   34
AT1G09540,    AT3G59080,            0.98633781103,   35
AT1G01060,    AT3G47860,            -0.986272639751,   36
AT1G01720,    AT4G18360,            0.986082535777,   37
AT2G28810,    AT4G18560,            0.985912061107,   38
AT1G74840,    AT1G70290,            0.985419547295,   39
AT1G01060,    AT1G17665,            -0.985418390521,   40
AT1G01060,    AT2G21660,            -0.985325916626,   41
AT1G36060,    AT1G17990,            0.985319368037,   42
AT1G69780,    AT5G62470,            0.985304625155,   43
AT1G01060,    AT3G50120,            -0.985021608746,   44
AT1G22070,    AT5G47560,            -0.984939513462,   45
AT1G69780,    AT5G34880,            0.984918130565,   46
AT1G75240,    AT3G16240,            0.984812103442,   47
AT1G08320,    AT2G31690,            0.984761187134,   48
AT1G62300,    AT1G72060,            -0.984454165037,   49
AT1G01720,    AT3G16330,            0.984422274102,   50
AT1G68200,    AT5G58090,            -0.984375339421,   51
AT1G68200,    AT1G13330,            0.984298083982,   52
AT1G20910,    AT5G48110,            0.984256182302,   53
AT1G43700,    AT1G70650,            -0.983880879784,   54
AT1G19210,    AT1G18680,            -0.983561613691,   55
AT1G19850,    AT5G24160,            -0.983276226526,   56
AT1G19000,    AT4G13235,            0.983261327014,   57
AT1G49480,    AT1G80340,            0.983238974015,   58
AT1G62300,    AT3G22060,            -0.983023097534,   59
AT1G69180,    AT2G28305,            0.983016266608,   60
AT1G09540,    AT1G32480,            0.982820105268,   61
AT1G01060,    AT2G22450,            -0.98280735327,   62
AT1G01060,    AT3G50210,            -0.982667599944,   63
AT2G03340,    AT1G51920,            -0.982641476252,   64
AT1G22070,    AT3G09610,            -0.982593829402,   65
AT1G01720,    AT4G16260,            0.982391651526,   66
AT1G77920,    AT4G38680,            -0.982329388357,   67
AT1G19850,    AT5G55490,            -0.982208189555,   68
AT1G69780,    AT3G43210,            -0.982105461666,   69
AT2G23290,    AT5G04640,            0.98189735366,   70
AT1G22070,    AT1G10760,            0.981798716377,   71
AT2G27300,    AT3G19700,            0.981537519871,   72
AT2G02080,    AT3G63440,            0.981400923794,   73
AT2G28810,    AT2G22430,            0.981372658509,   74
AT2G15740,    AT2G26700,            0.981139403905,   75
AT1G01060,    AT1G27630,            -0.981133571023,   76
AT1G19850,    AT5G60850,            0.981011587221,   77
AT2G30250,    AT3G06420,            0.980858836758,   78
AT1G27730,    AT2G30900,            -0.980722872433,   79
AT1G33240,    AT4G37180,            0.98054834926,   80
AT1G69570,    AT5G15600,            0.980404490888,   81
AT1G77920,    AT5G58570,            0.980404064919,   82
AT1G65910,    AT2G23800,            0.980294459492,   83
AT1G01060,    AT5G39410,            -0.980219519613,   84
AT1G75240,    AT5G49360,            0.979986411624,   85
AT1G01060,    AT2G25930,            -0.97985720506,   86
AT2G03500,    AT2G11160,            -0.979821375866,   87
AT1G49560,    AT4G22570,            -0.97981719085,   88
