regulator,    target,    score,    rank
AT1G51140,    AT4G18510,            -0.997710768893,   1
AT1G64620,    AT1G78570,            0.997674841998,   2
AT1G22070,    AT1G80480,            0.995837853878,   3
AT1G64620,    AT5G08330,            -0.995348938498,   4
AT1G49010,    AT3G05130,            -0.995226236252,   5
AT1G18330,    AT2G34140,            -0.994799144505,   6
AT1G52150,    AT3G45940,            0.994796063981,   7
AT1G77920,    AT1G59660,            0.993375805771,   8
AT1G13260,    AT3G59940,            0.993297759795,   9
AT1G22070,    AT1G20020,            0.992992072001,   10
AT1G13260,    AT1G26800,            0.992843731719,   11
AT2G31230,    AT5G38500,            0.992654518386,   12
AT1G01060,    AT3G58570,            -0.992586862653,   13
AT1G64620,    AT3G09640,            0.992553462274,   14
AT2G04038,    AT1G68510,            0.992502939279,   15
AT1G19850,    AT1G66430,            -0.992475203861,   16
AT1G29160,    AT5G57345,            -0.992365021841,   17
AT2G22430,    AT2G15600,            -0.992314720195,   18
AT2G30250,    AT3G45730,            0.992184163204,   19
AT1G01060,    AT2G28900,            -0.992130583188,   20
AT2G30250,    AT5G15540,            0.991988054459,   21
AT1G01060,    AT4G09020,            -0.991959670133,   22
AT1G43160,    AT3G29500,            0.99162196724,   23
AT2G18550,    AT1G33770,            0.990998070528,   24
AT1G12630,    AT4G23080,            0.990800027825,   25
AT1G68550,    AT3G12130,            0.990764620211,   26
AT1G76420,    AT4G36410,            -0.990598533655,   27
AT1G47655,    AT1G77405,            0.990588004519,   28
AT2G01060,    AT2G34440,            0.990451783193,   29
AT2G30250,    AT1G49980,            0.990315127169,   30
AT2G30590,    AT1G16130,            0.990260948256,   31
AT1G01060,    AT3G47860,            -0.990176190757,   32
AT1G33240,    AT4G27450,            0.989924128932,   33
AT1G19850,    AT1G34760,            0.989910204736,   34
AT2G02080,    AT4G23600,            -0.989767924663,   35
AT1G01720,    AT4G18360,            0.989596376033,   36
AT1G09540,    AT3G59080,            0.989310166523,   37
AT1G01060,    AT1G17665,            -0.989249922002,   38
AT1G01060,    AT3G50120,            -0.98886490004,   39
AT1G69780,    AT5G34880,            0.988809569583,   40
AT1G69780,    AT5G62470,            0.988667889149,   41
AT1G01060,    AT2G21660,            -0.988594744954,   42
AT1G74840,    AT1G70290,            0.988584220435,   43
AT1G68200,    AT1G13330,            0.988583669607,   44
AT1G22070,    AT5G47560,            -0.988520417594,   45
AT1G75240,    AT3G16240,            0.98832128619,   46
AT1G68200,    AT5G58090,            -0.988092918012,   47
AT1G08320,    AT2G31690,            0.988078867431,   48
AT1G62300,    AT1G72060,            -0.988066754764,   49
AT2G28810,    AT4G18560,            0.987936376778,   50
AT1G01720,    AT3G16330,            0.987869204359,   51
AT1G43700,    AT1G70650,            -0.987763518478,   52
AT1G19000,    AT4G13235,            0.987584264327,   53
AT1G20910,    AT5G48110,            0.987571007374,   54
AT1G36060,    AT1G17990,            0.987436513404,   55
AT1G19210,    AT1G18680,            -0.987354139704,   56
AT1G19850,    AT5G24160,            -0.987213506925,   57
AT1G01060,    AT2G22450,            -0.987204544553,   58
AT1G09540,    AT1G32480,            0.986967596213,   59
AT1G49480,    AT1G80340,            0.986952074925,   60
AT1G62300,    AT3G22060,            -0.986897656941,   61
AT1G01060,    AT3G50210,            -0.986800909134,   62
AT2G03340,    AT1G51920,            -0.986475863797,   63
AT1G19850,    AT5G55490,            -0.986307206663,   64
AT1G77920,    AT4G38680,            -0.986207417544,   65
AT1G01720,    AT4G16260,            0.98617682869,   66
AT1G22070,    AT1G10760,            0.985988606994,   67
AT2G02080,    AT3G63440,            0.985847574208,   68
AT2G23290,    AT5G04640,            0.985837270349,   69
AT1G69780,    AT3G43210,            -0.985671901578,   70
AT2G28810,    AT2G22430,            0.985359824094,   71
AT2G27300,    AT3G19700,            0.985278082684,   72
AT1G77920,    AT5G58570,            0.985205847904,   73
AT1G22070,    AT3G09610,            -0.985193336552,   74
AT1G01060,    AT1G27630,            -0.985076553954,   75
AT2G15740,    AT2G26700,            0.984879724686,   76
AT2G30250,    AT3G06420,            0.984726667384,   77
AT1G27730,    AT2G30900,            -0.984721452368,   78
AT1G33240,    AT4G37180,            0.984607728055,   79
AT1G01060,    AT5G39410,            -0.984544395072,   80
AT1G01060,    AT2G25930,            -0.984472807392,   81
AT1G69570,    AT5G15600,            0.984391294582,   82
AT2G28810,    AT2G18420,            -0.98422529926,   83
AT1G75240,    AT4G18970,            0.984219558145,   84
AT1G65910,    AT2G23800,            0.984194783898,   85
AT2G20110,    AT2G16670,            -0.984162871946,   86
AT1G01060,    AT1G22070,            -0.984135110172,   87
AT1G49560,    AT4G22570,            -0.984069779706,   88
AT1G22070,    AT4G24610,            0.984011207139,   89
AT1G75240,    AT5G49360,            0.984003416418,   90
AT1G62300,    AT2G39920,            0.983918868314,   91
AT1G64620,    AT3G61990,            0.983880401916,   92
AT1G80840,    AT2G29250,            -0.983841672577,   93
AT1G68670,    AT4G31760,            0.983837843447,   94
AT1G19850,    AT1G01640,            -0.983773647113,   95
AT1G77920,    AT5G05250,            0.983758471873,   96
AT1G69180,    AT2G28305,            0.983755730298,   97
AT1G01060,    AT4G30650,            -0.983734870648,   98
AT1G77920,    AT5G53450,            0.983651336153,   99
AT1G74650,    AT4G11730,            -0.983601554044,   100
AT1G75240,    AT4G10200,            0.983574855392,   101
AT1G01060,    AT5G23240,            -0.983501796225,   102
AT1G19850,    AT3G57380,            -0.983439667339,   103
AT1G01060,    AT5G51820,            -0.98335139814,   104
AT2G30250,    AT5G60310,            -0.983251912416,   105
AT2G23290,    AT1G11380,            0.983131138301,   106
AT1G22070,    AT3G46970,            0.98308522001,   107
AT1G01060,    AT2G31040,            -0.982960978229,   108
AT1G51140,    AT4G03400,            -0.982925875321,   109
AT1G30210,    AT4G11280,            -0.982914757151,   110
AT1G49560,    AT2G40080,            0.982840596175,   111
AT1G13260,    AT3G30740,            0.982696491054,   112
AT1G19850,    AT2G05380,            -0.98266838164,   113
AT1G75390,    AT4G24650,            0.98264061719,   114
AT1G01060,    AT2G34910,            0.982628071855,   115
AT1G01060,    AT2G43550,            -0.98262041909,   116
AT1G68200,    AT2G34920,            0.982617419184,   117
AT1G01060,    AT3G05880,            -0.98256660674,   118
AT2G03500,    AT2G11160,            -0.982533226553,   119
AT2G02080,    AT3G49160,            0.982493293739,   120
AT1G30650,    AT4G09110,            0.982349105561,   121
AT1G13450,    AT4G29190,            0.982266961385,   122
AT1G01060,    AT4G16146,            -0.982255854568,   123
AT1G13260,    AT5G60680,            0.982196379227,   124
AT1G12260,    AT4G07880,            0.982168972331,   125
AT1G19850,    AT5G60850,            0.982109531421,   126
AT1G69180,    AT5G15770,            -0.982097722929,   127
AT1G01060,    AT3G52180,            -0.982095022922,   128
AT1G30650,    AT1G28630,            0.982055535474,   129
AT1G01060,    AT2G36390,            -0.98199614472,   130
AT2G31230,    AT5G66260,            0.981993357633,   131
AT1G62300,    AT2G45570,            0.981965527086,   132
AT2G18160,    AT4G24580,            0.981835730425,   133
AT1G18330,    AT1G61840,            0.98174001703,   134
AT1G01060,    AT1G13270,            -0.981663692865,   135
AT2G18550,    AT1G43800,            0.981638028589,   136
AT1G77920,    AT4G20070,            -0.981474667077,   137
AT1G77920,    AT1G62500,            -0.98142998208,   138
AT2G02080,    AT1G14280,            0.981343319323,   139
AT1G75240,    AT2G21650,            0.981340179887,   140
AT1G53910,    AT5G65310,            0.981240608761,   141
AT1G76420,    AT5G06900,            -0.981211478017,   142
AT1G22810,    AT2G35700,            -0.981158640871,   143
AT1G34190,    AT5G13130,            -0.981113371491,   144
AT2G22430,    AT4G26270,            0.981040714399,   145
AT1G68670,    AT3G26510,            0.980975704425,   146
AT1G68670,    AT4G37610,            0.980947311036,   147
AT1G68550,    AT1G76880,            0.980926915352,   148
AT1G19850,    AT4G36770,            0.980913044013,   149
AT2G02820,    AT3G48770,            0.980888312334,   150
AT1G69180,    AT5G28770,            0.980877341116,   151
AT1G71450,    AT1G09740,            -0.980863745749,   152
AT1G14687,    AT4G12410,            0.980852154447,   153
AT1G27730,    AT5G06190,            0.980812405731,   154
AT1G49010,    AT1G75960,            -0.980781235772,   155
AT1G76890,    AT4G36740,            0.980771339385,   156
AT1G01060,    AT2G25730,            -0.980767047636,   157
AT1G01720,    AT3G20150,            -0.980751634821,   158
AT1G32870,    AT4G10020,            -0.980567573355,   159
AT1G18330,    AT5G02180,            0.980549913957,   160
AT1G19850,    AT4G22960,            -0.980509931342,   161
AT1G28160,    AT3G48850,            -0.980386360725,   162
AT1G53230,    AT2G30510,            -0.980267953992,   163
AT1G49010,    AT1G51940,            -0.980239165138,   164
AT2G23320,    AT4G08600,            0.980223358724,   165
AT1G01720,    AT1G23910,            -0.980218710378,   166
AT1G49010,    AT3G50700,            -0.980130017038,   167
AT1G80840,    AT5G47920,            -0.980127494826,   168
AT1G68670,    AT3G07350,            0.980080692931,   169
AT1G09540,    AT1G63550,            -0.980073132693,   170
AT1G01060,    AT3G23280,            -0.979952843607,   171
AT1G75240,    AT1G51960,            0.979924930913,   172
AT1G62300,    AT3G12820,            -0.979740098229,   173
AT1G49560,    AT2G28720,            0.979725303865,   174
AT1G76420,    AT4G37770,            -0.979680880992,   175
AT2G02080,    AT1G03457,            0.979651400694,   176
AT1G71450,    AT1G27940,            -0.979643353237,   177
AT2G30250,    AT4G29170,            0.979639050425,   178
AT2G30250,    AT1G20330,            -0.979627875018,   179
AT1G69010,    AT4G21420,            -0.979510949765,   180
AT1G29160,    AT1G44446,            -0.979484091738,   181
AT1G69780,    AT1G35750,            0.979433789806,   182
AT1G77920,    AT2G27620,            -0.9794092759,   183
AT1G69570,    AT1G31680,            -0.979357284431,   184
AT1G33240,    AT5G48490,            0.979349097701,   185
AT1G09540,    AT1G20290,            0.979281845968,   186
AT1G71450,    AT4G03190,            0.979268008045,   187
AT1G01060,    AT3G27170,            0.979237970714,   188
AT1G29280,    AT3G09735,            0.97923534263,   189
AT1G49560,    AT5G46520,            0.979171649188,   190
AT1G49010,    AT4G15530,            0.979134616376,   191
AT1G75240,    AT3G16800,            0.979011182057,   192
AT2G23290,    AT3G02125,            0.978981659347,   193
AT1G20910,    AT1G14720,            -0.978824376031,   194
AT2G02820,    AT5G50200,            0.978783375296,   195
AT1G01060,    AT4G26670,            -0.978756245575,   196
AT1G52880,    AT2G33230,            0.978744209163,   197
AT1G32150,    AT2G33100,            0.97873872584,   198
AT1G29160,    AT5G65580,            -0.978567683663,   199
AT1G01060,    AT2G29630,            -0.978557086911,   200
AT1G49560,    AT1G31850,            0.978515012434,   201
AT1G27730,    AT5G52750,            0.978474749594,   202
AT2G01930,    AT5G50820,            -0.978474545052,   203
AT1G27730,    AT2G01810,            -0.978452229682,   204
AT1G69180,    AT2G22770,            0.97838771501,   205
AT1G49560,    AT1G50760,            -0.978385079796,   206
AT1G18330,    AT1G73480,            0.978075101749,   207
AT1G74650,    AT4G17500,            -0.978073763787,   208
AT1G12630,    AT1G63030,            -0.978073714516,   209
AT1G01060,    AT4G04330,            -0.978055162162,   210
AT1G75390,    AT5G02160,            -0.978043258803,   211
AT2G02820,    AT5G50740,            -0.977894589702,   212
AT1G33240,    AT5G25340,            0.977873177973,   213
AT1G01060,    AT3G50500,            -0.977809701054,   214
AT1G27730,    AT4G23310,            0.977762920551,   215
AT1G01060,    AT5G26570,            -0.977667274653,   216
AT1G29280,    AT5G02900,            0.97759213678,   217
AT1G29160,    AT2G12320,            0.977542754005,   218
AT1G01060,    AT2G18170,            -0.977476283379,   219
AT1G14687,    AT1G42420,            0.977439797041,   220
AT1G33240,    AT3G58290,            0.97735505568,   221
AT1G01060,    AT4G32340,            -0.977350986295,   222
AT1G76890,    AT2G23290,            0.977331147096,   223
AT1G69780,    AT1G35670,            0.977322219325,   224
AT1G01060,    AT5G63430,            -0.977309240535,   225
AT1G01060,    AT5G62720,            -0.977282726551,   226
AT1G01060,    AT2G37460,            0.9771928417,   227
AT1G74650,    AT3G24520,            -0.9770862365,   228
AT1G01060,    AT5G25140,            0.97707379851,   229
AT1G19850,    AT2G21640,            -0.977009176829,   230
AT1G01060,    AT5G63420,            -0.97697085644,   231
AT1G01060,    AT3G61890,            0.976956456733,   232
AT2G02080,    AT5G29010,            0.976955551904,   233
AT2G30250,    AT5G49110,            0.976926209252,   234
AT2G22540,    AT3G44230,            -0.976867816589,   235
AT1G01060,    AT1G64170,            -0.97683310891,   236
AT1G18330,    AT1G11690,            -0.976738644632,   237
AT2G20110,    AT2G28610,            0.976733478567,   238
AT1G01060,    AT3G13065,            0.976709337708,   239
AT1G49560,    AT4G33490,            0.976620535098,   240
AT2G18060,    AT4G32080,            0.976419327524,   241
AT1G19850,    AT4G30290,            0.97639396573,   242
AT2G15740,    AT5G20710,            0.976335647402,   243
AT2G01940,    AT4G26930,            0.976240237168,   244
AT2G23340,    AT3G25630,            -0.976192139292,   245
AT1G80840,    AT5G04650,            -0.976152388912,   246
AT1G09540,    AT5G39820,            0.97615058139,   247
AT1G01720,    AT1G65480,            0.97613644021,   248
AT1G62300,    AT4G33700,            0.976071170886,   249
AT1G19850,    AT2G32290,            -0.97600593975,   250
AT1G49480,    AT3G51680,            0.97588004308,   251
AT1G28370,    AT5G66210,            0.975825580457,   252
AT1G18330,    AT3G63470,            0.975817065051,   253
AT1G75390,    AT5G47050,            0.975799857508,   254
AT1G13260,    AT1G59730,            0.975668584393,   255
AT1G74840,    AT1G46336,            0.975603886655,   256
AT1G19000,    AT4G33666,            0.975599010502,   257
AT1G49560,    AT1G64890,            0.975571449351,   258
AT2G03500,    AT2G24140,            -0.975357898094,   259
AT1G20910,    ATMG00840,            0.975248191072,   260
AT1G01060,    AT1G09795,            -0.975055922901,   261
AT1G69010,    AT5G22550,            0.974978082341,   262
AT1G79580,    AT2G27250,            0.974955242703,   263
AT2G20110,    ATMG01330,            0.974940973783,   264
AT1G27730,    AT2G41410,            0.974769183608,   265
AT1G18330,    AT5G02810,            0.974654313645,   266
AT2G02070,    AT1G69500,            -0.97461612721,   267
AT1G77200,    AT5G49640,            -0.974558513652,   268
AT1G01060,    AT5G54960,            -0.974538434427,   269
AT1G49560,    AT5G18670,            -0.97451791803,   270
AT1G51700,    AT1G53885,            -0.974453920778,   271
AT2G30250,    AT1G08260,            0.974409583609,   272
AT2G28810,    AT2G18010,            -0.974388092012,   273
AT1G01060,    AT5G15800,            0.974347605108,   274
AT1G27730,    AT2G32470,            0.974286393521,   275
AT1G77200,    AT5G14730,            -0.974271671968,   276
AT2G18550,    AT5G45340,            0.974264911068,   277
AT1G49010,    AT2G33380,            0.974263658044,   278
AT1G33240,    AT3G29670,            0.974261006907,   279
AT1G75240,    AT4G29700,            -0.973998334362,   280
AT1G64620,    AT5G48010,            -0.973623143848,   281
AT1G77920,    AT5G02220,            0.973496069137,   282
AT1G01060,    AT4G17120,            -0.973449109052,   283
AT1G49560,    AT4G18240,            0.973341826912,   284
AT2G01930,    AT4G09540,            0.973303452757,   285
AT1G28160,    AT1G66960,            -0.973265412339,   286
AT1G71450,    AT1G09570,            0.973263234432,   287
AT1G01720,    AT1G67780,            -0.973209201877,   288
AT2G23340,    AT4G22620,            -0.973179660839,   289
AT1G74840,    AT5G49450,            0.973145528991,   290
AT1G49560,    AT4G39180,            0.97312640293,   291
AT1G32150,    AT1G48290,            -0.973121461322,   292
AT1G32870,    AT3G01420,            0.97298819185,   293
AT1G69010,    AT1G42690,            -0.972956698466,   294
AT2G01930,    AT1G76410,            0.972930867409,   295
AT2G30250,    AT3G04060,            0.972881226966,   296
AT1G77920,    AT3G18290,            0.972858224895,   297
AT1G34180,    AT1G21540,            -0.972840643089,   298
AT1G19210,    AT2G12210,            -0.972778886268,   299
AT1G36060,    AT1G17900,            0.972764469431,   300
AT1G01060,    AT5G20630,            -0.972703957768,   301
AT1G71450,    AT1G59940,            0.972695761098,   302
AT1G20910,    AT5G16460,            0.972695199519,   303
AT1G51700,    AT1G68570,            0.972602460996,   304
AT1G80840,    AT3G55980,            0.972579449127,   305
AT1G34180,    AT1G02790,            0.972563676023,   306
AT1G64620,    AT4G25490,            -0.972482401076,   307
AT1G18330,    AT1G06750,            0.972380102911,   308
AT1G27730,    AT1G63450,            -0.972361009341,   309
AT1G64620,    AT1G79410,            0.972357718772,   310
AT1G34180,    AT5G58360,            0.97234731957,   311
AT1G19850,    AT4G23260,            -0.97233248931,   312
AT1G43160,    AT5G50470,            0.972322935456,   313
AT2G24430,    AT3G32080,            0.972287810907,   314
AT1G76420,    AT5G02760,            -0.972266807113,   315
AT2G02080,    AT4G35030,            -0.97226274779,   316
AT1G01060,    AT4G38580,            -0.97221651292,   317
AT2G22430,    AT5G06730,            -0.972141297791,   318
AT1G01060,    AT1G79440,            -0.972087097623,   319
AT2G18350,    AT2G45890,            0.972069747265,   320
AT1G64620,    AT2G10970,            -0.97205106945,   321
AT1G01060,    AT2G04795,            0.971947579757,   322
AT1G19040,    AT4G25200,            -0.971866769143,   323
AT1G69010,    AT5G50830,            -0.971818337657,   324
AT1G29860,    AT3G32050,            -0.97179032553,   325
AT2G18550,    AT2G20880,            -0.971774615589,   326
AT1G29160,    AT4G01680,            -0.971669869506,   327
AT1G62300,    AT5G23730,            -0.971581897685,   328
AT2G18350,    AT1G28170,            -0.971545742759,   329
AT1G34180,    AT3G62150,            -0.971335799618,   330
AT1G69180,    AT3G11690,            0.9712632188,   331
AT1G76890,    AT3G45420,            -0.971228705129,   332
AT2G01930,    AT2G27690,            0.971122476168,   333
AT1G30490,    AT2G28355,            -0.971099006764,   334
AT2G30250,    AT3G16280,            -0.971067915565,   335
AT1G49010,    AT3G04910,            -0.971052851973,   336
AT1G01720,    AT3G46370,            -0.970983133974,   337
AT2G30250,    AT2G47680,            0.970839075478,   338
AT1G49560,    AT2G38670,            0.970824245547,   339
AT1G51700,    AT5G42760,            0.970731301006,   340
AT2G02080,    AT3G62740,            0.970555233654,   341
AT2G30250,    AT4G37010,            0.970494680787,   342
AT1G33240,    AT1G16980,            0.970469009194,   343
AT1G49010,    AT4G08300,            0.970394415105,   344
AT1G62300,    AT4G17110,            0.970242506045,   345
AT1G19850,    AT3G16560,            -0.970213247393,   346
AT2G01060,    AT1G01530,            0.97013781942,   347
AT2G30250,    AT5G64060,            0.970117536323,   348
AT2G18550,    AT5G64800,            -0.970050386701,   349
AT1G72740,    AT4G11190,            -0.969985150427,   350
AT1G65910,    AT3G11340,            -0.969918964131,   351
AT1G22070,    AT5G17300,            -0.969854960664,   352
AT1G68320,    AT4G01490,            -0.969845643075,   353
AT1G09540,    AT5G25950,            0.969773373467,   354
AT1G76890,    AT4G37240,            0.969628089524,   355
AT1G01060,    AT5G10800,            -0.969625017164,   356
AT1G19850,    AT5G10760,            -0.969583231843,   357
AT1G76420,    AT2G32750,            -0.969547310808,   358
AT1G74840,    AT4G21080,            0.969510089909,   359
AT1G68200,    AT3G07800,            0.969457780841,   360
AT1G01060,    AT3G26580,            -0.969438329066,   361
AT2G30250,    AT2G30360,            0.96936689721,   362
AT2G02080,    AT3G45140,            -0.969330258564,   363
AT1G74650,    AT3G47950,            0.969305761899,   364
AT1G01720,    AT5G24380,            0.969227019459,   365
AT1G01060,    AT5G22430,            0.96913130234,   366
AT1G68320,    AT3G04980,            -0.969123022132,   367
AT1G71450,    AT1G11260,            0.969100541747,   368
AT1G06180,    AT2G23900,            -0.969094444376,   369
AT1G64620,    AT3G43420,            -0.969028071057,   370
AT1G65910,    AT3G19940,            0.968796073507,   371
AT2G30250,    AT3G09020,            0.968795363886,   372
AT1G49480,    AT1G66380,            -0.968794428362,   373
AT2G18060,    AT5G46330,            -0.968758618718,   374
AT1G28470,    AT1G26380,            0.968758214371,   375
